,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,07/03/2020,20:46:41
1,3,,,,,10/03/2020,15:25:47
2,4,,,,,12/03/2020,13:10:24
3,6,,,,,12/03/2020,17:16:13
4,12,,,,,14/03/2020,16:34:03
5,23,,,,,15/03/2020,15:30:38
6,29,1.0,,,,16/03/2020,18:38:43
7,30,1.0,,,,17/03/2020,13:20:44
8,30,1.0,1.0,,,18/03/2020,07:53:07
9,36,1.0,1.0,,,18/03/2020,18:29:33
10,49,1.0,1.0,,,19/03/2020,15:53:36
11,66,1.0,1.0,,,20/03/2020,15:50:51
12,80,1.0,1.0,,,21/03/2020,15:35:09
13,94,1.0,1.0,,,22/03/2020,15:30:12
14,94,2.0,1.0,,,23/03/2020,08:00:08
15,109,2.0,1.0,,,23/03/2020,15:31:10
16,125,2.0,1.0,,,24/03/2020,15:52:26
17,149,2.0,1.0,,,25/03/2020,15:44:47
18,177,2.0,1.0,,,26/03/2020,16:09:16
19,177,2.0,2.0,,,27/03/2020,08:18:01
20,199,2.0,2.0,,,27/03/2020,15:40:32
21,231,2.0,2.0,,,28/03/2020,16:53:20
22,263,2.0,2.0,,,29/03/2020,16:42:02
23,263,13.0,2.0,,,30/03/2020,07:31:28
24,298,15.0,2.0,,,30/03/2020,15:52:52
25,298,18.0,2.0,,,31/03/2020,09:54:18
26,353,18.0,2.0,,,31/03/2020,14:44:46
27,353,18.0,4.0,,,31/03/2020,15:04:00
28,353,22.0,4.0,,,01/04/2020,09:39:09
29,423,22.0,4.0,,,01/04/2020,15:05:12
30,423,23.0,5.0,,,01/04/2020,16:47:40
31,505,23.0,6.0,,,02/04/2020,15:18:57
32,505,26.0,6.0,,,03/04/2020,14:08:32
33,591,26.0,8.0,,,03/04/2020,16:20:40
34,591,26.0,8.0,169.0,,04/04/2020,03:58:25
35,591,26.0,10.0,169.0,,04/04/2020,11:32:49
36,752,26.0,10.0,169.0,,04/04/2020,14:44:54
37,752,29.0,12.0,169.0,,04/04/2020,15:53:48
38,752,29.0,12.0,681.0,,04/04/2020,19:53:16
39,752,29.0,12.0,,,05/04/2020,02:13:23
40,752,29.0,14.0,,,05/04/2020,08:19:44
41,752,30.0,14.0,,,05/04/2020,08:40:04
42,864,30.0,15.0,,,05/04/2020,15:22:46
43,864,37.0,17.0,,,06/04/2020,09:03:43
44,965,37.0,19.0,,,06/04/2020,14:30:05
45,965,37.0,21.0,,,07/04/2020,08:21:53
46,965,40.0,21.0,,,07/04/2020,09:44:01
47,1056,40.0,22.0,,,07/04/2020,14:32:01
48,1056,40.0,22.0,5108.0,,07/04/2020,15:52:17
49,1056,40.0,24.0,5108.0,,08/04/2020,07:53:49
50,1174,40.0,27.0,5108.0,,08/04/2020,15:18:57
51,1174,40.0,28.0,5108.0,,09/04/2020,05:35:00
52,1174,43.0,28.0,5108.0,,09/04/2020,07:55:43
53,1174,50.0,28.0,5108.0,,09/04/2020,12:20:14
54,1289,50.0,29.0,5108.0,,09/04/2020,15:26:47
55,1289,56.0,29.0,6271.0,,10/04/2020,07:49:25
56,1438,56.0,29.0,6271.0,,10/04/2020,15:11:59
57,1438,75.0,29.0,6271.0,,11/04/2020,07:28:48
58,1560,75.0,30.0,6271.0,,11/04/2020,15:00:05
59,1560,94.0,31.0,6271.0,,12/04/2020,14:00:04
60,1662,94.0,31.0,6271.0,,12/04/2020,15:00:04
61,1712,107.0,35.0,6271.0,,13/04/2020,11:07:56
62,1712,134.0,36.0,6271.0,,14/04/2020,06:58:03
63,1847,134.0,36.0,6271.0,,14/04/2020,10:18:41
64,1934,134.0,36.0,6271.0,,14/04/2020,15:00:08
65,1934,134.0,38.0,6271.0,,14/04/2020,17:00:03
66,1934,134.0,40.0,6271.0,,14/04/2020,20:36:58
67,1934,171.0,41.0,6271.0,,15/04/2020,06:00:04
68,1934,171.0,43.0,6271.0,,15/04/2020,10:53:25
69,2049,171.0,44.0,6271.0,,15/04/2020,16:15:51
70,2049,171.0,46.0,6271.0,,15/04/2020,17:00:02
71,2049,235.0,51.0,6271.0,,16/04/2020,09:00:05
72,2154,235.0,53.0,6271.0,,16/04/2020,15:00:09
73,2154,235.0,53.0,9208.0,,16/04/2020,15:46:19
74,2154,235.0,54.0,9208.0,,16/04/2020,23:37:57
75,2154,276.0,54.0,9848.0,,17/04/2020,09:00:05
76,2154,276.0,55.0,9848.0,,17/04/2020,14:00:07
77,2264,276.0,55.0,9848.0,,17/04/2020,15:54:10
78,2264,276.0,56.0,9848.0,,17/04/2020,20:30:36
79,2264,391.0,56.0,9848.0,,18/04/2020,08:32:56
80,2378,391.0,57.0,9848.0,,18/04/2020,14:47:53
81,2378,457.0,61.0,9848.0,,19/04/2020,10:00:04
82,2351,457.0,61.0,9848.0,,19/04/2020,11:33:05
83,2351,457.0,62.0,9848.0,,19/04/2020,13:00:06
84,2472,457.0,67.0,10488.0,,19/04/2020,16:00:05
85,2472,457.0,68.0,11763.0,,20/04/2020,10:51:57
86,2548,457.0,68.0,11763.0,,20/04/2020,14:24:35
87,2548,457.0,70.0,11763.0,,20/04/2020,19:00:04
88,2548,505.0,72.0,11763.0,,21/04/2020,07:00:08
89,2614,505.0,72.0,11763.0,,21/04/2020,14:44:19
90,2614,560.0,73.0,11763.0,,22/04/2020,07:52:58
91,2778,560.0,75.0,11763.0,,22/04/2020,15:00:12
92,2778,661.0,76.0,11763.0,,23/04/2020,08:00:04
93,2926,661.0,80.0,11763.0,,23/04/2020,17:00:34
94,2926,755.0,80.0,11763.0,,24/04/2020,08:30:24
95,2926,755.0,84.0,11763.0,,24/04/2020,13:00:17
96,3110,755.0,84.0,11763.0,,24/04/2020,19:30:20
97,3110,825.0,87.0,11763.0,,25/04/2020,08:32:14
98,3110,825.0,89.0,11763.0,,25/04/2020,13:01:28
99,3304,825.0,94.0,11763.0,,25/04/2020,17:30:05
100,3304,895.0,94.0,11763.0,,26/04/2020,13:29:37
101,3408,895.0,96.0,11763.0,,26/04/2020,14:39:02
102,3408,925.0,101.0,11763.0,,27/04/2020,10:02:06
103,3481,925.0,101.0,11763.0,,27/04/2020,14:32:07
104,3481,925.0,102.0,11763.0,,27/04/2020,15:48:26
