,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,29/02/2020,00:26:28
1,2,,,,,13/03/2020,04:28:36
2,6,,,,,16/03/2020,11:53:34
3,9,,,,,17/03/2020,03:07:44
4,10,,,,,19/03/2020,17:14:37
5,11,,,,,20/03/2020,09:03:12
6,18,1.0,,,,21/03/2020,20:00:49
7,23,1.0,,,,22/03/2020,19:57:53
8,27,1.0,,,,25/03/2020,16:56:06
9,31,1.0,,,,25/03/2020,20:06:33
10,33,1.0,,,,26/03/2020,19:53:33
11,42,1.0,,,,27/03/2020,17:27:11
12,43,1.0,1.0,,,29/03/2020,04:02:58
13,46,1.0,1.0,,,29/03/2020,22:52:42
14,49,1.0,1.0,,,30/03/2020,17:14:00
15,52,2.0,1.0,,,31/03/2020,17:57:28
16,55,2.0,1.0,,,01/04/2020,16:47:40
17,60,2.0,1.0,,,02/04/2020,17:13:14
18,64,3.0,1.0,,,03/04/2020,17:27:55
19,66,3.0,1.0,,,04/04/2020,19:31:30
20,73,3.0,1.0,,,05/04/2020,17:30:38
21,77,4.0,1.0,,,06/04/2020,18:07:55
22,79,4.0,1.0,,,07/04/2020,17:09:17
23,81,4.0,1.0,,,08/04/2020,17:26:19
24,84,5.0,1.0,,,09/04/2020,17:02:22
25,90,5.0,1.0,,,10/04/2020,17:28:43
26,92,5.0,1.0,,,11/04/2020,17:15:32
27,93,6.0,1.0,,,12/04/2020,23:00:24
28,93,12.0,3.0,,,15/04/2020,20:00:03
29,94,20.0,3.0,,,17/04/2020,17:51:55
30,94,22.0,3.0,,,18/04/2020,17:59:20
31,94,23.0,3.0,,,20/04/2020,22:35:11
32,94,22.0,3.0,,,21/04/2020,00:00:05
33,94,23.0,3.0,,,21/04/2020,00:07:03
34,94,26.0,3.0,,,21/04/2020,17:55:03
35,94,35.0,4.0,,,23/04/2020,17:00:34
36,94,41.0,4.0,,,24/04/2020,19:30:20
37,94,42.0,4.0,,,25/04/2020,17:30:05
38,95,42.0,4.0,,,28/04/2020,02:05:53
39,95,50.0,4.0,,,28/04/2020,22:29:04
40,95,58.0,4.0,,,29/04/2020,18:21:08
41,95,64.0,4.0,,,30/04/2020,16:38:46
42,95,73.0,4.0,,,01/05/2020,22:45:00
43,95,78.0,4.0,,,03/05/2020,00:21:50
44,95,81.0,4.0,,,05/05/2020,17:53:59
45,95,82.0,4.0,,,06/05/2020,19:00:52
46,96,82.0,4.0,,,09/05/2020,22:31:23
47,96,85.0,4.0,,,11/05/2020,17:46:23
48,96,87.0,4.0,,,13/05/2020,17:26:38
49,97,87.0,4.0,,39208.0,18/05/2020,21:02:59
50,97,90.0,4.0,,39210.0,20/05/2020,18:51:42
51,98,90.0,4.0,,39212.0,23/05/2020,20:22:57
52,98,90.0,4.0,,39215.0,27/05/2020,16:10:09
53,99,90.0,4.0,,39217.0,30/05/2020,19:33:06
54,99,90.0,4.0,16200.0,39219.0,01/06/2020,13:54:39
55,99,92.0,4.0,16200.0,39221.0,04/06/2020,22:21:01
56,99,93.0,4.0,16200.0,39222.0,05/06/2020,22:27:12
57,99,94.0,4.0,16200.0,39230.0,16/06/2020,19:30:14
58,100,94.0,4.0,16200.0,39234.0,21/06/2020,19:18:46
59,101,94.0,4.0,16200.0,39235.0,22/06/2020,18:57:57
60,101,95.0,4.0,16200.0,39235.0,22/06/2020,23:30:05
61,102,95.0,4.0,16200.0,39236.0,24/06/2020,18:33:38
62,103,95.0,4.0,16200.0,39239.0,27/06/2020,20:31:57
63,106,95.0,4.0,16200.0,39243.0,02/07/2020,17:19:36
64,108,95.0,4.0,16200.0,39245.0,05/07/2020,18:31:29
65,108,96.0,4.0,16200.0,39249.0,10/07/2020,00:03:29
66,109,96.0,4.0,16200.0,39249.0,11/07/2020,20:31:28
67,109,97.0,4.0,16200.0,39250.0,12/07/2020,20:46:27
68,109,98.0,4.0,16200.0,39253.0,16/07/2020,05:32:00
69,109,98.0,4.0,38209.0,39254.0,17/07/2020,09:02:39
70,109,100.0,4.0,38209.0,39257.0,21/07/2020,00:00:51
71,111,100.0,4.0,38209.0,39257.0,21/07/2020,18:37:43
72,112,100.0,4.0,38209.0,39258.0,22/07/2020,18:00:06
73,114,100.0,4.0,38209.0,39258.0,23/07/2020,19:56:35
74,116,100.0,4.0,38209.0,39259.0,24/07/2020,18:20:56
75,116,104.0,4.0,38209.0,39260.0,25/07/2020,22:13:46
76,117,104.0,4.0,38209.0,39262.0,28/07/2020,18:17:03
77,120,105.0,4.0,38209.0,39264.0,30/07/2020,03:34:24
78,121,105.0,4.0,38209.0,39267.0,03/08/2020,18:32:24
79,123,105.0,4.0,38209.0,39268.0,04/08/2020,20:32:04
80,125,105.0,4.0,38209.0,39268.0,05/08/2020,20:02:25
81,128,105.0,4.0,38209.0,39270.0,07/08/2020,18:48:24
82,131,112.0,4.0,38209.0,39271.0,08/08/2020,23:31:07
83,133,113.0,4.0,38209.0,39272.0,10/08/2020,03:12:03
84,138,113.0,4.0,38209.0,39273.0,11/08/2020,22:54:27
85,141,114.0,4.0,38209.0,39274.0,12/08/2020,20:12:23
86,144,114.0,4.0,38209.0,39274.0,13/08/2020,19:56:57
87,146,114.0,4.0,38209.0,39275.0,14/08/2020,22:05:22
88,148,114.0,4.0,38209.0,39277.0,17/08/2020,23:59:30
89,150,115.0,4.0,51953.0,39280.0,20/08/2020,19:16:30
90,154,116.0,4.0,51953.0,39280.0,21/08/2020,19:22:38
91,112,83.0,1.0,51953.0,39282.0,23/08/2020,22:37:34
92,121,85.0,1.0,51953.0,39284.0,25/08/2020,19:45:58
93,122,85.0,1.0,51953.0,39285.0,27/08/2020,00:40:02
94,125,86.0,1.0,51953.0,39286.0,28/08/2020,00:43:03
95,130,89.0,1.0,51953.0,39287.0,30/08/2020,00:40:53
96,131,89.0,1.0,51953.0,39288.0,31/08/2020,00:38:17
97,138,89.0,1.0,51953.0,39288.0,31/08/2020,21:51:11
98,140,90.0,1.0,51953.0,39289.0,01/09/2020,22:04:51
