,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,10/03/2020,02:31:04
1,4,,,,,16/03/2020,22:13:52
2,5,,,,,17/03/2020,13:20:44
3,6,,,,,18/03/2020,06:52:16
4,10,,,,,21/03/2020,05:32:26
5,11,,,,,26/03/2020,07:32:54
6,12,,,,,28/03/2020,03:47:03
7,12,2.0,,,,30/03/2020,06:00:35
8,14,2.0,,,,01/04/2020,05:58:21
9,15,2.0,,,,06/04/2020,03:30:13
10,15,4.0,,,,07/04/2020,04:05:08
11,16,4.0,,,,08/04/2020,06:52:05
12,17,4.0,,,,13/04/2020,11:07:56
13,30,11.0,,1000.0,,14/04/2020,04:00:06
14,30,5.0,,1000.0,,14/04/2020,05:00:07
15,31,5.0,,1077.0,,16/04/2020,04:00:06
16,31,5.0,,1450.0,,17/04/2020,07:00:06
17,32,7.0,,1554.0,,19/04/2020,05:00:04
18,33,7.0,,1554.0,,20/04/2020,04:00:05
19,34,8.0,,6800.0,,21/04/2020,00:07:03
20,35,8.0,,6800.0,,22/04/2020,04:00:07
21,35,8.0,,7130.0,,22/04/2020,04:12:31
22,35,8.0,,7156.0,,23/04/2020,03:32:32
23,36,9.0,,7234.0,,24/04/2020,03:30:38
24,37,9.0,,7292.0,,25/04/2020,04:05:23
25,38,9.0,,7292.0,,26/04/2020,04:13:41
26,38,10.0,,7292.0,,27/04/2020,04:02:12
27,38,10.0,,7455.0,,30/04/2020,07:21:43
28,38,10.0,,7672.0,,01/05/2020,05:31:26
29,39,10.0,,8022.0,,02/05/2020,04:31:18
30,39,10.0,,8250.0,,03/05/2020,03:44:16
31,40,12.0,,8250.0,,04/05/2020,04:01:21
32,41,13.0,,8889.0,,05/05/2020,04:50:42
33,41,13.0,,8946.0,,06/05/2020,03:30:14
34,41,13.0,,9093.0,,07/05/2020,03:30:36
35,42,13.0,,9137.0,,07/05/2020,20:30:27
36,41,13.0,,9093.0,,07/05/2020,21:17:20
37,42,13.0,,9137.0,,08/05/2020,03:30:25
38,42,14.0,,9203.0,,09/05/2020,03:31:17
