,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,17/03/2020,20:37:32
1,3,,,,,18/03/2020,19:33:32
2,8,,,,,18/03/2020,19:38:43
3,10,,,,,19/03/2020,15:53:36
4,13,,,,,19/03/2020,22:27:23
5,14,,,,,20/03/2020,17:42:56
6,16,,,,,21/03/2020,20:31:24
7,21,,,,,22/03/2020,19:31:11
8,22,,1.0,,,23/03/2020,06:00:51
9,27,,1.0,,,23/03/2020,18:39:23
10,29,,1.0,,,24/03/2020,08:31:04
11,47,,1.0,,,24/03/2020,17:41:24
12,52,,1.0,,,25/03/2020,07:32:36
13,53,,1.0,,,25/03/2020,23:50:46
14,67,,1.0,,,26/03/2020,07:32:54
15,69,,1.0,,,26/03/2020,19:09:20
16,70,,1.0,,,27/03/2020,07:55:13
17,75,,1.0,,,27/03/2020,17:21:40
18,82,,1.0,,,27/03/2020,20:23:31
19,84,,1.0,,,28/03/2020,23:00:58
20,85,,1.0,,,29/03/2020,14:36:41
21,91,,1.0,,,30/03/2020,07:31:28
22,105,,1.0,,,31/03/2020,06:36:57
23,105,,2.0,,,31/03/2020,11:56:37
24,109,,2.0,,,31/03/2020,17:34:40
25,120,,2.0,,,01/04/2020,07:15:43
26,123,,2.0,,,01/04/2020,16:47:40
27,140,,2.0,,,02/04/2020,07:18:21
28,144,,2.0,,,02/04/2020,16:37:29
29,160,,2.0,,,03/04/2020,07:20:13
30,174,1.0,2.0,,,03/04/2020,16:45:29
31,174,1.0,2.0,1193.0,,04/04/2020,03:58:25
32,197,1.0,2.0,1193.0,,04/04/2020,07:30:42
33,201,1.0,2.0,1193.0,,04/04/2020,17:03:36
34,201,1.0,2.0,1456.0,,04/04/2020,23:11:03
35,203,1.0,2.0,1456.0,,05/04/2020,07:48:08
36,203,1.0,2.0,1583.0,,05/04/2020,14:29:43
37,214,1.0,2.0,1583.0,,05/04/2020,17:30:38
38,214,1.0,2.0,1637.0,,06/04/2020,00:56:25
39,223,1.0,2.0,1637.0,,06/04/2020,06:51:22
40,233,1.0,2.0,1637.0,,06/04/2020,16:13:24
41,233,1.0,2.0,1722.0,,06/04/2020,17:07:03
42,239,1.0,2.0,1722.0,,07/04/2020,06:54:48
43,239,3.0,2.0,1722.0,,07/04/2020,11:55:46
44,239,4.0,2.0,1722.0,,07/04/2020,12:26:43
45,241,4.0,2.0,1722.0,,07/04/2020,14:56:56
46,241,4.0,2.0,2014.0,,07/04/2020,18:56:42
