,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,18/03/2020,06:13:45
1,2,,,,,26/03/2020,18:37:05
2,5,,,,,26/03/2020,23:05:03
3,6,,,,,03/04/2020,22:27:02
4,9,,,36.0,,07/04/2020,23:51:10
5,11,1.0,,36.0,,13/04/2020,11:07:56
6,11,2.0,,36.0,,18/04/2020,12:00:04
7,11,2.0,1.0,36.0,,25/04/2020,06:29:17
8,11,7.0,1.0,36.0,,03/05/2020,04:15:41
9,11,8.0,1.0,36.0,,09/05/2020,00:59:32
10,11,10.0,1.0,36.0,4992.0,16/05/2020,04:46:11
11,11,10.0,1.0,61.0,4992.0,31/05/2020,00:43:28
12,12,10.0,1.0,61.0,4992.0,11/07/2020,15:00:06
13,13,10.0,1.0,61.0,4992.0,03/08/2020,04:20:27
14,13,11.0,1.0,61.0,4992.0,08/08/2020,14:08:15
15,13,13.0,1.0,61.0,4992.0,08/08/2020,20:40:24
16,13,12.0,1.0,61.0,4992.0,08/08/2020,23:31:07
17,13,12.0,1.0,328.0,4993.0,31/08/2020,00:38:17
18,13,11.0,1.0,373.0,4993.0,11/09/2020,00:35:07
19,13,12.0,1.0,373.0,4993.0,14/09/2020,13:47:51
20,13,12.0,1.0,449.0,4993.0,22/09/2020,00:52:59
21,13,12.0,1.0,483.0,4993.0,05/10/2020,23:19:08
