,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,02/03/2020,21:12:16
1,2,,,,,05/03/2020,08:25:34
2,3,,,,,10/03/2020,09:39:08
3,3,,1.0,,,10/03/2020,14:17:21
4,5,,1.0,,,11/03/2020,12:13:51
5,6,,1.0,,,11/03/2020,22:32:56
6,7,,1.0,,,13/03/2020,10:13:01
7,7,1.0,1.0,,,13/03/2020,21:22:44
8,8,1.0,1.0,,,14/03/2020,06:01:08
9,17,1.0,1.0,,,14/03/2020,12:56:07
10,18,1.0,1.0,,,14/03/2020,23:59:06
11,28,1.0,1.0,,,15/03/2020,12:20:35
12,29,1.0,1.0,,,16/03/2020,10:06:33
13,38,1.0,1.0,,,16/03/2020,22:13:52
14,37,1.0,1.0,,,17/03/2020,04:32:23
15,38,1.0,2.0,,,17/03/2020,10:22:34
16,44,1.0,2.0,,,17/03/2020,20:37:32
17,49,1.0,2.0,,,18/03/2020,09:55:52
18,54,1.0,2.0,,,18/03/2020,20:27:42
19,58,1.0,2.0,,,19/03/2020,09:31:30
20,61,2.0,2.0,,,19/03/2020,15:53:36
21,62,2.0,2.0,,,19/03/2020,20:20:19
22,63,2.0,2.0,,,19/03/2020,20:28:32
23,66,2.0,3.0,,,20/03/2020,08:58:28
24,74,2.0,3.0,,,20/03/2020,15:33:28
25,77,2.0,3.0,,,20/03/2020,18:55:44
26,79,2.0,3.0,,,20/03/2020,22:01:03
27,86,2.0,3.0,,,21/03/2020,00:38:03
28,96,3.0,3.0,,,21/03/2020,20:00:49
29,104,3.0,3.0,,,22/03/2020,11:36:17
30,108,3.0,3.0,,,22/03/2020,12:18:47
31,109,3.0,3.0,,,22/03/2020,14:01:28
32,115,3.0,4.0,,,22/03/2020,20:30:15
33,122,3.0,4.0,,,23/03/2020,10:30:08
34,134,3.0,4.0,,,23/03/2020,12:31:26
35,143,3.0,4.0,,,23/03/2020,17:23:40
36,143,5.0,4.0,,,23/03/2020,18:39:23
37,170,5.0,4.0,,,24/03/2020,17:23:19
38,170,6.0,5.0,,,24/03/2020,17:41:24
39,225,7.0,6.0,,,25/03/2020,18:02:28
40,275,8.0,10.0,,,26/03/2020,17:51:23
41,275,8.0,11.0,,,26/03/2020,22:47:14
42,333,8.0,11.0,,,27/03/2020,17:21:40
43,333,11.0,21.0,,,27/03/2020,17:37:27
44,345,11.0,23.0,,,27/03/2020,21:05:03
45,358,11.0,23.0,,,28/03/2020,08:39:41
46,359,11.0,24.0,,,28/03/2020,18:25:32
47,390,11.0,25.0,,,28/03/2020,21:16:45
48,402,11.0,25.0,,,28/03/2020,23:00:58
49,402,12.0,25.0,,,28/03/2020,23:10:18
50,437,12.0,26.0,,,29/03/2020,08:21:49
51,450,13.0,26.0,,,29/03/2020,12:51:33
52,463,13.0,26.0,,,29/03/2020,17:30:04
53,479,13.0,26.0,,,29/03/2020,20:35:12
54,516,13.0,27.0,,,30/03/2020,07:31:28
55,516,14.0,29.0,,,30/03/2020,12:19:37
56,534,14.0,33.0,,,30/03/2020,17:35:43
57,556,15.0,33.0,,,30/03/2020,21:28:42
58,574,15.0,33.0,,,31/03/2020,07:46:51
59,602,24.0,36.0,,,31/03/2020,17:25:44
60,617,24.0,36.0,,,31/03/2020,21:41:28
61,638,24.0,36.0,,,01/04/2020,07:15:43
62,638,26.0,37.0,,,01/04/2020,12:20:14
63,642,26.0,37.0,,,01/04/2020,17:50:38
64,654,29.0,39.0,,,01/04/2020,20:29:34
65,676,29.0,39.0,,,02/04/2020,07:29:46
66,676,29.0,40.0,,,02/04/2020,12:06:42
67,691,30.0,44.0,,,02/04/2020,17:13:14
68,708,31.0,44.0,,,02/04/2020,22:06:41
69,735,34.0,47.0,,,03/04/2020,07:20:13
