,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,22/03/2020,16:51:13
1,3,,,,,24/03/2020,15:21:21
2,12,,,,,25/03/2020,10:30:18
3,3,,,,,25/03/2020,10:57:01
4,5,,,,,25/03/2020,15:28:22
5,7,,,,,26/03/2020,19:53:33
6,8,,,,,28/03/2020,15:03:57
7,10,,,,,01/04/2020,15:05:12
8,10,1.0,,338.0,,04/04/2020,15:53:48
9,10,1.0,,363.0,,06/04/2020,12:12:53
10,10,1.0,,424.0,,07/04/2020,23:51:10
11,17,1.0,,467.0,,08/04/2020,15:18:57
12,17,1.0,,483.0,,09/04/2020,15:26:47
13,20,2.0,,483.0,,10/04/2020,17:28:43
14,20,2.0,,551.0,,11/04/2020,15:57:26
15,21,2.0,,679.0,,12/04/2020,11:56:40
16,21,2.0,,683.0,,13/04/2020,11:07:56
17,28,2.0,,762.0,,14/04/2020,15:17:16
18,29,2.0,,793.0,,15/04/2020,15:17:40
19,31,2.0,,855.0,,16/04/2020,15:00:09
20,34,2.0,,864.0,,17/04/2020,14:31:56
21,34,2.0,,898.0,,17/04/2020,14:43:05
22,35,4.0,,952.0,,18/04/2020,17:59:20
23,39,8.0,,1037.0,,19/04/2020,13:00:06
24,39,8.0,,1110.0,,21/04/2020,00:07:03
25,39,8.0,,1163.0,,21/04/2020,14:44:19
26,41,8.0,,1247.0,,22/04/2020,14:49:32
27,46,9.0,,1325.0,,23/04/2020,17:00:34
28,46,12.0,,1325.0,,24/04/2020,05:30:06
29,65,12.0,,1439.0,,24/04/2020,19:30:20
30,70,12.0,,1575.0,,25/04/2020,13:01:28
31,76,12.0,,1644.0,,26/04/2020,12:00:19
32,76,12.0,,1688.0,,28/04/2020,02:05:53
33,76,12.0,,1896.0,,29/04/2020,22:10:09
34,79,12.0,,2246.0,,01/05/2020,17:00:05
35,79,18.0,,2246.0,,02/05/2020,13:41:05
36,79,18.0,,2337.0,,02/05/2020,19:02:50
37,80,19.0,,2466.0,,03/05/2020,20:31:25
38,81,19.0,,2867.0,,05/05/2020,17:53:59
39,81,21.0,,3041.0,,06/05/2020,23:51:30
40,81,24.0,,3188.0,,07/05/2020,16:00:38
41,82,27.0,,3356.0,,07/05/2020,20:30:27
42,81,24.0,,3188.0,,07/05/2020,21:17:20
43,82,27.0,,3356.0,,08/05/2020,14:53:29
44,87,34.0,,3356.0,,09/05/2020,17:37:06
45,91,34.0,,3923.0,,10/05/2020,14:11:05
46,103,34.0,,4173.0,,11/05/2020,15:55:07
47,104,34.0,,4365.0,,12/05/2020,20:30:16
48,107,35.0,,4740.0,,14/05/2020,14:16:32
49,115,35.0,,5119.0,,14/05/2020,15:58:44
50,119,42.0,,5361.0,31132211.0,15/05/2020,18:55:43
51,129,43.0,,5735.0,31134613.0,16/05/2020,16:29:53
52,137,43.0,,6011.0,31137014.0,17/05/2020,14:10:13
53,137,44.0,,6011.0,31137014.0,17/05/2020,21:02:27
54,145,44.0,,6272.0,31139416.0,18/05/2020,16:06:43
55,146,44.0,,6537.0,31141818.0,19/05/2020,15:32:24
56,146,48.0,,6537.0,31144220.0,20/05/2020,09:33:06
57,156,48.0,,6769.0,31144220.0,20/05/2020,15:17:40
58,162,48.0,,7063.0,31146622.0,21/05/2020,15:44:34
59,164,48.0,,7480.0,31149023.0,22/05/2020,15:40:17
60,168,48.0,,7947.0,31151425.0,23/05/2020,13:31:32
61,194,51.0,,8463.0,31153827.0,24/05/2020,13:01:13
62,209,51.0,1.0,8796.0,31156229.0,25/05/2020,15:02:34
63,209,71.0,1.0,8796.0,31156229.0,25/05/2020,16:31:44
64,213,71.0,1.0,9036.0,31158631.0,26/05/2020,15:00:05
65,227,71.0,1.0,9036.0,31161032.0,27/05/2020,15:01:22
66,233,82.0,2.0,9036.0,31163434.0,28/05/2020,18:26:03
67,234,84.0,2.0,10001.0,31165836.0,29/05/2020,16:07:03
68,244,90.0,2.0,10261.0,31168238.0,30/05/2020,13:41:53
69,254,91.0,2.0,10878.0,31170640.0,31/05/2020,11:56:54
70,254,97.0,2.0,10970.0,31173041.0,01/06/2020,23:57:57
71,307,98.0,2.0,11239.0,31175443.0,02/06/2020,16:54:05
72,316,109.0,2.0,11563.0,31177845.0,03/06/2020,16:26:44
73,352,114.0,2.0,12096.0,31180247.0,04/06/2020,15:43:08
