,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,23/03/2020,17:48:03
1,3,,,,,24/03/2020,20:03:44
2,5,,,,,26/03/2020,23:05:03
3,8,,,,,27/03/2020,18:08:16
4,10,,,,,29/03/2020,16:42:02
5,14,,,,,30/03/2020,13:40:16
6,14,,1.0,,,31/03/2020,05:57:14
7,15,,1.0,,,31/03/2020,15:53:36
8,16,,1.0,,,01/04/2020,22:45:28
9,20,,1.0,,,02/04/2020,15:51:12
10,21,,1.0,,,04/04/2020,15:53:48
11,21,,1.0,1246.0,,06/04/2020,09:03:43
12,22,,1.0,1246.0,,06/04/2020,16:13:24
13,22,,3.0,1246.0,,08/04/2020,06:52:05
14,22,1.0,3.0,1246.0,,09/04/2020,08:24:07
15,23,1.0,3.0,1246.0,,09/04/2020,14:32:13
16,23,2.0,3.0,1246.0,,09/04/2020,20:28:07
17,27,2.0,3.0,1246.0,,10/04/2020,02:20:02
18,27,2.0,3.0,1406.0,,10/04/2020,04:39:24
19,28,2.0,3.0,1406.0,,11/04/2020,02:56:16
20,31,2.0,3.0,1406.0,,11/04/2020,16:10:06
21,38,2.0,3.0,1406.0,,11/04/2020,21:00:05
22,39,2.0,4.0,1406.0,,12/04/2020,15:37:56
23,41,2.0,4.0,1406.0,,12/04/2020,20:00:05
24,62,2.0,4.0,1406.0,,13/04/2020,11:07:56
25,62,2.0,4.0,2443.0,,14/04/2020,11:31:14
26,63,2.0,4.0,2443.0,,14/04/2020,15:00:08
27,74,2.0,4.0,2836.0,,15/04/2020,04:33:15
28,85,2.0,4.0,2836.0,,16/04/2020,04:00:06
29,85,2.0,4.0,3236.0,,16/04/2020,12:36:35
30,88,5.0,4.0,3236.0,,17/04/2020,15:00:06
31,88,5.0,4.0,3505.0,,18/04/2020,03:00:04
32,94,5.0,5.0,3883.0,,18/04/2020,04:00:04
33,88,5.0,4.0,3505.0,,18/04/2020,05:00:05
34,94,5.0,5.0,3883.0,,18/04/2020,06:00:29
35,98,5.0,5.0,4065.0,,18/04/2020,15:59:18
36,107,5.0,5.0,4065.0,,18/04/2020,17:59:20
37,107,5.0,5.0,4152.0,,19/04/2020,05:00:04
38,108,7.0,5.0,4152.0,,19/04/2020,15:00:07
39,111,7.0,5.0,4152.0,,19/04/2020,19:47:39
40,111,7.0,5.0,4605.0,,19/04/2020,23:00:27
41,111,7.0,5.0,4786.0,,20/04/2020,07:00:06
42,117,7.0,5.0,4786.0,,20/04/2020,16:49:00
43,119,7.0,5.0,4692.0,,20/04/2020,23:40:25
44,117,7.0,5.0,4786.0,,21/04/2020,00:00:05
45,119,7.0,5.0,4692.0,,21/04/2020,00:07:03
46,121,7.0,5.0,4692.0,,21/04/2020,17:00:06
47,121,7.0,5.0,5198.0,,21/04/2020,19:32:38
48,123,7.0,5.0,5198.0,,22/04/2020,18:49:49
49,127,7.0,5.0,5270.0,,23/04/2020,02:55:23
50,127,9.0,5.0,5270.0,,23/04/2020,07:00:05
51,132,9.0,5.0,5528.0,,23/04/2020,17:00:34
52,139,9.0,5.0,5596.0,,24/04/2020,03:30:38
53,139,9.0,5.0,5775.0,,24/04/2020,12:45:23
54,144,9.0,5.0,5775.0,,24/04/2020,19:30:20
55,144,9.0,5.0,6124.0,,25/04/2020,02:30:27
56,144,10.0,5.0,6256.0,,25/04/2020,17:30:05
57,146,10.0,5.0,6256.0,,26/04/2020,01:30:05
58,146,10.0,5.0,6245.0,,26/04/2020,05:31:25
59,146,10.0,5.0,6531.0,,26/04/2020,13:29:37
60,146,10.0,5.0,6678.0,,26/04/2020,14:39:02
61,146,16.0,5.0,7215.0,,28/04/2020,02:05:53
62,149,16.0,5.0,7215.0,,28/04/2020,13:54:54
