,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,14/03/2020,11:03:36
1,3,,,,,19/03/2020,19:15:23
2,4,,,,,23/03/2020,19:28:30
3,6,,,,,24/03/2020,15:52:26
4,6,2.0,,,,24/03/2020,17:41:24
5,7,2.0,,,,24/03/2020,20:03:44
6,8,2.0,,,,26/03/2020,19:53:33
7,11,2.0,,,,29/03/2020,09:01:48
8,14,2.0,,,,01/04/2020,12:41:57
9,14,3.0,,,,02/04/2020,22:06:41
10,14,3.0,,301.0,,04/04/2020,03:58:25
11,16,3.0,,301.0,,05/04/2020,09:03:07
12,16,3.0,,362.0,,06/04/2020,18:07:55
13,16,4.0,,362.0,,16/04/2020,13:47:56
14,16,6.0,,499.0,,18/04/2020,08:32:56
15,16,6.0,,524.0,,19/04/2020,13:00:06
16,16,7.0,,524.0,,23/04/2020,09:30:15
17,16,7.0,,590.0,,24/04/2020,07:00:53
18,16,7.0,,675.0,,25/04/2020,10:30:12
19,16,8.0,,675.0,,26/04/2020,09:02:09
20,16,8.0,,704.0,,27/04/2020,08:18:44
21,16,8.0,,1122.0,,03/05/2020,16:23:09
22,16,9.0,,1283.0,,07/05/2020,10:03:25
23,16,10.0,,1511.0,,09/05/2020,09:33:10
24,16,11.0,,1543.0,,10/05/2020,09:03:17
25,16,12.0,,2011.0,,14/05/2020,10:00:04
26,16,13.0,,2074.0,2534689.0,15/05/2020,09:30:11
27,16,14.0,,2586.0,2535319.0,20/05/2020,09:33:06
28,18,14.0,,2586.0,2535445.0,21/05/2020,07:23:54
29,19,14.0,,2681.0,2535571.0,22/05/2020,10:03:53
30,20,14.0,,2847.0,2535696.0,23/05/2020,08:30:21
31,21,14.0,,3027.0,2535822.0,24/05/2020,09:00:26
32,21,14.0,,3117.0,2535948.0,25/05/2020,12:01:24
33,21,14.0,,3186.0,2536074.0,26/05/2020,18:01:58
34,22,14.0,,3201.0,2536200.0,27/05/2020,10:31:53
35,22,14.0,,3201.0,2536200.0,27/05/2020,16:10:09
36,22,14.0,,3370.0,2536326.0,28/05/2020,15:48:58
37,22,14.0,0.0,3370.0,2536452.0,29/05/2020,00:22:14
38,23,14.0,0.0,3412.0,2536452.0,29/05/2020,10:08:40
39,24,14.0,0.0,3412.0,2536704.0,31/05/2020,12:47:39
40,24,14.0,0.0,3680.0,2536704.0,31/05/2020,13:16:28
