,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,0.0,,,29/01/2020,19:56:57
1,1,,,,,02/02/2020,16:27:45
2,1,1.0,,,,13/02/2020,17:47:19
3,2,1.0,,,,22/03/2020,14:01:28
4,1,1.0,,,,22/03/2020,15:30:12
5,2,1.0,,,,23/03/2020,07:01:05
6,1,1.0,,,,23/03/2020,07:29:02
7,2,1.0,,,,23/03/2020,07:30:11
8,3,1.0,,,,25/03/2020,07:02:57
9,4,1.0,,,,25/03/2020,13:44:28
10,3,1.0,,,,25/03/2020,14:19:04
11,4,1.0,,,,27/03/2020,13:47:45
12,5,1.0,,,,28/03/2020,11:02:05
13,6,1.0,,,,02/04/2020,11:59:39
14,7,1.0,,,,03/04/2020,08:57:01
15,6,1.0,,,,03/04/2020,10:48:44
16,6,1.0,,1184.0,,04/04/2020,03:58:25
17,6,1.0,,1185.0,,04/04/2020,07:30:42
18,9,1.0,,1185.0,,04/04/2020,07:49:42
19,9,1.0,,1356.0,,04/04/2020,08:59:18
20,9,1.0,,1521.0,,04/04/2020,18:01:10
21,9,1.0,,1642.0,,06/04/2020,05:00:04
22,9,1.0,,1656.0,,06/04/2020,06:42:40
23,9,1.0,,1890.0,,07/04/2020,18:56:42
24,9,1.0,,2122.0,,08/04/2020,06:52:05
25,9,1.0,,2366.0,,08/04/2020,16:34:55
26,9,1.0,,2895.0,,09/04/2020,21:13:03
27,9,1.0,,3524.0,,10/04/2020,19:11:16
28,9,1.0,,4426.0,,11/04/2020,19:52:56
29,12,1.0,,4426.0,,12/04/2020,05:00:02
30,14,1.0,,5184.0,,13/04/2020,11:07:56
31,14,1.0,,5691.0,,14/04/2020,05:42:22
32,16,1.0,,5691.0,,14/04/2020,08:00:04
33,16,1.0,,6299.0,,14/04/2020,13:00:13
34,16,1.0,,15800.0,,16/04/2020,02:30:04
35,16,2.0,,15800.0,,16/04/2020,13:47:56
36,30,2.0,,15800.0,,17/04/2020,14:31:56
37,31,2.0,,15800.0,,18/04/2020,14:47:53
38,31,3.0,,15800.0,,18/04/2020,17:59:20
39,31,3.0,,27471.0,,19/04/2020,05:00:04
40,31,4.0,,27471.0,,19/04/2020,11:33:05
41,31,4.0,,29567.0,,19/04/2020,15:00:07
42,32,4.0,,29567.0,,21/04/2020,11:00:05
43,43,4.0,,29567.0,,21/04/2020,14:00:06
44,42,4.0,,29567.0,,22/04/2020,00:00:07
45,42,5.0,,8773.0,,22/04/2020,04:12:31
46,45,7.0,,8773.0,,22/04/2020,11:00:06
47,48,7.0,,8773.0,,23/04/2020,05:00:04
48,45,7.0,,8773.0,,23/04/2020,09:30:15
49,47,9.0,,8773.0,,23/04/2020,11:00:07
50,48,9.0,,8773.0,,23/04/2020,17:00:34
51,48,9.0,,9200.0,,24/04/2020,01:57:45
