,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,27/02/2020,21:21:37
1,2,,,,,28/02/2020,10:19:55
2,4,,,,,29/02/2020,12:23:11
3,6,,,,,29/02/2020,19:20:46
4,7,,,,,29/02/2020,22:19:46
5,10,,,,,01/03/2020,20:04:42
6,11,,,,,02/03/2020,12:32:08
7,18,,,,,02/03/2020,13:07:07
8,24,,,,,03/03/2020,12:38:28
9,23,,,,,03/03/2020,23:13:32
10,24,,,,,04/03/2020,05:08:36
11,23,,,,,04/03/2020,06:00:52
12,38,,,,,04/03/2020,12:27:41
13,82,,,,,05/03/2020,16:13:03
14,82,,1.0,,,06/03/2020,10:35:55
15,128,,1.0,,,06/03/2020,13:25:51
16,188,,1.0,,,07/03/2020,16:20:51
17,265,,3.0,,,08/03/2020,13:22:32
18,321,,3.0,,,09/03/2020,14:08:36
19,321,,4.0,,,09/03/2020,19:28:19
20,382,,4.0,,,10/03/2020,14:17:21
21,503,,5.0,,,11/03/2020,13:21:58
22,503,2.0,5.0,,,12/03/2020,04:55:54
23,614,2.0,5.0,,,12/03/2020,13:21:02
24,804,2.0,5.0,,,13/03/2020,13:16:57
25,804,2.0,10.0,,,13/03/2020,13:40:06
26,959,2.0,12.0,,,14/03/2020,14:06:31
27,1135,2.0,20.0,,,15/03/2020,13:25:27
28,1413,2.0,24.0,,,16/03/2020,13:33:06
29,1705,2.0,43.0,,,17/03/2020,13:20:44
30,2051,2.0,58.0,,,18/03/2020,13:49:49
31,2460,2.0,76.0,,,19/03/2020,15:53:36
32,2994,2.0,106.0,,,20/03/2020,14:01:10
33,3631,2.0,136.0,,,21/03/2020,13:10:07
34,4204,2.0,179.0,,,22/03/2020,13:23:33
35,4749,2.0,213.0,,,23/03/2020,14:18:53
36,5560,2.0,276.0,,,24/03/2020,13:10:31
37,6412,2.0,256.0,,,25/03/2020,13:44:28
38,6412,3.0,356.0,,,25/03/2020,14:19:04
39,7431,3.0,434.0,,,26/03/2020,13:30:35
40,8603,3.0,546.0,,,27/03/2020,13:35:12
41,9762,3.0,639.0,,,28/03/2020,15:03:57
42,10866,3.0,771.0,,,29/03/2020,12:34:15
43,10866,250.0,771.0,,,29/03/2020,16:42:02
44,11750,250.0,864.0,,,30/03/2020,12:14:50
45,12595,250.0,1039.0,,,31/03/2020,12:19:11
46,13614,250.0,1173.0,,,01/04/2020,12:03:47
47,14697,250.0,1339.0,,,02/04/2020,12:06:42
48,15723,250.0,1487.0,,,03/04/2020,12:13:30
49,15723,250.0,1487.0,46810.0,,04/04/2020,03:58:25
50,15723,250.0,1487.0,75415.0,,04/04/2020,07:30:42
51,16627,250.0,1651.0,75415.0,,04/04/2020,11:32:49
52,17851,250.0,1766.0,75415.0,,05/04/2020,12:59:56
53,18803,250.0,1867.0,75415.0,,06/04/2020,12:12:53
54,18803,250.0,1867.0,86589.0,,06/04/2020,21:53:19
55,19580,250.0,2101.0,86589.0,,07/04/2020,11:55:46
56,20549,250.0,2248.0,86589.0,,08/04/2020,12:56:03
57,20549,250.0,2248.0,101534.0,,08/04/2020,17:26:19
58,21762,250.0,2396.0,101534.0,,09/04/2020,11:59:31
59,23097,250.0,2511.0,101534.0,,10/04/2020,13:07:56
60,24413,250.0,2643.0,101534.0,,11/04/2020,11:57:34
61,25587,250.0,2737.0,101534.0,,12/04/2020,12:27:57
62,26551,250.0,2823.0,115992.0,,13/04/2020,11:07:56
63,27419,250.0,2945.0,115992.0,,14/04/2020,12:22:54
64,27419,250.0,2945.0,134972.0,,14/04/2020,13:00:13
65,28153,250.0,3134.0,134972.0,,15/04/2020,11:59:42
66,28153,250.0,3134.0,140845.0,,15/04/2020,20:56:11
67,29214,250.0,3315.0,140845.0,,16/04/2020,12:36:35
68,29214,250.0,3315.0,147948.0,,16/04/2020,13:47:56
69,30449,250.0,3459.0,154911.0,,17/04/2020,12:57:46
70,31589,250.0,3601.0,154911.0,,18/04/2020,12:41:14
71,32655,250.0,3684.0,154911.0,,19/04/2020,12:00:03
72,33405,250.0,3751.0,171415.0,,20/04/2020,12:28:28
73,33405,,3751.0,171415.0,,21/04/2020,00:07:03
74,34134,,3916.0,171415.0,,21/04/2020,12:00:08
75,34842,,4054.0,171415.0,,22/04/2020,13:00:07
76,35729,,4177.0,171415.0,,23/04/2020,12:00:09
77,35729,,4177.0,187000.0,,23/04/2020,17:00:34
78,36535,,4289.0,187000.0,,24/04/2020,12:21:42
79,37190,,4409.0,187000.0,,25/04/2020,13:01:28
80,37190,,4409.0,193950.0,,25/04/2020,17:30:05
81,37845,,4475.0,193950.0,,26/04/2020,12:33:06
82,38245,,4518.0,193950.0,,27/04/2020,12:30:04
83,38416,,4566.0,209726.0,,28/04/2020,13:54:54
84,38802,,4711.0,213372.0,,29/04/2020,08:33:02
85,39316,,4795.0,219744.0,,30/04/2020,12:14:00
86,39791,,4893.0,225899.0,,01/05/2020,12:32:18
87,40236,,4987.0,225899.0,,02/05/2020,12:32:12
88,40571,,5056.0,225899.0,,03/05/2020,12:10:08
89,40770,,5082.0,225899.0,,04/05/2020,12:11:36
90,40770,,5082.0,235909.0,,04/05/2020,12:19:49
91,41087,,5168.0,235909.0,,05/05/2020,14:11:06
92,41319,,5204.0,235909.0,,06/05/2020,12:31:06
93,41319,,5204.0,243277.0,,06/05/2020,13:00:44
94,41774,,5288.0,243277.0,,07/05/2020,12:06:40
95,41774,,5288.0,249655.0,,07/05/2020,12:17:12
96,42093,,5359.0,249655.0,,07/05/2020,20:30:27
97,41774,,5288.0,249655.0,,07/05/2020,21:17:20
98,42093,,5359.0,249655.0,,08/05/2020,12:31:01
99,42382,,5422.0,249655.0,,09/05/2020,12:15:23
100,42627,,5440.0,249655.0,,10/05/2020,12:00:05
101,42627,,5440.0,254573.0,,10/05/2020,13:46:35
102,42788,,5456.0,265156.0,,11/05/2020,12:31:30
103,42984,,5510.0,270351.0,,12/05/2020,15:39:30
104,43211,,5562.0,275720.0,,13/05/2020,13:10:07
105,43481,,5590.0,282776.0,,14/05/2020,12:14:16
106,43681,,5643.0,287943.0,17130079.0,15/05/2020,12:57:02
107,43870,,5670.0,287943.0,17130183.0,16/05/2020,12:56:02
108,43995,,5680.0,287943.0,17130286.0,17/05/2020,12:44:50
109,44141,,5694.0,297347.0,17130389.0,18/05/2020,14:45:43
110,44249,,5715.0,302395.0,17130492.0,19/05/2020,13:19:38
111,44447,,5748.0,302395.0,17130596.0,20/05/2020,13:20:53
112,44700,,5775.0,302395.0,17130699.0,21/05/2020,07:23:54
113,44888,,5788.0,313755.0,17130802.0,22/05/2020,13:31:02
114,45064,,5811.0,313755.0,17130906.0,23/05/2020,12:30:31
115,45236,,5822.0,313755.0,17131009.0,24/05/2020,12:22:51
116,45445,,5830.0,324918.0,17131112.0,25/05/2020,12:01:24
117,45578,,5856.0,324918.0,17131215.0,26/05/2020,12:29:54
118,45768,,5871.0,335524.0,17131319.0,27/05/2020,15:01:22
119,45768,,5871.0,335524.0,17131319.0,27/05/2020,16:10:09
120,45950,,5903.0,335524.0,17131422.0,28/05/2020,12:30:53
121,45950,,5903.0,342681.0,17131422.0,28/05/2020,13:31:49
122,46126,,5931.0,342681.0,17131525.0,29/05/2020,12:30:05
123,46126,,5931.0,348256.0,17131525.0,29/05/2020,12:59:18
124,46257,,5951.0,348256.0,17131629.0,30/05/2020,12:06:29
125,46257,,5951.0,349150.0,17131629.0,30/05/2020,13:41:53
126,46442,,5956.0,349150.0,17131732.0,31/05/2020,12:26:23
127,46545,,5962.0,349150.0,17131835.0,01/06/2020,11:59:06
128,46545,,5962.0,349496.0,17131835.0,01/06/2020,13:54:39
129,46647,,5967.0,349496.0,17131938.0,02/06/2020,12:10:24
130,46647,,5967.0,359833.0,17131938.0,02/06/2020,14:11:49
131,46733,,5977.0,359833.0,17132042.0,03/06/2020,12:11:50
132,46733,,5977.0,368529.0,17132042.0,03/06/2020,13:21:33
133,46942,,5990.0,368529.0,17132145.0,04/06/2020,12:16:51
134,46942,,5990.0,378912.0,17132145.0,04/06/2020,12:58:40
135,47152,,6005.0,388113.0,17132248.0,05/06/2020,12:53:26
136,47335,,6011.0,388113.0,17132352.0,06/06/2020,12:21:36
137,47574,,6013.0,388113.0,17132455.0,07/06/2020,12:00:04
138,47739,,6016.0,388113.0,17132558.0,08/06/2020,12:25:29
139,47739,,6016.0,414550.0,17132558.0,08/06/2020,13:31:20
140,47903,,6031.0,424448.0,17132661.0,09/06/2020,12:21:23
141,48087,,6042.0,435347.0,17132765.0,10/06/2020,12:07:28
142,48087,,6042.0,435587.0,17132765.0,10/06/2020,13:11:03
143,48251,,6044.0,435587.0,17132868.0,11/06/2020,12:02:00
144,48251,,6044.0,446164.0,17132868.0,11/06/2020,12:30:17
145,48461,,6053.0,446164.0,17132971.0,12/06/2020,12:00:31
146,48461,,6053.0,455067.0,17132971.0,12/06/2020,13:00:09
147,48640,,6057.0,455067.0,17133075.0,13/06/2020,19:32:47
148,48783,,6059.0,455067.0,17133178.0,14/06/2020,12:22:46
149,48948,,6065.0,455067.0,17133281.0,15/06/2020,12:00:34
150,48948,,6065.0,476149.0,17133281.0,15/06/2020,14:00:36
151,49087,,6070.0,476149.0,17133384.0,16/06/2020,12:09:07
152,49087,,6070.0,484389.0,17133384.0,16/06/2020,12:54:27
153,49204,,6074.0,484389.0,17133488.0,17/06/2020,12:07:30
154,49319,,6078.0,484389.0,17133591.0,18/06/2020,12:24:03
155,49319,,6078.0,505370.0,17133591.0,18/06/2020,13:00:21
156,49426,,6081.0,517317.0,17133694.0,19/06/2020,12:33:04
157,49502,,6089.0,517317.0,17133798.0,20/06/2020,12:31:37
158,49593,,6090.0,517317.0,17133901.0,21/06/2020,12:32:03
159,49658,,6090.0,517317.0,17134004.0,22/06/2020,12:01:47
160,49658,,6090.0,542288.0,17134004.0,22/06/2020,14:00:04
161,49722,,6095.0,542288.0,17134107.0,23/06/2020,12:00:35
162,49722,,6095.0,550350.0,17134107.0,23/06/2020,13:00:09
163,49804,,6097.0,550350.0,17134211.0,24/06/2020,12:33:11
164,49804,,6097.0,561863.0,17134211.0,24/06/2020,13:52:00
