,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,18/03/2020,12:00:36
1,4,,,,,21/03/2020,11:01:21
2,7,,,,,23/03/2020,07:48:26
3,8,,,,,23/03/2020,09:00:27
4,9,,,,,24/03/2020,08:01:14
5,10,,,,,24/03/2020,08:31:04
6,12,,,,,25/03/2020,05:54:37
7,14,,,,,25/03/2020,09:30:29
8,15,,,,,27/03/2020,07:55:13
9,16,,,,,31/03/2020,09:54:18
10,16,1.0,,,,01/04/2020,23:36:45
11,18,1.0,,,,02/04/2020,10:05:12
12,18,1.0,,1390.0,,04/04/2020,03:58:25
13,17,1.0,,1390.0,,04/04/2020,21:20:36
14,18,1.0,,1983.0,,05/04/2020,21:26:51
15,18,1.0,,2135.0,,07/04/2020,00:02:09
16,18,1.0,,2320.0,,08/04/2020,00:01:09
17,18,1.0,,2608.0,,10/04/2020,06:17:29
18,18,1.0,,3002.0,,15/04/2020,23:00:02
19,18,1.0,,3197.0,,17/04/2020,07:00:06
20,18,14.0,,3316.0,,17/04/2020,12:00:06
21,18,14.0,,3399.0,,18/04/2020,17:59:20
22,18,15.0,,3399.0,,19/04/2020,07:00:05
23,18,15.0,,3451.0,,21/04/2020,00:07:03
24,18,17.0,,3552.0,,21/04/2020,07:00:08
25,18,17.0,,3772.0,,23/04/2020,01:00:07
26,18,17.0,,3952.0,,24/04/2020,09:30:05
27,18,17.0,,4456.0,,28/04/2020,02:05:53
28,18,17.0,,4947.0,,01/05/2020,13:31:09
29,18,17.0,,5052.0,,05/05/2020,02:01:01
30,18,17.0,,5213.0,,06/05/2020,20:12:37
31,18,18.0,,5213.0,,07/05/2020,02:00:19
32,18,18.0,,5454.0,,12/05/2020,15:39:30
33,18,18.0,,5454.0,285230.0,27/05/2020,16:10:09
34,18,18.0,,6394.0,285238.0,28/05/2020,02:48:08
35,19,18.0,,6416.0,285238.0,28/05/2020,18:42:36
36,19,18.0,0.0,6416.0,285245.0,29/05/2020,00:22:14
37,19,18.0,0.0,6614.0,285267.0,01/06/2020,00:32:25
38,20,18.0,0.0,6681.0,285267.0,01/06/2020,10:16:13
39,20,18.0,0.0,6867.0,285290.0,04/06/2020,00:18:24
40,20,18.0,0.0,7055.0,285305.0,06/06/2020,00:14:45
41,20,19.0,0.0,7065.0,285320.0,08/06/2020,00:02:39
42,20,20.0,0.0,7257.0,285327.0,09/06/2020,01:06:13
43,21,20.0,0.0,7407.0,285335.0,10/06/2020,00:01:13
44,21,20.0,0.0,7477.0,285342.0,11/06/2020,00:01:38
45,21,20.0,0.0,7582.0,285357.0,13/06/2020,00:02:02
46,21,21.0,0.0,7629.0,285380.0,16/06/2020,03:10:33
47,21,21.0,0.0,7788.0,285387.0,17/06/2020,00:01:09
48,21,21.0,0.0,8049.0,285425.0,22/06/2020,00:28:35
49,21,21.0,0.0,8260.0,285447.0,25/06/2020,03:01:39
50,21,21.0,0.0,8406.0,285477.0,29/06/2020,00:00:12
51,21,21.0,0.0,8610.0,285515.0,04/07/2020,02:30:13
52,21,21.0,0.0,8645.0,285537.0,07/07/2020,00:00:13
53,21,21.0,0.0,8663.0,285537.0,07/07/2020,23:59:54
54,21,21.0,0.0,8876.0,285560.0,10/07/2020,00:46:43
55,21,21.0,0.0,9045.0,285567.0,11/07/2020,00:12:37
56,21,21.0,0.0,9124.0,285575.0,12/07/2020,01:30:42
57,21,21.0,0.0,9218.0,285590.0,14/07/2020,00:34:12
58,22,21.0,0.0,9424.0,285597.0,15/07/2020,08:11:00
59,22,21.0,0.0,9841.0,285627.0,19/07/2020,02:24:52
60,22,21.0,0.0,9911.0,285657.0,23/07/2020,02:33:18
61,22,22.0,0.0,9945.0,285665.0,24/07/2020,03:00:05
62,22,22.0,0.0,10119.0,285672.0,25/07/2020,00:33:46
63,22,22.0,0.0,10186.0,285702.0,29/07/2020,01:53:31
64,22,22.0,0.0,11099.0,285769.0,07/08/2020,00:44:55
65,23,22.0,0.0,11265.0,285777.0,08/08/2020,14:08:15
66,23,22.0,0.0,11553.0,285837.0,16/08/2020,23:59:30
67,23,22.0,0.0,11602.0,285859.0,19/08/2020,00:39:32
68,23,22.0,0.0,11838.0,285874.0,21/08/2020,00:40:04
69,23,23.0,0.0,12237.0,285897.0,24/08/2020,09:11:07
70,23,23.0,0.0,12370.0,285912.0,26/08/2020,00:38:29
71,23,23.0,0.0,12618.0,285949.0,31/08/2020,00:38:17
72,26,23.0,0.0,12837.0,285979.0,04/09/2020,00:14:40
73,26,25.0,0.0,13043.0,286009.0,08/09/2020,11:04:07
74,26,25.0,0.0,13262.0,286032.0,11/09/2020,00:35:07
75,26,26.0,0.0,13463.0,286039.0,12/09/2020,02:48:27
76,26,26.0,0.0,13875.0,286107.0,21/09/2020,18:38:40
77,27,26.0,0.0,14233.0,286144.0,26/09/2020,15:13:50
78,27,26.0,0.0,14406.0,286167.0,29/09/2020,22:24:02
79,27,27.0,0.0,14527.0,286174.0,30/09/2020,07:53:53
80,27,27.0,0.0,14585.0,286182.0,01/10/2020,22:30:14
81,27,27.0,0.0,15134.0,286316.0,17/10/2020,18:13:13
82,27,27.0,0.0,15180.0,286331.0,21/10/2020,11:10:24
83,28,28.0,0.0,15750.0,286399.0,30/10/2020,10:28:51
84,29,28.0,0.0,15946.0,286451.0,06/11/2020,00:59:14
