,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,28/02/2020,05:23:58
1,2,,,,,04/03/2020,01:50:05
2,3,,,,,04/03/2020,20:08:04
3,4,,,,,05/03/2020,21:15:12
4,5,,,,,07/03/2020,01:57:07
5,6,,,,,14/03/2020,01:11:47
6,7,,,,,14/03/2020,23:59:06
7,8,,,,,15/03/2020,03:37:43
8,11,,,,,17/03/2020,03:07:44
9,12,,,,,17/03/2020,08:19:33
10,20,,,,,18/03/2020,00:34:34
11,28,,,,,19/03/2020,00:41:55
12,39,,,,,20/03/2020,00:38:38
13,53,,,,,20/03/2020,22:30:55
14,52,,,,,21/03/2020,03:30:05
15,66,,,,,22/03/2020,02:01:43
16,102,,,,,23/03/2020,00:00:05
17,155,,,,,24/03/2020,02:32:32
18,155,12.0,,,,24/03/2020,03:02:11
19,205,22.0,,,,25/03/2020,00:16:15
20,283,27.0,,,,26/03/2020,00:32:07
21,368,37.0,,,,27/03/2020,00:30:39
22,451,50.0,,,,28/03/2020,02:01:33
23,514,56.0,1.0,,,29/03/2020,00:25:20
24,514,63.0,1.0,,,30/03/2020,02:31:37
25,589,63.0,1.0,,,30/03/2020,05:24:45
26,647,63.0,1.0,,,31/03/2020,01:42:03
27,647,74.0,1.0,,,31/03/2020,01:43:45
28,708,83.0,1.0,,,01/04/2020,02:05:12
29,797,92.0,1.0,,,02/04/2020,00:50:12
30,868,103.0,1.0,,,03/04/2020,01:18:00
31,950,127.0,1.0,,,04/04/2020,01:47:29
32,950,127.0,1.0,33116.0,,04/04/2020,03:58:25
33,1039,156.0,1.0,33116.0,,05/04/2020,01:30:30
34,1039,156.0,1.0,36209.0,,05/04/2020,05:07:56
35,1106,176.0,1.0,39918.0,,06/04/2020,01:51:58
36,1160,241.0,1.0,42826.0,,07/04/2020,01:56:10
37,1210,282.0,1.0,46875.0,,08/04/2020,01:54:47
38,1239,317.0,1.0,51165.0,,09/04/2020,02:07:56
39,1283,373.0,2.0,51165.0,,10/04/2020,02:20:02
40,1283,373.0,2.0,55685.0,,10/04/2020,03:22:56
41,1312,422.0,4.0,58746.0,,11/04/2020,02:00:11
42,1330,471.0,4.0,61167.0,,12/04/2020,01:37:56
43,1349,546.0,5.0,62827.0,,13/04/2020,11:07:56
44,1366,628.0,9.0,64399.0,,14/04/2020,01:56:45
45,1386,728.0,9.0,66499.0,,15/04/2020,01:30:45
46,1401,770.0,9.0,70160.0,,16/04/2020,02:00:02
47,1409,816.0,11.0,74401.0,,16/04/2020,23:37:57
48,1422,867.0,11.0,79078.0,,18/04/2020,02:30:04
49,1431,912.0,12.0,83224.0,,18/04/2020,17:59:20
50,1440,974.0,12.0,86305.0,,20/04/2020,02:00:50
51,1445,1006.0,13.0,89508.0,,21/04/2020,00:07:03
52,1451,1036.0,14.0,94797.0,,22/04/2020,01:30:04
53,1451,1065.0,16.0,101277.0,,23/04/2020,02:55:23
54,1456,1095.0,17.0,108238.0,,24/04/2020,01:57:45
55,1461,1118.0,18.0,115015.0,,25/04/2020,02:30:27
56,1470,1142.0,18.0,120981.0,,26/04/2020,01:30:05
57,1469,1180.0,19.0,123920.0,,27/04/2020,02:01:35
58,1472,1214.0,19.0,126066.0,,28/04/2020,02:05:53
59,1474,1229.0,19.0,128703.0,,29/04/2020,00:04:29
60,1476,1241.0,19.0,134570.0,,30/04/2020,01:22:29
61,1479,1252.0,19.0,139898.0,,01/05/2020,01:14:18
62,1485,1263.0,20.0,145589.0,,02/05/2020,02:00:42
