,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,19/03/2020,03:50:47
1,2,,,,,20/03/2020,21:01:10
2,2,,1.0,,,27/03/2020,03:15:31
3,4,,1.0,,,28/03/2020,03:30:44
4,5,,1.0,,,31/03/2020,23:49:04
5,6,,1.0,,,05/04/2020,17:55:13
6,7,,1.0,,,09/04/2020,18:30:40
7,8,,1.0,,,11/04/2020,14:07:56
8,9,,1.0,,,11/04/2020,23:56:33
9,9,4.0,1.0,,,12/04/2020,05:00:02
10,9,6.0,1.0,,,18/04/2020,06:00:29
11,9,6.0,2.0,,,18/04/2020,17:59:20
12,10,6.0,2.0,,,19/04/2020,19:47:39
13,10,7.0,2.0,,,21/04/2020,21:00:07
14,11,7.0,3.0,,,23/04/2020,17:00:34
15,12,7.0,3.0,,,25/04/2020,17:30:05
16,13,7.0,3.0,,,26/04/2020,14:39:02
17,14,7.0,3.0,,,30/04/2020,15:06:13
18,15,7.0,5.0,,,04/05/2020,01:30:51
19,16,7.0,5.0,,,05/05/2020,22:31:03
20,25,7.0,8.0,,,12/05/2020,20:30:16
21,254,199.0,17.0,,6615255.0,20/05/2020,00:09:48
22,279,199.0,17.0,,6615470.0,21/05/2020,19:46:04
23,759,370.0,35.0,,6616547.0,26/05/2020,19:00:18
24,759,370.0,35.0,,6616762.0,27/05/2020,16:10:09
25,1118,370.0,46.0,,6618054.0,02/06/2020,21:33:33
26,1464,370.0,55.0,,6619561.0,09/06/2020,22:01:43
27,1464,953.0,55.0,,6619561.0,09/06/2020,23:00:04
28,1823,1238.0,64.0,,6621068.0,16/06/2020,19:30:14
29,2170,1238.0,74.0,,6622575.0,23/06/2020,23:20:50
30,2519,1238.0,83.0,,6624082.0,30/06/2020,23:00:13
31,2846,1993.0,91.0,,6625589.0,07/07/2020,19:38:53
32,3147,2282.0,99.0,,6627096.0,14/07/2020,21:30:38
33,3439,2492.0,108.0,,6628603.0,21/07/2020,23:30:07
34,3672,2492.0,116.0,,6630110.0,28/07/2020,20:47:48
35,3902,2913.0,123.0,,6631617.0,04/08/2020,23:47:39
36,4115,2913.0,128.0,,6633124.0,11/08/2020,23:59:30
37,4311,2913.0,133.0,,6634631.0,18/08/2020,23:19:37
38,4494,2913.0,137.0,,6636138.0,25/08/2020,23:22:35
39,4668,2913.0,141.0,,6637645.0,01/09/2020,23:59:33
40,4818,2913.0,144.0,,6639152.0,08/09/2020,22:32:16
41,4961,2913.0,147.0,,6640659.0,15/09/2020,23:59:53
42,5073,2913.0,149.0,,6642166.0,22/09/2020,23:59:35
43,5170,2913.0,151.0,,6643673.0,29/09/2020,22:24:02
44,5264,4225.0,151.0,,6645180.0,06/10/2020,23:14:23
45,5264,4225.0,153.0,,6645395.0,07/10/2020,23:29:19
46,5353,4225.0,154.0,,6646687.0,13/10/2020,23:34:05
47,5434,4225.0,155.0,,6648409.0,21/10/2020,00:27:38
48,5434,4225.0,155.0,,6648624.0,23/10/2020,00:00:03
49,5434,4225.0,155.0,,6648840.0,23/10/2020,19:40:35
