,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,19/03/2020,20:20:19
1,2,,,,,22/03/2020,14:01:28
2,3,,,,,23/03/2020,23:04:15
3,7,,1.0,,,25/03/2020,09:30:29
4,10,,1.0,,,26/03/2020,22:15:00
5,18,,1.0,,,29/03/2020,09:31:16
6,18,,3.0,,,30/03/2020,10:05:20
7,22,,3.0,,,30/03/2020,10:45:35
8,27,,3.0,,,30/03/2020,21:54:32
9,34,,3.0,,,01/04/2020,00:02:48
10,74,,5.0,,,01/04/2020,21:31:31
11,98,,5.0,,,02/04/2020,22:06:41
12,120,,5.0,,,03/04/2020,21:05:12
13,120,,5.0,3729.0,,04/04/2020,03:58:25
14,144,,8.0,4012.0,,04/04/2020,20:49:25
15,184,13.0,10.0,4012.0,,05/04/2020,20:20:02
16,253,26.0,10.0,4081.0,,06/04/2020,20:39:16
17,278,26.0,11.0,4199.0,,07/04/2020,19:54:24
18,342,28.0,11.0,4199.0,,08/04/2020,21:39:06
19,410,40.0,11.0,4199.0,,09/04/2020,21:02:51
20,410,40.0,11.0,4251.0,,09/04/2020,21:13:03
21,438,41.0,11.0,4298.0,,10/04/2020,21:48:50
22,491,41.0,11.0,4298.0,,11/04/2020,21:00:05
23,529,75.0,12.0,4353.0,,12/04/2020,20:31:11
24,548,86.0,13.0,4399.0,,13/04/2020,23:00:06
25,570,90.0,14.0,4427.0,,14/04/2020,23:21:19
26,584,90.0,14.0,4427.0,,15/04/2020,23:00:02
27,609,105.0,15.0,4427.0,,16/04/2020,23:37:57
28,627,110.0,18.0,4688.0,,17/04/2020,20:30:36
29,639,113.0,19.0,4715.0,,18/04/2020,17:59:20
30,648,117.0,20.0,4715.0,,19/04/2020,19:47:39
31,655,124.0,20.0,4715.0,,21/04/2020,00:07:03
32,657,127.0,20.0,4832.0,,21/04/2020,21:00:07
33,662,193.0,22.0,4832.0,,22/04/2020,20:48:12
34,671,256.0,24.0,4832.0,,23/04/2020,23:58:33
