,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,28/02/2020,01:05:29
1,2,,,,,09/03/2020,11:21:23
2,2,1.0,,,,15/03/2020,03:37:43
3,3,1.0,,,,17/03/2020,10:22:34
4,8,1.0,,,,18/03/2020,12:00:36
5,12,1.0,,,,19/03/2020,15:53:36
6,22,1.0,,,,21/03/2020,14:00:04
7,26,1.0,,,,22/03/2020,12:57:16
8,27,2.0,,,,22/03/2020,15:00:42
9,30,2.0,,,,22/03/2020,17:55:33
10,35,2.0,,,,23/03/2020,09:00:27
11,35,2.0,1.0,,,23/03/2020,10:00:55
12,36,2.0,1.0,,,23/03/2020,11:03:01
13,40,2.0,1.0,,,23/03/2020,22:30:37
14,42,2.0,1.0,,,24/03/2020,12:32:37
15,44,2.0,1.0,,,24/03/2020,17:58:10
16,46,2.0,1.0,,,25/03/2020,07:32:36
17,51,2.0,1.0,,,25/03/2020,23:17:54
18,65,2.0,1.0,,,26/03/2020,20:00:11
19,65,3.0,1.0,,,27/03/2020,01:30:05
20,70,3.0,1.0,,,27/03/2020,19:42:09
21,81,3.0,1.0,,,28/03/2020,08:20:34
22,89,3.0,1.0,,,28/03/2020,16:17:32
23,97,3.0,1.0,,,28/03/2020,23:38:50
24,111,3.0,1.0,,,29/03/2020,21:06:14
25,111,3.0,2.0,,,30/03/2020,16:35:12
26,131,8.0,2.0,,,30/03/2020,21:07:54
27,135,8.0,2.0,,,31/03/2020,10:58:49
28,139,9.0,2.0,,,01/04/2020,05:58:21
29,151,9.0,2.0,,,01/04/2020,12:03:47
30,174,9.0,2.0,,,01/04/2020,19:40:14
31,184,20.0,2.0,,,02/04/2020,22:06:41
32,190,20.0,2.0,,,03/04/2020,10:48:44
33,210,25.0,4.0,,,03/04/2020,22:27:02
34,210,25.0,4.0,4000.0,,04/04/2020,20:49:25
35,209,25.0,4.0,4000.0,,04/04/2020,21:20:36
36,214,25.0,4.0,4000.0,,04/04/2020,21:31:10
37,224,27.0,5.0,4000.0,,05/04/2020,10:40:08
38,232,33.0,5.0,4000.0,,05/04/2020,21:26:51
39,232,33.0,5.0,5000.0,,06/04/2020,20:18:26
40,238,35.0,5.0,5000.0,,06/04/2020,20:39:16
41,254,44.0,6.0,5000.0,,07/04/2020,21:00:12
42,276,44.0,6.0,5000.0,,08/04/2020,20:43:09
43,288,51.0,7.0,5000.0,,09/04/2020,22:22:09
44,305,58.0,7.0,5000.0,,10/04/2020,22:29:54
45,318,70.0,10.0,5000.0,,11/04/2020,21:00:05
46,323,85.0,10.0,5000.0,,12/04/2020,20:52:56
47,343,91.0,10.0,5000.0,,13/04/2020,21:49:48
48,362,99.0,11.0,5000.0,,14/04/2020,22:00:04
49,373,99.0,11.0,5000.0,,14/04/2020,23:00:05
50,407,128.0,12.0,5000.0,,15/04/2020,23:00:02
51,442,152.0,13.0,5000.0,,16/04/2020,23:37:57
52,442,152.0,13.0,6649.0,,17/04/2020,09:00:05
53,493,159.0,17.0,7153.0,,17/04/2020,22:00:04
54,542,166.0,19.0,7153.0,,18/04/2020,17:59:20
55,541,166.0,19.0,7153.0,,19/04/2020,19:47:39
56,627,170.0,21.0,7153.0,,19/04/2020,23:00:27
57,665,188.0,22.0,7153.0,,20/04/2020,22:35:11
58,627,170.0,21.0,7153.0,,21/04/2020,00:00:05
59,665,188.0,22.0,7153.0,,21/04/2020,00:07:03
60,665,188.0,22.0,8003.0,,21/04/2020,13:57:09
61,782,197.0,25.0,8003.0,,22/04/2020,00:00:07
62,873,197.0,28.0,8003.0,,22/04/2020,23:00:07
63,981,197.0,31.0,8003.0,,23/04/2020,23:58:33
64,1095,208.0,32.0,10061.0,,24/04/2020,22:52:58
65,1182,222.0,35.0,10061.0,,25/04/2020,23:20:59
66,1273,239.0,40.0,10918.0,,26/04/2020,23:56:44
67,1337,255.0,40.0,10918.0,,28/04/2020,02:05:53
68,1532,255.0,44.0,10918.0,,29/04/2020,00:04:29
69,1532,255.0,44.0,12828.0,,29/04/2020,16:35:36
70,1728,307.0,51.0,12828.0,,29/04/2020,23:51:02
71,1728,307.0,51.0,13689.0,,30/04/2020,12:32:52
72,1932,319.0,58.0,12828.0,,30/04/2020,23:30:43
73,1932,319.0,58.0,15759.0,,01/05/2020,12:32:18
74,2170,351.0,68.0,15759.0,,01/05/2020,22:20:52
75,2170,351.0,68.0,16588.0,,02/05/2020,12:57:38
76,2388,351.0,85.0,16588.0,,02/05/2020,23:12:21
77,2388,385.0,85.0,16588.0,,03/05/2020,07:00:45
78,2558,400.0,87.0,17566.0,,03/05/2020,23:29:01
79,2558,400.0,87.0,18536.0,,04/05/2020,14:50:36
80,2802,417.0,93.0,18536.0,,05/05/2020,01:01:30
81,2802,417.0,93.0,19512.0,,05/05/2020,14:11:06
82,2950,481.0,98.0,19512.0,,05/05/2020,22:31:03
83,2950,481.0,98.0,21208.0,,06/05/2020,12:31:06
84,3145,534.0,103.0,21208.0,,06/05/2020,23:51:30
85,3145,534.0,103.0,22492.0,,07/05/2020,13:12:46
86,3526,601.0,107.0,23835.0,,07/05/2020,20:30:27
87,3145,534.0,103.0,22492.0,,07/05/2020,21:17:20
88,3526,601.0,107.0,22492.0,,07/05/2020,23:00:58
89,3526,601.0,107.0,23835.0,,08/05/2020,12:00:05
90,3912,679.0,117.0,23835.0,,08/05/2020,23:30:05
91,4151,745.0,128.0,23835.0,,09/05/2020,22:31:23
92,4399,778.0,143.0,23835.0,,10/05/2020,23:31:01
93,4641,902.0,150.0,27078.0,,12/05/2020,15:39:30
94,4641,902.0,152.0,27078.0,,12/05/2020,20:30:16
95,4787,959.0,158.0,28418.0,,12/05/2020,23:44:31
96,4971,1070.0,158.0,29408.0,,13/05/2020,22:51:50
97,4971,1070.0,164.0,29408.0,,13/05/2020,23:57:22
98,5162,1180.0,167.0,30657.0,,14/05/2020,22:15:16
99,5450,1320.0,171.0,30657.0,205430154.0,15/05/2020,23:01:13
100,5621,1472.0,176.0,32942.0,205444156.0,16/05/2020,23:32:25
101,5959,1594.0,182.0,33970.0,205472159.0,18/05/2020,00:00:39
102,6175,1644.0,191.0,35345.0,205486161.0,19/05/2020,00:06:01
103,6401,1734.0,192.0,36899.0,205500163.0,20/05/2020,00:09:48
104,6677,1840.0,200.0,38231.0,205514164.0,21/05/2020,07:23:54
105,6677,1860.0,202.0,38231.0,205514164.0,21/05/2020,21:02:52
106,7016,1907.0,211.0,40043.0,205514164.0,21/05/2020,23:35:30
107,7016,1907.0,211.0,41907.0,205528166.0,22/05/2020,22:02:18
108,7261,2007.0,221.0,41907.0,205528166.0,22/05/2020,23:00:11
109,7526,2174.0,221.0,43328.0,205542168.0,23/05/2020,23:01:16
110,7839,2263.0,226.0,44458.0,205556170.0,24/05/2020,22:00:54
111,8068,2311.0,233.0,44458.0,205570171.0,25/05/2020,23:02:37
112,8344,2385.0,249.0,44458.0,205584173.0,26/05/2020,22:41:12
113,8733,2501.0,254.0,44458.0,205598175.0,27/05/2020,23:02:17
114,8915,2592.0,259.0,49966.0,205612176.0,28/05/2020,23:27:44
115,8915,2592.0,259.0,58726.0,205626178.0,29/05/2020,12:14:39
116,9302,2697.0,261.0,58726.0,205626178.0,29/05/2020,23:26:29
117,9302,2697.0,261.0,60825.0,205640180.0,30/05/2020,12:58:31
118,9855,2856.0,273.0,60825.0,205640180.0,30/05/2020,23:21:14
119,10162,3007.0,287.0,60825.0,205654182.0,31/05/2020,23:02:58
120,10578,3122.0,299.0,63882.0,205668183.0,01/06/2020,23:03:46
121,10819,3240.0,314.0,65885.0,205682185.0,02/06/2020,23:02:50
122,10819,3240.0,314.0,69801.0,205696187.0,03/06/2020,15:26:43
123,11162,3329.0,315.0,69801.0,205696187.0,03/06/2020,22:59:56
124,11166,3329.0,315.0,69801.0,205696187.0,03/06/2020,23:39:14
125,11516,3535.0,323.0,71336.0,205710189.0,04/06/2020,22:46:21
126,11844,3696.0,333.0,73064.0,205724190.0,05/06/2020,22:56:34
127,12233,3826.0,342.0,74999.0,205738192.0,06/06/2020,22:51:35
128,12486,3959.0,354.0,74999.0,205752194.0,07/06/2020,22:55:17
129,12486,3959.0,354.0,76802.0,205752194.0,07/06/2020,23:30:36
130,12801,4040.0,361.0,78244.0,205780197.0,09/06/2020,01:06:13
131,13460,4206.0,365.0,79948.0,205780197.0,09/06/2020,22:50:17
132,13464,4206.0,365.0,79948.0,205794199.0,10/06/2020,00:01:13
133,13873,4351.0,382.0,82935.0,205794199.0,10/06/2020,23:01:10
134,14554,4494.0,387.0,85375.0,205808201.0,11/06/2020,23:00:05
135,14554,4494.0,387.0,88432.0,205822203.0,12/06/2020,12:30:45
136,15181,4891.0,399.0,88432.0,205822203.0,12/06/2020,23:30:08
137,15682,5101.0,407.0,88432.0,205836204.0,13/06/2020,23:02:26
138,15682,5101.0,407.0,90464.0,205836204.0,13/06/2020,23:21:52
139,16085,5220.0,420.0,92924.0,205850206.0,14/06/2020,23:19:21
140,16658,5349.0,424.0,94323.0,205864208.0,15/06/2020,23:02:21
141,17148,5623.0,455.0,96402.0,205878210.0,16/06/2020,23:33:35
142,17148,5623.0,455.0,103799.0,205892211.0,17/06/2020,13:57:10
143,17735,5967.0,469.0,103799.0,205892211.0,17/06/2020,22:30:35
144,18480,6307.0,475.0,106006.0,205906213.0,18/06/2020,23:00:04
145,19147,6581.0,487.0,108548.0,205920215.0,19/06/2020,22:30:18
146,19808,6718.0,506.0,108548.0,205934216.0,20/06/2020,22:39:46
147,20244,6879.0,518.0,113575.0,205948218.0,21/06/2020,22:52:59
148,20919,7109.0,525.0,115760.0,205962220.0,22/06/2020,22:49:14
149,21371,7338.0,533.0,117569.0,205976222.0,23/06/2020,23:00:04
150,22020,7613.0,542.0,120108.0,205990223.0,24/06/2020,23:07:05
151,22614,7822.0,549.0,122155.0,206004225.0,25/06/2020,23:01:06
152,23298,8253.0,554.0,122155.0,206018227.0,26/06/2020,22:54:36
153,23298,8253.0,554.0,125090.0,206018227.0,26/06/2020,23:18:12
154,24077,8625.0,558.0,127158.0,206032229.0,27/06/2020,23:01:17
155,24567,9007.0,565.0,127158.0,206046230.0,28/06/2020,22:56:00
156,24567,9007.0,565.0,130164.0,206046230.0,28/06/2020,23:30:24
157,25133,9402.0,573.0,130164.0,206060232.0,29/06/2020,22:39:56
158,25133,9402.0,573.0,132304.0,206060232.0,29/06/2020,22:55:51
159,25694,9746.0,590.0,132304.0,206074234.0,30/06/2020,23:00:13
160,25694,9746.0,590.0,134257.0,206074234.0,30/06/2020,23:20:12
161,26484,10152.0,603.0,138462.0,206088236.0,01/07/2020,23:31:52
162,27110,10801.0,616.0,138462.0,206102237.0,02/07/2020,23:09:50
163,27110,10801.0,616.0,141525.0,206102237.0,02/07/2020,23:30:05
164,27564,11069.0,628.0,141525.0,206116239.0,03/07/2020,23:01:54
165,27564,11069.0,628.0,144833.0,206116239.0,03/07/2020,23:30:50
166,28167,11462.0,634.0,148188.0,206130241.0,04/07/2020,23:00:19
167,28711,11665.0,645.0,148188.0,206144243.0,05/07/2020,23:12:40
168,28711,11665.0,645.0,151121.0,206144243.0,05/07/2020,23:35:19
169,29286,11828.0,654.0,152952.0,206158244.0,06/07/2020,23:35:01
170,29879,12108.0,669.0,152952.0,206172246.0,07/07/2020,22:44:05
171,29789,12108.0,669.0,152952.0,206172246.0,07/07/2020,22:54:31
172,30249,12373.0,684.0,169629.0,206186248.0,08/07/2020,23:01:04
173,30748,12546.0,689.0,171931.0,206214251.0,10/07/2020,00:03:29
174,30748,12546.0,689.0,175656.0,206214251.0,10/07/2020,21:33:41
175,31323,12795.0,709.0,175656.0,206214251.0,10/07/2020,23:00:43
176,31987,13103.0,724.0,178265.0,206228253.0,11/07/2020,23:00:07
177,32558,13447.0,740.0,181248.0,206242255.0,12/07/2020,23:00:49
178,33153,13671.0,744.0,183294.0,206256256.0,13/07/2020,23:04:15
179,33616,13792.0,754.0,186309.0,206270258.0,14/07/2020,23:03:32
180,34259,13999.0,760.0,199016.0,206284260.0,15/07/2020,23:04:05
181,34854,14292.0,769.0,202097.0,206298262.0,16/07/2020,23:01:10
182,35454,14633.0,772.0,202097.0,206312263.0,17/07/2020,23:00:06
183,35454,14633.0,772.0,206422.0,206312263.0,17/07/2020,23:32:19
184,36107,14938.0,778.0,206422.0,206326265.0,18/07/2020,23:03:01
185,36107,14938.0,778.0,209446.0,206326265.0,18/07/2020,23:36:20
186,36663,15105.0,789.0,209446.0,206340267.0,19/07/2020,22:48:27
187,36663,15105.0,789.0,212201.0,206340267.0,19/07/2020,23:24:34
188,37225,15333.0,801.0,212201.0,206354269.0,20/07/2020,23:07:28
189,37225,15333.0,801.0,214228.0,206368270.0,21/07/2020,00:00:51
190,37801,15677.0,805.0,214228.0,206368270.0,21/07/2020,23:24:16
191,37801,15677.0,805.0,218223.0,206368270.0,21/07/2020,23:30:07
192,38344,15815.0,813.0,218223.0,206382272.0,22/07/2020,22:34:45
193,38344,15815.0,813.0,247825.0,206382272.0,22/07/2020,23:00:07
194,38948,16061.0,833.0,247825.0,206396274.0,23/07/2020,23:02:17
195,38948,16061.0,833.0,251893.0,206396274.0,23/07/2020,23:14:05
196,39539,16559.0,845.0,251893.0,206410276.0,24/07/2020,22:33:58
197,39539,16559.0,845.0,256038.0,206410276.0,24/07/2020,23:00:42
198,39977,16948.0,856.0,259516.0,206424277.0,25/07/2020,23:15:51
199,40532,17374.0,858.0,262579.0,206438279.0,26/07/2020,22:59:54
200,41180,18203.0,860.0,262579.0,206452281.0,27/07/2020,22:44:13
201,41180,18203.0,860.0,266323.0,206452281.0,27/07/2020,23:11:50
202,41804,18764.0,868.0,266323.0,206466283.0,28/07/2020,22:42:47
203,41804,18764.0,868.0,267842.0,206466283.0,28/07/2020,23:09:31
204,42208,19004.0,873.0,267842.0,206480284.0,29/07/2020,22:34:02
205,42208,19004.0,873.0,272748.0,206480284.0,29/07/2020,23:01:08
206,42689,19270.0,878.0,272748.0,206494286.0,30/07/2020,22:29:54
207,43151,19565.0,879.0,272748.0,206508288.0,31/07/2020,22:41:14
208,43151,19565.0,879.0,283916.0,206522290.0,01/08/2020,22:26:05
209,43537,20087.0,883.0,283916.0,206522290.0,01/08/2020,22:38:50
210,43841,20308.0,888.0,286091.0,206536291.0,02/08/2020,22:45:14
211,44129,20663.0,896.0,287532.0,206550293.0,03/08/2020,22:48:06
212,44433,31851.0,910.0,289133.0,206564295.0,04/08/2020,23:47:39
213,44890,32165.0,927.0,289133.0,206578296.0,05/08/2020,22:36:15
214,44890,32165.0,927.0,304221.0,206578296.0,05/08/2020,23:02:18
215,44890,32165.0,927.0,306894.0,206592298.0,06/08/2020,19:48:55
216,45244,32430.0,930.0,306894.0,206592298.0,06/08/2020,22:42:59
217,45244,32430.0,930.0,310729.0,206606300.0,07/08/2020,11:05:37
218,45687,32637.0,936.0,310729.0,206606300.0,07/08/2020,22:53:45
219,46140,33044.0,942.0,310729.0,206620302.0,08/08/2020,23:31:07
220,46577,33186.0,945.0,317496.0,206634303.0,09/08/2020,23:59:30
221,46867,33346.0,950.0,317496.0,206648305.0,10/08/2020,23:59:25
222,47290,33609.0,956.0,319851.0,206662307.0,11/08/2020,22:54:27
223,47743,33943.0,956.0,338084.0,206676309.0,12/08/2020,23:59:30
224,48116,34309.0,966.0,341421.0,206690310.0,13/08/2020,22:51:22
225,48445,35998.0,973.0,344397.0,206704312.0,14/08/2020,23:26:53
226,48770,36290.0,974.0,347545.0,206718314.0,15/08/2020,22:48:57
227,49068,36497.0,975.0,347545.0,206732316.0,16/08/2020,23:59:30
228,49485,36834.0,977.0,352625.0,206746317.0,17/08/2020,23:46:27
229,49895,37051.0,981.0,352625.0,206760319.0,18/08/2020,22:40:29
230,50488,37304.0,985.0,352625.0,206774321.0,19/08/2020,22:42:04
231,50964,37569.0,992.0,352625.0,206788323.0,20/08/2020,22:20:23
232,51304,37885.0,996.0,369904.0,206802324.0,21/08/2020,23:15:07
233,51905,38767.0,997.0,369904.0,206816326.0,22/08/2020,23:39:21
234,52227,38945.0,1002.0,369904.0,206830328.0,23/08/2020,22:37:34
235,52548,39257.0,1004.0,379542.0,206844330.0,24/08/2020,23:48:54
236,52800,39964.0,1007.0,379542.0,206858331.0,25/08/2020,23:22:35
237,53021,40281.0,1010.0,388346.0,206872333.0,26/08/2020,23:55:28
238,53317,40726.0,1011.0,391502.0,206886335.0,27/08/2020,23:59:31
239,53477,41017.0,1011.0,394524.0,206900336.0,28/08/2020,22:41:45
240,53727,41314.0,1011.0,398304.0,206914338.0,29/08/2020,23:59:32
241,53865,41513.0,1013.0,402070.0,206928340.0,30/08/2020,23:04:24
242,54008,41638.0,1013.0,403347.0,206942342.0,31/08/2020,22:54:39
243,54247,42010.0,1023.0,405916.0,206956343.0,01/09/2020,23:59:33
244,54463,42439.0,1027.0,411077.0,206970345.0,02/09/2020,22:21:00
245,54588,42627.0,1048.0,413265.0,206984347.0,03/09/2020,23:59:31
246,54743,42816.0,1051.0,417398.0,206998349.0,04/09/2020,23:59:57
247,54905,42922.0,1054.0,420543.0,207012350.0,05/09/2020,23:57:05
248,55005,43013.0,1057.0,420543.0,207026352.0,06/09/2020,22:44:30
249,55160,43231.0,1061.0,424186.0,207040354.0,07/09/2020,23:59:30
250,55456,43334.0,1067.0,426803.0,207054356.0,08/09/2020,23:11:23
251,55632,43610.0,1070.0,430712.0,207068357.0,09/09/2020,23:26:03
252,55829,43810.0,1075.0,433206.0,207082359.0,10/09/2020,22:30:33
253,56017,43998.0,1076.0,433206.0,207096361.0,11/09/2020,22:40:09
254,56177,44088.0,1078.0,438135.0,207110363.0,12/09/2020,22:59:26
