,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,26/02/2020,17:09:42
1,3,,,,,06/03/2020,19:57:53
2,4,,,,,09/03/2020,12:42:03
3,7,,,,,10/03/2020,10:40:42
4,9,1.0,,,,12/03/2020,10:42:01
5,14,1.0,,,,13/03/2020,14:31:30
6,13,1.0,,,,14/03/2020,12:36:29
7,19,1.0,,,,15/03/2020,02:39:45
8,24,1.0,,,,16/03/2020,22:13:52
9,18,1.0,,,,16/03/2020,22:23:02
10,19,1.0,,,,16/03/2020,23:00:18
11,24,1.0,,,,17/03/2020,03:07:44
12,26,1.0,,,,17/03/2020,11:58:42
13,31,1.0,,,,17/03/2020,17:46:39
14,35,1.0,,,,18/03/2020,12:00:36
15,43,1.0,,,,18/03/2020,22:01:57
16,49,1.0,,,,19/03/2020,16:42:31
17,50,1.0,,,,19/03/2020,20:53:25
18,67,1.0,,,,20/03/2020,10:00:40
19,70,1.0,,,,20/03/2020,15:30:18
20,76,1.0,,,,20/03/2020,21:28:23
21,77,1.0,,,,21/03/2020,10:16:15
22,85,1.0,,,,21/03/2020,13:10:07
23,114,1.0,,,,22/03/2020,11:50:21
24,115,1.0,,,,22/03/2020,14:01:28
25,115,1.0,1.0,,,22/03/2020,15:00:42
26,115,1.0,2.0,,,23/03/2020,11:03:01
27,136,1.0,2.0,,,23/03/2020,11:43:07
28,148,1.0,2.0,,,24/03/2020,12:19:58
29,177,1.0,2.0,,,25/03/2020,12:02:15
30,177,1.0,3.0,,,25/03/2020,16:23:27
31,201,3.0,3.0,,,26/03/2020,12:37:20
32,219,3.0,3.0,,,27/03/2020,12:08:48
33,241,3.0,4.0,,,28/03/2020,15:03:57
34,257,3.0,6.0,,,29/03/2020,11:26:33
35,259,3.0,6.0,,,29/03/2020,13:39:41
36,285,12.0,7.0,,,30/03/2020,13:00:17
37,329,12.0,7.0,,,31/03/2020,13:05:12
38,329,12.0,9.0,,,31/03/2020,13:41:38
39,354,12.0,9.0,,,01/04/2020,12:20:14
40,354,17.0,11.0,,,01/04/2020,16:47:40
41,384,17.0,11.0,,,02/04/2020,12:22:33
42,430,17.0,11.0,,,03/04/2020,14:08:32
43,430,20.0,12.0,,,03/04/2020,18:40:03
44,430,20.0,12.0,4506.0,,04/04/2020,03:58:25
45,483,20.0,17.0,4920.0,,04/04/2020,14:44:54
46,555,23.0,18.0,4920.0,,05/04/2020,12:13:53
47,555,23.0,18.0,5291.0,,06/04/2020,00:56:25
48,570,30.0,21.0,5291.0,,06/04/2020,15:10:50
49,570,30.0,23.0,5291.0,,06/04/2020,19:50:12
50,599,30.0,26.0,5291.0,,07/04/2020,12:26:43
51,599,30.0,26.0,5879.0,,07/04/2020,13:46:58
52,617,35.0,29.0,6230.0,,08/04/2020,13:06:46
53,663,37.0,30.0,6571.0,,09/04/2020,12:20:14
54,711,41.0,32.0,6571.0,,10/04/2020,13:07:56
55,711,41.0,32.0,7067.0,,11/04/2020,11:57:34
56,760,41.0,32.0,7067.0,,11/04/2020,12:32:43
57,760,41.0,34.0,7653.0,,11/04/2020,12:46:34
58,828,41.0,34.0,8057.0,,12/04/2020,11:13:10
59,854,44.0,38.0,8552.0,,13/04/2020,11:07:56
60,908,86.0,44.0,9262.0,,14/04/2020,12:00:03
61,974,98.0,45.0,9262.0,,15/04/2020,13:07:56
62,1081,121.0,46.0,10422.0,,16/04/2020,15:00:09
63,1117,139.0,49.0,10422.0,,17/04/2020,12:57:46
64,1117,139.0,49.0,10859.0,,17/04/2020,17:00:08
65,1170,164.0,49.0,10859.0,,18/04/2020,13:28:31
66,1170,164.0,49.0,11556.0,,18/04/2020,14:35:22
67,1207,179.0,51.0,11870.0,,19/04/2020,11:33:05
68,1225,200.0,54.0,11870.0,,20/04/2020,11:40:46
69,1231,224.0,55.0,12340.0,,21/04/2020,11:00:05
70,1259,272.0,56.0,13000.0,,22/04/2020,13:00:07
71,1300,301.0,56.0,13649.0,,23/04/2020,11:00:07
72,1326,337.0,57.0,13649.0,,24/04/2020,14:31:09
73,1326,337.0,57.0,14057.0,,25/04/2020,10:00:36
74,1367,374.0,59.0,14758.0,,25/04/2020,17:30:05
