,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,26/02/2020,20:34:27
1,4,,,,,27/02/2020,21:21:37
2,6,,,,,28/02/2020,20:48:39
3,7,,,,,29/02/2020,11:01:59
4,15,,,,,29/02/2020,19:20:46
5,17,,,,,01/03/2020,11:53:07
6,19,,,,,01/03/2020,20:04:42
7,25,,,,,02/03/2020,20:07:52
8,32,,,,,03/03/2020,11:39:57
9,33,,,,,03/03/2020,22:39:15
10,48,,,,,04/03/2020,14:16:40
11,56,,,,,04/03/2020,17:26:21
12,59,,,,,04/03/2020,20:34:24
13,62,,,,,05/03/2020,08:54:17
14,63,,,,,05/03/2020,09:37:21
15,65,,,,,05/03/2020,10:13:28
16,66,,,,,05/03/2020,11:02:34
17,67,,,,,05/03/2020,11:39:51
18,72,,,,,05/03/2020,12:44:59
19,73,,,,,05/03/2020,16:42:59
20,88,,,,,05/03/2020,18:38:17
21,89,,,,,05/03/2020,19:54:17
22,90,,,,,05/03/2020,21:15:12
23,91,,,,,05/03/2020,21:27:02
24,92,,,,,06/03/2020,07:47:59
25,95,,,,,06/03/2020,08:26:35
26,96,,,,,06/03/2020,08:41:28
27,97,,1.0,,,06/03/2020,09:51:52
28,100,,1.0,,,06/03/2020,10:01:11
29,101,1.0,1.0,,,06/03/2020,10:16:20
30,101,1.0,,,,06/03/2020,10:35:55
31,105,1.0,,,,06/03/2020,11:35:51
32,106,1.0,,,,06/03/2020,13:25:51
33,108,1.0,,,,06/03/2020,13:55:14
34,116,1.0,,,,06/03/2020,17:12:04
35,120,1.0,,,,06/03/2020,18:16:52
36,121,1.0,,,,06/03/2020,20:10:48
37,127,1.0,,,,06/03/2020,21:05:43
38,128,1.0,,,,07/03/2020,06:31:52
39,129,1.0,,,,07/03/2020,08:39:42
40,131,1.0,,,,07/03/2020,09:26:39
41,134,1.0,,,,07/03/2020,09:32:31
42,136,1.0,,,,07/03/2020,10:32:43
43,147,1.0,,,,07/03/2020,17:41:35
44,155,1.0,,,,07/03/2020,18:37:15
45,156,1.0,,,,07/03/2020,20:46:41
46,156,,,,,07/03/2020,21:46:23
47,157,,,,,08/03/2020,08:48:35
48,157,1.0,,,,08/03/2020,09:30:13
49,158,1.0,,,,08/03/2020,12:36:33
50,159,1.0,,,,08/03/2020,13:22:32
51,167,1.0,,,,08/03/2020,16:48:29
52,173,1.0,,,,08/03/2020,18:35:03
53,175,1.0,,,,08/03/2020,20:10:35
54,176,1.0,,,,08/03/2020,21:05:18
55,177,1.0,,,,09/03/2020,07:59:58
56,178,1.0,,,,09/03/2020,11:21:23
57,179,1.0,,,,09/03/2020,12:42:03
58,182,1.0,,,,09/03/2020,13:11:22
59,183,1.0,,,,09/03/2020,14:08:36
60,205,1.0,,,,09/03/2020,17:28:05
61,206,1.0,,,,09/03/2020,18:26:54
62,209,1.0,,,,09/03/2020,19:28:19
63,218,1.0,,,,09/03/2020,19:30:32
64,219,1.0,,,,09/03/2020,20:50:50
65,224,1.0,,,,09/03/2020,21:44:36
66,227,1.0,,,,09/03/2020,22:38:48
67,229,1.0,,,,10/03/2020,08:46:50
68,239,1.0,,,,10/03/2020,10:29:41
69,240,1.0,,,,10/03/2020,12:14:54
70,241,1.0,,,,10/03/2020,13:38:40
71,252,1.0,,,,10/03/2020,14:17:21
72,261,1.0,,,,10/03/2020,16:24:12
73,264,1.0,,,,10/03/2020,16:41:11
74,304,1.0,,,,10/03/2020,17:21:19
75,333,1.0,,,,10/03/2020,19:15:49
76,339,1.0,,,,10/03/2020,20:00:26
77,340,1.0,,,,10/03/2020,20:06:59
78,343,1.0,,,,10/03/2020,20:42:04
79,344,1.0,,,,10/03/2020,20:53:41
80,355,1.0,,,,10/03/2020,21:08:33
81,360,1.0,,,,10/03/2020,21:21:04
82,374,1.0,,,,10/03/2020,21:36:59
83,392,1.0,,,,10/03/2020,22:05:23
84,400,1.0,,,,10/03/2020,22:31:11
85,401,1.0,,,,11/03/2020,07:35:33
86,429,1.0,,,,11/03/2020,12:13:51
87,434,1.0,,,,11/03/2020,12:34:53
88,436,1.0,,,,11/03/2020,12:44:03
89,443,1.0,,,,11/03/2020,15:03:12
90,451,1.0,,,,11/03/2020,15:16:23
91,456,1.0,,,,11/03/2020,15:56:47
92,489,1.0,,,,11/03/2020,17:21:51
93,564,1.0,,,,11/03/2020,17:36:46
94,568,1.0,,,,11/03/2020,17:44:34
95,569,1.0,,,,11/03/2020,17:51:55
96,582,1.0,,,,11/03/2020,18:37:47
97,585,1.0,,,,11/03/2020,19:00:40
98,598,1.0,,,,11/03/2020,19:21:55
99,620,1.0,,,,11/03/2020,20:14:39
100,622,1.0,,,,11/03/2020,20:43:50
101,624,1.0,,,,11/03/2020,20:55:38
102,627,1.0,,,,11/03/2020,21:08:50
103,629,1.0,,,,11/03/2020,22:32:56
104,630,1.0,,,,12/03/2020,09:00:06
105,631,1.0,,,,12/03/2020,09:02:38
106,632,1.0,,,,12/03/2020,09:15:39
107,636,1.0,,,,12/03/2020,09:43:57
108,648,1.0,,,,12/03/2020,10:42:01
109,686,1.0,,,,12/03/2020,11:23:22
110,688,1.0,,,,12/03/2020,12:20:12
111,692,1.0,,,,12/03/2020,12:51:23
112,701,1.0,,,,12/03/2020,13:10:24
113,703,1.0,,,,12/03/2020,13:21:02
114,707,1.0,,,,12/03/2020,15:07:23
115,713,1.0,,,,12/03/2020,15:28:21
116,720,1.0,,,,12/03/2020,16:26:36
117,721,1.0,,,,12/03/2020,16:37:46
118,723,1.0,,,,12/03/2020,16:55:24
119,727,1.0,,,,12/03/2020,17:16:13
120,730,1.0,,,,12/03/2020,17:46:57
121,734,1.0,,,,12/03/2020,18:10:04
122,736,1.0,,,,12/03/2020,18:48:21
123,741,1.0,1.0,,,12/03/2020,19:40:23
124,758,1.0,1.0,,,12/03/2020,19:52:03
125,777,1.0,1.0,,,12/03/2020,19:55:24
126,781,1.0,1.0,,,12/03/2020,20:18:19
127,782,1.0,1.0,,,12/03/2020,20:36:11
128,783,1.0,1.0,,,12/03/2020,20:46:23
129,786,1.0,1.0,,,12/03/2020,20:59:40
130,791,1.0,1.0,,,12/03/2020,21:06:16
131,792,1.0,1.0,,,12/03/2020,21:33:03
132,795,1.0,1.0,,,12/03/2020,22:02:12
133,797,1.0,1.0,,,12/03/2020,22:18:53
134,799,1.0,1.0,,,12/03/2020,22:30:39
135,800,1.0,1.0,,,12/03/2020,22:43:00
136,801,1.0,1.0,,,13/03/2020,07:15:11
137,812,1.0,1.0,,,13/03/2020,08:37:16
138,819,1.0,1.0,,,13/03/2020,09:15:57
139,821,1.0,1.0,,,13/03/2020,09:25:52
140,822,1.0,1.0,,,13/03/2020,09:39:18
141,825,1.0,1.0,,,13/03/2020,10:13:01
142,828,1.0,1.0,,,13/03/2020,10:52:48
143,873,1.0,1.0,,,13/03/2020,11:23:41
144,878,1.0,1.0,,,13/03/2020,12:08:22
145,879,1.0,1.0,,,13/03/2020,12:31:10
146,895,1.0,1.0,,,13/03/2020,13:16:57
147,898,1.0,1.0,,,13/03/2020,15:38:32
148,905,1.0,1.0,,,13/03/2020,16:06:14
149,906,1.0,1.0,,,13/03/2020,16:18:45
150,911,1.0,1.0,,,13/03/2020,16:44:32
151,927,1.0,1.0,,,13/03/2020,16:51:27
152,930,1.0,1.0,,,13/03/2020,17:04:12
153,933,1.0,1.0,,,13/03/2020,18:38:21
154,934,1.0,1.0,,,13/03/2020,18:56:18
155,940,1.0,1.0,,,13/03/2020,19:20:32
156,969,1.0,1.0,,,13/03/2020,20:50:02
157,977,1.0,1.0,,,13/03/2020,21:10:05
158,982,1.0,1.0,,,13/03/2020,21:22:44
159,995,1.0,1.0,,,13/03/2020,22:40:01
160,996,1.0,1.0,,,13/03/2020,23:01:26
161,1003,1.0,1.0,,,14/03/2020,11:03:36
162,1028,1.0,1.0,,,14/03/2020,11:35:52
163,1033,1.0,1.0,,,14/03/2020,12:36:29
164,1034,1.0,1.0,,,14/03/2020,13:25:02
165,1035,1.0,1.0,,,14/03/2020,14:06:31
166,1039,1.0,1.0,,,14/03/2020,15:46:50
167,1052,1.0,2.0,,,14/03/2020,16:34:03
168,1056,1.0,2.0,,,14/03/2020,18:53:39
169,1077,1.0,2.0,,,14/03/2020,19:54:23
170,1078,1.0,2.0,,,14/03/2020,20:39:47
171,1084,1.0,2.0,,,14/03/2020,20:57:55
172,1090,1.0,3.0,,,14/03/2020,22:08:07
173,1108,1.0,3.0,,,14/03/2020,23:07:41
174,1109,1.0,3.0,,,15/03/2020,00:49:29
175,1111,1.0,3.0,,,15/03/2020,05:20:33
176,1120,1.0,3.0,,,15/03/2020,08:45:12
177,1126,1.0,3.0,,,15/03/2020,09:25:51
178,1128,1.0,3.0,,,15/03/2020,10:12:45
179,1196,1.0,3.0,,,15/03/2020,11:37:39
180,1199,1.0,3.0,,,15/03/2020,12:20:35
