,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,24/02/2020,15:57:52
1,4,,,,,25/02/2020,19:09:59
2,6,,,,,27/02/2020,19:25:12
3,6,1.0,,,,29/02/2020,11:30:22
4,6,2.0,,,,02/03/2020,08:46:59
5,12,2.0,,,,03/03/2020,15:24:53
6,15,2.0,,,,04/03/2020,18:21:42
7,16,2.0,,,,05/03/2020,16:13:03
8,18,9.0,,,,09/03/2020,15:26:57
9,19,9.0,,,,13/03/2020,09:15:57
10,20,9.0,,,,15/03/2020,05:47:59
11,21,9.0,,,,15/03/2020,13:25:27
12,22,9.0,,,,15/03/2020,15:12:18
13,24,9.0,,,,17/03/2020,03:07:44
14,24,12.0,,,,17/03/2020,09:42:54
15,33,12.0,,,,17/03/2020,21:14:56
16,39,13.0,,,,18/03/2020,19:33:32
17,48,13.0,,,,19/03/2020,18:51:51
18,52,13.0,,,,21/03/2020,07:18:44
19,55,13.0,,,,22/03/2020,12:57:16
20,55,17.0,,,,22/03/2020,14:01:28
21,66,17.0,,,,23/03/2020,09:30:08
22,84,17.0,,,,24/03/2020,06:50:10
23,99,17.0,,,,25/03/2020,07:32:36
24,109,23.0,,,,26/03/2020,10:01:12
25,131,23.0,,,,27/03/2020,09:30:08
26,152,23.0,,,,28/03/2020,08:00:04
27,167,23.0,,,,29/03/2020,07:36:32
28,179,29.0,,,,30/03/2020,11:00:16
29,192,34.0,,,,31/03/2020,09:04:58
30,192,34.0,1.0,,,31/03/2020,20:56:38
31,210,34.0,1.0,,,01/04/2020,07:09:08
32,231,41.0,1.0,,,02/04/2020,07:01:49
33,231,57.0,1.0,,,02/04/2020,09:01:55
34,252,57.0,1.0,,,03/04/2020,08:01:58
35,277,61.0,1.0,,,04/04/2020,08:29:36
36,277,61.0,2.0,,,04/04/2020,18:01:10
37,298,61.0,2.0,,,05/04/2020,06:25:24
38,331,61.0,2.0,,,06/04/2020,06:42:40
39,371,67.0,2.0,,,07/04/2020,06:41:57
40,419,72.0,2.0,,,08/04/2020,06:52:05
41,457,109.0,2.0,,,09/04/2020,07:55:43
42,457,109.0,3.0,,,09/04/2020,18:30:40
43,484,109.0,3.0,,,10/04/2020,06:47:54
44,546,109.0,3.0,,,11/04/2020,06:45:05
45,599,109.0,3.0,,,12/04/2020,07:00:05
46,599,109.0,4.0,,,12/04/2020,15:24:53
47,727,124.0,4.0,,,13/04/2020,11:07:56
48,813,130.0,4.0,,,14/04/2020,06:58:03
49,910,130.0,4.0,,,15/04/2020,06:00:04
50,910,131.0,4.0,,,15/04/2020,06:31:00
51,1019,176.0,4.0,,,16/04/2020,07:00:06
52,1019,176.0,5.0,,,16/04/2020,23:37:57
53,1069,176.0,5.0,,,17/04/2020,07:00:06
54,1069,176.0,6.0,,,17/04/2020,15:00:06
55,1180,176.0,6.0,,,18/04/2020,08:32:56
56,1266,233.0,6.0,,,19/04/2020,07:00:05
57,1266,233.0,7.0,,,19/04/2020,15:00:07
58,1410,238.0,7.0,,,20/04/2020,07:00:06
59,1508,238.0,8.0,,,21/04/2020,07:00:08
60,1614,238.0,8.0,,,22/04/2020,07:00:09
61,1716,307.0,8.0,,,23/04/2020,07:30:04
62,1716,307.0,9.0,,,23/04/2020,17:00:34
63,1790,325.0,9.0,,,24/04/2020,09:00:28
64,1790,325.0,10.0,,,24/04/2020,19:30:20
65,1905,329.0,10.0,,,25/04/2020,09:30:44
66,1998,333.0,10.0,,,26/04/2020,08:03:41
67,2049,364.0,10.0,,,27/04/2020,08:00:46
68,2131,364.0,10.0,,,28/04/2020,02:05:53
69,2274,364.0,10.0,,,29/04/2020,08:33:02
70,2348,495.0,10.0,,,30/04/2020,08:00:50
71,2348,495.0,11.0,,,30/04/2020,11:07:36
72,2348,495.0,11.0,40459.0,,30/04/2020,14:45:52
73,2447,495.0,11.0,40459.0,,01/05/2020,09:30:54
74,2483,750.0,11.0,40459.0,,02/05/2020,08:10:51
75,2483,750.0,12.0,40459.0,,02/05/2020,13:57:25
76,2568,750.0,12.0,40459.0,,03/05/2020,07:54:07
77,2637,816.0,12.0,40459.0,,04/05/2020,08:00:05
78,2735,858.0,12.0,40459.0,,05/05/2020,08:31:10
79,2735,858.0,13.0,40459.0,,06/05/2020,00:11:33
80,2903,888.0,13.0,40459.0,,06/05/2020,08:53:12
81,2958,980.0,13.0,40459.0,,07/05/2020,07:30:15
82,2958,980.0,13.0,50000.0,,07/05/2020,09:30:18
83,2958,980.0,14.0,50000.0,,07/05/2020,12:00:29
84,3112,1025.0,16.0,50000.0,,07/05/2020,20:30:27
85,2958,980.0,14.0,50000.0,,07/05/2020,21:17:20
86,2958,980.0,15.0,50000.0,,07/05/2020,23:00:58
87,3112,1025.0,15.0,50000.0,,08/05/2020,09:00:53
88,3112,1025.0,16.0,50000.0,,08/05/2020,13:28:31
89,3224,1068.0,17.0,50000.0,,09/05/2020,08:58:14
90,3399,1117.0,17.0,50000.0,,10/05/2020,08:53:01
91,3573,1211.0,17.0,50000.0,,11/05/2020,08:01:59
92,3573,1250.0,17.0,50000.0,,11/05/2020,19:37:25
93,3721,1250.0,17.0,50000.0,,12/05/2020,15:39:30
94,4019,1289.0,17.0,50000.0,,13/05/2020,09:28:29
95,4341,1303.0,17.0,50000.0,,14/05/2020,08:02:26
96,4341,1303.0,17.0,61000.0,,14/05/2020,12:14:16
97,4341,1303.0,18.0,61000.0,,14/05/2020,22:15:16
98,4341,1303.0,19.0,61000.0,5088544.0,15/05/2020,05:31:30
99,4625,1350.0,19.0,61000.0,5088544.0,15/05/2020,08:30:46
100,4625,1350.0,20.0,61000.0,5088544.0,15/05/2020,15:32:26
101,5029,1436.0,20.0,61000.0,5088900.0,16/05/2020,08:30:12
102,5029,1436.0,21.0,61000.0,5088900.0,16/05/2020,17:10:23
103,5186,1465.0,22.0,61000.0,5089256.0,17/05/2020,08:24:55
104,5379,1496.0,23.0,61000.0,5089612.0,18/05/2020,09:00:53
105,5379,1496.0,25.0,61000.0,5089612.0,18/05/2020,11:30:04
106,5671,1574.0,26.0,61000.0,5089968.0,19/05/2020,08:15:47
107,5671,1574.0,27.0,61000.0,5089968.0,19/05/2020,14:36:04
108,6043,1661.0,27.0,61000.0,5090324.0,20/05/2020,09:33:06
109,6043,1661.0,28.0,72000.0,5090324.0,20/05/2020,13:20:53
110,6043,1661.0,29.0,72000.0,5090324.0,20/05/2020,15:00:59
111,6043,1661.0,30.0,72000.0,5090324.0,20/05/2020,20:00:43
112,6370,1821.0,30.0,72000.0,5090680.0,21/05/2020,07:23:54
113,6370,1821.0,31.0,72000.0,5090680.0,21/05/2020,21:30:48
114,6794,1821.0,32.0,72000.0,5091036.0,22/05/2020,10:03:53
115,6794,1821.0,34.0,72000.0,5091036.0,22/05/2020,20:58:46
116,7257,1848.0,34.0,72000.0,5091392.0,23/05/2020,09:30:07
117,7257,1848.0,35.0,72000.0,5091392.0,23/05/2020,14:00:35
118,7257,1848.0,36.0,72000.0,5091392.0,23/05/2020,19:00:25
119,7770,1933.0,36.0,72000.0,5091748.0,24/05/2020,09:52:25
120,7770,1933.0,37.0,72000.0,5091748.0,24/05/2020,19:30:27
121,8118,2067.0,37.0,72000.0,5092460.0,26/05/2020,10:22:21
122,8118,2067.0,38.0,72000.0,5092816.0,27/05/2020,05:30:50
123,8373,2177.0,38.0,72000.0,5092816.0,27/05/2020,10:13:43
