,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,26/02/2020,17:09:42
1,2,,,,,26/02/2020,18:09:03
2,4,,,,,29/02/2020,19:20:46
3,5,,,,,03/03/2020,02:54:43
4,6,,,,,06/03/2020,09:33:10
5,6,1.0,,,,06/03/2020,16:53:41
6,7,1.0,,,,08/03/2020,18:35:03
7,8,1.0,,,,09/03/2020,18:07:52
8,16,1.0,,,,09/03/2020,20:50:50
9,16,2.0,,,,10/03/2020,05:47:00
10,18,2.0,,,,10/03/2020,12:14:54
11,19,2.0,,,,10/03/2020,18:20:32
12,20,2.0,,,,12/03/2020,03:34:39
13,21,2.0,,,,12/03/2020,14:54:18
14,22,2.0,,,,13/03/2020,10:52:48
15,24,2.0,,,,13/03/2020,18:38:21
16,28,2.0,,,,13/03/2020,19:33:59
17,30,2.0,,,,14/03/2020,13:25:02
18,31,2.0,,,,14/03/2020,15:25:40
19,33,2.0,,,,15/03/2020,03:37:43
20,38,2.0,,,,15/03/2020,11:37:39
21,51,2.0,,,,15/03/2020,13:25:27
22,53,2.0,,,,15/03/2020,13:42:06
23,94,2.0,,,,16/03/2020,06:39:21
24,102,2.0,,,,16/03/2020,07:18:45
25,94,2.0,1.0,,,16/03/2020,07:40:27
26,94,2.0,,,,16/03/2020,10:06:33
27,107,2.0,,,,16/03/2020,12:59:16
28,136,2.0,,,,16/03/2020,13:51:51
29,179,2.0,1.0,,,16/03/2020,18:38:43
30,184,2.0,1.0,,,16/03/2020,19:49:35
31,189,2.0,1.0,,,17/03/2020,08:19:33
32,194,2.0,1.0,,,17/03/2020,09:07:12
33,212,2.0,1.0,,,17/03/2020,13:20:44
34,236,2.0,1.0,,,17/03/2020,14:34:29
35,247,2.0,1.0,,,17/03/2020,18:51:29
36,247,2.0,,,,17/03/2020,22:03:41
37,254,2.0,,,,18/03/2020,09:03:01
38,256,2.0,,,,18/03/2020,12:26:14
39,272,2.0,,,,18/03/2020,13:49:49
40,272,2.0,1.0,,,18/03/2020,17:58:47
41,296,2.0,1.0,,,18/03/2020,18:29:33
42,307,13.0,2.0,,,18/03/2020,19:33:32
43,329,13.0,2.0,,,19/03/2020,10:28:55
44,331,13.0,2.0,,,19/03/2020,11:18:34
45,335,13.0,2.0,,,19/03/2020,11:37:24
46,380,13.0,2.0,,,19/03/2020,13:00:05
47,384,13.0,2.0,,,19/03/2020,15:53:36
48,448,13.0,2.0,,,19/03/2020,16:42:31
49,453,13.0,2.0,,,19/03/2020,18:51:51
50,454,13.0,2.0,,,19/03/2020,19:15:23
51,456,13.0,3.0,,,20/03/2020,08:58:28
52,467,13.0,3.0,,,20/03/2020,11:56:57
53,478,13.0,3.0,,,20/03/2020,15:30:18
54,500,13.0,3.0,,,20/03/2020,17:27:52
55,501,13.0,3.0,,,20/03/2020,21:01:10
56,519,13.0,4.0,,,21/03/2020,07:18:44
57,588,13.0,4.0,,,21/03/2020,08:30:14
58,519,13.0,3.0,,,21/03/2020,08:47:13
59,531,13.0,3.0,,,21/03/2020,09:30:23
60,534,13.0,3.0,,,21/03/2020,10:16:15
61,632,13.0,3.0,,,21/03/2020,13:10:07
62,666,13.0,3.0,,,21/03/2020,13:27:55
63,720,13.0,3.0,,,21/03/2020,15:27:25
64,734,13.0,3.0,,,21/03/2020,19:01:02
65,645,13.0,3.0,,,21/03/2020,22:25:44
66,730,13.0,3.0,,,22/03/2020,12:05:43
67,646,13.0,3.0,,,22/03/2020,16:00:09
68,646,13.0,4.0,,,22/03/2020,18:30:38
69,776,13.0,4.0,,,22/03/2020,20:30:15
70,776,13.0,5.0,,,23/03/2020,02:30:37
71,799,13.0,6.0,,,23/03/2020,05:32:09
72,803,13.0,6.0,,,23/03/2020,07:29:02
73,804,13.0,6.0,,,23/03/2020,09:00:27
74,824,13.0,6.0,,,23/03/2020,12:59:05
75,825,13.0,6.0,,,23/03/2020,13:33:23
76,873,13.0,6.0,,,23/03/2020,14:18:53
77,875,13.0,6.0,,,23/03/2020,21:55:01
78,892,13.0,6.0,,,24/03/2020,06:50:10
79,908,13.0,7.0,,,24/03/2020,10:31:11
80,916,13.0,7.0,,,24/03/2020,12:19:58
81,918,13.0,7.0,,,24/03/2020,13:10:31
82,958,13.0,7.0,,,24/03/2020,15:21:21
83,972,18.0,7.0,,,24/03/2020,18:20:00
84,1000,19.0,7.0,,,25/03/2020,07:02:57
85,1000,21.0,8.0,,,25/03/2020,11:29:15
86,1014,21.0,8.0,,,25/03/2020,13:10:19
87,1022,21.0,8.0,,,25/03/2020,13:29:16
88,1063,21.0,8.0,,,25/03/2020,19:24:49
89,1093,21.0,8.0,,,26/03/2020,06:15:33
90,1102,21.0,8.0,,,26/03/2020,07:00:04
91,1106,21.0,8.0,,,26/03/2020,09:48:13
92,1123,21.0,8.0,,,26/03/2020,11:49:16
93,1128,21.0,8.0,,,26/03/2020,13:30:35
94,1130,21.0,8.0,,,26/03/2020,14:43:41
95,1130,21.0,9.0,,,26/03/2020,15:14:31
96,1179,21.0,9.0,,,26/03/2020,16:31:58
97,1201,21.0,9.0,,,26/03/2020,23:05:03
98,1203,21.0,9.0,,,27/03/2020,06:01:44
99,1203,23.0,9.0,,,27/03/2020,06:31:51
100,1235,23.0,9.0,,,27/03/2020,06:44:23
101,1252,23.0,9.0,,,27/03/2020,10:57:20
102,1296,23.0,9.0,,,27/03/2020,15:09:55
103,1331,23.0,9.0,,,27/03/2020,17:21:40
104,1331,23.0,10.0,,,27/03/2020,19:52:04
105,1373,23.0,11.0,,,27/03/2020,22:31:35
106,1408,25.0,11.0,,,28/03/2020,07:09:20
107,1415,29.0,12.0,,,28/03/2020,12:59:29
108,1420,29.0,12.0,,,28/03/2020,16:17:32
109,1495,29.0,12.0,,,28/03/2020,19:32:34
110,1526,29.0,13.0,,,29/03/2020,07:14:58
111,1526,29.0,14.0,,,29/03/2020,14:36:41
112,1571,29.0,14.0,,,29/03/2020,18:57:07
113,1597,29.0,14.0,,,29/03/2020,20:11:22
114,1625,29.0,18.0,,,30/03/2020,05:53:25
115,1625,29.0,20.0,,,30/03/2020,11:50:14
116,1650,29.0,20.0,,,30/03/2020,13:40:16
117,1690,29.0,21.0,,,30/03/2020,16:35:12
118,1690,76.0,21.0,,,30/03/2020,17:14:00
119,1717,76.0,21.0,,,30/03/2020,21:28:42
120,1865,76.0,25.0,,,31/03/2020,06:36:57
121,1914,76.0,26.0,,,31/03/2020,15:04:00
122,1938,76.0,26.0,,,31/03/2020,19:31:10
123,2039,82.0,26.0,,,01/04/2020,05:29:49
124,2042,82.0,26.0,,,01/04/2020,06:09:03
125,2071,82.0,26.0,,,01/04/2020,12:43:54
126,2118,94.0,27.0,,,01/04/2020,17:50:38
127,2238,94.0,31.0,,,02/04/2020,05:05:12
128,2291,107.0,31.0,,,02/04/2020,07:01:49
129,2386,107.0,31.0,,,02/04/2020,14:11:21
130,2386,107.0,32.0,,,02/04/2020,15:18:57
131,2386,107.0,33.0,,,02/04/2020,17:13:14
132,2421,125.0,34.0,,,02/04/2020,22:06:41
133,2441,125.0,35.0,,,03/04/2020,05:57:10
134,2450,126.0,35.0,,,03/04/2020,06:18:55
135,2458,126.0,35.0,,,03/04/2020,12:13:30
136,2631,126.0,39.0,,,03/04/2020,16:45:29
137,2631,126.0,40.0,,,03/04/2020,17:17:02
138,2637,126.0,40.0,,,03/04/2020,17:27:55
139,2684,126.0,40.0,,,03/04/2020,20:05:46
140,2686,126.0,40.0,,,03/04/2020,22:27:02
141,2686,126.0,40.0,30308.0,,04/04/2020,03:58:25
142,2708,130.0,40.0,30308.0,,04/04/2020,07:30:42
143,2708,130.0,41.0,30308.0,,04/04/2020,11:32:49
144,2748,130.0,41.0,30308.0,,04/04/2020,15:53:48
145,2818,131.0,41.0,30308.0,,04/04/2020,17:16:45
146,2880,170.0,45.0,30308.0,,05/04/2020,05:44:00
147,2880,170.0,45.0,34885.0,,05/04/2020,06:25:24
148,2897,170.0,45.0,34885.0,,05/04/2020,11:59:51
149,2897,208.0,45.0,34885.0,,05/04/2020,12:59:56
150,2899,208.0,45.0,34885.0,,05/04/2020,13:07:55
151,3123,208.0,45.0,34885.0,,05/04/2020,15:08:42
152,3157,211.0,47.0,34885.0,,05/04/2020,19:33:36
153,3277,257.0,50.0,34885.0,,06/04/2020,04:30:37
154,3277,257.0,50.0,35875.0,,06/04/2020,05:00:04
155,3289,257.0,50.0,35875.0,,06/04/2020,15:10:50
156,3658,257.0,52.0,35875.0,,06/04/2020,15:24:02
157,3662,259.0,52.0,35875.0,,06/04/2020,16:13:24
158,3766,259.0,52.0,35875.0,,06/04/2020,18:19:55
159,3766,259.0,53.0,35875.0,,06/04/2020,19:30:50
160,3864,429.0,54.0,39183.0,,07/04/2020,05:59:55
161,3918,429.0,54.0,39183.0,,07/04/2020,08:21:53
162,4004,429.0,54.0,39183.0,,07/04/2020,10:22:55
163,4004,429.0,55.0,39183.0,,07/04/2020,11:09:24
164,4005,429.0,55.0,39183.0,,07/04/2020,13:46:58
165,4009,429.0,56.0,39183.0,,07/04/2020,16:46:23
166,4035,429.0,57.0,39183.0,,07/04/2020,21:08:04
167,4062,429.0,58.0,39183.0,,08/04/2020,04:24:44
168,4072,467.0,58.0,42159.0,,08/04/2020,06:52:05
169,4183,467.0,58.0,42159.0,,08/04/2020,13:26:32
170,4194,467.0,60.0,42159.0,,08/04/2020,15:18:57
171,4196,467.0,60.0,42159.0,,08/04/2020,15:38:34
172,4263,467.0,61.0,42159.0,,08/04/2020,20:52:56
173,4322,572.0,63.0,42159.0,,09/04/2020,05:35:00
174,4322,572.0,63.0,44896.0,,09/04/2020,06:31:38
175,4414,572.0,63.0,44896.0,,09/04/2020,09:39:40
176,4457,572.0,63.0,44896.0,,09/04/2020,13:03:34
177,4462,572.0,63.0,44896.0,,09/04/2020,14:32:13
178,4489,572.0,63.0,44896.0,,09/04/2020,15:45:52
179,4489,572.0,65.0,44896.0,,09/04/2020,18:46:13
180,4601,572.0,66.0,44896.0,,10/04/2020,04:39:24
181,4601,727.0,66.0,54706.0,,10/04/2020,05:20:14
182,6495,727.0,66.0,54706.0,,10/04/2020,15:11:59
183,4695,727.0,66.0,54706.0,,10/04/2020,16:07:54
184,4788,762.0,71.0,57836.0,,11/04/2020,06:45:05
