,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,10/03/2020,02:31:04
1,8,,1.0,,,11/03/2020,01:17:15
2,14,,1.0,,,12/03/2020,03:34:39
3,27,,1.0,,,13/03/2020,05:52:49
4,36,,1.0,,,14/03/2020,08:46:05
5,43,,1.0,,,15/03/2020,01:41:42
6,55,,1.0,,,16/03/2020,03:04:14
7,69,,1.0,,,17/03/2020,01:27:41
8,86,,1.0,,,18/03/2020,07:53:07
9,109,,1.0,,,19/03/2020,00:03:08
10,137,1.0,1.0,,,20/03/2020,00:00:33
11,200,1.0,1.0,,,20/03/2020,23:25:10
12,245,1.0,3.0,,,21/03/2020,23:58:06
13,313,1.0,3.0,,,23/03/2020,00:00:05
14,345,1.0,6.0,,,23/03/2020,23:42:57
15,443,1.0,6.0,,,25/03/2020,00:16:15
16,443,1.0,8.0,,,25/03/2020,15:36:10
17,558,2.0,8.0,,,25/03/2020,23:41:28
18,674,2.0,9.0,,,27/03/2020,00:30:39
19,786,2.0,14.0,,,28/03/2020,00:52:11
20,901,4.0,17.0,,,29/03/2020,00:52:33
21,989,4.0,24.0,,,29/03/2020,23:24:59
22,1075,9.0,27.0,,,30/03/2020,23:58:38
23,1181,9.0,30.0,,,31/03/2020,23:49:04
24,1317,9.0,32.0,,,02/04/2020,00:00:23
25,1475,9.0,37.0,,,03/04/2020,00:11:04
26,1475,10.0,37.0,,,03/04/2020,18:16:12
27,1673,10.0,41.0,,,03/04/2020,23:43:00
28,1673,10.0,41.0,7333.0,,04/04/2020,03:58:25
29,1673,13.0,41.0,7333.0,,04/04/2020,14:44:54
30,1801,13.0,46.0,7333.0,,05/04/2020,00:01:12
31,1801,13.0,46.0,9256.0,,05/04/2020,09:32:01
32,1988,13.0,54.0,9749.0,,06/04/2020,01:51:58
33,2100,14.0,55.0,10297.0,,07/04/2020,00:02:09
34,2249,16.0,55.0,10297.0,,08/04/2020,02:02:52
35,2249,16.0,59.0,10297.0,,08/04/2020,02:31:55
36,2528,16.0,63.0,10297.0,,08/04/2020,23:40:52
37,2528,16.0,63.0,11776.0,,09/04/2020,00:18:03
38,2752,16.0,66.0,11776.0,,09/04/2020,23:28:07
39,2974,17.0,74.0,11776.0,,11/04/2020,00:00:13
40,3234,23.0,79.0,14588.0,,11/04/2020,23:56:33
41,3400,29.0,87.0,15147.0,,13/04/2020,00:00:03
42,3472,61.0,94.0,15567.0,,13/04/2020,23:00:06
43,3574,72.0,95.0,16053.0,,15/04/2020,00:40:18
44,3751,75.0,103.0,16854.0,,16/04/2020,00:00:03
45,4016,98.0,109.0,17850.0,,16/04/2020,23:37:57
46,4210,122.0,116.0,18559.0,,18/04/2020,02:30:04
47,4273,140.0,120.0,19091.0,,19/04/2020,05:00:04
48,4467,165.0,126.0,19091.0,,19/04/2020,23:00:27
49,4658,204.0,136.0,19091.0,,21/04/2020,00:07:03
50,4658,204.0,136.0,20996.0,,21/04/2020,07:00:08
51,4821,231.0,141.0,21902.0,,22/04/2020,02:00:06
52,4992,255.0,144.0,22702.0,,23/04/2020,01:00:07
53,5166,271.0,146.0,23534.0,,24/04/2020,01:57:45
54,5338,319.0,154.0,24304.0,,25/04/2020,04:05:23
55,5538,338.0,159.0,25400.0,,25/04/2020,23:20:59
56,5779,338.0,165.0,25400.0,,27/04/2020,00:31:19
57,5779,369.0,165.0,26642.0,,27/04/2020,04:02:12
58,6021,455.0,167.0,27834.0,,28/04/2020,02:05:53
59,6200,484.0,176.0,28795.0,,29/04/2020,00:04:29
60,6378,527.0,178.0,29837.0,,30/04/2020,01:44:52
61,6532,576.0,188.0,30749.0,,01/05/2020,00:30:05
62,6720,622.0,192.0,31895.0,,02/05/2020,01:29:19
63,7090,641.0,197.0,31895.0,,03/05/2020,01:30:08
64,7090,641.0,197.0,33354.0,,03/05/2020,19:30:09
65,7197,641.0,200.0,34459.0,,04/05/2020,03:00:38
66,7387,726.0,203.0,35556.0,,05/05/2020,02:42:08
67,7523,823.0,210.0,36483.0,,06/05/2020,00:11:33
68,7731,859.0,218.0,38014.0,,07/05/2020,01:29:46
69,7868,886.0,225.0,39093.0,,07/05/2020,20:30:27
70,7731,859.0,218.0,38014.0,,07/05/2020,21:17:20
71,7868,886.0,225.0,39093.0,,08/05/2020,01:30:22
72,8070,886.0,231.0,40356.0,,09/05/2020,01:17:23
73,8282,4501.0,237.0,40356.0,,10/05/2020,01:00:13
74,8448,4687.0,244.0,42657.0,,11/05/2020,01:51:54
75,8616,4687.0,249.0,43663.0,,12/05/2020,15:39:30
76,8783,6021.0,252.0,44561.0,,13/05/2020,01:08:31
77,8944,6067.0,256.0,45873.0,,14/05/2020,02:30:11
78,9118,6080.0,260.0,46898.0,,14/05/2020,22:15:16
79,9268,6080.0,266.0,47768.0,4305867.0,16/05/2020,00:54:48
80,9449,6080.0,269.0,49104.0,4306053.0,17/05/2020,01:30:23
81,9606,6081.0,275.0,50348.0,4306239.0,18/05/2020,01:10:15
82,9726,6081.0,279.0,51105.0,4306425.0,19/05/2020,01:10:18
83,9867,6194.0,281.0,51815.0,4306610.0,20/05/2020,00:09:48
