,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,20/03/2020,13:00:35
1,1,,,72.0,,04/04/2020,18:01:10
2,2,,,72.0,,06/04/2020,11:34:06
3,2,,,167.0,,16/04/2020,03:00:02
4,7,,,167.0,,16/04/2020,15:46:19
5,7,,,604.0,,21/04/2020,00:07:03
6,8,,,604.0,,22/04/2020,11:00:06
7,8,6.0,,2402.0,,04/05/2020,04:01:21
8,8,8.0,,2402.0,,05/05/2020,02:42:08
9,8,8.0,,2402.0,8929617.0,27/05/2020,16:10:09
10,8,8.0,0.0,2402.0,8930545.0,29/05/2020,00:22:14
11,8,8.0,0.0,4646.0,8931936.0,01/06/2020,13:54:39
12,8,8.0,0.0,5281.0,8936110.0,10/06/2020,22:30:35
13,9,8.0,0.0,5281.0,8941675.0,22/06/2020,15:01:10
14,10,8.0,0.0,5281.0,8942603.0,24/06/2020,20:00:52
15,10,8.0,0.0,5637.0,8943530.0,26/06/2020,00:00:23
16,11,8.0,0.0,5637.0,8943530.0,26/06/2020,13:00:04
17,11,8.0,0.0,7147.0,8945385.0,30/06/2020,09:40:57
18,15,8.0,0.0,7147.0,8953270.0,17/07/2020,20:32:16
19,16,8.0,0.0,7147.0,8953733.0,18/07/2020,06:00:07
20,17,8.0,0.0,7147.0,8955125.0,21/07/2020,00:00:51
21,19,8.0,0.0,7147.0,8955125.0,21/07/2020,01:04:45
22,19,8.0,1.0,7147.0,8955125.0,21/07/2020,01:35:37
23,27,8.0,1.0,7147.0,8955125.0,21/07/2020,18:04:18
24,27,8.0,0.0,7147.0,8955588.0,22/07/2020,05:23:03
25,30,8.0,0.0,7147.0,8955588.0,22/07/2020,19:05:01
26,31,11.0,0.0,9585.0,8956516.0,24/07/2020,03:00:05
27,32,11.0,0.0,9885.0,8956516.0,24/07/2020,17:15:36
28,39,11.0,0.0,9923.0,8956980.0,25/07/2020,13:59:28
29,62,11.0,0.0,10000.0,8957444.0,26/07/2020,13:39:49
30,63,11.0,0.0,10000.0,8958371.0,28/07/2020,14:42:19
31,63,11.0,1.0,10000.0,8958835.0,29/07/2020,15:20:00
32,63,11.0,2.0,10000.0,8959299.0,30/07/2020,04:07:09
33,72,11.0,2.0,10000.0,8959762.0,31/07/2020,06:27:49
34,72,11.0,2.0,10200.0,8960226.0,01/08/2020,10:34:38
35,91,34.0,2.0,10200.0,8960226.0,01/08/2020,12:40:43
36,110,34.0,2.0,10471.0,8960690.0,02/08/2020,12:07:01
37,111,34.0,2.0,10471.0,8961154.0,03/08/2020,13:50:45
38,114,34.0,2.0,10471.0,8961617.0,04/08/2020,16:51:51
39,153,44.0,2.0,10471.0,8962081.0,05/08/2020,13:30:58
40,163,53.0,3.0,10808.0,8962545.0,06/08/2020,13:40:00
41,188,53.0,3.0,10808.0,8963009.0,07/08/2020,14:20:46
42,214,53.0,3.0,10808.0,8963936.0,09/08/2020,13:21:53
43,214,71.0,3.0,11439.0,8964864.0,11/08/2020,23:59:30
44,287,78.0,3.0,11920.0,8965328.0,12/08/2020,20:12:23
45,271,78.0,3.0,11920.0,8966255.0,14/08/2020,00:06:27
46,323,110.0,3.0,13361.0,8967183.0,16/08/2020,10:55:56
47,333,110.0,3.0,13361.0,8967646.0,17/08/2020,15:25:05
48,347,110.0,3.0,13361.0,8968110.0,18/08/2020,18:53:35
49,359,196.0,3.0,13361.0,8969038.0,20/08/2020,11:08:14
50,361,198.0,4.0,14439.0,8969038.0,20/08/2020,21:59:19
51,401,232.0,4.0,14676.0,8970429.0,23/08/2020,23:59:29
52,419,232.0,4.0,14676.0,8971357.0,25/08/2020,16:10:28
53,424,232.0,4.0,15592.0,8972284.0,27/08/2020,19:34:52
54,453,232.0,5.0,15592.0,8972748.0,28/08/2020,15:04:43
55,459,232.0,5.0,15592.0,8973676.0,30/08/2020,10:04:52
56,460,232.0,5.0,15592.0,8975067.0,02/09/2020,01:59:51
57,471,232.0,5.0,15592.0,8975067.0,02/09/2020,23:18:17
58,479,232.0,5.0,15592.0,8975994.0,04/09/2020,16:48:52
59,488,232.0,5.0,15592.0,8976458.0,05/09/2020,20:22:03
60,497,232.0,5.0,15592.0,8977386.0,07/09/2020,02:19:05
61,503,232.0,5.0,15592.0,8977849.0,08/09/2020,15:29:42
62,504,232.0,5.0,15592.0,8978777.0,10/09/2020,01:35:38
63,507,232.0,5.0,15592.0,8978777.0,10/09/2020,17:47:29
64,508,232.0,5.0,15592.0,8979705.0,12/09/2020,00:39:05
65,510,232.0,6.0,17276.0,8980168.0,13/09/2020,19:50:20
66,511,232.0,6.0,17276.0,8980632.0,14/09/2020,05:04:14
67,516,232.0,6.0,17276.0,8981560.0,16/09/2020,18:18:04
68,517,232.0,7.0,17276.0,8983415.0,20/09/2020,19:10:59
69,527,232.0,7.0,17276.0,8984342.0,22/09/2020,23:59:35
70,531,516.0,7.0,23777.0,8985270.0,24/09/2020,14:59:45
71,532,516.0,7.0,23777.0,8986197.0,26/09/2020,02:47:35
72,534,516.0,7.0,23777.0,8988052.0,30/09/2020,00:24:31
73,539,519.0,7.0,25955.0,8988516.0,01/10/2020,15:23:24
74,540,527.0,7.0,25955.0,8989444.0,03/10/2020,15:09:21
75,541,527.0,7.0,25955.0,8990835.0,06/10/2020,11:05:55
76,549,532.0,7.0,26417.0,8991763.0,08/10/2020,15:37:48
77,554,532.0,7.0,26417.0,8993154.0,11/10/2020,12:30:20
78,565,537.0,7.0,26620.0,8993618.0,12/10/2020,14:14:17
79,575,537.0,7.0,26620.0,8994545.0,14/10/2020,09:53:34
80,578,537.0,7.0,26690.0,8994545.0,14/10/2020,17:09:12
81,581,540.0,7.0,27003.0,8996864.0,17/10/2020,18:13:13
82,581,541.0,7.0,27003.0,8996864.0,19/10/2020,23:59:45
83,583,545.0,7.0,27003.0,8998255.0,22/10/2020,08:42:06
84,588,546.0,7.0,29002.0,9000110.0,26/10/2020,13:28:34
