,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,07/03/2020,20:46:41
1,2,,,,,10/03/2020,17:21:19
2,5,,,,,11/03/2020,01:17:15
3,6,,,,,13/03/2020,04:28:36
4,7,,,,,14/03/2020,14:06:31
5,8,,,,,16/03/2020,02:51:16
6,9,,,,,17/03/2020,08:19:33
7,11,,,,,18/03/2020,09:55:52
8,13,,,,,20/03/2020,00:00:33
9,18,,,,,20/03/2020,23:58:30
10,18,,1.0,,,21/03/2020,10:30:14
11,22,,1.0,,,21/03/2020,23:58:06
12,27,,2.0,,,24/03/2020,03:58:37
13,37,,3.0,,,25/03/2020,03:30:15
14,41,,3.0,,,26/03/2020,07:51:29
15,52,1.0,3.0,,,27/03/2020,04:31:30
16,56,1.0,3.0,,,28/03/2020,03:30:44
17,59,1.0,3.0,,,29/03/2020,22:12:26
18,64,1.0,3.0,,,30/03/2020,02:31:37
19,65,1.0,3.0,,,31/03/2020,01:42:03
20,69,1.0,3.0,,,01/04/2020,08:19:46
21,77,2.0,3.0,,,02/04/2020,01:01:21
22,92,2.0,3.0,,,03/04/2020,01:18:00
23,92,3.0,3.0,,,03/04/2020,02:01:43
24,92,4.0,3.0,,,03/04/2020,05:57:10
25,92,6.0,3.0,,,03/04/2020,17:17:02
26,96,12.0,3.0,,,04/04/2020,02:02:39
27,96,12.0,3.0,116.0,,04/04/2020,03:58:25
28,96,12.0,3.0,1289.0,,04/04/2020,17:03:36
29,104,12.0,3.0,1289.0,,05/04/2020,03:01:11
30,104,12.0,3.0,1381.0,,05/04/2020,05:18:25
31,113,12.0,3.0,1381.0,,06/04/2020,01:51:58
32,113,12.0,5.0,1581.0,,06/04/2020,03:30:13
33,113,12.0,5.0,1877.0,,06/04/2020,05:07:58
34,115,15.0,5.0,1877.0,,07/04/2020,03:14:09
35,115,15.0,5.0,2039.0,,07/04/2020,05:59:55
36,119,15.0,5.0,2039.0,,08/04/2020,01:54:47
37,124,18.0,5.0,2039.0,,09/04/2020,06:31:38
38,129,18.0,6.0,2262.0,,10/04/2020,02:20:02
39,133,18.0,6.0,2262.0,,11/04/2020,02:56:16
40,134,22.0,6.0,2262.0,,12/04/2020,01:37:56
41,147,22.0,6.0,3394.0,,13/04/2020,11:07:56
42,159,22.0,7.0,3394.0,,14/04/2020,03:00:06
43,161,23.0,8.0,3640.0,,15/04/2020,01:30:45
44,161,23.0,8.0,3888.0,,15/04/2020,17:00:02
45,174,30.0,8.0,3888.0,,16/04/2020,01:00:02
46,174,30.0,8.0,4267.0,,16/04/2020,15:00:09
47,199,30.0,8.0,4267.0,,16/04/2020,23:37:57
48,199,30.0,8.0,4612.0,,17/04/2020,17:51:55
49,202,35.0,8.0,4950.0,,18/04/2020,02:30:04
50,206,41.0,8.0,4950.0,,18/04/2020,17:59:20
51,208,46.0,8.0,4950.0,,20/04/2020,07:00:06
52,208,53.0,8.0,5501.0,,21/04/2020,07:00:08
53,208,53.0,8.0,5878.0,,21/04/2020,22:20:03
54,213,62.0,8.0,5878.0,,22/04/2020,01:00:09
55,213,62.0,9.0,5878.0,,22/04/2020,04:51:48
56,213,62.0,9.0,6292.0,,22/04/2020,20:48:12
57,213,67.0,9.0,6598.0,,23/04/2020,17:00:34
58,220,70.0,9.0,6917.0,,24/04/2020,03:30:38
59,223,78.0,9.0,6917.0,,25/04/2020,02:30:27
60,223,78.0,9.0,7322.0,,25/04/2020,23:20:59
61,228,85.0,9.0,7322.0,,26/04/2020,01:30:05
62,228,85.0,9.0,7630.0,,26/04/2020,19:02:28
63,228,93.0,9.0,7630.0,,27/04/2020,15:48:26
64,230,95.0,9.0,7925.0,,28/04/2020,02:05:53
65,230,95.0,9.0,8444.0,,28/04/2020,18:17:10
66,239,102.0,9.0,8444.0,,29/04/2020,00:04:29
67,239,102.0,9.0,8891.0,,29/04/2020,19:12:58
68,249,111.0,9.0,8891.0,,30/04/2020,03:02:21
69,249,111.0,9.0,9454.0,,30/04/2020,18:56:26
70,266,113.0,10.0,9454.0,,01/05/2020,01:49:57
71,266,113.0,10.0,9903.0,,01/05/2020,22:20:52
72,333,115.0,10.0,10342.0,,02/05/2020,02:00:42
73,370,119.0,10.0,10766.0,,03/05/2020,01:30:08
74,396,126.0,10.0,10766.0,,04/05/2020,01:30:51
75,415,130.0,10.0,10766.0,,05/05/2020,02:01:01
76,431,135.0,10.0,11913.0,,05/05/2020,17:53:59
77,440,142.0,10.0,11913.0,,06/05/2020,18:02:46
78,462,148.0,10.0,11913.0,,07/05/2020,17:52:15
79,563,152.0,10.0,13846.0,,07/05/2020,20:30:27
80,462,148.0,10.0,11913.0,,07/05/2020,21:17:20
81,563,152.0,10.0,13846.0,,08/05/2020,19:30:04
82,689,155.0,10.0,13846.0,,09/05/2020,19:03:16
83,689,155.0,10.0,14646.0,,10/05/2020,01:00:13
84,713,165.0,10.0,15446.0,,10/05/2020,21:01:06
85,724,170.0,10.0,15446.0,,11/05/2020,18:31:55
86,724,170.0,10.0,16155.0,,12/05/2020,15:39:30
87,737,173.0,10.0,16155.0,,12/05/2020,20:30:16
88,737,173.0,10.0,16917.0,,12/05/2020,23:44:31
89,740,182.0,11.0,17589.0,,13/05/2020,17:26:38
90,754,184.0,11.0,18184.0,,14/05/2020,22:15:16
91,759,193.0,11.0,18184.0,7120986.0,15/05/2020,17:21:00
92,759,193.0,11.0,18856.0,7120986.0,15/05/2020,18:55:43
93,778,198.0,11.0,19308.0,7121225.0,16/05/2020,18:37:01
94,778,198.0,11.0,20124.0,7121465.0,17/05/2020,17:24:15
95,786,202.0,11.0,20124.0,7121465.0,17/05/2020,17:30:39
96,788,219.0,11.0,20124.0,7121704.0,18/05/2020,17:24:34
97,829,230.0,11.0,20124.0,7121943.0,19/05/2020,16:57:23
98,829,230.0,11.0,21121.0,7121943.0,19/05/2020,19:31:27
99,833,242.0,11.0,21121.0,7122183.0,20/05/2020,18:02:04
100,833,242.0,11.0,21542.0,7122183.0,20/05/2020,18:51:42
101,836,256.0,11.0,21542.0,7122422.0,21/05/2020,17:07:19
102,836,256.0,11.0,21987.0,7122422.0,21/05/2020,19:46:04
103,838,264.0,11.0,21987.0,7122661.0,22/05/2020,17:47:37
104,838,264.0,11.0,22868.0,7122901.0,23/05/2020,12:00:04
105,850,298.0,11.0,22868.0,7122901.0,23/05/2020,17:30:04
106,850,298.0,11.0,23805.0,7122901.0,23/05/2020,18:00:46
107,862,307.0,11.0,23805.0,7123140.0,24/05/2020,17:00:05
108,862,307.0,11.0,24812.0,7123140.0,24/05/2020,17:32:01
109,865,344.0,11.0,25216.0,7123379.0,25/05/2020,18:01:55
110,877,382.0,11.0,25216.0,7123619.0,26/05/2020,17:28:09
111,877,382.0,11.0,26169.0,7123619.0,26/05/2020,21:30:08
112,884,392.0,11.0,26760.0,7123858.0,27/05/2020,18:00:09
113,900,402.0,11.0,27425.0,7124097.0,28/05/2020,18:26:03
114,917,413.0,11.0,27425.0,7124337.0,29/05/2020,18:27:57
115,917,413.0,11.0,28337.0,7124337.0,29/05/2020,19:01:12
116,964,466.0,11.0,28337.0,7124576.0,30/05/2020,16:51:55
117,964,466.0,11.0,29153.0,7124576.0,30/05/2020,17:56:56
118,986,477.0,11.0,29153.0,7124815.0,31/05/2020,17:33:29
119,986,477.0,11.0,30004.0,7124815.0,31/05/2020,19:21:44
120,995,488.0,11.0,30004.0,7125055.0,01/06/2020,17:43:08
121,995,488.0,11.0,30834.0,7125294.0,02/06/2020,01:41:33
122,1013,498.0,11.0,30834.0,7125294.0,02/06/2020,17:01:35
123,1013,498.0,11.0,32106.0,7125294.0,02/06/2020,20:31:50
124,1070,511.0,11.0,32106.0,7125533.0,03/06/2020,18:23:15
125,1070,511.0,11.0,33081.0,7125533.0,03/06/2020,18:35:19
126,1086,511.0,11.0,33081.0,7125773.0,04/06/2020,17:53:19
127,1086,511.0,11.0,34240.0,7125773.0,04/06/2020,23:47:18
128,1087,516.0,11.0,35258.0,7126012.0,05/06/2020,18:37:48
129,1090,532.0,11.0,35258.0,7126251.0,06/06/2020,17:45:31
130,1090,532.0,11.0,36373.0,7126251.0,06/06/2020,20:40:23
131,1135,575.0,11.0,36373.0,7126491.0,07/06/2020,18:32:35
132,1135,575.0,11.0,37532.0,7126730.0,08/06/2020,12:25:29
133,1145,603.0,11.0,38942.0,7126730.0,08/06/2020,18:00:43
134,1187,604.0,11.0,38942.0,7126969.0,09/06/2020,17:32:33
135,1187,604.0,11.0,40032.0,7126969.0,09/06/2020,18:52:13
136,1202,619.0,11.0,40032.0,7127209.0,10/06/2020,18:54:14
137,1202,619.0,11.0,41702.0,7127209.0,10/06/2020,23:30:04
138,1230,624.0,11.0,41702.0,7127448.0,11/06/2020,18:07:54
139,1230,624.0,11.0,43292.0,7127448.0,11/06/2020,22:16:16
140,1254,633.0,11.0,45132.0,7127687.0,12/06/2020,17:33:50
141,1261,647.0,11.0,46608.0,7127927.0,13/06/2020,19:32:47
142,1289,650.0,11.0,46608.0,7128166.0,14/06/2020,17:31:34
143,1289,650.0,11.0,48081.0,7128166.0,14/06/2020,20:32:13
144,1296,673.0,12.0,48081.0,7128405.0,15/06/2020,19:03:30
145,1303,699.0,12.0,49978.0,7128645.0,16/06/2020,17:55:03
146,1303,699.0,13.0,49978.0,7128884.0,17/06/2020,02:20:23
147,1308,711.0,13.0,49978.0,7128884.0,17/06/2020,17:30:04
148,1308,711.0,13.0,51178.0,7128884.0,17/06/2020,18:31:18
149,1330,717.0,13.0,51178.0,7129123.0,18/06/2020,17:07:37
150,1330,717.0,13.0,52649.0,7129123.0,18/06/2020,19:30:08
151,1336,741.0,13.0,52649.0,7129363.0,19/06/2020,19:00:47
152,1336,741.0,13.0,54278.0,7129363.0,19/06/2020,22:00:35
153,1362,791.0,13.0,55827.0,7129602.0,20/06/2020,18:30:09
154,1379,871.0,13.0,56992.0,7129842.0,21/06/2020,18:27:36
155,1392,903.0,13.0,56992.0,7130081.0,22/06/2020,17:20:52
156,1392,903.0,13.0,57895.0,7130081.0,22/06/2020,18:02:45
157,1422,926.0,13.0,57895.0,7130320.0,23/06/2020,17:56:18
158,1422,926.0,13.0,59454.0,7130560.0,24/06/2020,02:01:13
159,1528,944.0,13.0,60811.0,7130560.0,24/06/2020,19:02:22
160,1569,976.0,13.0,60811.0,7130799.0,25/06/2020,18:01:33
161,1569,976.0,13.0,62384.0,7130799.0,25/06/2020,18:42:39
162,1711,1013.0,13.0,63974.0,7131038.0,26/06/2020,21:00:25
163,1942,1045.0,15.0,65605.0,7131278.0,27/06/2020,22:00:04
164,1942,1045.0,15.0,66966.0,7131517.0,28/06/2020,20:19:11
165,2127,1065.0,15.0,66966.0,7131517.0,28/06/2020,20:30:04
166,2191,1080.0,16.0,68027.0,7131756.0,29/06/2020,19:30:44
167,2221,1089.0,17.0,69343.0,7131996.0,30/06/2020,19:03:31
168,2260,1102.0,19.0,70690.0,7132235.0,01/07/2020,19:00:11
169,2303,1108.0,19.0,72319.0,7132474.0,02/07/2020,19:23:23
170,2349,1113.0,19.0,74088.0,7132714.0,03/07/2020,20:00:11
171,2385,1134.0,20.0,76077.0,7132953.0,04/07/2020,20:00:44
172,2427,1166.0,20.0,77879.0,7133192.0,05/07/2020,20:22:23
173,2456,1180.0,20.0,77879.0,7133432.0,06/07/2020,19:00:34
174,2502,1193.0,20.0,81441.0,7133671.0,07/07/2020,19:17:42
175,2554,1212.0,20.0,82974.0,7133910.0,08/07/2020,20:27:22
176,2638,1229.0,20.0,82974.0,7134150.0,09/07/2020,21:00:29
177,2638,1229.0,20.0,84991.0,7134150.0,09/07/2020,22:00:33
178,2736,1256.0,20.0,84991.0,7134389.0,10/07/2020,21:22:14
179,2736,1256.0,20.0,87203.0,7134628.0,11/07/2020,22:05:25
180,2820,1261.0,21.0,89344.0,7134628.0,11/07/2020,23:31:24
181,2948,1275.0,21.0,89344.0,7134868.0,12/07/2020,21:33:18
182,2948,1275.0,22.0,91281.0,7134868.0,12/07/2020,22:33:17
183,2980,1293.0,22.0,91281.0,7135107.0,13/07/2020,20:25:28
184,2980,1293.0,25.0,92442.0,7135107.0,13/07/2020,21:00:06
185,3074,1308.0,25.0,94328.0,7135346.0,14/07/2020,21:38:19
186,3198,1338.0,25.0,96060.0,7135586.0,15/07/2020,21:57:26
187,3342,1379.0,27.0,98088.0,7135825.0,16/07/2020,22:10:06
188,3457,1481.0,28.0,100315.0,7136064.0,17/07/2020,23:00:06
189,3629,1643.0,29.0,102784.0,7136304.0,18/07/2020,23:33:22
190,3721,1918.0,29.0,102784.0,7136543.0,19/07/2020,22:05:23
191,3721,1918.0,31.0,105122.0,7136543.0,19/07/2020,22:48:27
192,3748,2171.0,33.0,106345.0,7136782.0,20/07/2020,22:30:06
193,3817,2307.0,35.0,108033.0,7137022.0,21/07/2020,22:00:40
194,4000,2391.0,36.0,108033.0,7137261.0,22/07/2020,23:16:42
195,4113,2487.0,36.0,112039.0,7137500.0,23/07/2020,23:53:33
196,4224,2596.0,38.0,112039.0,7137979.0,25/07/2020,00:33:46
197,4224,2596.0,38.0,114045.0,7137979.0,25/07/2020,01:02:16
198,4328,2679.0,40.0,115906.0,7137979.0,25/07/2020,23:24:52
199,4444,2794.0,41.0,117562.0,7138218.0,26/07/2020,23:47:08
200,4548,2905.0,43.0,119256.0,7138458.0,27/07/2020,23:48:01
201,4674,3039.0,45.0,120943.0,7138697.0,28/07/2020,23:29:41
202,4866,3169.0,46.0,122829.0,7138936.0,29/07/2020,23:38:27
203,5207,3250.0,47.0,125361.0,7139415.0,31/07/2020,00:32:12
204,5338,3548.0,49.0,127610.0,7139415.0,31/07/2020,23:59:28
205,5485,3786.0,52.0,128709.0,7139894.0,02/08/2020,00:50:11
206,5644,3966.0,52.0,129724.0,7140133.0,03/08/2020,00:31:52
207,5724,4249.0,55.0,129724.0,7140133.0,03/08/2020,22:48:06
208,5852,4645.0,59.0,129724.0,7140612.0,05/08/2020,01:00:54
209,6060,4839.0,59.0,129724.0,7140612.0,05/08/2020,23:51:58
210,6060,4839.0,61.0,129724.0,7140851.0,06/08/2020,00:28:30
