,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,06/03/2020,13:25:51
1,6,,,,,08/03/2020,00:24:41
2,7,,,,,09/03/2020,01:31:01
3,9,,,,,09/03/2020,18:07:52
4,11,,,,,10/03/2020,14:17:21
5,13,,,,,11/03/2020,20:43:50
6,17,,,,,12/03/2020,03:34:39
7,22,,,,,12/03/2020,16:13:37
8,28,,,,,13/03/2020,14:31:30
9,38,,,,,14/03/2020,01:11:47
10,43,,,,,15/03/2020,03:37:43
11,71,,,,,15/03/2020,19:57:34
12,71,1.0,,,,16/03/2020,14:07:40
13,86,1.0,,,,16/03/2020,14:17:48
14,117,1.0,,,,17/03/2020,13:53:18
15,145,1.0,,,,18/03/2020,16:30:04
16,155,1.0,,,,19/03/2020,10:28:55
17,234,1.0,,,,19/03/2020,18:51:51
18,234,1.0,1.0,,,19/03/2020,22:52:17
19,234,1.0,3.0,,,20/03/2020,03:32:28
20,234,1.0,4.0,,,20/03/2020,17:27:52
21,263,1.0,4.0,,,20/03/2020,20:19:01
22,318,1.0,5.0,,,21/03/2020,19:45:31
23,363,1.0,5.0,,,22/03/2020,17:55:33
24,395,1.0,5.0,,,23/03/2020,19:28:30
25,416,1.0,5.0,,,24/03/2020,17:54:54
26,416,1.0,7.0,,,24/03/2020,18:20:00
27,416,1.0,9.0,,,25/03/2020,17:09:18
28,480,1.0,9.0,,,25/03/2020,18:02:28
29,580,14.0,9.0,,,26/03/2020,17:51:23
30,635,14.0,9.0,,,27/03/2020,18:30:15
31,635,16.0,9.0,,,27/03/2020,20:33:07
32,635,16.0,11.0,,,27/03/2020,22:56:47
33,671,16.0,16.0,,,28/03/2020,18:25:32
34,852,16.0,18.0,,,29/03/2020,17:19:08
35,950,16.0,18.0,,,30/03/2020,17:56:29
36,950,53.0,24.0,,,30/03/2020,22:10:45
37,1065,53.0,24.0,,,31/03/2020,17:47:56
38,1065,394.0,30.0,,,31/03/2020,19:31:10
39,1323,394.0,30.0,,,01/04/2020,18:01:51
40,1323,394.0,38.0,,,01/04/2020,19:44:13
41,1323,394.0,47.0,,,02/04/2020,02:13:31
42,1414,394.0,47.0,,,02/04/2020,18:08:37
43,1414,537.0,55.0,,,02/04/2020,22:06:41
44,1595,537.0,55.0,,,03/04/2020,18:16:12
45,1595,537.0,61.0,,,03/04/2020,20:05:46
46,1595,537.0,61.0,16518.0,,04/04/2020,03:58:25
47,1746,799.0,61.0,17841.0,,04/04/2020,18:01:10
48,1746,914.0,73.0,17841.0,,04/04/2020,19:22:20
49,2281,914.0,83.0,17841.0,,05/04/2020,17:55:13
50,2281,989.0,83.0,19410.0,,05/04/2020,18:50:04
51,2561,997.0,92.0,20414.0,,06/04/2020,18:07:55
52,2954,997.0,92.0,20414.0,,07/04/2020,17:56:29
53,2954,1301.0,92.0,21555.0,,07/04/2020,18:56:42
54,2954,1301.0,107.0,21555.0,,07/04/2020,19:13:46
55,4342,1301.0,107.0,39599.0,,08/04/2020,19:47:20
56,4342,1333.0,121.0,39599.0,,08/04/2020,19:58:05
57,5256,1438.0,138.0,48465.0,,09/04/2020,19:38:38
58,5897,1569.0,169.0,56681.0,,10/04/2020,18:10:49
59,6848,1569.0,169.0,67712.0,,11/04/2020,17:40:24
60,6848,1739.0,181.0,67712.0,,11/04/2020,18:23:58
61,7519,1798.0,193.0,76506.0,,12/04/2020,20:52:56
62,9784,1798.0,193.0,87116.0,,13/04/2020,11:07:56
63,9784,2642.0,216.0,87116.0,,13/04/2020,21:49:48
64,10303,2642.0,230.0,87116.0,,14/04/2020,19:00:05
65,10303,2869.0,230.0,102216.0,,14/04/2020,19:06:38
66,11475,3108.0,254.0,109385.0,,15/04/2020,18:59:52
67,12491,6120.0,274.0,121468.0,,16/04/2020,23:37:57
68,13489,6120.0,300.0,121468.0,,17/04/2020,17:51:55
69,13489,6120.0,300.0,127513.0,,17/04/2020,18:19:24
70,13489,6541.0,300.0,127513.0,,17/04/2020,18:49:21
71,14420,6684.0,348.0,135895.0,,18/04/2020,17:59:20
72,15628,6811.0,400.0,143745.0,,19/04/2020,16:00:05
73,16325,6811.0,400.0,143745.0,,20/04/2020,18:18:23
74,16325,6968.0,445.0,143745.0,,20/04/2020,18:20:40
75,16325,6968.0,445.0,148011.0,,20/04/2020,19:00:04
76,17837,6982.0,484.0,155724.0,,21/04/2020,18:16:28
77,19250,7027.0,530.0,170400.0,,22/04/2020,19:13:34
78,20914,7422.0,572.0,185238.0,,23/04/2020,17:00:34
79,21648,7496.0,634.0,198349.0,,24/04/2020,19:30:20
80,25331,7797.0,700.0,218195.0,,25/04/2020,17:30:05
81,27517,8088.0,728.0,232747.0,,26/04/2020,19:02:28
82,28699,8425.0,782.0,239563.0,,28/04/2020,02:05:53
83,31190,9179.0,854.0,267612.0,,28/04/2020,21:30:50
84,33931,10037.0,943.0,296262.0,,29/04/2020,21:06:40
85,36976,10405.0,1051.0,318252.0,,30/04/2020,19:18:24
86,40459,11129.0,1124.0,342498.0,,01/05/2020,19:00:04
87,40459,11129.0,1124.0,355604.0,,02/05/2020,19:31:11
88,42534,12434.0,1200.0,355604.0,,02/05/2020,20:01:09
89,45928,13550.0,1286.0,375096.0,,03/05/2020,19:54:27
90,47372,14427.0,1344.0,385492.0,,04/05/2020,19:48:06
91,51189,14427.0,1444.0,385492.0,,05/05/2020,17:53:59
92,51189,15413.0,1444.0,406579.0,,05/05/2020,20:46:28
93,54817,17527.0,1533.0,429458.0,,06/05/2020,20:12:37
94,58526,18388.0,1627.0,448020.0,,07/05/2020,20:01:11
95,61847,19012.0,1714.0,473190.0,,07/05/2020,20:30:27
96,58526,18388.0,1627.0,448020.0,,07/05/2020,21:17:20
97,58526,19012.0,1627.0,473190.0,,08/05/2020,20:30:38
98,61847,19012.0,1714.0,473190.0,,08/05/2020,21:00:55
99,65015,20246.0,1814.0,494250.0,,09/05/2020,21:00:54
100,67307,20246.0,1889.0,504930.0,,10/05/2020,20:30:38
101,67307,21349.0,1889.0,504930.0,,10/05/2020,21:01:06
102,68822,22406.0,1961.0,512869.0,,11/05/2020,19:44:41
103,72059,23324.0,2057.0,532169.0,,12/05/2020,20:30:16
