,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,0.0,,,30/01/2020,09:35:54
1,2,,1.0,,,02/02/2020,16:27:45
2,3,,1.0,,,05/02/2020,09:27:26
3,3,2.0,1.0,,,10/02/2020,10:07:48
4,3,333.0,1.0,,,24/02/2020,13:25:00
5,3,2.0,1.0,,,24/02/2020,15:57:52
6,5,2.0,1.0,,,06/03/2020,04:09:16
7,6,2.0,1.0,,,07/03/2020,11:13:05
8,10,2.0,1.0,,,08/03/2020,16:48:29
9,20,2.0,1.0,,,09/03/2020,11:21:23
10,24,2.0,1.0,,,09/03/2020,15:26:57
11,35,2.0,1.0,,,10/03/2020,09:39:08
12,33,2.0,1.0,,,10/03/2020,10:05:00
13,49,2.0,1.0,,,11/03/2020,12:13:51
14,49,2.0,2.0,,,11/03/2020,23:01:12
15,52,2.0,2.0,,,12/03/2020,10:02:00
16,52,2.0,5.0,,,13/03/2020,04:28:36
17,64,2.0,5.0,,,13/03/2020,15:38:32
18,64,2.0,6.0,,,14/03/2020,02:16:52
19,64,2.0,8.0,,,14/03/2020,08:46:05
20,98,2.0,8.0,,,14/03/2020,11:03:36
21,111,2.0,8.0,,,14/03/2020,14:52:51
22,111,2.0,11.0,,,15/03/2020,08:45:12
23,140,2.0,11.0,,,15/03/2020,09:56:00
24,140,2.0,12.0,,,16/03/2020,00:02:21
25,140,5.0,12.0,,,16/03/2020,02:51:16
26,142,5.0,12.0,,,16/03/2020,12:36:27
27,187,5.0,12.0,,,17/03/2020,09:07:12
28,187,4.0,14.0,,,18/03/2020,02:28:44
29,193,4.0,14.0,,,18/03/2020,05:42:07
30,202,4.0,14.0,,,18/03/2020,09:03:01
31,202,4.0,17.0,,,18/03/2020,09:24:03
32,202,7.0,17.0,,,19/03/2020,02:37:17
33,217,8.0,17.0,,,19/03/2020,09:31:30
34,230,8.0,18.0,,,20/03/2020,08:58:28
35,262,8.0,18.0,,,21/03/2020,05:32:26
36,262,13.0,19.0,,,21/03/2020,08:30:14
37,307,13.0,19.0,,,21/03/2020,09:00:11
38,380,15.0,25.0,,,22/03/2020,03:33:21
39,396,18.0,33.0,,,23/03/2020,05:32:09
40,462,18.0,33.0,,,23/03/2020,08:26:37
41,501,19.0,33.0,,,24/03/2020,03:02:11
42,552,19.0,33.0,,,24/03/2020,09:14:31
43,552,20.0,35.0,,,24/03/2020,11:08:20
44,636,26.0,38.0,,,25/03/2020,09:30:29
45,707,26.0,38.0,,,26/03/2020,08:30:04
46,707,28.0,45.0,,,26/03/2020,08:42:53
47,803,31.0,54.0,,,27/03/2020,08:48:05
48,1075,35.0,68.0,,,28/03/2020,10:05:16
49,1418,42.0,68.0,,,29/03/2020,09:13:05
50,1418,42.0,71.0,,,29/03/2020,09:31:16
51,1546,42.0,78.0,,,30/03/2020,09:00:41
52,2084,49.0,88.0,,,31/03/2020,08:58:35
53,2311,50.0,96.0,,,01/04/2020,08:26:42
54,2633,51.0,107.0,,,02/04/2020,09:01:55
55,3018,52.0,136.0,,,03/04/2020,08:57:01
56,3018,52.0,136.0,5265.0,,04/04/2020,03:58:25
57,3094,57.0,144.0,5265.0,,04/04/2020,08:29:36
58,3094,57.0,144.0,5530.0,,04/04/2020,11:32:49
59,3094,57.0,144.0,16268.0,,05/04/2020,05:07:56
60,3246,64.0,152.0,16268.0,,05/04/2020,08:19:44
61,3246,64.0,152.0,19585.0,,05/04/2020,13:27:58
62,3414,64.0,152.0,22958.0,,06/04/2020,05:00:04
63,3660,73.0,163.0,22958.0,,06/04/2020,09:03:43
64,3764,84.0,177.0,22958.0,,07/04/2020,09:44:01
65,3764,84.0,177.0,24500.0,,08/04/2020,02:54:59
66,3870,96.0,182.0,24500.0,,08/04/2020,08:07:56
67,4076,124.0,203.0,24500.0,,09/04/2020,09:06:57
68,4195,140.0,221.0,24500.0,,10/04/2020,08:07:56
69,4428,157.0,247.0,24500.0,,11/04/2020,09:00:08
70,4648,197.0,297.0,24500.0,,12/04/2020,08:35:14
71,4648,197.0,297.0,33814.0,,12/04/2020,08:54:37
72,4932,242.0,315.0,33814.0,,13/04/2020,11:07:56
73,5223,295.0,335.0,33814.0,,14/04/2020,09:00:07
74,5223,295.0,335.0,38103.0,,14/04/2020,09:31:13
75,5223,295.0,335.0,43500.0,,14/04/2020,19:08:35
76,5453,353.0,349.0,43500.0,,15/04/2020,08:07:56
77,5453,353.0,349.0,45486.0,,15/04/2020,08:35:53
