,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,04/03/2020,07:33:24
1,5,,,,,06/03/2020,16:53:41
2,6,,,,,07/03/2020,12:41:40
3,8,,,,,08/03/2020,13:14:43
4,11,,,,,08/03/2020,20:26:10
5,16,,,,,09/03/2020,11:21:23
6,17,,,,,09/03/2020,17:28:05
7,18,,,,,10/03/2020,10:40:42
8,20,,,,,10/03/2020,13:38:40
9,21,,,,,10/03/2020,17:21:19
10,22,,,,,10/03/2020,19:15:49
11,25,,,,,11/03/2020,07:35:33
12,27,,,,,11/03/2020,15:03:12
13,31,,,,,11/03/2020,18:37:47
14,44,,,,,12/03/2020,07:41:03
15,47,,,,,12/03/2020,09:00:06
16,47,,1.0,,,12/03/2020,12:20:12
17,51,,1.0,,,12/03/2020,15:55:30
18,58,,1.0,,,13/03/2020,08:37:16
19,61,,1.0,,,13/03/2020,10:13:01
20,64,,1.0,,,13/03/2020,13:16:57
21,68,,1.0,,,13/03/2020,16:44:32
22,68,,2.0,,,13/03/2020,22:40:01
23,84,,2.0,,,14/03/2020,09:05:08
24,93,,2.0,,,14/03/2020,12:56:07
25,103,,2.0,,,14/03/2020,20:39:47
26,103,13.0,3.0,,,14/03/2020,22:08:07
27,104,13.0,3.0,,,15/03/2020,03:37:43
28,111,13.0,3.0,,,15/03/2020,08:45:12
29,119,13.0,3.0,,,15/03/2020,14:12:32
30,123,13.0,3.0,,,15/03/2020,18:30:54
31,125,13.0,3.0,,,15/03/2020,22:00:42
32,150,13.0,3.0,,,16/03/2020,08:10:25
33,150,,3.0,,,16/03/2020,11:19:25
34,156,,3.0,,,16/03/2020,15:20:08
35,177,,4.0,,,16/03/2020,20:50:10
36,205,,5.0,,,17/03/2020,08:19:33
37,221,,5.0,,,17/03/2020,13:20:44
38,238,,5.0,,,17/03/2020,20:37:32
39,238,1.0,5.0,,,17/03/2020,21:14:56
40,246,1.0,5.0,,,18/03/2020,07:53:07
41,246,13.0,5.0,,,18/03/2020,09:03:01
42,246,1.0,5.0,,,18/03/2020,09:55:52
43,251,1.0,5.0,,,18/03/2020,13:49:49
44,287,1.0,5.0,,,18/03/2020,18:29:33
45,287,13.0,5.0,,,19/03/2020,02:37:17
46,305,13.0,5.0,,,19/03/2020,07:52:18
47,325,13.0,5.0,,,19/03/2020,11:18:34
48,355,13.0,5.0,,,19/03/2020,19:15:23
49,357,13.0,5.0,,,19/03/2020,19:30:14
50,355,13.0,5.0,,,19/03/2020,20:20:19
51,367,13.0,5.0,,,20/03/2020,08:58:28
52,368,13.0,6.0,,,20/03/2020,10:38:09
53,378,13.0,6.0,,,20/03/2020,10:45:01
54,411,13.0,5.0,,,20/03/2020,15:30:18
55,425,13.0,5.0,,,20/03/2020,19:55:36
56,439,13.0,5.0,,,21/03/2020,07:41:07
57,452,13.0,5.0,,,21/03/2020,12:30:11
58,492,13.0,5.0,,,21/03/2020,18:10:28
59,536,13.0,5.0,,,21/03/2020,20:00:49
60,563,13.0,7.0,,,22/03/2020,11:50:21
61,627,13.0,7.0,,,22/03/2020,17:55:33
62,634,13.0,7.0,,,22/03/2020,20:30:15
63,649,13.0,7.0,,,23/03/2020,07:48:26
64,684,13.0,8.0,,,23/03/2020,11:43:07
65,692,13.0,8.0,,,23/03/2020,15:48:01
66,749,13.0,8.0,,,23/03/2020,19:30:35
67,766,13.0,8.0,,,24/03/2020,08:01:14
68,774,1.0,9.0,,,24/03/2020,09:30:47
69,799,1.0,9.0,,,24/03/2020,13:47:20
70,848,1.0,9.0,,,24/03/2020,16:44:18
71,844,1.0,9.0,,,24/03/2020,18:20:00
72,884,1.0,10.0,,,24/03/2020,19:01:12
73,901,1.0,10.0,,,24/03/2020,20:45:49
74,927,1.0,12.0,,,25/03/2020,09:30:29
75,927,1.0,13.0,,,25/03/2020,12:39:36
76,957,1.0,13.0,,,25/03/2020,12:43:28
77,957,2.0,13.0,,,25/03/2020,13:44:28
78,1031,2.0,14.0,,,25/03/2020,16:56:06
79,1051,2.0,14.0,,,25/03/2020,20:06:33
80,1051,7.0,14.0,,,25/03/2020,22:12:13
81,1085,7.0,15.0,,,26/03/2020,08:30:04
82,1085,7.0,14.0,,,26/03/2020,11:01:02
83,1120,7.0,14.0,,,26/03/2020,13:30:35
84,1163,7.0,14.0,,,26/03/2020,17:06:09
85,1221,7.0,16.0,,,26/03/2020,19:53:33
86,1244,7.0,16.0,,,27/03/2020,07:55:13
87,1289,7.0,16.0,,,27/03/2020,13:35:12
88,1340,7.0,16.0,,,27/03/2020,16:58:09
89,1389,7.0,16.0,,,27/03/2020,19:52:04
90,1436,7.0,16.0,,,28/03/2020,08:39:41
91,1481,7.0,17.0,,,28/03/2020,15:03:57
92,1638,7.0,18.0,,,28/03/2020,19:32:34
93,1717,7.0,19.0,,,29/03/2020,07:36:32
94,1771,7.0,20.0,,,29/03/2020,12:34:15
95,1862,7.0,22.0,,,29/03/2020,18:57:07
96,1905,7.0,26.0,,,30/03/2020,07:00:55
97,1984,7.0,26.0,,,30/03/2020,13:00:17
98,2055,7.0,31.0,,,30/03/2020,18:26:43
99,2132,7.0,31.0,,,31/03/2020,06:51:21
100,2215,7.0,32.0,,,31/03/2020,13:05:12
101,2311,7.0,33.0,,,31/03/2020,19:31:10
102,2347,7.0,35.0,,,01/04/2020,07:09:08
103,2420,7.0,36.0,,,01/04/2020,12:41:57
104,2554,7.0,43.0,,,01/04/2020,19:40:14
105,2554,47.0,43.0,,,01/04/2020,20:35:50
106,2554,56.0,43.0,,,01/04/2020,22:45:28
107,2633,56.0,45.0,,,02/04/2020,10:05:12
108,2692,56.0,51.0,,,02/04/2020,15:18:57
109,2946,56.0,57.0,,,02/04/2020,22:06:41
110,3149,56.0,59.0,,,03/04/2020,08:57:01
111,3266,56.0,65.0,,,03/04/2020,15:32:06
112,3383,56.0,71.0,,,03/04/2020,21:05:12
113,3383,56.0,71.0,66938.0,,04/04/2020,03:58:25
114,3383,116.0,71.0,66938.0,,04/04/2020,07:30:42
115,3503,116.0,73.0,66938.0,,04/04/2020,08:29:36
116,3503,116.0,73.0,72901.0,,04/04/2020,11:32:49
117,3627,116.0,79.0,72901.0,,04/04/2020,15:53:48
118,3627,134.0,79.0,72901.0,,05/04/2020,07:48:08
119,3834,134.0,84.0,72901.0,,05/04/2020,08:19:44
120,3834,134.0,84.0,80757.0,,05/04/2020,11:25:56
121,4102,134.0,94.0,80757.0,,05/04/2020,16:01:59
122,4102,162.0,94.0,80757.0,,06/04/2020,06:42:40
123,4201,162.0,98.0,80757.0,,06/04/2020,08:07:58
124,4201,162.0,98.0,85467.0,,06/04/2020,11:34:06
125,4413,162.0,107.0,85467.0,,06/04/2020,16:13:24
126,4532,191.0,111.0,85467.0,,07/04/2020,08:21:53
127,4532,191.0,111.0,92215.0,,07/04/2020,11:55:46
128,4666,191.0,129.0,92215.0,,07/04/2020,16:05:33
129,4848,191.0,129.0,92215.0,,07/04/2020,17:09:17
130,5000,191.0,136.0,92215.0,,08/04/2020,08:25:58
131,5000,222.0,136.0,92215.0,,08/04/2020,10:55:06
132,5000,220.0,136.0,92215.0,,08/04/2020,11:27:13
133,5000,222.0,136.0,99284.0,,08/04/2020,11:40:03
134,5205,222.0,159.0,99284.0,,08/04/2020,16:37:55
135,5205,284.0,159.0,99284.0,,09/04/2020,07:07:56
136,5341,284.0,164.0,99284.0,,09/04/2020,08:24:07
137,5341,284.0,164.0,107597.0,,09/04/2020,11:33:21
138,5575,284.0,174.0,107597.0,,09/04/2020,15:26:47
139,5575,318.0,174.0,107597.0,,10/04/2020,07:49:25
140,5742,318.0,175.0,107597.0,,10/04/2020,08:07:56
141,5742,318.0,175.0,118295.0,,10/04/2020,11:57:25
142,5955,318.0,181.0,118295.0,,10/04/2020,15:11:59
143,5955,375.0,181.0,118295.0,,11/04/2020,07:56:12
144,6088,375.0,195.0,118295.0,,11/04/2020,09:00:08
145,6088,375.0,195.0,129560.0,,11/04/2020,11:43:50
146,6356,375.0,208.0,129560.0,,11/04/2020,15:41:22
147,6674,375.0,232.0,129560.0,,12/04/2020,15:07:56
148,6674,439.0,232.0,138007.0,,12/04/2020,15:24:53
149,6934,487.0,245.0,143630.0,,13/04/2020,11:07:56
150,6934,618.0,245.0,143630.0,,14/04/2020,08:00:04
151,7049,618.0,251.0,143630.0,,14/04/2020,09:00:07
152,7049,618.0,251.0,148321.0,,14/04/2020,13:00:13
153,7202,618.0,263.0,148321.0,,14/04/2020,16:00:08
154,7202,668.0,263.0,148321.0,,15/04/2020,07:18:25
155,7408,668.0,268.0,148321.0,,15/04/2020,08:07:56
156,7408,668.0,268.0,156493.0,,15/04/2020,12:33:22
157,7582,668.0,286.0,156493.0,,15/04/2020,16:15:51
158,7582,774.0,286.0,156493.0,,16/04/2020,07:21:21
159,7771,774.0,292.0,156493.0,,16/04/2020,08:07:56
160,7771,774.0,292.0,169071.0,,16/04/2020,12:00:07
161,7918,774.0,314.0,169071.0,,16/04/2020,15:46:28
162,7918,866.0,314.0,169071.0,,17/04/2020,07:00:06
163,8214,866.0,318.0,169071.0,,17/04/2020,09:00:05
164,8214,866.0,318.0,179654.0,,17/04/2020,14:00:07
165,8379,866.0,332.0,179654.0,,17/04/2020,15:54:10
166,8379,981.0,332.0,179654.0,,18/04/2020,06:00:29
167,8563,981.0,339.0,179654.0,,18/04/2020,08:32:56
168,8563,981.0,339.0,192960.0,,18/04/2020,12:00:04
169,8742,981.0,347.0,192960.0,,18/04/2020,15:59:18
170,8742,1040.0,347.0,192960.0,,19/04/2020,07:40:53
171,9082,1040.0,350.0,192960.0,,19/04/2020,08:24:24
172,9082,1040.0,350.0,204246.0,,19/04/2020,12:00:03
173,9287,1040.0,360.0,204246.0,,19/04/2020,16:00:05
174,9287,1133.0,360.0,204246.0,,20/04/2020,07:26:24
175,9453,1133.0,362.0,204246.0,,20/04/2020,08:53:42
176,9453,1133.0,362.0,214236.0,,20/04/2020,12:28:28
177,9593,1133.0,380.0,214236.0,,20/04/2020,15:59:50
178,9737,1297.0,385.0,214236.0,,21/04/2020,07:00:08
179,9737,1297.0,385.0,224355.0,,21/04/2020,12:42:37
180,9856,1297.0,401.0,224355.0,,21/04/2020,15:40:51
181,9856,1513.0,401.0,224355.0,,22/04/2020,07:52:58
182,10034,1513.0,404.0,224355.0,,22/04/2020,08:20:46
183,10034,1513.0,404.0,238799.0,,22/04/2020,12:00:06
184,10169,1513.0,426.0,238799.0,,22/04/2020,16:00:08
185,10169,1740.0,426.0,238799.0,,23/04/2020,07:30:04
186,10346,1740.0,435.0,238799.0,,23/04/2020,08:14:52
187,10511,1740.0,454.0,250719.0,,23/04/2020,17:00:34
188,10511,1944.0,454.0,250719.0,,24/04/2020,07:15:55
189,10759,1944.0,463.0,250719.0,,24/04/2020,08:30:24
190,10759,1944.0,463.0,265201.0,,24/04/2020,13:00:17
191,10892,1944.0,494.0,265201.0,,24/04/2020,19:30:20
192,10892,2126.0,494.0,265201.0,,25/04/2020,07:16:31
193,11067,2126.0,499.0,265201.0,,25/04/2020,08:32:14
194,11067,2126.0,499.0,278994.0,,25/04/2020,13:01:28
195,11273,2126.0,524.0,278994.0,,25/04/2020,17:30:05
196,11273,2265.0,524.0,278994.0,,26/04/2020,07:30:44
197,11395,2265.0,526.0,278994.0,,26/04/2020,08:25:51
198,11395,2265.0,526.0,290633.0,,26/04/2020,13:29:37
199,11617,2265.0,535.0,290633.0,,26/04/2020,14:39:02
200,11617,2466.0,535.0,290633.0,,27/04/2020,07:22:59
201,11761,2466.0,539.0,290633.0,,27/04/2020,08:18:44
202,11761,2466.0,539.0,297859.0,,27/04/2020,13:00:36
203,11902,2466.0,562.0,297859.0,,27/04/2020,15:48:26
204,12089,2655.0,570.0,297859.0,,28/04/2020,02:05:53
205,12218,2655.0,596.0,310744.0,,28/04/2020,13:54:54
206,12415,3025.0,606.0,324527.0,,29/04/2020,08:33:02
207,12640,3025.0,624.0,324527.0,,29/04/2020,16:35:36
208,12781,3025.0,628.0,324527.0,,30/04/2020,08:22:19
209,12781,3236.0,628.0,324527.0,,30/04/2020,09:00:53
210,12781,3236.0,628.0,338027.0,,30/04/2020,12:14:00
211,12877,3236.0,644.0,338027.0,,30/04/2020,15:58:07
212,13105,3491.0,650.0,338027.0,,01/05/2020,11:12:45
213,13105,3491.0,651.0,354628.0,,01/05/2020,11:30:30
214,13375,3762.0,664.0,366013.0,,02/05/2020,11:31:51
215,13693,3945.0,678.0,375948.0,,03/05/2020,11:29:27
216,13693,4095.0,678.0,375948.0,,04/05/2020,07:31:35
217,13937,4095.0,683.0,375948.0,,04/05/2020,08:25:00
218,14006,4095.0,698.0,383804.0,,04/05/2020,16:35:27
219,14006,4280.0,698.0,383804.0,,05/05/2020,07:57:05
220,14242,4280.0,700.0,383804.0,,05/05/2020,08:31:10
221,14242,4280.0,700.0,394270.0,,05/05/2020,14:11:06
222,14431,4280.0,716.0,394270.0,,05/05/2020,17:53:59
223,14431,4655.0,716.0,394270.0,,06/05/2020,07:30:40
224,14647,4655.0,723.0,394270.0,,06/05/2020,08:30:05
225,14647,4655.0,723.0,410468.0,,06/05/2020,12:31:06
226,14740,4655.0,733.0,410468.0,,06/05/2020,15:44:59
227,14740,4862.0,733.0,410468.0,,07/05/2020,07:18:39
228,14898,4862.0,737.0,410468.0,,07/05/2020,09:00:05
229,14898,4862.0,737.0,425994.0,,07/05/2020,13:50:16
230,15047,4862.0,755.0,425994.0,,07/05/2020,16:00:38
231,15366,5184.0,776.0,443506.0,,07/05/2020,20:30:27
232,15047,4862.0,755.0,425994.0,,07/05/2020,21:17:20
233,15047,5184.0,755.0,425994.0,,08/05/2020,08:00:04
234,15200,5184.0,756.0,425994.0,,08/05/2020,08:24:44
235,15200,5184.0,756.0,443506.0,,08/05/2020,13:01:26
236,15366,5184.0,776.0,443506.0,,08/05/2020,16:30:05
237,15366,5437.0,776.0,443506.0,,09/05/2020,07:50:33
238,15510,5437.0,777.0,443506.0,,09/05/2020,08:58:14
239,15510,5437.0,777.0,460686.0,,09/05/2020,12:15:23
240,15651,5437.0,785.0,460686.0,,09/05/2020,16:00:39
241,15651,5698.0,785.0,460686.0,,10/05/2020,07:56:02
242,15821,5698.0,791.0,460686.0,,10/05/2020,08:53:01
243,15821,5698.0,791.0,476904.0,,10/05/2020,12:00:05
244,15996,5698.0,800.0,476904.0,,10/05/2020,16:00:36
245,16206,5698.0,803.0,476904.0,,11/05/2020,08:32:14
246,16206,5816.0,803.0,476904.0,,11/05/2020,08:39:58
247,16326,5816.0,811.0,491216.0,,11/05/2020,17:46:23
248,16561,6131.0,827.0,507778.0,,12/05/2020,15:39:30
249,16921,6131.0,839.0,507778.0,,12/05/2020,16:55:59
250,17062,6410.0,847.0,507778.0,,13/05/2020,09:28:29
251,17062,6410.0,847.0,528122.0,,13/05/2020,13:10:07
252,17204,6410.0,861.0,528122.0,,13/05/2020,17:26:38
253,17469,6696.0,869.0,528122.0,,14/05/2020,08:02:26
254,17469,6696.0,869.0,554357.0,,14/05/2020,12:00:05
255,17615,6696.0,883.0,554357.0,,14/05/2020,15:58:44
256,17615,6918.0,883.0,554357.0,37851778.0,15/05/2020,05:31:30
257,17850,6918.0,893.0,554357.0,37851778.0,15/05/2020,08:30:46
258,17850,6918.0,893.0,576276.0,37851778.0,15/05/2020,12:57:02
259,18016,6918.0,907.0,576276.0,37851778.0,15/05/2020,15:56:03
260,18184,6918.0,912.0,576276.0,37851666.0,16/05/2020,08:16:44
261,18184,7175.0,912.0,576276.0,37851666.0,16/05/2020,08:30:12
262,18184,7175.0,912.0,601394.0,37851666.0,16/05/2020,12:56:02
263,18257,7175.0,915.0,601394.0,37851666.0,16/05/2020,16:29:53
264,18257,7451.0,915.0,601394.0,37851553.0,17/05/2020,07:30:11
265,18394,7451.0,919.0,601394.0,37851553.0,17/05/2020,08:24:55
266,18394,7451.0,919.0,620249.0,37851553.0,17/05/2020,12:44:50
267,18529,7451.0,925.0,620249.0,37851553.0,17/05/2020,17:24:15
268,18746,7451.0,929.0,620249.0,37851440.0,18/05/2020,08:30:05
269,18746,7628.0,929.0,620249.0,37851440.0,18/05/2020,09:14:20
270,18746,7628.0,929.0,636046.0,37851440.0,18/05/2020,14:45:43
271,18885,7628.0,936.0,636046.0,37851440.0,18/05/2020,16:06:43
272,19080,7903.0,941.0,636046.0,37851327.0,19/05/2020,08:15:47
273,19080,7903.0,941.0,653224.0,37851327.0,19/05/2020,13:19:38
274,19268,7903.0,948.0,653224.0,37851327.0,19/05/2020,16:57:23
275,19569,8183.0,953.0,653224.0,37851214.0,20/05/2020,09:33:06
276,19569,8183.0,953.0,674861.0,37851214.0,20/05/2020,13:20:53
277,19739,8183.0,962.0,674861.0,37851214.0,20/05/2020,18:02:04
278,19983,8452.0,965.0,697230.0,37851101.0,21/05/2020,07:23:54
279,20143,8452.0,972.0,697230.0,37851101.0,21/05/2020,17:07:19
280,20143,8731.0,972.0,697230.0,37850989.0,22/05/2020,07:24:52
281,20379,8731.0,973.0,697230.0,37850989.0,22/05/2020,10:03:53
282,20379,8731.0,973.0,719571.0,37850989.0,22/05/2020,12:00:04
283,20619,8731.0,982.0,719571.0,37850989.0,22/05/2020,16:52:39
284,20619,8977.0,982.0,719571.0,37850876.0,23/05/2020,08:00:41
285,20838,8977.0,990.0,719571.0,37850876.0,23/05/2020,08:30:21
286,20838,8977.0,990.0,750939.0,37850876.0,23/05/2020,12:00:04
287,20931,8977.0,993.0,750939.0,37850876.0,23/05/2020,17:00:30
288,20931,9194.0,993.0,750939.0,37850763.0,24/05/2020,07:22:33
289,21236,9194.0,995.0,750939.0,37850763.0,24/05/2020,08:30:23
290,21236,9194.0,995.0,767441.0,37850763.0,24/05/2020,11:47:28
291,21326,9194.0,996.0,767441.0,37850763.0,24/05/2020,16:02:29
292,21440,9276.0,996.0,767441.0,37850650.0,25/05/2020,06:54:19
293,21440,9276.0,996.0,779576.0,37850650.0,25/05/2020,12:01:24
294,21631,9276.0,1007.0,779576.0,37850650.0,25/05/2020,16:31:44
295,21631,10020.0,1007.0,779576.0,37850537.0,26/05/2020,07:13:21
296,21867,10020.0,1013.0,779576.0,37850537.0,26/05/2020,08:27:39
297,21867,10020.0,1013.0,801753.0,37850537.0,26/05/2020,11:57:38
298,22074,10020.0,1024.0,801753.0,37850537.0,26/05/2020,16:26:04
299,22074,10330.0,1024.0,801753.0,37850425.0,27/05/2020,07:22:46
300,22303,10330.0,1025.0,801753.0,37850425.0,27/05/2020,08:32:32
301,22303,10330.0,1025.0,824774.0,37850425.0,27/05/2020,15:01:22
