,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,02/03/2020,10:30:54
1,4,,,,,03/03/2020,09:51:09
2,2,,,,,03/03/2020,12:38:28
3,4,,,,,03/03/2020,20:41:20
4,5,,,,,04/03/2020,09:59:57
5,6,,,,,04/03/2020,23:00:42
6,8,,,,,05/03/2020,09:00:27
7,9,,,,,05/03/2020,18:38:17
8,13,,,,,06/03/2020,14:00:45
9,15,,,,,07/03/2020,11:13:05
10,18,,,,,07/03/2020,16:20:51
11,20,,,,,07/03/2020,17:41:35
12,21,,,,,07/03/2020,20:46:41
13,25,,,,,08/03/2020,10:25:07
14,28,,,,,08/03/2020,15:31:26
15,30,,,,,08/03/2020,18:35:03
16,31,,,,,09/03/2020,11:21:23
17,35,,,,,09/03/2020,17:28:05
18,39,,,,,09/03/2020,20:50:50
19,41,,,,,10/03/2020,12:27:18
20,59,,,,,11/03/2020,13:21:58
21,61,,,,,12/03/2020,03:34:39
22,78,,,,,12/03/2020,12:20:12
23,78,1.0,,,,12/03/2020,16:55:24
24,112,1.0,,,,13/03/2020,12:08:22
25,169,2.0,,,,14/03/2020,12:36:29
26,256,2.0,,,,15/03/2020,12:20:35
27,245,2.0,,,,15/03/2020,12:28:19
28,245,3.0,,,,16/03/2020,02:51:16
29,331,3.0,,,,16/03/2020,12:59:16
30,331,3.0,1.0,,,16/03/2020,17:07:28
31,332,3.0,1.0,,,17/03/2020,11:50:22
32,448,3.0,1.0,,,17/03/2020,12:10:21
33,448,3.0,2.0,,,18/03/2020,12:00:36
34,642,3.0,2.0,,,18/03/2020,12:26:14
35,642,4.0,2.0,,,18/03/2020,13:49:49
36,785,4.0,2.0,,,19/03/2020,12:16:57
37,785,4.0,3.0,,,19/03/2020,12:30:03
38,785,4.0,4.0,,,19/03/2020,20:20:19
39,786,4.0,4.0,,,19/03/2020,22:27:23
40,786,4.0,5.0,,,20/03/2020,11:05:10
41,1020,5.0,6.0,,,20/03/2020,12:32:04
42,1020,5.0,7.0,,,21/03/2020,09:10:06
43,1280,5.0,12.0,,,21/03/2020,12:01:55
44,1600,5.0,14.0,,,22/03/2020,12:18:47
45,2060,14.0,23.0,,,23/03/2020,12:31:26
46,2362,22.0,29.0,,,24/03/2020,13:10:31
47,2362,22.0,30.0,,,24/03/2020,14:27:07
48,2362,22.0,33.0,,,24/03/2020,16:44:18
49,2995,22.0,43.0,,,25/03/2020,12:32:08
50,3544,43.0,60.0,,,26/03/2020,12:16:23
51,4268,43.0,60.0,,,27/03/2020,12:33:06
52,4268,43.0,76.0,,,27/03/2020,13:35:12
53,4268,43.0,100.0,,,28/03/2020,12:59:29
54,5170,43.0,100.0,,,28/03/2020,15:03:57
55,5962,43.0,119.0,,,29/03/2020,11:32:09
56,6408,43.0,140.0,,,30/03/2020,11:50:14
57,7443,43.0,160.0,,,31/03/2020,11:52:57
58,8251,43.0,187.0,,,01/04/2020,12:03:47
59,9034,68.0,209.0,,,02/04/2020,12:06:42
60,9886,68.0,246.0,,,03/04/2020,12:13:30
61,9886,68.0,246.0,52086.0,,04/04/2020,03:58:25
62,9886,68.0,246.0,74377.0,,04/04/2020,08:59:18
63,10524,75.0,266.0,81087.0,,04/04/2020,11:32:49
64,11278,75.0,295.0,86370.0,,05/04/2020,11:25:56
65,11730,140.0,311.0,91794.0,,06/04/2020,11:34:06
66,11730,140.0,311.0,110000.0,,06/04/2020,20:57:59
67,12442,184.0,345.0,110000.0,,07/04/2020,11:19:43
68,12442,184.0,345.0,121256.0,,07/04/2020,13:04:08
69,13141,196.0,380.0,128784.0,,08/04/2020,12:56:03
70,13141,196.0,380.0,131127.0,,09/04/2020,06:31:38
71,13956,205.0,409.0,131127.0,,09/04/2020,12:51:00
72,13956,205.0,409.0,140368.0,,09/04/2020,14:32:13
73,15472,233.0,435.0,140368.0,,10/04/2020,11:57:25
74,15472,233.0,435.0,144000.0,,10/04/2020,13:07:56
75,15472,233.0,435.0,123564.0,,10/04/2020,18:58:19
76,15472,233.0,435.0,140863.0,,10/04/2020,23:07:56
77,15987,266.0,470.0,140863.0,,11/04/2020,12:32:43
78,15987,266.0,470.0,155193.0,,11/04/2020,17:40:24
79,15987,266.0,470.0,162798.0,,11/04/2020,22:00:03
80,16585,277.0,504.0,162798.0,,12/04/2020,12:27:57
81,16585,277.0,504.0,163616.0,,12/04/2020,14:00:04
82,16934,277.0,535.0,182707.0,,13/04/2020,11:07:56
83,17448,347.0,567.0,182707.0,,14/04/2020,12:00:03
84,17448,347.0,567.0,191680.0,,14/04/2020,23:28:32
85,18091,383.0,599.0,191680.0,,15/04/2020,11:36:01
86,18091,383.0,599.0,208314.0,,15/04/2020,23:00:02
87,18841,493.0,629.0,208314.0,,16/04/2020,12:00:07
88,18841,493.0,629.0,221049.0,,16/04/2020,23:37:57
89,19022,519.0,657.0,221049.0,,17/04/2020,12:00:06
90,19022,519.0,657.0,234207.0,,18/04/2020,01:00:05
91,19685,610.0,687.0,234207.0,,18/04/2020,12:00:04
92,19685,610.0,687.0,235878.0,,18/04/2020,15:59:18
93,20206,610.0,714.0,235878.0,,19/04/2020,11:33:05
94,20863,610.0,735.0,235878.0,,20/04/2020,12:00:09
95,21379,917.0,762.0,271962.0,,21/04/2020,12:42:37
96,21379,917.0,762.0,281907.0,,22/04/2020,02:00:06
97,21982,1143.0,785.0,281907.0,,22/04/2020,13:00:07
98,21982,1143.0,785.0,284741.0,,22/04/2020,14:00:07
99,21982,1143.0,785.0,300525.0,,23/04/2020,11:20:35
100,22353,1201.0,820.0,300525.0,,23/04/2020,17:00:34
101,22353,1201.0,820.0,315758.0,,24/04/2020,11:30:42
102,22797,1228.0,854.0,315758.0,,24/04/2020,13:00:17
103,23392,1277.0,880.0,330512.0,,25/04/2020,13:01:28
104,23864,1329.0,903.0,330512.0,,26/04/2020,12:33:06
105,24027,1357.0,928.0,330512.0,,27/04/2020,12:30:04
106,24027,1357.0,928.0,360155.0,,28/04/2020,02:05:53
107,24322,1389.0,948.0,360155.0,,28/04/2020,13:54:54
108,24322,1389.0,948.0,379551.0,,29/04/2020,00:04:29
109,24505,1470.0,973.0,379551.0,,29/04/2020,13:06:19
110,25045,1519.0,989.0,379551.0,,30/04/2020,12:32:52
111,25045,1519.0,989.0,395771.0,,30/04/2020,13:02:15
112,25351,1647.0,1007.0,395771.0,,01/05/2020,12:32:18
113,25351,1647.0,1007.0,409961.0,,01/05/2020,16:51:59
114,25351,1671.0,1023.0,409961.0,,02/05/2020,12:57:38
115,25351,1671.0,1023.0,426836.0,,02/05/2020,13:57:25
116,25190,1671.0,1023.0,426836.0,,02/05/2020,14:32:44
117,25282,1689.0,1043.0,426836.0,,03/05/2020,14:52:31
118,25524,1712.0,1063.0,450000.0,,04/05/2020,13:01:17
119,25702,1743.0,1074.0,450000.0,,05/05/2020,14:11:06
120,25702,1743.0,1074.0,469435.0,,05/05/2020,22:31:03
121,26182,2076.0,1089.0,470234.0,,06/05/2020,13:00:44
122,26715,2258.0,1105.0,470234.0,,07/05/2020,12:17:12
123,26715,2258.0,1105.0,485925.0,,07/05/2020,13:00:59
124,27268,2422.0,1114.0,501718.0,,07/05/2020,20:30:27
125,26715,2258.0,1105.0,485925.0,,07/05/2020,21:17:20
126,27268,2422.0,1114.0,485925.0,,08/05/2020,13:01:26
127,27268,2422.0,1114.0,501718.0,,08/05/2020,13:28:31
128,27406,2499.0,1126.0,517660.0,,09/05/2020,12:15:23
129,27581,2549.0,1135.0,517660.0,,10/05/2020,13:19:52
130,27679,2549.0,1144.0,517660.0,,11/05/2020,12:31:30
131,27913,3013.0,1163.0,553855.0,,12/05/2020,15:39:30
132,27913,3013.0,1163.0,566172.0,,13/05/2020,09:28:29
133,28132,3182.0,1175.0,566172.0,,13/05/2020,13:10:07
134,28319,3198.0,1184.0,582341.0,,14/05/2020,14:16:32
135,28319,3198.0,1184.0,600061.0,10200387.0,15/05/2020,11:30:04
136,28583,3328.0,1190.0,600061.0,10200387.0,15/05/2020,12:57:02
137,28810,3822.0,1203.0,600061.0,10200306.0,16/05/2020,12:56:02
138,28810,3822.0,1203.0,618066.0,10200225.0,17/05/2020,11:05:24
139,29036,4636.0,1218.0,618066.0,10200225.0,17/05/2020,12:44:50
140,29209,6430.0,1231.0,618066.0,10200144.0,18/05/2020,11:48:06
141,29209,6430.0,1231.0,652497.0,10200144.0,18/05/2020,14:45:43
