,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,14/03/2020,01:11:47
1,3,,,,,14/03/2020,01:44:34
2,4,,,,,15/03/2020,02:13:33
3,5,,,,,16/03/2020,00:02:21
4,6,,,,,18/03/2020,22:01:57
5,8,,,,,20/03/2020,11:39:27
6,14,,,,,20/03/2020,17:42:56
7,17,,,,,21/03/2020,14:42:22
8,21,,,,,21/03/2020,20:43:18
9,21,,1.0,,,22/03/2020,01:30:16
10,23,,1.0,,,22/03/2020,12:05:43
11,23,,2.0,,,23/03/2020,11:03:01
12,31,,2.0,,,23/03/2020,11:25:55
13,31,1.0,2.0,,,23/03/2020,14:18:53
14,39,1.0,2.0,,,24/03/2020,11:08:20
