,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,29/02/2020,11:30:22
1,3,,,,,01/03/2020,20:04:42
2,7,,,,,02/03/2020,16:48:36
3,8,,,,,03/03/2020,12:38:28
4,11,,,,,06/03/2020,15:42:22
5,12,,,,,07/03/2020,11:13:05
6,15,,,,,08/03/2020,16:48:29
7,18,,,,,09/03/2020,11:21:23
8,24,,,,,10/03/2020,16:24:12
9,262,,,,,11/03/2020,17:21:51
10,320,,,,,13/03/2020,21:22:44
11,337,,,,,14/03/2020,11:35:52
12,337,4.0,,,,14/03/2020,19:54:23
13,401,4.0,,,,15/03/2020,17:41:57
14,439,4.0,,,,16/03/2020,15:20:08
15,442,4.0,,,,17/03/2020,18:51:29
16,452,4.0,,,,18/03/2020,18:51:01
17,460,10.0,,,,19/03/2020,19:15:23
18,470,10.0,,,,20/03/2020,18:55:44
19,481,27.0,,,,21/03/2020,17:51:22
20,494,33.0,,,,22/03/2020,20:52:01
21,501,33.0,,,,23/03/2020,17:48:03
22,501,37.0,,,,24/03/2020,08:01:14
23,526,41.0,,,,24/03/2020,18:20:00
24,537,41.0,,,,25/03/2020,17:22:08
25,549,43.0,,,,26/03/2020,18:48:15
26,562,43.0,,,,27/03/2020,16:34:00
27,590,45.0,1.0,,,28/03/2020,16:58:24
28,634,48.0,1.0,,,29/03/2020,17:30:04
29,693,51.0,1.0,,,30/03/2020,16:35:12
30,781,62.0,2.0,,,31/03/2020,19:31:10
31,835,71.0,2.0,,,01/04/2020,18:37:14
32,949,72.0,3.0,,,02/04/2020,22:06:41
33,1075,93.0,3.0,,,03/04/2020,16:20:40
34,1075,93.0,3.0,28413.0,,04/04/2020,03:58:25
35,1325,109.0,3.0,31951.0,,04/04/2020,17:03:36
36,1604,123.0,4.0,35757.0,,05/04/2020,18:07:55
37,1832,131.0,4.0,38108.0,,06/04/2020,16:33:46
38,2057,150.0,6.0,41818.0,,07/04/2020,16:23:36
39,2210,178.0,6.0,41818.0,,08/04/2020,11:07:56
40,2376,206.0,6.0,43144.0,,09/04/2020,11:33:21
41,2512,227.0,6.0,45339.0,,10/04/2020,10:20:54
42,2728,247.0,6.0,47751.0,,11/04/2020,11:20:15
43,2979,275.0,7.0,49102.0,,12/04/2020,11:00:05
44,3231,334.0,7.0,50828.0,,13/04/2020,11:07:56
45,3428,373.0,7.0,52622.0,,14/04/2020,10:47:27
46,3711,406.0,7.0,54484.0,,15/04/2020,11:36:01
47,4103,415.0,7.0,56381.0,,16/04/2020,12:00:07
48,4663,464.0,7.0,58328.0,,17/04/2020,12:00:06
49,5008,510.0,8.0,60139.0,,18/04/2020,12:00:04
50,5448,518.0,8.0,62538.0,,19/04/2020,11:33:05
51,6015,555.0,9.0,64620.0,,20/04/2020,11:40:46
52,6533,614.0,9.0,66725.0,,21/04/2020,11:00:05
53,7141,689.0,10.0,70012.0,,22/04/2020,12:00:06
54,7764,750.0,10.0,73457.0,,23/04/2020,11:00:07
55,8525,750.0,10.0,73457.0,,24/04/2020,11:01:00
56,8525,809.0,10.0,75888.0,,24/04/2020,11:30:42
57,9358,929.0,10.0,79705.0,,25/04/2020,11:00:05
58,10287,1012.0,10.0,82289.0,,26/04/2020,11:25:05
59,11244,1066.0,10.0,85709.0,,27/04/2020,11:01:32
60,11921,1134.0,10.0,88607.0,,28/04/2020,13:54:54
61,12564,1243.0,10.0,88607.0,,29/04/2020,08:33:02
62,12564,1243.0,10.0,91415.0,,29/04/2020,16:35:36
63,13409,1372.0,10.0,94500.0,,30/04/2020,13:02:15
64,14096,1436.0,12.0,97726.0,,01/05/2020,11:12:45
65,14872,1534.0,12.0,101728.0,,02/05/2020,11:00:04
66,15551,1664.0,12.0,104435.0,,03/05/2020,12:30:04
67,16191,1810.0,12.0,106795.0,,04/05/2020,12:11:36
68,17142,1924.0,12.0,109762.0,,05/05/2020,11:20:06
69,17972,2070.0,12.0,112963.0,,06/05/2020,10:52:23
70,18890,2286.0,12.0,116495.0,,07/05/2020,11:00:33
71,20201,2370.0,12.0,120458.0,,07/05/2020,20:30:27
72,18890,2286.0,12.0,116495.0,,07/05/2020,21:17:20
73,20201,2370.0,12.0,120458.0,,08/05/2020,13:01:26
74,21331,2449.0,13.0,124554.0,,09/05/2020,12:15:23
75,22520,2753.0,14.0,127769.0,,10/05/2020,10:54:42
76,23623,2840.0,14.0,131044.0,,11/05/2020,12:31:30
77,25149,3019.0,14.0,135294.0,,12/05/2020,15:39:30
78,26539,3143.0,14.0,139127.0,,13/05/2020,13:10:07
79,28272,3356.0,14.0,143938.0,,14/05/2020,12:00:05
80,29425,3546.0,14.0,148173.0,2874514.0,15/05/2020,12:57:02
81,30972,3788.0,15.0,152704.0,2874647.0,16/05/2020,12:01:54
82,32604,4370.0,15.0,157570.0,2874781.0,17/05/2020,11:05:24
83,33969,4899.0,15.0,161695.0,2874914.0,18/05/2020,14:45:43
84,35606,5634.0,15.0,166182.0,2875047.0,19/05/2020,11:58:51
85,37097,6600.0,16.0,170437.0,2875180.0,20/05/2020,13:20:53
86,38651,7288.0,17.0,175482.0,2875313.0,21/05/2020,07:23:54
87,40481,7893.0,19.0,180642.0,2875446.0,22/05/2020,13:31:02
88,42213,8513.0,21.0,184794.0,2875579.0,23/05/2020,13:31:32
89,43714,9170.0,23.0,188143.0,2875712.0,24/05/2020,13:01:13
90,45465,10363.0,26.0,192484.0,2875845.0,25/05/2020,12:01:24
91,47207,11844.0,28.0,196411.0,2875978.0,26/05/2020,11:28:49
92,48947,13283.0,30.0,201180.0,2876111.0,27/05/2020,11:02:35
93,50914,15399.0,33.0,207033.0,2876244.0,28/05/2020,13:00:04
94,52907,15399.0,36.0,212897.0,2876377.0,29/05/2020,10:52:15
95,52907,20604.0,36.0,212897.0,2876377.0,29/05/2020,11:27:35
96,55262,25839.0,36.0,217988.0,2876510.0,30/05/2020,11:26:14
97,56910,30290.0,38.0,222069.0,2876643.0,31/05/2020,10:42:17
98,58433,33437.0,40.0,225919.0,2876776.0,01/06/2020,11:59:06
99,60259,36036.0,43.0,231098.0,2807805.0,02/06/2020,11:32:24
