,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,26/02/2020,22:03:43
1,3,,,,,28/02/2020,13:49:41
2,3,1.0,,,,28/02/2020,18:00:06
3,4,1.0,,,,03/03/2020,13:13:54
4,5,2.0,,,,04/03/2020,13:45:33
5,6,2.0,,,,04/03/2020,14:44:40
6,6,1.0,,,,04/03/2020,18:21:42
7,7,3.0,,,,06/03/2020,10:56:23
8,8,5.0,,,,06/03/2020,13:25:51
9,9,3.0,,,,06/03/2020,15:42:22
10,11,3.0,,,,07/03/2020,16:20:51
11,12,3.0,,,,07/03/2020,17:41:35
12,13,3.0,,,,07/03/2020,18:37:15
13,14,4.0,,,,08/03/2020,15:31:26
14,15,4.0,,,,08/03/2020,16:48:29
15,15,5.0,,,,08/03/2020,23:22:51
16,17,5.0,,,,09/03/2020,20:50:50
17,25,5.0,,,,10/03/2020,14:17:21
18,28,5.0,,,,10/03/2020,19:15:49
19,29,5.0,,,,10/03/2020,20:00:26
20,31,6.0,,,,11/03/2020,12:13:51
21,32,6.0,,,,11/03/2020,12:44:03
22,36,6.0,,,,11/03/2020,15:03:12
23,37,6.0,,,,11/03/2020,17:21:51
24,39,6.0,,,,11/03/2020,18:37:47
25,44,6.0,,,,11/03/2020,19:00:40
26,45,6.0,,,,11/03/2020,20:14:39
27,47,6.0,,,,11/03/2020,20:55:38
28,49,6.0,,,,12/03/2020,09:00:06
29,48,6.0,,,,12/03/2020,13:10:24
30,49,6.0,,,,12/03/2020,15:55:30
31,50,6.0,,,,12/03/2020,16:37:46
32,52,6.0,,,,12/03/2020,18:48:21
33,59,6.0,,,,12/03/2020,19:40:23
34,59,7.0,,,,13/03/2020,04:28:36
35,64,7.0,,,,13/03/2020,06:37:56
36,68,7.0,,,,13/03/2020,09:15:57
37,70,7.0,,,,13/03/2020,09:25:52
38,73,7.0,,,,13/03/2020,13:23:47
39,75,7.0,,,,13/03/2020,14:06:52
40,79,7.0,,,,13/03/2020,15:38:32
41,81,7.0,,,,13/03/2020,17:19:20
42,82,7.0,,,,13/03/2020,18:56:18
43,88,7.0,,,,13/03/2020,20:50:02
44,89,7.0,,,,13/03/2020,21:22:44
45,95,7.0,,,,14/03/2020,01:11:47
46,97,7.0,,,,14/03/2020,08:46:05
47,99,7.0,,,,14/03/2020,12:36:29
48,99,6.0,,,,14/03/2020,12:56:07
49,102,6.0,,,,14/03/2020,14:06:31
50,109,9.0,,,,14/03/2020,16:47:15
51,113,9.0,,,,14/03/2020,18:53:39
52,116,9.0,,,,14/03/2020,19:54:23
53,123,9.0,,,,14/03/2020,20:57:55
54,131,9.0,,,,15/03/2020,11:37:39
55,139,9.0,,,,15/03/2020,15:30:38
56,158,9.0,,,,16/03/2020,08:28:24
57,168,9.0,,,,16/03/2020,17:07:28
58,184,9.0,,,,17/03/2020,08:19:33
59,184,16.0,,,,17/03/2020,09:07:12
60,222,19.0,,,,17/03/2020,16:48:10
61,217,19.0,,,,17/03/2020,17:10:01
62,246,19.0,,,,18/03/2020,09:03:01
63,260,19.0,,,,18/03/2020,16:57:37
64,277,25.0,,,,19/03/2020,11:18:34
65,308,31.0,,,,20/03/2020,11:39:27
66,367,52.0,,,,21/03/2020,11:06:12
67,433,64.0,2.0,,,22/03/2020,11:36:17
68,433,64.0,3.0,,,22/03/2020,19:57:53
69,433,64.0,4.0,,,23/03/2020,10:30:08
70,576,73.0,4.0,,,23/03/2020,11:03:01
71,576,73.0,5.0,,,23/03/2020,12:31:26
72,576,73.0,6.0,,,23/03/2020,17:33:29
73,576,73.0,7.0,,,23/03/2020,18:39:23
74,576,73.0,8.0,,,24/03/2020,07:17:24
75,762,79.0,8.0,,,24/03/2020,11:08:20
76,762,79.0,11.0,,,24/03/2020,20:03:44
77,794,79.0,11.0,,,24/03/2020,21:11:00
78,794,79.0,12.0,,,24/03/2020,23:56:14
79,794,79.0,13.0,,,25/03/2020,09:30:29
80,906,86.0,13.0,,,25/03/2020,11:29:15
81,906,86.0,14.0,,,25/03/2020,15:28:22
82,906,86.0,17.0,,,25/03/2020,22:22:50
83,1029,94.0,17.0,,,26/03/2020,11:05:09
84,1029,94.0,18.0,,,26/03/2020,13:04:13
85,1029,94.0,22.0,,,26/03/2020,18:52:24
86,1029,94.0,23.0,,,26/03/2020,21:56:57
87,1029,94.0,24.0,,,27/03/2020,07:02:18
88,1292,115.0,24.0,,,27/03/2020,12:08:48
89,1292,115.0,25.0,,,27/03/2020,17:21:40
90,1292,115.0,26.0,,,27/03/2020,18:54:52
91,1292,115.0,29.0,,,28/03/2020,11:02:05
92,1452,139.0,29.0,,,28/03/2020,11:19:47
93,1452,139.0,30.0,,,28/03/2020,16:35:24
94,1452,139.0,34.0,,,28/03/2020,21:24:08
95,1452,139.0,37.0,,,28/03/2020,23:00:58
96,1760,169.0,38.0,,,29/03/2020,10:28:39
97,1760,169.0,40.0,,,29/03/2020,11:26:33
98,1760,169.0,42.0,,,29/03/2020,16:42:02
99,1760,206.0,43.0,,,29/03/2020,18:57:07
100,1815,206.0,43.0,,,29/03/2020,20:02:22
101,1815,206.0,44.0,,,30/03/2020,09:30:24
102,1952,206.0,44.0,,,30/03/2020,10:45:35
103,1952,206.0,46.0,,,30/03/2020,11:50:14
104,1952,209.0,47.0,,,30/03/2020,16:35:12
105,1952,209.0,50.0,,,30/03/2020,17:14:00
106,1952,209.0,52.0,,,30/03/2020,18:26:43
107,1952,209.0,65.0,,,30/03/2020,20:06:41
108,2109,209.0,65.0,,,30/03/2020,21:07:54
109,2109,209.0,68.0,,,31/03/2020,07:46:51
110,2109,209.0,69.0,,,31/03/2020,09:54:18
111,2245,220.0,69.0,,,31/03/2020,10:34:05
112,2245,220.0,72.0,,,31/03/2020,13:05:12
113,2245,220.0,78.0,,,31/03/2020,14:55:06
114,2245,220.0,79.0,,,31/03/2020,16:46:44
115,2245,220.0,80.0,,,31/03/2020,17:47:56
116,2245,220.0,82.0,,,31/03/2020,19:31:10
117,2245,220.0,85.0,,,01/04/2020,08:30:42
118,2460,252.0,85.0,,,01/04/2020,10:06:53
119,2460,252.0,86.0,,,01/04/2020,12:09:53
120,2460,252.0,92.0,,,01/04/2020,19:05:12
121,2460,252.0,94.0,,,02/04/2020,07:18:21
122,2738,267.0,94.0,,,02/04/2020,11:59:39
123,2738,267.0,107.0,,,02/04/2020,16:37:29
124,2738,267.0,114.0,,,02/04/2020,18:08:37
125,2738,267.0,115.0,,,02/04/2020,22:06:41
126,2738,267.0,116.0,,,03/04/2020,06:58:38
127,3183,283.0,116.0,,,03/04/2020,10:27:55
128,3183,283.0,118.0,,,03/04/2020,12:13:30
129,3183,283.0,122.0,,,03/04/2020,14:08:32
130,3183,283.0,133.0,,,03/04/2020,17:17:02
131,3183,283.0,133.0,31657.0,,04/04/2020,03:58:25
132,3613,329.0,141.0,36092.0,,04/04/2020,10:16:12
133,3613,329.0,146.0,36092.0,,04/04/2020,16:19:00
134,3613,329.0,148.0,36092.0,,05/04/2020,10:00:35
135,3864,374.0,148.0,38623.0,,05/04/2020,10:40:08
136,3864,374.0,151.0,38623.0,,05/04/2020,16:01:59
137,3864,374.0,156.0,38623.0,,06/04/2020,06:07:02
138,3864,374.0,157.0,38623.0,,06/04/2020,09:03:43
139,4057,406.0,157.0,40987.0,,06/04/2020,10:00:40
140,4057,406.0,162.0,40987.0,,06/04/2020,13:13:44
141,4057,406.0,168.0,40987.0,,06/04/2020,16:13:24
142,4057,406.0,176.0,40987.0,,06/04/2020,20:39:16
143,4057,406.0,182.0,40987.0,,07/04/2020,09:44:01
144,4417,460.0,182.0,43578.0,,07/04/2020,10:22:55
145,4417,460.0,184.0,43578.0,,07/04/2020,11:19:43
146,4417,460.0,197.0,43578.0,,07/04/2020,13:28:23
147,4417,460.0,203.0,43578.0,,08/04/2020,06:52:05
148,4417,460.0,205.0,43578.0,,08/04/2020,07:10:52
149,4417,460.0,207.0,43578.0,,08/04/2020,08:43:04
150,4417,460.0,209.0,43578.0,,08/04/2020,09:46:46
151,4761,528.0,209.0,47207.0,,08/04/2020,10:00:35
152,4761,528.0,210.0,47207.0,,08/04/2020,12:56:03
153,4761,528.0,215.0,47207.0,,08/04/2020,14:01:11
154,4761,528.0,220.0,47207.0,,08/04/2020,19:47:20
155,4761,528.0,227.0,47207.0,,09/04/2020,06:39:32
156,4761,528.0,229.0,47207.0,,09/04/2020,07:55:43
157,5202,647.0,229.0,51802.0,,09/04/2020,10:06:28
158,5202,647.0,246.0,51802.0,,09/04/2020,16:09:08
159,5202,647.0,248.0,51802.0,,09/04/2020,18:30:40
160,5202,647.0,257.0,51802.0,,10/04/2020,08:07:56
161,5467,729.0,257.0,55430.0,,10/04/2020,10:20:54
162,5467,729.0,265.0,55430.0,,10/04/2020,11:57:25
163,5467,729.0,270.0,55430.0,,10/04/2020,17:28:43
164,5467,729.0,282.0,55430.0,,11/04/2020,07:28:48
165,5990,758.0,282.0,59272.0,,11/04/2020,10:02:08
166,5990,758.0,290.0,59272.0,,11/04/2020,17:15:32
167,5990,758.0,291.0,59272.0,,11/04/2020,17:40:24
168,5990,758.0,306.0,59272.0,,12/04/2020,07:49:01
169,6300,852.0,306.0,62328.0,,12/04/2020,10:07:56
170,6300,852.0,310.0,62328.0,,12/04/2020,17:00:08
171,6300,852.0,316.0,62328.0,,12/04/2020,17:57:16
172,6633,914.0,331.0,67204.0,,13/04/2020,11:07:56
173,6633,914.0,332.0,67204.0,,14/04/2020,09:00:07
174,6879,1051.0,332.0,70097.0,,14/04/2020,10:18:41
175,6879,1051.0,346.0,70097.0,,14/04/2020,11:31:14
176,6879,1051.0,351.0,70097.0,,14/04/2020,14:36:33
177,6879,1051.0,357.0,70097.0,,15/04/2020,07:00:05
178,6879,1051.0,362.0,70097.0,,15/04/2020,09:36:59
179,7216,1217.0,362.0,74827.0,,15/04/2020,10:53:25
180,7216,1217.0,372.0,74827.0,,15/04/2020,18:59:52
181,7216,1217.0,387.0,74827.0,,16/04/2020,08:07:56
182,7707,1357.0,387.0,79629.0,,16/04/2020,10:00:06
183,7707,1357.0,392.0,79629.0,,16/04/2020,11:00:05
184,7707,1357.0,400.0,79629.0,,17/04/2020,07:00:06
185,8067,1508.0,400.0,85805.0,,17/04/2020,10:10:04
186,8067,1508.0,411.0,85805.0,,17/04/2020,14:00:07
187,8067,1508.0,417.0,85805.0,,18/04/2020,08:32:56
188,8418,1730.0,417.0,90991.0,,18/04/2020,11:00:05
189,8418,1730.0,421.0,90991.0,,18/04/2020,15:25:35
190,8418,1730.0,434.0,90991.0,,19/04/2020,08:24:24
191,8746,1892.0,434.0,93611.0,,19/04/2020,10:00:04
192,8746,1892.0,451.0,93611.0,,19/04/2020,16:00:05
193,8936,2017.0,451.0,98491.0,,20/04/2020,10:00:05
194,8936,2017.0,460.0,98491.0,,20/04/2020,11:40:46
195,8936,2017.0,469.0,98491.0,,20/04/2020,13:32:17
