,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,0.0,,,31/01/2020,21:49:27
1,2,,,,,02/02/2020,16:27:45
2,2,2.0,,,,13/02/2020,17:47:19
3,3,2.0,,,,02/03/2020,12:06:39
4,4,2.0,,,,05/03/2020,09:00:27
5,13,2.0,,,,06/03/2020,13:44:08
6,14,2.0,,,,07/03/2020,17:41:35
7,15,3.0,,,,08/03/2020,00:24:41
8,17,3.0,,,,08/03/2020,18:35:03
9,20,3.0,,,,09/03/2020,18:07:52
10,28,3.0,,,,12/03/2020,03:34:39
11,34,3.0,,,,12/03/2020,17:27:07
12,34,8.0,,,,13/03/2020,13:16:57
13,45,8.0,,,,13/03/2020,13:50:50
14,47,8.0,,,,14/03/2020,11:35:52
15,59,8.0,,,,14/03/2020,15:25:40
16,63,8.0,,,,15/03/2020,14:12:32
17,93,8.0,,,,16/03/2020,12:59:16
18,114,8.0,,,,17/03/2020,13:53:18
19,147,8.0,,,,18/03/2020,12:00:36
20,147,8.0,1.0,,,19/03/2020,08:17:49
21,199,8.0,1.0,,,19/03/2020,13:11:27
22,199,9.0,1.0,,,20/03/2020,09:27:44
23,206,9.0,1.0,,,20/03/2020,13:00:35
24,253,12.0,1.0,,,20/03/2020,14:13:28
25,306,12.0,1.0,,,21/03/2020,14:00:04
26,306,16.0,1.0,,,21/03/2020,14:42:22
27,367,16.0,1.0,,,22/03/2020,13:23:33
28,438,16.0,1.0,,,23/03/2020,06:50:38
29,438,17.0,1.0,,,23/03/2020,11:25:55
30,444,20.0,1.0,,,24/03/2020,10:00:15
31,495,22.0,1.0,,,24/03/2020,11:30:04
32,658,29.0,1.0,,,25/03/2020,09:30:29
33,658,29.0,3.0,,,25/03/2020,18:54:54
34,840,38.0,3.0,,,26/03/2020,08:30:04
35,1036,45.0,3.0,,,27/03/2020,08:31:48
36,1036,45.0,4.0,,,27/03/2020,19:53:30
37,1264,49.0,4.0,,,28/03/2020,09:08:24
38,1534,64.0,8.0,,,29/03/2020,08:21:49
39,1836,66.0,9.0,,,30/03/2020,09:33:33
