,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,14/03/2020,11:03:36
1,5,,,,,15/03/2020,22:00:42
2,7,,,,,17/03/2020,00:17:22
3,8,,,,,18/03/2020,05:42:07
4,11,,,,,18/03/2020,19:33:32
5,17,,,,,20/03/2020,19:58:56
6,19,,,,,22/03/2020,20:30:15
7,36,,,,,23/03/2020,22:30:37
8,40,,,,,24/03/2020,20:03:44
9,41,,,,,25/03/2020,20:06:33
10,50,,,,,26/03/2020,23:05:03
11,54,,,,,27/03/2020,18:18:31
12,60,,,,,28/03/2020,19:06:29
13,70,,,,,29/03/2020,22:12:26
14,75,,,,,31/03/2020,19:31:10
15,82,,,,,01/04/2020,18:16:06
16,84,,,,,02/04/2020,18:08:37
17,89,,,,,03/04/2020,18:40:03
18,102,,,,,04/04/2020,19:22:20
19,102,4.0,,,,05/04/2020,11:59:51
20,104,4.0,,,,05/04/2020,18:50:04
21,105,4.0,,,,06/04/2020,18:45:07
22,105,7.0,,806.0,,07/04/2020,18:56:42
23,110,7.0,,806.0,,08/04/2020,18:33:50
24,113,7.0,,806.0,,10/04/2020,00:00:05
25,118,7.0,,806.0,,10/04/2020,20:36:34
26,118,18.0,,806.0,,11/04/2020,13:48:27
27,120,18.0,,806.0,,11/04/2020,23:00:04
28,126,25.0,,806.0,,12/04/2020,19:00:06
29,126,25.0,,1966.0,,12/04/2020,20:31:11
30,127,42.0,,1966.0,,13/04/2020,11:07:56
31,127,42.0,,6237.0,,14/04/2020,05:51:52
32,134,49.0,,6237.0,,14/04/2020,18:00:05
33,136,54.0,,6237.0,,15/04/2020,17:36:51
34,138,60.0,,6237.0,,16/04/2020,23:37:57
35,143,65.0,,6237.0,,17/04/2020,21:00:06
36,144,69.0,,6237.0,,18/04/2020,17:59:20
37,147,76.0,,6959.0,,19/04/2020,19:47:39
38,147,80.0,,6959.0,,21/04/2020,00:07:03
39,150,84.0,,6959.0,,21/04/2020,19:32:38
40,153,84.0,,6959.0,,22/04/2020,18:49:49
41,154,87.0,,6959.0,,23/04/2020,17:00:34
42,176,87.0,,6959.0,,24/04/2020,22:52:58
43,183,88.0,,6959.0,,25/04/2020,23:20:59
44,191,92.0,,6959.0,,26/04/2020,19:02:28
45,207,93.0,,6959.0,,28/04/2020,02:05:53
46,207,93.0,,8464.0,,28/04/2020,21:30:50
47,212,95.0,,8464.0,,28/04/2020,22:29:04
48,225,98.0,,8464.0,,29/04/2020,23:07:02
49,243,104.0,,9604.0,,30/04/2020,21:30:11
50,249,109.0,,10969.0,,01/05/2020,23:24:25
51,255,120.0,,33303.0,,02/05/2020,20:01:09
52,259,124.0,,34350.0,,03/05/2020,21:00:50
53,261,128.0,,35096.0,,04/05/2020,19:31:42
54,261,129.0,,35992.0,,05/05/2020,20:46:28
55,268,130.0,,37315.0,,06/05/2020,19:31:38
56,273,136.0,,40187.0,,07/05/2020,20:30:27
57,268,130.0,,37315.0,,07/05/2020,21:17:20
58,271,133.0,,38834.0,,07/05/2020,22:02:33
59,273,136.0,,40187.0,,08/05/2020,19:30:04
60,280,140.0,,41385.0,,09/05/2020,20:33:39
61,284,140.0,,42425.0,,10/05/2020,18:00:36
62,285,150.0,,42805.0,,11/05/2020,19:30:04
63,286,153.0,,43379.0,,12/05/2020,20:30:16
64,287,164.0,,44245.0,,13/05/2020,17:26:38
65,287,168.0,,45140.0,,14/05/2020,22:15:16
66,287,177.0,,46198.0,12907635.0,15/05/2020,18:55:43
67,289,178.0,,48239.0,12908515.0,16/05/2020,18:37:01
68,292,197.0,,49374.0,12909395.0,17/05/2020,19:32:22
69,297,203.0,,51118.0,12910275.0,18/05/2020,18:59:22
70,308,209.0,,52335.0,12912035.0,20/05/2020,00:09:48
71,314,216.0,,53317.0,12912035.0,20/05/2020,18:02:04
72,320,217.0,,54400.0,12912915.0,21/05/2020,18:06:46
73,321,222.0,,55968.0,12913795.0,22/05/2020,17:47:37
74,325,227.0,,57077.0,12914674.0,23/05/2020,17:30:04
75,327,237.0,,58477.0,12915554.0,24/05/2020,17:32:01
76,336,238.0,,59369.0,12916434.0,25/05/2020,19:18:48
77,339,244.0,,60443.0,12917314.0,26/05/2020,18:32:32
78,339,244.0,,60443.0,12918194.0,27/05/2020,16:10:09
79,346,245.0,,60443.0,12918194.0,27/05/2020,18:08:10
80,349,245.0,,64268.0,12919074.0,28/05/2020,18:57:29
81,349,245.0,0.0,64268.0,12919954.0,29/05/2020,00:22:14
82,355,247.0,0.0,65608.0,12919954.0,29/05/2020,20:45:29
83,359,250.0,0.0,66976.0,12920834.0,30/05/2020,19:33:06
84,359,250.0,1.0,66976.0,12920834.0,30/05/2020,19:48:28
85,370,256.0,1.0,66976.0,12921714.0,31/05/2020,21:44:22
86,377,262.0,1.0,66976.0,12922594.0,01/06/2020,20:56:00
87,384,269.0,2.0,70108.0,12923473.0,02/06/2020,23:26:54
88,397,271.0,2.0,71141.0,12924353.0,03/06/2020,19:47:56
89,410,280.0,2.0,72510.0,12925233.0,04/06/2020,19:31:22
