,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,11/03/2020,15:03:12
1,4,,,,,12/03/2020,21:40:10
2,5,,,,,13/03/2020,10:52:48
3,6,,,,,14/03/2020,18:53:39
4,7,,,,,15/03/2020,15:12:18
5,9,,,,,16/03/2020,08:10:25
6,12,,,,,18/03/2020,08:05:21
7,14,,,,,19/03/2020,02:37:17
8,19,,,,,19/03/2020,15:53:36
9,28,,,,,19/03/2020,20:20:19
10,38,,,,,21/03/2020,03:00:05
11,45,,,,,21/03/2020,09:30:23
12,47,,,,,21/03/2020,22:25:44
13,47,1.0,,,,22/03/2020,15:00:42
14,64,1.0,,,,23/03/2020,02:30:37
15,71,1.0,,,,23/03/2020,14:18:53
16,75,1.0,,,,24/03/2020,09:01:33
17,83,1.0,,,,24/03/2020,19:01:12
18,94,1.0,,,,24/03/2020,19:32:48
19,111,1.0,,,,25/03/2020,14:54:58
20,115,1.0,,,,26/03/2020,09:20:14
21,135,1.0,,,,26/03/2020,16:09:16
22,145,1.0,,,,27/03/2020,15:09:55
23,183,1.0,,,,28/03/2020,18:36:43
24,224,1.0,,,,30/03/2020,15:52:52
25,247,1.0,,,,31/03/2020,14:24:22
26,281,40.0,,,,01/04/2020,16:47:40
27,308,40.0,,,,02/04/2020,15:18:57
28,321,40.0,,,,03/04/2020,15:32:06
29,334,40.0,,,,04/04/2020,17:03:36
30,344,40.0,,,,05/04/2020,14:19:56
31,349,40.0,,,,06/04/2020,16:13:24
32,358,40.0,,,,07/04/2020,23:51:10
33,362,40.0,,,,09/04/2020,00:49:25
34,382,40.0,,,,10/04/2020,18:10:49
35,388,40.0,,,,11/04/2020,15:41:22
36,389,40.0,,,,12/04/2020,23:00:24
37,391,40.0,,,,13/04/2020,11:07:56
38,391,237.0,,,,15/04/2020,20:00:03
39,394,237.0,,,,16/04/2020,23:37:57
40,402,237.0,,,,17/04/2020,17:00:08
41,407,237.0,,,,18/04/2020,14:22:06
42,408,237.0,,,,19/04/2020,16:00:05
43,408,238.0,,,,21/04/2020,00:07:03
44,410,238.0,,,,21/04/2020,14:06:02
45,412,238.0,,,,23/04/2020,17:00:34
46,412,300.0,,,,24/04/2020,22:52:58
47,417,300.0,,,,25/04/2020,23:20:59
48,418,300.0,,,,28/04/2020,02:05:53
49,420,300.0,,,,30/04/2020,00:21:55
50,422,300.0,,,,01/05/2020,23:24:25
51,423,300.0,,,,02/05/2020,23:01:18
52,424,300.0,,,,04/05/2020,16:35:27
53,425,300.0,,17200.0,,06/05/2020,03:30:14
54,427,354.0,,17200.0,,07/05/2020,20:30:27
55,425,300.0,,17200.0,,07/05/2020,21:17:20
56,427,354.0,,17200.0,,07/05/2020,22:02:33
57,426,354.0,,17200.0,,09/05/2020,02:00:41
58,431,354.0,,17200.0,,09/05/2020,18:43:51
59,436,354.0,,17200.0,,10/05/2020,16:59:22
60,437,354.0,,17200.0,,12/05/2020,23:44:31
61,439,354.0,,17200.0,,13/05/2020,15:36:55
62,440,354.0,,17200.0,,14/05/2020,22:15:16
63,441,354.0,,17200.0,894487.0,15/05/2020,21:31:17
64,443,354.0,,17200.0,894505.0,16/05/2020,23:00:04
65,446,354.0,,17200.0,894557.0,19/05/2020,00:06:01
66,447,411.0,1.0,17200.0,894575.0,20/05/2020,15:47:33
67,449,411.0,1.0,17200.0,894592.0,21/05/2020,15:44:34
68,452,411.0,1.0,17200.0,894627.0,23/05/2020,14:31:52
69,456,411.0,1.0,17200.0,894662.0,25/05/2020,23:32:09
70,459,411.0,1.0,17200.0,894679.0,26/05/2020,15:33:20
71,460,411.0,1.0,17200.0,894697.0,27/05/2020,15:01:22
72,465,411.0,1.0,17200.0,894714.0,28/05/2020,15:22:11
73,470,411.0,1.0,17200.0,894731.0,29/05/2020,14:40:04
74,471,411.0,1.0,17200.0,894749.0,30/05/2020,15:06:59
75,473,411.0,1.0,17200.0,894784.0,01/06/2020,21:54:11
76,477,411.0,1.0,17200.0,894801.0,02/06/2020,14:11:49
77,478,411.0,1.0,17200.0,894819.0,03/06/2020,14:28:13
78,479,411.0,1.0,17200.0,894836.0,04/06/2020,14:42:03
79,480,411.0,1.0,17200.0,894853.0,05/06/2020,19:18:06
80,481,447.0,1.0,17200.0,894906.0,08/06/2020,16:43:34
81,486,447.0,1.0,17200.0,894941.0,10/06/2020,14:19:35
82,487,447.0,1.0,17200.0,894958.0,11/06/2020,19:31:52
83,488,460.0,1.0,17200.0,894975.0,12/06/2020,15:32:37
84,489,460.0,1.0,17200.0,894993.0,13/06/2020,19:32:47
85,495,460.0,1.0,17200.0,895010.0,14/06/2020,15:34:13
86,496,460.0,1.0,17200.0,895028.0,15/06/2020,19:03:30
87,495,460.0,1.0,17200.0,895045.0,16/06/2020,23:33:35
88,497,460.0,1.0,17200.0,895063.0,17/06/2020,17:30:04
