,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,16,,,,,04/02/2020,05:17:06
1,18,,,,,05/02/2020,09:27:26
2,19,1.0,,,,05/02/2020,18:44:41
3,23,1.0,,,,06/02/2020,23:02:52
4,24,1.0,,,,07/02/2020,10:14:50
5,24,2.0,,,,07/02/2020,15:36:23
6,27,3.0,,,,10/02/2020,10:07:48
7,28,3.0,,,,11/02/2020,18:49:21
8,28,4.0,,,,11/02/2020,21:05:12
9,28,7.0,,,,13/02/2020,17:47:19
10,28,9.0,,,,15/02/2020,06:36:49
11,29,9.0,,,,16/02/2020,03:02:15
12,30,10.0,,,,17/02/2020,10:01:50
13,31,12.0,,,,18/02/2020,02:34:10
14,46,16.0,,,,19/02/2020,03:43:10
15,51,16.0,,,,19/02/2020,10:51:12
16,82,16.0,,,,20/02/2020,02:39:06
17,87,16.0,,,,20/02/2020,08:08:31
18,104,16.0,1.0,,,20/02/2020,13:52:34
19,106,16.0,1.0,,,21/02/2020,00:00:38
20,111,16.0,1.0,,,21/02/2020,00:34:59
21,156,16.0,1.0,,,21/02/2020,01:11:08
22,204,17.0,1.0,,,21/02/2020,08:50:19
23,204,17.0,2.0,,,21/02/2020,11:29:14
24,205,17.0,2.0,,,21/02/2020,21:29:46
25,207,17.0,2.0,,,22/02/2020,00:13:05
26,209,17.0,2.0,,,22/02/2020,00:51:51
27,346,17.0,2.0,,,22/02/2020,01:18:18
28,433,17.0,2.0,,,22/02/2020,08:44:20
29,433,18.0,2.0,,,22/02/2020,10:13:35
30,461,18.0,2.0,,,23/02/2020,00:37:33
31,556,18.0,4.0,,,23/02/2020,02:43:07
32,602,18.0,5.0,,,23/02/2020,08:49:32
33,602,18.0,6.0,,,23/02/2020,12:25:15
34,763,18.0,7.0,,,24/02/2020,01:36:16
35,833,18.0,7.0,,,24/02/2020,08:35:56
36,833,22.0,8.0,,,24/02/2020,09:27:20
37,893,22.0,8.0,,,25/02/2020,01:13:05
38,893,22.0,9.0,,,25/02/2020,03:11:12
39,977,22.0,10.0,,,25/02/2020,08:48:00
40,977,22.0,11.0,,,25/02/2020,09:07:50
41,1146,22.0,11.0,,,26/02/2020,01:07:11
42,1146,22.0,12.0,,,26/02/2020,02:07:42
43,1261,22.0,12.0,,,26/02/2020,08:53:57
44,1261,24.0,12.0,,,26/02/2020,09:02:00
45,1595,24.0,12.0,,,27/02/2020,01:13:52
46,1595,24.0,13.0,,,27/02/2020,02:10:42
47,1766,24.0,13.0,,,27/02/2020,08:40:21
48,2022,24.0,13.0,,,28/02/2020,01:05:29
49,2337,24.0,13.0,,,28/02/2020,08:23:34
50,2337,24.0,16.0,,,28/02/2020,18:00:06
51,2931,24.0,16.0,,,29/02/2020,02:35:10
52,2931,24.0,17.0,,,29/02/2020,03:23:39
