,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,25/03/2020,22:12:13
1,7,,,,,30/03/2020,12:00:35
2,8,,,,,31/03/2020,11:52:57
3,9,,,,,02/04/2020,22:14:57
4,9,,,113.0,,04/04/2020,03:58:25
5,10,,,149.0,,05/04/2020,15:08:42
6,11,,,183.0,,07/04/2020,11:55:46
7,11,,,197.0,,10/04/2020,05:20:14
8,12,,,205.0,,10/04/2020,22:29:54
9,12,,,216.0,,13/04/2020,11:07:56
10,12,,,233.0,,14/04/2020,05:51:52
11,14,,,234.0,,14/04/2020,23:01:58
12,15,,,247.0,,20/04/2020,02:00:50
13,15,1.0,,257.0,,22/04/2020,16:10:53
14,15,2.0,,257.0,,24/04/2020,10:31:09
15,15,2.0,,260.0,,24/04/2020,12:32:57
16,15,2.0,,293.0,,28/04/2020,02:05:53
17,15,4.0,,293.0,,28/04/2020,13:54:54
18,15,6.0,,293.0,,30/04/2020,03:32:09
19,15,8.0,,294.0,,02/05/2020,00:54:27
20,15,12.0,,318.0,,05/05/2020,22:31:03
21,15,12.0,,327.0,,07/05/2020,20:30:27
22,15,12.0,,318.0,,07/05/2020,21:17:20
23,15,12.0,,327.0,,07/05/2020,23:49:20
24,15,13.0,,327.0,,09/05/2020,00:26:13
25,15,14.0,,327.0,,10/05/2020,02:00:13
26,15,15.0,,391.0,53155.0,19/05/2020,04:39:36
27,15,15.0,,394.0,53161.0,25/05/2020,06:54:19
28,15,15.0,,394.0,53163.0,27/05/2020,16:10:09
29,15,15.0,0.0,394.0,53165.0,29/05/2020,00:22:14
30,15,15.0,0.0,396.0,53168.0,01/06/2020,00:32:25
31,15,15.0,0.0,403.0,53171.0,04/06/2020,00:18:24
32,15,15.0,0.0,408.0,53173.0,06/06/2020,23:58:59
33,15,15.0,0.0,417.0,53178.0,11/06/2020,00:01:38
34,15,15.0,0.0,435.0,53189.0,22/06/2020,11:31:43
35,15,15.0,0.0,447.0,53193.0,25/06/2020,03:06:46
36,15,15.0,0.0,454.0,53197.0,29/06/2020,00:00:12
37,15,15.0,0.0,480.0,53202.0,04/07/2020,02:30:13
38,16,15.0,0.0,483.0,53202.0,04/07/2020,23:00:19
39,16,15.0,0.0,493.0,53205.0,07/07/2020,23:51:45
40,17,15.0,0.0,493.0,53208.0,10/07/2020,19:33:58
41,17,15.0,0.0,651.0,53209.0,11/07/2020,00:02:23
42,17,15.0,0.0,671.0,53212.0,14/07/2020,00:00:33
43,17,15.0,0.0,705.0,53214.0,16/07/2020,05:54:41
44,17,15.0,0.0,713.0,53215.0,17/07/2020,03:34:15
45,17,15.0,0.0,725.0,53217.0,19/07/2020,02:24:52
46,17,15.0,0.0,931.0,53221.0,23/07/2020,02:28:28
47,17,15.0,0.0,948.0,53223.0,25/07/2020,00:33:46
48,17,15.0,0.0,1006.0,53226.0,28/07/2020,04:00:20
49,17,16.0,0.0,1026.0,53229.0,31/07/2020,21:41:33
50,17,16.0,0.0,1043.0,53234.0,04/08/2020,00:45:16
51,17,16.0,0.0,1146.0,53236.0,06/08/2020,00:28:30
52,17,16.0,0.0,1168.0,53238.0,08/08/2020,00:34:30
53,17,17.0,0.0,1211.0,53240.0,10/08/2020,16:55:42
54,17,17.0,0.0,1294.0,53242.0,12/08/2020,00:35:08
55,17,17.0,0.0,1312.0,53244.0,14/08/2020,00:41:43
56,17,17.0,0.0,1385.0,53249.0,19/08/2020,00:39:32
57,17,17.0,0.0,1430.0,53252.0,22/08/2020,00:42:30
58,17,17.0,0.0,1564.0,53260.0,30/08/2020,10:04:52
59,17,17.0,0.0,1635.0,53264.0,03/09/2020,02:08:57
60,17,17.0,0.0,1897.0,53271.0,09/09/2020,00:39:10
61,17,17.0,0.0,1922.0,53274.0,12/09/2020,00:39:05
62,17,17.0,0.0,1948.0,53278.0,16/09/2020,02:23:26
63,17,17.0,0.0,1961.0,53279.0,17/09/2020,01:31:02
64,17,17.0,0.0,2138.0,53280.0,18/09/2020,01:06:02
65,19,17.0,0.0,2138.0,53283.0,21/09/2020,18:38:40
66,19,17.0,0.0,2332.0,53287.0,25/09/2020,00:40:12
67,19,17.0,0.0,2337.0,53288.0,26/09/2020,00:39:43
68,19,17.0,0.0,2378.0,53291.0,29/09/2020,00:39:29
69,19,17.0,0.0,2388.0,53292.0,30/09/2020,00:46:31
70,19,17.0,0.0,2431.0,53295.0,03/10/2020,00:59:30
71,19,17.0,0.0,2455.0,53298.0,06/10/2020,00:37:50
72,19,18.0,0.0,2589.0,53301.0,09/10/2020,04:32:23
73,19,18.0,0.0,2604.0,53303.0,11/10/2020,00:43:57
74,19,18.0,0.0,2658.0,53305.0,13/10/2020,00:44:08
75,19,19.0,0.0,2658.0,53305.0,13/10/2020,10:23:51
76,19,19.0,0.0,2828.0,53312.0,17/10/2020,18:13:13
