,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,14/03/2020,01:44:34
1,2,,,,,15/03/2020,10:26:44
2,3,,,,,23/03/2020,17:48:03
3,3,1.0,,,,27/03/2020,00:30:39
4,4,1.0,,,,29/03/2020,12:34:15
5,9,1.0,,,,29/03/2020,22:12:26
6,13,1.0,,,,31/03/2020,23:49:04
7,14,1.0,,,,04/04/2020,22:22:17
8,15,1.0,,,,10/04/2020,19:11:16
9,15,4.0,,,,12/04/2020,07:00:05
10,15,11.0,,319.0,,14/04/2020,20:00:07
11,15,11.0,,344.0,,18/04/2020,12:41:14
12,15,13.0,,344.0,,20/04/2020,18:00:06
13,15,13.0,,364.0,,21/04/2020,07:00:08
14,15,15.0,,364.0,,22/04/2020,18:00:05
15,15,15.0,,446.0,,26/04/2020,10:29:04
16,17,15.0,,446.0,,29/04/2020,17:18:20
17,18,15.0,,446.0,,03/05/2020,23:29:01
18,18,17.0,,575.0,,07/05/2020,20:30:27
19,18,15.0,,446.0,,07/05/2020,21:17:20
20,18,17.0,,575.0,,07/05/2020,23:31:58
21,18,17.0,,620.0,,08/05/2020,22:03:24
22,18,18.0,,727.0,,13/05/2020,22:00:32
23,18,18.0,,786.0,183522.0,16/05/2020,23:00:04
24,18,18.0,,867.0,183536.0,22/05/2020,03:30:44
25,18,18.0,,898.0,183540.0,24/05/2020,18:30:20
26,18,18.0,,924.0,183545.0,26/05/2020,18:32:32
27,18,18.0,,924.0,183547.0,27/05/2020,16:10:09
28,18,18.0,,965.0,183547.0,27/05/2020,17:28:02
29,18,18.0,0.0,965.0,183552.0,29/05/2020,00:22:14
30,18,18.0,0.0,1012.0,183552.0,29/05/2020,18:27:57
31,18,18.0,0.0,1113.0,183566.0,04/06/2020,00:18:24
32,19,18.0,0.0,1204.0,183566.0,04/06/2020,22:46:21
33,19,18.0,0.0,1264.0,183582.0,11/06/2020,00:01:38
34,19,18.0,0.0,1356.0,183593.0,16/06/2020,03:10:33
35,19,18.0,0.0,1527.0,183605.0,21/06/2020,03:30:05
36,19,18.0,0.0,1584.0,183607.0,22/06/2020,00:28:35
37,19,19.0,0.0,1619.0,183614.0,25/06/2020,02:56:33
38,19,19.0,0.0,1667.0,183623.0,29/06/2020,00:00:12
39,22,19.0,0.0,1700.0,183632.0,03/07/2020,10:00:08
40,22,19.0,0.0,1815.0,183634.0,04/07/2020,02:30:13
41,22,19.0,0.0,1897.0,183637.0,05/07/2020,18:31:29
42,22,19.0,0.0,1919.0,183639.0,06/07/2020,23:51:14
43,22,19.0,0.0,1955.0,183648.0,10/07/2020,00:03:29
44,22,19.0,0.0,2002.0,183650.0,11/07/2020,00:02:23
45,22,19.0,0.0,2048.0,183657.0,14/07/2020,00:00:33
46,22,19.0,0.0,2111.0,183662.0,16/07/2020,05:54:41
47,23,19.0,0.0,2134.0,183664.0,17/07/2020,03:34:15
48,23,19.0,0.0,2140.0,183664.0,17/07/2020,23:59:20
49,23,19.0,0.0,2155.0,183669.0,19/07/2020,21:31:20
50,23,19.0,0.0,2370.0,183675.0,22/07/2020,02:02:23
51,23,19.0,0.0,2412.0,183678.0,23/07/2020,02:28:28
52,24,22.0,0.0,2472.0,183678.0,23/07/2020,19:56:35
53,24,22.0,0.0,2597.0,183680.0,24/07/2020,20:42:52
54,24,22.0,0.0,2934.0,183682.0,25/07/2020,22:13:46
55,24,22.0,0.0,2968.0,183687.0,27/07/2020,22:05:58
56,25,22.0,0.0,2968.0,183694.0,30/07/2020,16:45:17
57,25,22.0,0.0,3348.0,183698.0,01/08/2020,00:48:29
58,25,22.0,0.0,3548.0,183703.0,03/08/2020,20:10:50
59,25,24.0,0.0,3810.0,183707.0,05/08/2020,18:02:45
60,25,24.0,0.0,3895.0,183712.0,07/08/2020,00:44:55
61,25,24.0,0.0,3973.0,183714.0,08/08/2020,00:34:30
62,25,25.0,0.0,3973.0,183721.0,11/08/2020,06:55:03
63,25,25.0,0.0,4274.0,183723.0,12/08/2020,00:35:08
64,25,25.0,0.0,4465.0,183728.0,14/08/2020,00:41:43
65,25,25.0,0.0,4616.0,183733.0,16/08/2020,23:59:30
66,25,25.0,0.0,4768.0,183737.0,18/08/2020,00:31:59
67,26,25.0,0.0,4801.0,183739.0,19/08/2020,00:39:32
68,26,25.0,0.0,4946.0,183744.0,21/08/2020,00:40:04
69,26,25.0,0.0,5269.0,183758.0,27/08/2020,00:40:02
70,26,25.0,0.0,5323.0,183760.0,28/08/2020,00:34:43
71,26,25.0,0.0,5471.0,183767.0,31/08/2020,00:38:17
72,26,25.0,0.0,5542.0,183767.0,31/08/2020,22:17:14
73,26,25.0,0.0,5651.0,183772.0,02/09/2020,00:47:31
74,26,26.0,0.0,5651.0,183772.0,02/09/2020,07:11:53
75,26,26.0,0.0,5730.0,183774.0,03/09/2020,02:08:57
76,26,26.0,0.0,5835.0,183778.0,05/09/2020,00:45:54
77,26,26.0,0.0,5875.0,183781.0,06/09/2020,09:44:20
78,26,26.0,0.0,5977.0,183783.0,07/09/2020,02:19:05
79,26,26.0,0.0,6054.0,183788.0,09/09/2020,00:39:10
80,27,26.0,0.0,6130.0,183788.0,09/09/2020,21:10:37
81,27,26.0,0.0,7107.0,183790.0,10/09/2020,23:56:07
82,27,26.0,0.0,7160.0,183794.0,12/09/2020,00:39:05
83,27,26.0,0.0,7221.0,183797.0,13/09/2020,00:40:53
84,27,26.0,0.0,7419.0,183804.0,16/09/2020,02:23:26
85,27,26.0,0.0,7474.0,183806.0,17/09/2020,01:31:02
86,27,26.0,0.0,7547.0,183808.0,18/09/2020,01:06:02
87,27,26.0,0.0,7616.0,183810.0,19/09/2020,01:27:32
88,27,26.0,0.0,7672.0,183813.0,20/09/2020,01:10:42
89,27,26.0,0.0,7766.0,183815.0,21/09/2020,02:00:08
90,27,27.0,0.0,7994.0,183824.0,25/09/2020,19:46:31
91,27,27.0,0.0,8120.0,183833.0,29/09/2020,00:39:29
92,27,27.0,0.0,8439.0,183847.0,05/10/2020,00:32:35
93,28,27.0,0.0,8591.0,183854.0,08/10/2020,11:39:14
94,29,27.0,0.0,8715.0,183861.0,11/10/2020,00:43:57
95,29,27.0,0.0,8801.0,183865.0,13/10/2020,00:44:08
96,29,27.0,0.0,8827.0,183868.0,14/10/2020,00:40:27
97,31,27.0,0.0,8907.0,183870.0,15/10/2020,00:44:29
98,36,27.0,0.0,9132.0,183879.0,17/10/2020,18:13:13
99,36,27.0,0.0,9372.0,183884.0,21/10/2020,02:42:18
100,37,27.0,0.0,9372.0,183884.0,21/10/2020,12:59:16
101,38,27.0,0.0,9472.0,183884.0,21/10/2020,18:24:38
102,39,27.0,0.0,9472.0,183886.0,22/10/2020,08:42:06
103,42,27.0,0.0,9597.0,183886.0,23/10/2020,00:00:03
104,48,27.0,0.0,9621.0,183888.0,23/10/2020,19:40:35
105,52,27.0,0.0,9852.0,183890.0,24/10/2020,18:55:54
106,54,27.0,0.0,10177.0,183893.0,25/10/2020,17:42:15
107,63,27.0,0.0,10291.0,183897.0,27/10/2020,00:00:13
108,65,27.0,0.0,10291.0,183900.0,28/10/2020,00:44:27
109,67,27.0,0.0,10617.0,183900.0,28/10/2020,16:35:31
