,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,09/03/2020,01:31:01
1,3,,,,,18/03/2020,08:05:21
2,1,,,,,18/03/2020,19:33:32
3,3,,,,,18/03/2020,19:33:53
4,1,,,,,18/03/2020,19:33:53
5,3,,,,,18/03/2020,19:38:43
6,1,,,,,18/03/2020,19:38:43
7,3,,,,,18/03/2020,19:38:59
8,1,,,,,18/03/2020,19:38:59
9,3,,,,,18/03/2020,19:42:59
10,1,,,,,18/03/2020,19:42:59
11,3,,,,,18/03/2020,20:27:42
12,1,,,,,18/03/2020,20:27:42
13,3,,,,,18/03/2020,20:28:35
14,1,,,,,18/03/2020,20:28:35
15,3,,,,,18/03/2020,20:34:28
16,1,,,,,18/03/2020,20:34:28
17,3,,,,,18/03/2020,20:56:43
18,1,,,,,18/03/2020,20:56:43
19,3,,,,,18/03/2020,20:59:16
20,1,,,,,18/03/2020,20:59:16
21,3,,,,,18/03/2020,21:04:25
22,1,,,,,18/03/2020,21:04:25
23,3,,,,,18/03/2020,21:08:45
24,1,,,,,18/03/2020,21:08:45
25,3,,,,,18/03/2020,21:36:53
26,1,,,,,18/03/2020,21:36:53
27,3,,,,,18/03/2020,22:01:57
28,1,,,,,18/03/2020,22:01:57
29,3,,,,,18/03/2020,22:13:33
30,1,,,,,18/03/2020,22:13:33
31,3,,,,,18/03/2020,22:29:33
32,1,,,,,18/03/2020,22:29:33
33,3,,,,,18/03/2020,23:14:37
34,1,,,,,18/03/2020,23:14:37
35,3,,,,,18/03/2020,23:29:43
36,1,,,,,18/03/2020,23:29:43
37,3,,,,,18/03/2020,23:30:33
38,1,,,,,18/03/2020,23:30:33
39,3,,,,,18/03/2020,23:41:41
40,1,,,,,18/03/2020,23:41:41
41,3,,,,,18/03/2020,23:42:47
42,1,,,,,18/03/2020,23:42:47
43,3,,,,,18/03/2020,23:44:01
44,1,,,,,18/03/2020,23:44:01
45,3,,,,,19/03/2020,00:02:48
46,1,,,,,19/03/2020,00:02:48
47,3,,,,,19/03/2020,00:03:08
48,1,,,,,19/03/2020,00:03:08
49,3,,,,,19/03/2020,00:04:33
50,1,,,,,19/03/2020,00:04:33
51,3,,,,,19/03/2020,00:11:31
52,1,,,,,19/03/2020,00:11:31
53,3,,,,,19/03/2020,00:13:03
54,1,,,,,19/03/2020,00:13:03
55,3,,,,,19/03/2020,00:24:08
56,1,,,,,19/03/2020,00:24:08
57,3,,,,,19/03/2020,00:41:55
58,1,,,,,19/03/2020,00:41:55
59,3,,,,,19/03/2020,00:43:14
60,1,,,,,19/03/2020,00:43:14
61,3,,,,,19/03/2020,01:16:57
62,1,,,,,19/03/2020,01:16:57
63,3,,,,,19/03/2020,01:27:58
64,1,,,,,19/03/2020,01:27:58
65,3,,,,,19/03/2020,01:28:03
66,1,,,,,19/03/2020,01:28:03
67,3,,,,,19/03/2020,01:28:04
68,1,,,,,19/03/2020,01:28:04
69,3,,,,,19/03/2020,01:28:05
70,1,,,,,19/03/2020,01:28:05
71,3,,,,,19/03/2020,01:50:35
72,1,,,,,19/03/2020,01:50:35
73,3,,,,,19/03/2020,01:55:13
74,1,,,,,19/03/2020,01:55:13
75,3,,,,,19/03/2020,02:37:17
76,1,,,,,19/03/2020,02:37:17
77,3,,,,,19/03/2020,02:57:51
78,1,,,,,19/03/2020,02:57:51
79,3,,,,,19/03/2020,02:58:01
80,1,,,,,19/03/2020,02:58:01
81,3,,,,,19/03/2020,03:50:47
82,1,,,,,19/03/2020,03:50:47
83,3,,,,,19/03/2020,04:10:18
84,1,,,,,19/03/2020,04:10:18
85,3,,,,,19/03/2020,04:20:48
86,1,,,,,19/03/2020,04:20:48
87,3,,,,,19/03/2020,05:35:18
88,1,,,,,19/03/2020,05:35:18
89,3,,,,,19/03/2020,06:53:38
90,1,,,,,19/03/2020,06:53:38
91,3,,,,,19/03/2020,06:55:01
92,1,,,,,19/03/2020,06:55:01
93,3,,,,,19/03/2020,07:52:18
94,1,,,,,19/03/2020,07:52:18
95,3,,,,,19/03/2020,08:17:49
96,1,,,,,19/03/2020,08:17:49
97,3,,,,,19/03/2020,08:42:48
98,1,,,,,19/03/2020,08:42:48
99,3,,,,,19/03/2020,09:03:12
100,1,,,,,19/03/2020,09:03:12
101,3,,,,,19/03/2020,09:31:30
102,1,,,,,19/03/2020,09:31:30
103,3,,,,,19/03/2020,09:48:21
104,1,,,,,19/03/2020,09:48:21
105,3,,,,,19/03/2020,10:07:58
106,1,,,,,19/03/2020,10:07:58
107,3,,,,,19/03/2020,10:28:55
108,1,,,,,19/03/2020,10:28:55
109,3,,,,,19/03/2020,11:18:34
