,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,05/04/2020,11:59:51
1,1,1.0,,,,11/05/2020,15:55:07
2,1,1.0,,,5797.0,27/05/2020,16:10:09
3,1,1.0,0.0,,5796.0,29/05/2020,00:22:14
4,2,1.0,0.0,,5793.0,10/07/2020,23:22:49
5,4,1.0,0.0,,5793.0,17/07/2020,20:32:16
6,5,1.0,0.0,,5790.0,18/08/2020,10:07:38
7,5,4.0,0.0,1051.0,5789.0,30/08/2020,22:11:10
8,5,5.0,0.0,1051.0,5789.0,04/09/2020,10:00:18
9,6,5.0,0.0,1051.0,5789.0,06/09/2020,11:18:01
10,9,5.0,0.0,1051.0,5789.0,07/09/2020,11:10:17
11,10,5.0,0.0,1051.0,5788.0,10/09/2020,12:00:28
12,11,5.0,0.0,1051.0,5788.0,12/09/2020,23:35:32
13,12,6.0,0.0,1967.0,5787.0,23/09/2020,16:32:24
14,16,6.0,0.0,1967.0,5787.0,24/09/2020,11:27:52
15,16,12.0,0.0,2144.0,5786.0,09/10/2020,23:30:31
16,16,12.0,0.0,2222.0,5786.0,13/10/2020,08:36:40
17,16,12.0,0.0,2404.0,5785.0,30/10/2020,00:00:12
