,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,27/02/2020,21:21:37
1,8,,,,,02/03/2020,00:27:16
2,8,,1.0,,,02/03/2020,01:07:43
3,10,,1.0,,,03/03/2020,12:38:28
4,15,,1.0,,,04/03/2020,12:27:41
5,16,,1.0,,,04/03/2020,13:45:33
6,21,,1.0,,,05/03/2020,13:29:57
7,23,,1.0,,,06/03/2020,13:25:51
8,26,,1.0,,,08/03/2020,03:53:53
9,36,,1.0,,,08/03/2020,12:36:33
10,51,,2.0,,,09/03/2020,12:42:03
11,62,,2.0,,,10/03/2020,20:53:41
12,69,,2.0,,,12/03/2020,03:34:39
13,69,,3.0,,,12/03/2020,10:42:01
14,72,,5.0,,,12/03/2020,20:42:33
15,77,,5.0,,,13/03/2020,07:15:11
16,80,2.0,5.0,,,13/03/2020,14:31:30
17,101,4.0,5.0,,,14/03/2020,13:49:23
18,109,4.0,7.0,,,15/03/2020,22:00:42
19,102,4.0,9.0,,,17/03/2020,10:22:34
20,104,4.0,11.0,,,17/03/2020,18:07:01
21,119,4.0,11.0,,,17/03/2020,18:51:29
22,119,4.0,14.0,,,18/03/2020,21:36:53
23,140,4.0,14.0,,,18/03/2020,22:01:57
24,144,4.0,14.0,,,19/03/2020,22:27:23
25,151,4.0,14.0,,,21/03/2020,02:23:24
26,151,4.0,20.0,,,21/03/2020,13:27:55
27,160,4.0,20.0,,,21/03/2020,21:15:04
28,175,4.0,20.0,,,22/03/2020,12:57:16
29,187,4.0,20.0,,,23/03/2020,12:59:05
30,187,4.0,21.0,,,24/03/2020,13:10:31
31,208,4.0,21.0,,,25/03/2020,21:09:02
32,223,4.0,21.0,,,27/03/2020,15:09:55
33,223,6.0,21.0,,,28/03/2020,02:01:33
34,223,6.0,22.0,,,28/03/2020,18:25:32
35,226,6.0,22.0,,,28/03/2020,18:30:34
36,224,6.0,22.0,,,28/03/2020,18:47:28
37,230,13.0,25.0,,,30/03/2020,12:14:50
38,236,13.0,26.0,,,31/03/2020,21:57:09
39,236,13.0,28.0,,,02/04/2020,00:00:23
40,245,21.0,30.0,,,02/04/2020,18:08:37
41,251,26.0,32.0,,,03/04/2020,23:34:36
42,251,26.0,32.0,586.0,,04/04/2020,03:58:25
43,259,27.0,32.0,586.0,,04/04/2020,23:01:10
44,266,35.0,32.0,586.0,,05/04/2020,12:59:56
45,277,35.0,32.0,586.0,,07/04/2020,00:02:09
46,279,40.0,34.0,586.0,,07/04/2020,23:51:10
47,308,45.0,34.0,722.0,,09/04/2020,00:49:25
48,333,49.0,34.0,846.0,,09/04/2020,19:38:38
49,344,50.0,34.0,846.0,,10/04/2020,14:01:15
50,356,53.0,35.0,846.0,,11/04/2020,13:13:08
51,371,53.0,36.0,846.0,,13/04/2020,23:00:06
52,372,53.0,36.0,846.0,,15/04/2020,00:01:13
53,393,53.0,36.0,846.0,,15/04/2020,23:22:56
54,426,55.0,38.0,846.0,,16/04/2020,13:47:56
55,435,57.0,39.0,846.0,,17/04/2020,16:00:06
56,435,57.0,39.0,1605.0,,18/04/2020,11:00:05
57,455,60.0,39.0,1605.0,,18/04/2020,15:25:35
58,461,60.0,39.0,1711.0,,19/04/2020,11:33:05
59,462,61.0,39.0,1726.0,,20/04/2020,14:00:09
60,476,62.0,40.0,1820.0,,21/04/2020,12:42:37
61,488,62.0,40.0,1872.0,,22/04/2020,13:00:07
62,501,63.0,40.0,1929.0,,23/04/2020,17:00:34
63,513,64.0,40.0,1929.0,,24/04/2020,19:30:20
64,538,64.0,41.0,2074.0,,26/04/2020,10:30:15
65,538,64.0,41.0,2082.0,,28/04/2020,02:05:53
66,553,64.0,41.0,2170.0,,28/04/2020,21:20:46
67,563,69.0,41.0,2235.0,,29/04/2020,08:33:02
68,569,78.0,41.0,2305.0,,30/04/2020,13:02:15
69,580,82.0,41.0,2386.0,,01/05/2020,12:32:18
70,580,83.0,41.0,2397.0,,02/05/2020,10:31:05
71,582,86.0,41.0,2451.0,,03/05/2020,11:29:27
72,582,86.0,41.0,2457.0,,04/05/2020,13:30:05
73,589,92.0,41.0,2538.0,,05/05/2020,14:11:06
74,608,97.0,41.0,2660.0,,06/05/2020,14:03:05
75,622,106.0,41.0,2777.0,,07/05/2020,15:30:29
76,623,114.0,41.0,2860.0,,07/05/2020,20:30:27
77,622,106.0,41.0,2777.0,,07/05/2020,21:17:20
78,623,114.0,41.0,2860.0,,08/05/2020,14:01:24
79,637,126.0,41.0,2956.0,,09/05/2020,11:31:49
80,628,126.0,41.0,2956.0,,10/05/2020,15:28:48
81,628,130.0,41.0,2985.0,,11/05/2020,11:02:16
82,638,161.0,41.0,3121.0,,12/05/2020,15:39:30
83,643,161.0,41.0,3201.0,,13/05/2020,14:38:14
84,648,172.0,41.0,3300.0,,14/05/2020,12:39:39
85,652,189.0,41.0,3394.0,33922.0,15/05/2020,12:57:02
86,653,198.0,41.0,3460.0,33922.0,16/05/2020,10:56:02
87,654,201.0,41.0,3499.0,33922.0,17/05/2020,12:44:50
88,654,203.0,41.0,3499.0,33923.0,18/05/2020,20:18:41
89,655,211.0,41.0,3610.0,33923.0,19/05/2020,11:05:40
90,656,220.0,41.0,3700.0,33923.0,20/05/2020,15:00:59
91,658,235.0,41.0,3779.0,33923.0,21/05/2020,07:23:54
92,661,254.0,41.0,3873.0,33923.0,22/05/2020,13:31:02
93,665,266.0,42.0,3968.0,33924.0,23/05/2020,11:30:32
94,666,270.0,42.0,3996.0,33924.0,25/05/2020,12:01:24
95,666,275.0,42.0,4079.0,33924.0,26/05/2020,10:22:21
96,667,294.0,42.0,4079.0,33924.0,27/05/2020,11:30:04
97,670,322.0,42.0,4303.0,33925.0,28/05/2020,10:49:24
98,671,344.0,42.0,4382.0,33925.0,29/05/2020,12:59:18
99,671,357.0,42.0,4466.0,33925.0,30/05/2020,10:25:33
100,671,359.0,42.0,4485.0,33925.0,01/06/2020,10:45:46
101,672,384.0,42.0,4573.0,33925.0,02/06/2020,11:09:47
102,674,391.0,42.0,4662.0,33926.0,03/06/2020,12:11:50
103,678,408.0,42.0,4749.0,33926.0,04/06/2020,13:33:36
