,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,4,,,19.0,,06/04/2020,14:20:56
1,8,4.0,,19.0,,28/04/2020,02:05:53
2,10,4.0,,19.0,,30/04/2020,08:22:19
3,14,4.0,,19.0,,30/04/2020,10:12:12
4,16,4.0,1.0,19.0,,01/05/2020,09:49:57
5,16,4.0,1.0,175.0,,04/05/2020,13:01:17
6,23,4.0,3.0,175.0,,04/05/2020,19:48:06
7,174,4.0,3.0,175.0,,05/05/2020,22:31:03
8,208,4.0,5.0,175.0,,07/05/2020,20:30:27
9,174,4.0,3.0,175.0,,07/05/2020,21:17:20
10,187,4.0,4.0,175.0,,07/05/2020,22:02:33
11,208,4.0,5.0,175.0,,08/05/2020,12:00:05
12,220,4.0,6.0,175.0,,13/05/2020,14:38:14
13,235,4.0,7.0,175.0,,14/05/2020,22:15:16
14,246,4.0,7.0,175.0,218653.0,19/05/2020,00:06:01
15,251,4.0,8.0,175.0,218664.0,20/05/2020,00:09:48
16,299,4.0,11.0,175.0,218720.0,25/05/2020,12:01:24
17,441,68.0,12.0,175.0,218731.0,26/05/2020,20:01:31
18,443,68.0,12.0,175.0,218742.0,27/05/2020,19:49:09
19,458,68.0,12.0,175.0,218753.0,28/05/2020,18:26:03
20,463,68.0,12.0,175.0,218764.0,29/05/2020,23:26:29
21,479,68.0,12.0,175.0,218775.0,30/05/2020,20:00:05
22,483,68.0,12.0,175.0,218786.0,31/05/2020,17:33:29
23,484,68.0,12.0,175.0,218798.0,01/06/2020,20:45:01
24,485,68.0,12.0,175.0,218831.0,04/06/2020,10:18:19
25,499,68.0,12.0,175.0,218842.0,05/06/2020,18:51:47
26,513,68.0,12.0,175.0,218864.0,07/06/2020,17:10:51
27,514,76.0,12.0,1095.0,218887.0,09/06/2020,16:10:26
28,611,135.0,12.0,1095.0,218898.0,10/06/2020,09:39:07
29,632,146.0,12.0,1278.0,218909.0,11/06/2020,07:31:09
30,639,156.0,12.0,1354.0,218920.0,12/06/2020,08:00:49
31,650,168.0,12.0,1395.0,218931.0,13/06/2020,19:32:47
32,659,176.0,12.0,1453.0,218931.0,13/06/2020,20:28:11
33,661,177.0,12.0,1462.0,218942.0,14/06/2020,23:31:16
34,662,177.0,12.0,1464.0,218953.0,15/06/2020,20:30:05
35,671,182.0,12.0,1464.0,218965.0,16/06/2020,19:30:14
36,683,188.0,12.0,1539.0,218976.0,17/06/2020,19:30:24
37,688,191.0,12.0,1595.0,218987.0,18/06/2020,20:55:07
38,693,199.0,12.0,1630.0,218998.0,19/06/2020,18:19:02
39,698,203.0,12.0,1681.0,219020.0,21/06/2020,02:00:25
40,702,203.0,12.0,1704.0,219031.0,22/06/2020,18:14:48
41,707,208.0,12.0,1733.0,219054.0,24/06/2020,00:00:17
42,710,211.0,13.0,1743.0,219054.0,24/06/2020,21:27:43
43,711,214.0,13.0,1753.0,219065.0,25/06/2020,23:54:32
44,712,219.0,13.0,1763.0,219076.0,26/06/2020,23:30:42
45,713,219.0,13.0,1773.0,219087.0,27/06/2020,21:00:27
46,713,235.0,13.0,1783.0,219109.0,29/06/2020,23:33:25
47,714,236.0,13.0,1793.0,219120.0,30/06/2020,19:32:25
48,714,252.0,13.0,1803.0,219132.0,01/07/2020,20:03:02
49,715,252.0,13.0,1803.0,219132.0,01/07/2020,20:31:00
50,717,260.0,13.0,1803.0,219143.0,02/07/2020,20:30:13
51,719,267.0,13.0,1833.0,219154.0,03/07/2020,21:30:05
52,720,268.0,13.0,1853.0,219187.0,06/07/2020,00:29:04
53,721,269.0,13.0,1863.0,219187.0,06/07/2020,19:30:05
54,724,279.0,13.0,1873.0,219198.0,07/07/2020,19:02:04
55,724,283.0,13.0,1883.0,219210.0,08/07/2020,22:31:05
56,726,283.0,14.0,1901.0,219232.0,10/07/2020,00:03:29
57,727,284.0,14.0,1901.0,219232.0,10/07/2020,19:33:58
58,727,284.0,14.0,1937.0,219243.0,11/07/2020,23:54:20
59,729,286.0,14.0,1955.0,219254.0,12/07/2020,23:31:52
60,732,286.0,14.0,1973.0,219265.0,13/07/2020,23:38:01
61,737,322.0,14.0,2024.0,219299.0,16/07/2020,03:29:57
62,740,325.0,14.0,2054.0,219299.0,16/07/2020,23:59:27
63,741,325.0,14.0,2068.0,219310.0,17/07/2020,21:56:18
64,743,337.0,14.0,2098.0,219321.0,18/07/2020,19:03:20
65,746,451.0,14.0,2123.0,219332.0,19/07/2020,18:37:36
66,746,536.0,14.0,2142.0,219354.0,21/07/2020,00:00:51
67,746,588.0,14.0,2163.0,219365.0,22/07/2020,00:00:08
68,747,601.0,14.0,2192.0,219365.0,22/07/2020,23:59:34
69,749,604.0,14.0,2232.0,219388.0,24/07/2020,01:01:11
70,860,610.0,14.0,2706.0,219388.0,24/07/2020,19:33:24
71,862,662.0,14.0,2756.0,219410.0,26/07/2020,00:00:15
72,863,696.0,14.0,2789.0,219421.0,27/07/2020,00:25:49
73,865,734.0,14.0,2805.0,219432.0,28/07/2020,00:02:13
74,867,759.0,14.0,2823.0,219432.0,28/07/2020,19:47:58
75,868,766.0,15.0,2858.0,219443.0,29/07/2020,23:24:56
76,870,771.0,15.0,2872.0,219455.0,30/07/2020,20:40:14
77,871,778.0,15.0,2918.0,219466.0,31/07/2020,22:56:50
78,874,782.0,15.0,2940.0,219477.0,01/08/2020,19:41:01
79,874,787.0,15.0,2958.0,219499.0,03/08/2020,00:01:12
80,874,787.0,15.0,2967.0,219510.0,04/08/2020,00:10:15
81,875,794.0,15.0,2998.0,219510.0,04/08/2020,23:47:39
82,878,795.0,15.0,3062.0,219521.0,05/08/2020,20:32:59
83,878,797.0,15.0,3079.0,219532.0,06/08/2020,23:59:30
84,878,799.0,15.0,3120.0,219544.0,07/08/2020,23:45:30
85,878,800.0,15.0,3132.0,219555.0,08/08/2020,23:58:38
86,878,800.0,15.0,3141.0,219566.0,09/08/2020,23:59:30
87,881,804.0,15.0,3160.0,219588.0,11/08/2020,22:54:27
88,882,807.0,15.0,3190.0,219599.0,12/08/2020,23:59:30
89,883,808.0,15.0,3211.0,219610.0,13/08/2020,23:59:30
90,885,809.0,15.0,3249.0,219622.0,14/08/2020,22:05:22
91,885,815.0,15.0,3261.0,219644.0,16/08/2020,00:00:58
92,885,818.0,15.0,3279.0,219644.0,16/08/2020,23:59:30
93,885,821.0,15.0,3279.0,219655.0,17/08/2020,23:46:27
94,885,826.0,15.0,3303.0,219677.0,19/08/2020,09:49:22
95,887,829.0,15.0,3356.0,219688.0,20/08/2020,13:51:07
96,888,829.0,15.0,3432.0,219688.0,20/08/2020,21:59:19
97,891,830.0,15.0,3443.0,219700.0,21/08/2020,23:15:07
98,892,831.0,15.0,3482.0,219711.0,22/08/2020,23:39:21
99,892,832.0,15.0,3492.0,219744.0,25/08/2020,00:49:16
100,892,833.0,15.0,3546.0,219744.0,25/08/2020,23:59:28
101,892,842.0,15.0,3601.0,219766.0,27/08/2020,00:02:54
102,894,846.0,15.0,3641.0,219766.0,27/08/2020,23:59:31
103,895,848.0,15.0,3693.0,219777.0,28/08/2020,23:25:52
104,895,848.0,15.0,3746.0,219789.0,29/08/2020,23:59:32
105,896,851.0,15.0,3792.0,219800.0,30/08/2020,20:51:58
106,896,851.0,15.0,3831.0,219811.0,31/08/2020,23:59:31
107,896,853.0,15.0,3843.0,219833.0,02/09/2020,00:27:27
108,896,855.0,15.0,3875.0,219833.0,02/09/2020,23:18:17
109,897,857.0,15.0,3929.0,219844.0,03/09/2020,23:59:31
110,897,859.0,15.0,4042.0,219855.0,04/09/2020,23:59:57
111,898,859.0,15.0,4090.0,219867.0,05/09/2020,23:57:05
112,898,859.0,15.0,4105.0,219889.0,07/09/2020,00:38:08
113,898,862.0,15.0,4119.0,219922.0,10/09/2020,01:35:38
114,901,866.0,15.0,4180.0,219922.0,10/09/2020,22:30:33
115,906,866.0,15.0,4240.0,219933.0,11/09/2020,21:21:13
116,906,870.0,15.0,4310.0,219967.0,14/09/2020,00:44:52
117,906,870.0,15.0,4336.0,219978.0,15/09/2020,00:37:54
118,907,871.0,15.0,4410.0,219978.0,15/09/2020,23:59:53
119,907,873.0,15.0,4433.0,220000.0,17/09/2020,23:51:41
120,908,873.0,15.0,4523.0,220011.0,18/09/2020,22:19:47
121,908,876.0,15.0,4572.0,220034.0,20/09/2020,00:43:12
122,908,878.0,15.0,4638.0,220034.0,20/09/2020,23:30:29
123,908,880.0,15.0,4638.0,220045.0,21/09/2020,23:59:44
124,908,880.0,15.0,4674.0,220067.0,23/09/2020,23:59:37
125,910,881.0,15.0,4762.0,220078.0,24/09/2020,22:45:38
126,911,881.0,15.0,4793.0,220089.0,25/09/2020,23:33:46
127,911,883.0,15.0,4814.0,220112.0,27/09/2020,01:58:54
128,911,885.0,15.0,4865.0,220123.0,28/09/2020,23:48:51
129,911,885.0,15.0,4891.0,220145.0,30/09/2020,00:24:31
130,911,886.0,15.0,4936.0,220145.0,30/09/2020,23:48:12
131,911,886.0,15.0,4967.0,220167.0,02/10/2020,01:10:03
132,911,886.0,15.0,5024.0,220178.0,03/10/2020,00:51:27
133,913,886.0,15.0,5074.0,220189.0,04/10/2020,00:39:55
134,913,887.0,15.0,5109.0,220189.0,04/10/2020,23:12:47
135,913,888.0,15.0,5122.0,220201.0,05/10/2020,22:12:06
136,914,888.0,15.0,5159.0,220223.0,07/10/2020,00:23:06
137,914,888.0,15.0,5212.0,220234.0,08/10/2020,00:43:49
138,921,890.0,15.0,5240.0,220245.0,09/10/2020,00:49:37
139,922,890.0,15.0,5308.0,220245.0,09/10/2020,23:59:37
140,929,892.0,15.0,5349.0,220279.0,12/10/2020,00:48:26
141,929,895.0,15.0,5374.0,220290.0,13/10/2020,00:44:08
142,929,895.0,15.0,5447.0,220290.0,13/10/2020,23:59:55
143,929,896.0,15.0,5482.0,220312.0,15/10/2020,00:00:57
144,933,898.0,15.0,5673.0,220356.0,17/10/2020,18:13:13
145,933,898.0,15.0,5683.0,220368.0,20/10/2020,00:25:28
146,933,898.0,15.0,5693.0,220379.0,21/10/2020,00:48:10
147,935,898.0,15.0,5755.0,220390.0,22/10/2020,00:35:52
148,935,898.0,15.0,5902.0,220401.0,23/10/2020,00:33:24
149,938,898.0,15.0,5975.0,220412.0,24/10/2020,00:41:41
150,940,900.0,15.0,6022.0,220423.0,25/10/2020,00:52:03
151,940,902.0,15.0,6047.0,220434.0,26/10/2020,00:59:01
152,941,902.0,15.0,6047.0,220446.0,27/10/2020,00:58:57
153,941,902.0,15.0,6094.0,220457.0,28/10/2020,00:44:27
154,943,903.0,15.0,6116.0,220468.0,29/10/2020,00:56:53
155,944,904.0,16.0,6232.0,220479.0,30/10/2020,00:53:29
156,945,904.0,16.0,6283.0,220479.0,30/10/2020,21:08:18
157,949,904.0,16.0,6349.0,220501.0,01/11/2020,23:23:53
