,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,02/03/2020,16:48:36
1,2,,,,,04/03/2020,20:08:04
2,5,,,,,05/03/2020,12:44:59
3,5,1.0,,,,05/03/2020,16:13:03
4,7,1.0,,,,07/03/2020,16:20:51
5,11,1.0,,,,08/03/2020,10:25:07
6,15,1.0,,,,09/03/2020,01:31:01
7,20,1.0,,,,09/03/2020,21:44:36
8,21,1.0,,,,11/03/2020,12:34:53
9,45,1.0,,,,11/03/2020,23:01:12
10,62,1.0,,,,13/03/2020,05:52:49
11,86,1.0,,,,13/03/2020,21:22:44
12,103,1.0,,,,14/03/2020,16:34:03
13,103,2.0,,,,15/03/2020,04:16:41
14,118,2.0,,,,15/03/2020,19:57:34
15,118,3.0,,,,16/03/2020,02:51:16
16,118,6.0,,,,16/03/2020,13:33:06
17,133,6.0,,,,16/03/2020,19:49:35
18,171,6.0,,,,17/03/2020,16:48:10
19,238,6.0,,,,18/03/2020,17:52:17
20,238,8.0,,,,19/03/2020,15:53:36
21,274,8.0,,,,19/03/2020,18:51:51
22,344,8.0,,,,20/03/2020,17:42:56
23,392,16.0,,,,21/03/2020,13:10:07
24,511,17.0,,,,22/03/2020,12:57:16
25,562,19.0,,,,23/03/2020,13:33:23
26,767,28.0,1.0,,,24/03/2020,13:10:31
27,900,28.0,1.0,,,25/03/2020,12:39:36
28,900,28.0,2.0,,,25/03/2020,12:49:08
29,900,29.0,2.0,,,25/03/2020,13:07:05
30,1012,33.0,3.0,,,26/03/2020,13:04:13
31,1104,35.0,3.0,,,27/03/2020,13:35:12
32,1203,37.0,4.0,,,28/03/2020,12:59:29
33,1299,66.0,8.0,,,29/03/2020,12:43:46
34,1453,66.0,8.0,,,30/03/2020,13:00:17
35,1453,115.0,8.0,,,30/03/2020,13:47:47
36,1563,165.0,10.0,,,31/03/2020,13:05:12
37,1720,264.0,16.0,,,01/04/2020,13:25:33
38,1885,328.0,21.0,,,02/04/2020,12:58:46
39,2039,351.0,25.0,,,03/04/2020,14:08:32
40,2179,420.0,29.0,,,04/04/2020,13:14:05
41,2370,420.0,29.0,,,05/04/2020,03:58:46
42,2385,488.0,34.0,,,05/04/2020,12:59:56
43,2402,488.0,34.0,,,05/04/2020,19:33:36
44,2463,488.0,34.0,,,06/04/2020,07:09:08
45,2523,551.0,38.0,,,06/04/2020,13:13:44
46,2605,551.0,38.0,,,06/04/2020,19:30:50
47,2752,551.0,38.0,,,07/04/2020,08:21:53
48,2795,615.0,41.0,,,07/04/2020,12:54:00
49,2932,615.0,41.0,,,08/04/2020,12:56:03
50,2932,631.0,41.0,,,08/04/2020,14:37:49
51,3122,631.0,41.0,,,08/04/2020,16:02:58
52,2932,631.0,41.0,,,08/04/2020,22:50:54
53,3287,666.0,44.0,,,09/04/2020,12:51:00
54,3287,666.0,44.0,115585.0,,09/04/2020,21:20:18
55,3651,685.0,47.0,115585.0,,10/04/2020,13:07:56
56,4033,720.0,52.0,115585.0,,11/04/2020,12:53:13
57,4462,761.0,59.0,115585.0,,12/04/2020,13:00:05
58,4934,805.0,65.0,115585.0,,13/04/2020,11:07:56
59,5369,889.0,73.0,115585.0,,14/04/2020,13:00:13
60,5369,889.0,73.0,150000.0,,14/04/2020,17:00:03
61,5862,931.0,79.0,150000.0,,15/04/2020,12:48:38
62,6380,990.0,83.0,150000.0,,16/04/2020,13:00:09
63,7142,1049.0,87.0,150000.0,,17/04/2020,12:57:46
64,8274,1329.0,92.0,150000.0,,18/04/2020,13:00:07
65,9362,1398.0,97.0,150000.0,,19/04/2020,13:00:06
66,9362,1398.0,97.0,180000.0,,19/04/2020,13:35:55
67,10484,1490.0,103.0,180000.0,,20/04/2020,13:00:08
68,11631,1640.0,109.0,180000.0,,21/04/2020,13:00:06
69,11631,1640.0,109.0,200000.0,,21/04/2020,13:57:09
70,11631,1640.0,109.0,500000.0,,21/04/2020,19:32:38
71,11631,1640.0,109.0,200000.0,,22/04/2020,04:12:31
72,12772,1812.0,114.0,200000.0,,22/04/2020,13:00:07
73,13930,1925.0,121.0,200000.0,,23/04/2020,17:00:34
74,15102,2049.0,127.0,200000.0,,24/04/2020,13:00:17
75,16299,2215.0,136.0,200000.0,,25/04/2020,13:01:28
76,17522,2357.0,139.0,200000.0,,26/04/2020,13:29:37
77,18811,2531.0,144.0,200000.0,,27/04/2020,13:00:36
78,20077,2784.0,152.0,200000.0,,28/04/2020,13:54:54
79,21402,2953.0,157.0,200000.0,,29/04/2020,13:06:19
80,22753,3163.0,162.0,200000.0,,30/04/2020,13:02:15
81,24097,3555.0,169.0,200000.0,,01/05/2020,13:31:09
82,24097,3555.0,169.0,326955.0,,01/05/2020,22:45:00
83,25459,3765.0,176.0,339775.0,,02/05/2020,13:41:05
84,27011,4134.0,184.0,352555.0,,03/05/2020,13:11:23
85,28656,4476.0,191.0,364561.0,,04/05/2020,13:01:17
86,28656,4476.0,191.0,365093.0,,04/05/2020,22:03:37
87,30251,5431.0,200.0,376607.0,,05/05/2020,14:11:06
88,31938,6783.0,209.0,376607.0,,06/05/2020,13:00:44
89,31938,6783.0,209.0,389659.0,,06/05/2020,15:00:36
90,33731,7798.0,219.0,389659.0,,07/05/2020,12:54:14
91,33731,7798.0,219.0,405685.0,,07/05/2020,14:02:36
92,35432,9120.0,229.0,418722.0,,07/05/2020,20:30:27
93,33731,7798.0,219.0,405685.0,,07/05/2020,21:17:20
94,35432,9120.0,229.0,405685.0,,08/05/2020,13:28:31
95,35432,9120.0,229.0,418722.0,,08/05/2020,14:21:50
96,37136,10144.0,239.0,433500.0,,09/05/2020,14:00:05
