,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,02/03/2020,20:07:52
1,2,,,,,03/03/2020,20:53:36
2,4,,,,,04/03/2020,20:08:04
3,4,1.0,,,,07/03/2020,01:03:15
4,5,1.0,,,,12/03/2020,13:50:36
5,10,1.0,,,,12/03/2020,21:06:16
6,10,2.0,,,,13/03/2020,12:08:22
7,21,2.0,,,,14/03/2020,01:11:47
8,24,2.0,,,,15/03/2020,02:39:45
9,27,2.0,,,,17/03/2020,03:07:44
10,31,2.0,,,,18/03/2020,09:03:01
11,36,2.0,,,,18/03/2020,18:29:33
12,38,2.0,,,,20/03/2020,12:13:55
13,47,5.0,,,,20/03/2020,22:30:55
14,56,5.0,,,,21/03/2020,21:15:04
15,67,5.0,,,,22/03/2020,19:31:11
16,79,8.0,,,,23/03/2020,19:48:12
17,86,8.0,,,,24/03/2020,10:31:11
18,99,9.0,,,,25/03/2020,10:30:18
19,105,9.0,,,,26/03/2020,10:11:26
20,119,11.0,,,,27/03/2020,10:57:20
21,130,18.0,,,,28/03/2020,11:02:05
22,142,27.0,,,,29/03/2020,10:44:39
23,162,27.0,,,,30/03/2020,10:45:35
24,162,28.0,,,,31/03/2020,08:15:24
25,175,40.0,,,,31/03/2020,10:34:05
26,175,40.0,1.0,,,01/04/2020,08:19:46
27,190,45.0,1.0,,,01/04/2020,11:05:20
28,195,55.0,1.0,,,02/04/2020,11:59:39
29,207,66.0,1.0,,,03/04/2020,10:27:55
30,207,66.0,1.0,195.0,,04/04/2020,03:58:25
31,219,72.0,2.0,195.0,,04/04/2020,13:14:05
32,219,72.0,2.0,,,05/04/2020,06:51:41
33,222,82.0,2.0,,,05/04/2020,11:25:56
34,226,92.0,2.0,,,06/04/2020,11:02:34
35,237,105.0,2.0,,,07/04/2020,15:07:56
36,244,113.0,2.0,,,08/04/2020,13:38:39
37,250,123.0,2.0,,,09/04/2020,12:20:14
38,265,137.0,2.0,,,10/04/2020,11:57:25
39,278,137.0,2.0,,,11/04/2020,10:30:25
40,278,152.0,2.0,,,11/04/2020,12:32:43
41,280,171.0,2.0,,,12/04/2020,11:56:40
42,291,178.0,2.0,,,13/04/2020,11:07:56
43,299,183.0,2.0,,,14/04/2020,13:31:09
44,314,190.0,2.0,,,15/04/2020,12:33:22
45,335,194.0,2.0,,,16/04/2020,15:00:09
46,342,198.0,2.0,,,17/04/2020,11:19:47
