,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,06/03/2020,09:33:10
1,2,,,,,09/03/2020,18:07:52
2,4,,,,,10/03/2020,08:34:40
3,5,,,,,10/03/2020,18:20:32
4,12,,,,,11/03/2020,12:13:51
5,18,,,,,12/03/2020,03:34:39
6,19,,,,,12/03/2020,09:00:06
7,24,,,,,12/03/2020,19:59:54
8,31,,,,,13/03/2020,08:37:16
9,35,,,,,13/03/2020,17:19:20
10,41,,,,,14/03/2020,08:46:05
11,46,,,,,14/03/2020,19:54:23
12,46,1.0,,,,15/03/2020,13:42:06
13,48,1.0,,,,15/03/2020,17:41:57
14,55,1.0,,,,16/03/2020,07:18:45
15,57,1.0,,,,16/03/2020,18:38:43
16,65,1.0,,,,17/03/2020,08:19:33
17,72,1.0,,,,17/03/2020,17:46:39
18,83,1.0,,,,18/03/2020,07:53:07
19,89,1.0,,,,18/03/2020,17:08:01
20,97,1.0,,,,19/03/2020,07:52:18
21,103,1.0,,,,19/03/2020,17:33:38
22,118,2.0,,,,20/03/2020,08:58:28
23,135,2.0,,,,20/03/2020,17:27:52
24,135,2.0,1.0,,,20/03/2020,17:28:30
25,149,2.0,1.0,,,21/03/2020,07:18:44
26,171,2.0,1.0,,,21/03/2020,17:15:43
27,188,2.0,1.0,,,22/03/2020,07:02:29
28,188,2.0,2.0,,,22/03/2020,12:57:16
29,222,2.0,2.0,,,22/03/2020,17:14:22
30,249,2.0,2.0,,,23/03/2020,14:18:53
31,249,3.0,2.0,,,23/03/2020,15:31:10
32,249,3.0,3.0,,,23/03/2020,21:26:15
33,303,15.0,3.0,,,24/03/2020,14:27:07
34,303,15.0,4.0,,,25/03/2020,07:32:36
35,384,15.0,4.0,,,25/03/2020,14:19:04
36,384,15.0,6.0,,,26/03/2020,07:32:54
37,457,15.0,7.0,,,26/03/2020,14:43:41
38,457,15.0,8.0,,,27/03/2020,12:08:48
39,528,15.0,8.0,,,27/03/2020,15:09:55
40,528,42.0,8.0,,,27/03/2020,18:00:27
41,659,42.0,10.0,,,28/03/2020,15:03:57
42,659,42.0,11.0,,,29/03/2020,09:31:16
