,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,14/03/2020,22:08:07
1,3,,,,,15/03/2020,18:30:54
2,4,,,,,17/03/2020,09:42:54
3,6,,,,,18/03/2020,16:30:04
4,7,,,,,20/03/2020,11:56:57
5,8,,,,,28/03/2020,20:26:15
6,10,,,,,31/03/2020,05:57:14
7,11,,,,,06/04/2020,15:10:50
8,11,5.0,,,,17/04/2020,07:00:06
9,11,6.0,,,,23/04/2020,11:30:05
10,11,8.0,,,,05/05/2020,20:46:28
11,11,10.0,,,,10/05/2020,07:32:08
12,11,11.0,,,98274.0,18/05/2020,06:02:18
13,11,11.0,,,98289.0,27/05/2020,16:10:09
14,11,11.0,0.0,,98292.0,29/05/2020,00:22:14
15,20,11.0,0.0,,98342.0,28/06/2020,01:31:00
16,70,11.0,0.0,,98343.0,29/06/2020,01:01:05
17,77,11.0,0.0,,98343.0,29/06/2020,17:02:24
18,81,11.0,0.0,,98345.0,30/06/2020,23:48:08
19,91,11.0,0.0,,98358.0,08/07/2020,20:00:23
20,94,11.0,0.0,,98362.0,10/07/2020,00:03:29
21,100,11.0,0.0,,98362.0,10/07/2020,19:33:58
22,100,27.0,0.0,,98370.0,15/07/2020,06:00:07
23,108,27.0,0.0,,98372.0,16/07/2020,23:59:27
24,114,69.0,0.0,,98385.0,24/07/2020,11:12:49
25,114,39.0,0.0,,98388.0,26/07/2020,00:58:09
26,114,113.0,0.0,,98403.0,04/08/2020,00:10:15
27,126,124.0,0.0,,98405.0,05/08/2020,20:32:59
28,126,125.0,0.0,,98410.0,08/08/2020,00:34:30
29,127,126.0,0.0,,98415.0,11/08/2020,14:52:07
30,132,126.0,0.0,,98428.0,19/08/2020,20:30:47
31,136,127.0,0.0,,98438.0,25/08/2020,19:45:58
32,136,127.0,0.0,5200.0,98456.0,05/09/2020,10:59:28
33,137,127.0,0.0,5200.0,98460.0,07/09/2020,18:58:15
34,138,136.0,0.0,5200.0,98466.0,11/09/2020,09:51:38
35,139,136.0,0.0,5200.0,98468.0,12/09/2020,19:27:18
36,140,136.0,0.0,5200.0,98471.0,14/09/2020,11:32:40
37,141,136.0,0.0,5200.0,98476.0,17/09/2020,13:00:37
38,143,136.0,0.0,5200.0,98483.0,21/09/2020,17:25:59
39,143,140.0,0.0,5200.0,98490.0,25/09/2020,00:40:12
40,144,140.0,0.0,5200.0,98500.0,01/10/2020,00:35:34
41,144,143.0,0.0,5200.0,98500.0,01/10/2020,18:37:08
42,145,143.0,0.0,5200.0,98501.0,02/10/2020,21:53:51
43,146,143.0,0.0,5200.0,98505.0,04/10/2020,01:16:59
44,148,143.0,0.0,5200.0,98508.0,06/10/2020,20:46:31
45,148,144.0,0.0,5200.0,98513.0,09/10/2020,23:30:31
46,149,148.0,0.0,5200.0,98529.0,17/10/2020,18:13:13
47,151,148.0,0.0,5200.0,98534.0,22/10/2020,05:44:54
48,153,149.0,0.0,5200.0,98536.0,23/10/2020,11:00:16
