,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,31/03/2020,12:19:11
1,2,,,,,01/04/2020,19:05:12
2,2,,,2.0,,04/04/2020,03:58:25
3,4,,,2.0,,04/04/2020,15:53:48
4,4,,,,,05/04/2020,06:51:41
5,6,,,,,05/04/2020,10:40:08
6,7,,,,,08/04/2020,11:40:03
7,8,,,,,10/04/2020,15:11:59
8,10,,,,,11/04/2020,23:56:33
9,11,,,,,14/04/2020,11:00:07
10,13,,,,,15/04/2020,11:59:42
11,15,,,,,16/04/2020,12:36:35
12,26,,,,,17/04/2020,12:57:46
13,30,,,,,18/04/2020,14:22:06
14,35,6.0,,,,19/04/2020,16:00:05
15,43,6.0,,,,20/04/2020,12:00:09
16,50,6.0,,,,21/04/2020,13:57:09
17,61,6.0,,,,22/04/2020,15:00:12
18,64,10.0,1.0,,,23/04/2020,17:00:34
19,82,10.0,2.0,,,24/04/2020,12:32:57
20,86,10.0,3.0,,,26/04/2020,10:29:04
21,93,10.0,4.0,,,26/04/2020,13:29:37
22,99,10.0,4.0,,,28/04/2020,02:05:53
23,104,12.0,4.0,,,28/04/2020,13:54:54
24,116,14.0,4.0,,,30/04/2020,11:07:36
25,124,21.0,7.0,,,30/04/2020,11:48:52
26,136,21.0,7.0,,,01/05/2020,12:32:18
27,155,21.0,8.0,,,02/05/2020,12:32:12
28,157,29.0,8.0,,,03/05/2020,14:52:31
29,166,29.0,8.0,,,03/05/2020,21:00:50
30,178,37.0,9.0,,,04/05/2020,14:50:36
31,199,43.0,11.0,,,05/05/2020,14:11:06
32,225,54.0,14.0,,,06/05/2020,13:00:44
33,231,54.0,16.0,,,07/05/2020,12:54:14
34,257,54.0,17.0,,,07/05/2020,20:30:27
35,231,54.0,16.0,,,07/05/2020,21:17:20
36,257,54.0,17.0,,,08/05/2020,14:01:24
37,291,58.0,18.0,,,09/05/2020,12:15:23
38,307,67.0,18.0,,,10/05/2020,14:25:09
39,338,72.0,19.0,,,11/05/2020,12:31:30
40,387,97.0,26.0,,,13/05/2020,17:26:38
41,408,97.0,26.0,,,14/05/2020,14:16:32
42,447,97.0,27.0,,7954868.0,15/05/2020,18:55:43
43,462,106.0,29.0,,7955312.0,16/05/2020,23:00:04
44,505,141.0,32.0,,7955756.0,17/05/2020,13:50:37
45,519,148.0,33.0,,7956201.0,18/05/2020,17:59:31
46,534,167.0,33.0,,7957089.0,20/05/2020,00:09:48
47,570,205.0,34.0,,7957089.0,20/05/2020,13:20:53
48,585,205.0,35.0,,7957533.0,21/05/2020,21:02:52
49,606,230.0,38.0,,7957977.0,22/05/2020,14:24:34
50,621,241.0,39.0,,7958421.0,23/05/2020,16:30:04
51,707,241.0,40.0,,7958865.0,24/05/2020,13:01:13
52,735,293.0,42.0,,7959309.0,25/05/2020,12:01:24
53,754,297.0,44.0,,7959753.0,26/05/2020,15:00:05
54,782,297.0,45.0,,7960197.0,27/05/2020,15:01:22
55,782,297.0,45.0,,7960197.0,27/05/2020,16:10:09
56,812,361.0,45.0,,7960641.0,28/05/2020,13:00:04
57,829,386.0,45.0,,7961085.0,29/05/2020,13:50:30
58,852,415.0,46.0,,7961529.0,30/05/2020,12:58:31
59,861,454.0,46.0,,7961973.0,31/05/2020,15:44:12
60,865,475.0,46.0,,7962417.0,01/06/2020,13:54:39
61,896,480.0,46.0,,7962861.0,02/06/2020,13:18:33
62,909,491.0,47.0,,7963305.0,03/06/2020,12:00:27
63,914,491.0,47.0,,7963749.0,04/06/2020,12:58:40
64,929,580.0,47.0,,7964194.0,05/06/2020,13:55:56
65,946,600.0,48.0,,7964638.0,06/06/2020,12:21:36
66,969,608.0,48.0,,7965082.0,07/06/2020,12:00:04
67,1001,611.0,49.0,,7965526.0,08/06/2020,16:09:44
68,1025,621.0,50.0,,7965970.0,09/06/2020,15:42:34
69,1062,637.0,50.0,,7966414.0,10/06/2020,16:27:21
70,1085,642.0,50.0,,7966858.0,11/06/2020,19:31:52
71,1103,648.0,51.0,,7967302.0,12/06/2020,14:19:12
72,1132,670.0,51.0,,7967746.0,13/06/2020,19:32:47
73,1169,680.0,51.0,,7968190.0,14/06/2020,13:30:58
74,1176,683.0,51.0,,7968634.0,15/06/2020,13:24:14
75,1225,686.0,51.0,,7969078.0,16/06/2020,17:55:03
76,1249,707.0,51.0,,7969522.0,17/06/2020,18:02:57
77,1272,710.0,51.0,,7969966.0,18/06/2020,17:07:37
78,1298,732.0,53.0,,7970410.0,19/06/2020,18:00:15
79,1309,746.0,53.0,,7970854.0,20/06/2020,16:00:04
80,1327,788.0,55.0,,7971298.0,21/06/2020,16:52:59
81,1340,788.0,55.0,,7971742.0,22/06/2020,16:52:07
82,1347,853.0,55.0,,7972187.0,23/06/2020,16:47:30
83,1354,869.0,55.0,,7972631.0,24/06/2020,17:02:18
84,1354,869.0,56.0,,7973519.0,26/06/2020,01:30:05
85,1394,914.0,59.0,,7973519.0,26/06/2020,20:07:44
86,1410,937.0,59.0,,7973963.0,27/06/2020,16:33:06
87,1427,943.0,60.0,,7974407.0,28/06/2020,17:50:16
88,1450,961.0,60.0,,7974851.0,29/06/2020,17:30:14
89,1462,974.0,60.0,,7975295.0,30/06/2020,16:38:56
90,1498,999.0,60.0,,7975739.0,01/07/2020,18:28:55
91,1518,1007.0,60.0,,7976183.0,02/07/2020,17:19:36
92,1524,1042.0,62.0,,7976627.0,03/07/2020,17:14:40
93,1533,1051.0,62.0,,7977071.0,04/07/2020,17:02:52
94,1542,1062.0,62.0,,7977515.0,05/07/2020,22:26:05
95,1547,1086.0,62.0,,7977959.0,06/07/2020,18:11:20
96,1572,1088.0,63.0,,7978403.0,07/07/2020,21:47:37
97,1584,1122.0,63.0,,7978847.0,08/07/2020,19:05:42
98,1598,1123.0,63.0,,7979735.0,10/07/2020,00:03:29
99,1613,1133.0,63.0,,7979735.0,10/07/2020,18:31:24
100,1618,1141.0,63.0,,7980179.0,11/07/2020,18:31:58
101,1635,1154.0,63.0,,7980624.0,12/07/2020,16:37:10
102,1642,1175.0,63.0,,7981068.0,13/07/2020,17:25:12
103,1651,1190.0,64.0,,7981512.0,14/07/2020,16:51:23
104,1668,1200.0,64.0,,7982400.0,16/07/2020,00:00:21
105,1678,1213.0,64.0,,7982400.0,16/07/2020,23:47:33
106,1688,1219.0,65.0,,7982844.0,17/07/2020,16:34:22
107,1701,1237.0,65.0,,7983288.0,18/07/2020,20:31:08
108,1711,1237.0,65.0,,7983732.0,19/07/2020,18:37:36
109,1711,1261.0,66.0,,7984176.0,20/07/2020,17:55:14
110,1727,1273.0,66.0,,7984620.0,21/07/2020,17:32:05
111,1731,1288.0,66.0,,7985064.0,22/07/2020,16:34:27
112,1752,1292.0,66.0,,7985508.0,23/07/2020,16:37:26
113,1765,1297.0,66.0,,7985952.0,24/07/2020,22:04:18
114,1768,1297.0,66.0,,7986396.0,25/07/2020,17:12:53
115,1783,1313.0,66.0,,7986840.0,26/07/2020,21:01:59
116,1783,1317.0,66.0,,7987284.0,27/07/2020,16:32:33
117,1786,1336.0,66.0,,7987728.0,28/07/2020,18:17:03
118,1803,1355.0,67.0,,7988172.0,29/07/2020,17:08:00
119,1818,1362.0,67.0,,7988617.0,30/07/2020,16:21:18
120,1823,1362.0,67.0,,7989061.0,31/07/2020,17:41:22
121,1843,1375.0,67.0,,7989949.0,02/08/2020,17:41:08
122,1848,1375.0,67.0,,7990393.0,03/08/2020,18:59:07
123,1855,1397.0,67.0,,7990837.0,04/08/2020,23:47:39
124,1860,1401.0,67.0,,7991281.0,05/08/2020,18:02:45
125,1877,1427.0,67.0,,7991725.0,06/08/2020,18:18:51
126,1887,1435.0,68.0,,7992169.0,07/08/2020,21:01:39
127,1895,1442.0,68.0,,7992613.0,08/08/2020,20:40:24
128,1916,1445.0,68.0,,7993057.0,09/08/2020,20:33:53
129,1917,1447.0,69.0,,7993501.0,10/08/2020,16:55:42
130,1932,1478.0,69.0,,7993945.0,11/08/2020,22:54:27
131,1937,1483.0,69.0,,7994389.0,12/08/2020,23:59:30
132,1940,1496.0,69.0,,7994833.0,13/08/2020,17:29:08
133,1947,1502.0,69.0,,7995277.0,14/08/2020,17:47:50
