,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,10,,0.0,,,29/01/2020,19:56:57
1,13,,0.0,,,30/01/2020,19:37:26
2,16,,0.0,,,31/01/2020,21:49:27
3,18,,0.0,,,01/02/2020,15:54:49
4,18,,,,,02/02/2020,16:27:45
5,24,1.0,,,,04/02/2020,23:07:01
6,28,1.0,,,,05/02/2020,18:44:41
7,30,1.0,,,,06/02/2020,23:02:52
8,33,1.0,,,,07/02/2020,10:14:50
9,33,2.0,,,,07/02/2020,15:36:23
10,40,2.0,,,,08/02/2020,17:51:53
11,43,6.0,,,,10/02/2020,10:07:48
12,45,7.0,,,,10/02/2020,15:41:16
13,47,9.0,,,,11/02/2020,18:49:21
14,58,15.0,,,,13/02/2020,17:47:19
15,67,17.0,,,,14/02/2020,23:27:53
16,72,18.0,,,,16/02/2020,03:02:15
17,75,19.0,,,,16/02/2020,22:14:07
18,77,24.0,,,,18/02/2020,01:13:07
19,81,29.0,,,,18/02/2020,12:52:29
20,84,34.0,,,,19/02/2020,17:04:15
21,85,37.0,,,,20/02/2020,13:52:34
22,86,47.0,,,,21/02/2020,14:27:35
23,89,49.0,,,,22/02/2020,16:28:01
24,89,51.0,,,,23/02/2020,20:17:52
25,90,53.0,,,,24/02/2020,12:31:08
26,90,49.0,,,,24/02/2020,15:57:52
27,90,53.0,,,,25/02/2020,02:11:26
28,91,58.0,,,,25/02/2020,19:09:59
29,93,58.0,,,,26/02/2020,12:20:37
30,93,62.0,,,,26/02/2020,13:40:47
31,96,66.0,,,,27/02/2020,14:01:59
32,96,69.0,,,,28/02/2020,22:11:22
33,98,69.0,,,,29/02/2020,00:34:23
34,102,72.0,,,,29/02/2020,12:51:04
35,106,74.0,,,,01/03/2020,12:52:26
36,108,78.0,,,,02/03/2020,13:07:07
37,110,78.0,,,,03/03/2020,13:13:54
38,112,79.0,,,,05/03/2020,00:57:11
39,117,81.0,,,,05/03/2020,12:44:59
40,130,81.0,,,,06/03/2020,13:25:51
41,130,82.0,,,,06/03/2020,21:05:43
42,138,90.0,,,,07/03/2020,16:20:51
43,150,90.0,,,,08/03/2020,13:22:32
44,160,93.0,,,,09/03/2020,13:11:22
45,166,93.0,,,,10/03/2020,14:17:21
46,178,96.0,,,,11/03/2020,13:21:58
47,187,96.0,,,,12/03/2020,17:16:13
48,200,97.0,,,,13/03/2020,13:16:57
49,212,97.0,,,,14/03/2020,15:34:10
50,212,105.0,,,,14/03/2020,19:54:23
51,226,105.0,,,,15/03/2020,14:12:32
52,243,109.0,,,,16/03/2020,12:36:27
53,266,114.0,,,,17/03/2020,13:53:18
54,313,114.0,,,,18/03/2020,13:49:49
55,313,117.0,,,,19/03/2020,02:37:17
56,345,117.0,,,,19/03/2020,13:00:05
57,345,124.0,,,,19/03/2020,15:53:36
58,385,124.0,,,,20/03/2020,11:39:27
59,385,131.0,,,,20/03/2020,14:13:28
60,385,131.0,2.0,,,21/03/2020,04:09:57
61,432,140.0,2.0,,,21/03/2020,12:30:11
62,455,144.0,2.0,,,22/03/2020,12:57:16
63,509,144.0,2.0,,,23/03/2020,12:31:26
64,509,152.0,2.0,,,23/03/2020,12:59:05
65,558,156.0,2.0,,,24/03/2020,11:49:19
66,631,160.0,2.0,,,25/03/2020,14:54:58
67,683,172.0,2.0,,,26/03/2020,13:30:35
68,732,183.0,2.0,,,27/03/2020,15:09:55
69,802,198.0,2.0,,,28/03/2020,15:03:57
70,802,198.0,3.0,,,29/03/2020,05:04:29
71,844,212.0,3.0,,,29/03/2020,12:34:15
72,879,228.0,3.0,,,30/03/2020,12:35:12
73,926,228.0,3.0,,,31/03/2020,13:05:12
74,926,240.0,3.0,,,31/03/2020,13:43:04
75,1000,245.0,3.0,,,01/04/2020,14:05:12
76,1000,245.0,4.0,,,02/04/2020,01:48:51
77,1049,266.0,4.0,,,02/04/2020,14:11:21
78,1049,266.0,5.0,,,03/04/2020,03:30:15
79,1114,266.0,5.0,,,03/04/2020,09:00:51
80,1114,282.0,5.0,,,03/04/2020,14:08:32
