,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,06/03/2020,11:35:51
1,3,,,,,07/03/2020,11:50:28
2,5,,,,,08/03/2020,18:35:03
3,6,,,,,09/03/2020,11:21:23
4,8,,,,,09/03/2020,15:54:25
5,7,,,,,09/03/2020,20:50:50
6,10,,,,,11/03/2020,15:03:12
7,16,,,,,12/03/2020,12:20:12
8,21,,,,,12/03/2020,17:46:57
9,30,,,,,13/03/2020,14:31:30
10,32,,,,,13/03/2020,22:40:01
11,44,,,,,14/03/2020,16:34:03
12,54,,,,,15/03/2020,10:12:45
13,61,,,,,15/03/2020,19:01:14
14,63,,,,,16/03/2020,13:33:06
15,72,,,,,16/03/2020,17:07:28
16,78,,,,,17/03/2020,08:19:33
17,72,,,,,17/03/2020,09:42:54
18,84,,,,,17/03/2020,11:58:42
19,97,,,,,17/03/2020,17:46:39
20,105,,,,,18/03/2020,09:24:03
21,105,,1.0,,,18/03/2020,13:49:49
22,105,,,,,18/03/2020,14:30:40
23,105,,1.0,,,19/03/2020,08:17:49
24,111,,1.0,,,19/03/2020,08:42:48
25,111,,,,,19/03/2020,09:03:12
26,105,,,,,19/03/2020,10:07:58
27,124,,,,,19/03/2020,15:53:36
28,123,,,,,20/03/2020,14:31:22
29,137,,,,,20/03/2020,15:30:18
30,137,7.0,,,,21/03/2020,11:01:21
31,138,7.0,,,,21/03/2020,12:50:09
32,146,7.0,,,,21/03/2020,16:58:44
33,178,7.0,,,,21/03/2020,18:10:28
34,185,7.0,,,,22/03/2020,17:55:33
35,186,7.0,,,,23/03/2020,11:03:01
36,204,7.0,,,,24/03/2020,09:01:33
37,216,7.0,,,,25/03/2020,09:30:29
38,226,7.0,,,,26/03/2020,09:48:13
39,226,2.0,,,,26/03/2020,12:37:20
40,269,2.0,,,,27/03/2020,10:29:23
41,292,2.0,,,,28/03/2020,12:00:14
42,314,2.0,,,,29/03/2020,10:28:39
43,336,7.0,,,,30/03/2020,10:45:35
44,363,7.0,,,,31/03/2020,08:32:57
45,363,3.0,,,,31/03/2020,14:24:22
46,400,3.0,,,,01/04/2020,09:39:09
47,400,3.0,1.0,,,01/04/2020,14:34:33
48,426,3.0,1.0,,,02/04/2020,11:59:39
49,426,5.0,1.0,,,02/04/2020,13:39:08
50,450,5.0,1.0,,,03/04/2020,10:08:06
51,450,10.0,1.0,,,03/04/2020,11:44:04
52,450,10.0,1.0,11742.0,,04/04/2020,03:58:25
53,471,10.0,1.0,11742.0,,04/04/2020,08:59:18
54,471,10.0,1.0,13631.0,,04/04/2020,09:51:17
55,485,10.0,1.0,14670.0,,05/04/2020,09:32:01
56,485,10.0,1.0,15155.0,,05/04/2020,10:00:35
57,485,8.0,1.0,15155.0,,06/04/2020,06:51:22
58,534,8.0,1.0,16191.0,,06/04/2020,11:02:34
59,534,8.0,2.0,16191.0,,06/04/2020,15:10:50
60,534,8.0,2.0,15657.0,,06/04/2020,20:39:16
61,534,8.0,2.0,16191.0,,06/04/2020,21:15:30
62,581,8.0,2.0,17639.0,,07/04/2020,11:19:43
63,581,9.0,2.0,17639.0,,07/04/2020,12:54:00
64,581,13.0,2.0,17639.0,,07/04/2020,13:46:58
65,682,13.0,2.0,19681.0,,08/04/2020,14:15:38
66,682,16.0,2.0,19681.0,,08/04/2020,16:07:55
67,701,16.0,2.0,21371.0,,09/04/2020,10:22:18
68,701,23.0,2.0,21371.0,,09/04/2020,14:32:13
69,715,23.0,2.0,22957.0,,10/04/2020,14:01:15
70,728,23.0,2.0,25846.0,,11/04/2020,10:56:15
71,742,23.0,2.0,27426.0,,12/04/2020,10:52:56
72,816,107.0,2.0,28750.0,,13/04/2020,11:07:56
73,769,107.0,2.0,28750.0,,13/04/2020,21:49:48
74,816,107.0,2.0,28750.0,,14/04/2020,08:00:04
75,835,107.0,2.0,30052.0,,14/04/2020,10:18:41
76,835,113.0,2.0,30052.0,,14/04/2020,14:18:35
77,863,113.0,2.0,30080.0,,15/04/2020,09:36:59
78,863,151.0,2.0,31491.0,,15/04/2020,10:53:25
79,863,151.0,6.0,31491.0,,15/04/2020,13:07:56
80,977,151.0,8.0,31605.0,,16/04/2020,11:00:05
81,977,167.0,8.0,31605.0,,16/04/2020,11:33:05
82,977,167.0,8.0,34458.0,,16/04/2020,12:00:07
83,1049,167.0,8.0,34458.0,,17/04/2020,12:00:06
84,1049,167.0,8.0,34530.0,,17/04/2020,12:57:46
85,1049,175.0,9.0,37732.0,,17/04/2020,16:00:06
86,1089,213.0,11.0,40953.0,,18/04/2020,08:32:56
87,1161,229.0,12.0,44276.0,,19/04/2020,09:16:53
88,1161,229.0,12.0,44278.0,,19/04/2020,16:00:05
89,1173,251.0,13.0,46734.0,,20/04/2020,12:28:28
90,1199,258.0,14.0,49428.0,,21/04/2020,10:00:06
91,1244,284.0,14.0,52649.0,,22/04/2020,08:20:46
92,1325,288.0,15.0,57421.0,,23/04/2020,08:00:04
93,1360,355.0,17.0,61261.0,,24/04/2020,08:30:24
94,1373,386.0,17.0,66089.0,,25/04/2020,08:00:00
95,1379,394.0,18.0,70928.0,,26/04/2020,08:03:41
96,1381,403.0,18.0,74099.0,,27/04/2020,08:00:46
97,1384,423.0,20.0,75866.0,,28/04/2020,02:05:53
98,1391,484.0,22.0,81338.0,,29/04/2020,08:33:02
99,1396,524.0,23.0,85922.0,,30/04/2020,08:00:50
100,1403,558.0,23.0,91072.0,,01/05/2020,08:18:25
101,1407,608.0,24.0,94770.0,,02/05/2020,08:33:25
102,1408,619.0,24.0,96220.0,,03/05/2020,07:54:07
103,1413,643.0,25.0,97804.0,,04/05/2020,08:00:05
104,1421,741.0,25.0,99864.0,,05/05/2020,07:57:05
105,1429,762.0,25.0,104606.0,,06/05/2020,07:59:40
106,1445,806.0,26.0,109767.0,,07/05/2020,07:42:39
107,1455,905.0,26.0,114461.0,,07/05/2020,20:30:27
108,1445,806.0,26.0,109767.0,,07/05/2020,21:17:20
109,1455,905.0,26.0,114461.0,,08/05/2020,08:00:04
110,1455,919.0,26.0,118371.0,,09/05/2020,08:02:04
111,1457,941.0,26.0,119859.0,,10/05/2020,07:56:02
112,1457,959.0,26.0,120645.0,,11/05/2020,08:01:59
113,1465,983.0,27.0,122708.0,,12/05/2020,15:39:30
114,1469,1060.0,27.0,127034.0,,13/05/2020,09:28:29
115,1477,1112.0,27.0,131910.0,,14/05/2020,08:02:26
116,1480,1131.0,27.0,135902.0,5459310.0,15/05/2020,07:47:09
117,1493,1151.0,28.0,139986.0,5459317.0,16/05/2020,08:16:44
118,1494,1163.0,28.0,142462.0,5459325.0,17/05/2020,08:24:55
119,1495,1185.0,28.0,143433.0,5459332.0,18/05/2020,08:30:05
120,1495,1192.0,28.0,145474.0,5459339.0,19/05/2020,08:15:47
121,1496,1231.0,28.0,148845.0,5459346.0,20/05/2020,09:33:06
122,1502,1245.0,28.0,151778.0,5459353.0,21/05/2020,07:23:54
123,1503,1256.0,28.0,154529.0,5459361.0,22/05/2020,08:01:12
