,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,04/03/2020,21:44:31
1,2,,,,,05/03/2020,11:58:52
2,3,,,,,05/03/2020,18:38:17
3,6,,,,,05/03/2020,21:27:02
4,7,,,,,06/03/2020,15:42:22
5,8,,,,,06/03/2020,17:47:32
6,12,,,,,07/03/2020,13:56:10
7,16,,,,,08/03/2020,15:37:44
8,19,,,,,09/03/2020,12:42:03
9,23,,,,,09/03/2020,15:26:57
10,24,,,,,09/03/2020,21:59:35
11,25,,,,,10/03/2020,01:34:54
12,31,,,,,10/03/2020,13:38:40
13,34,,,,,10/03/2020,21:08:33
14,47,,,,,11/03/2020,12:13:51
15,57,,,,,11/03/2020,15:03:12
16,82,,,,,12/03/2020,12:36:57
17,89,,,,,12/03/2020,13:21:02
18,96,,,,,12/03/2020,20:10:20
19,141,,,,,13/03/2020,13:40:06
20,181,,,,,14/03/2020,14:06:31
21,181,,1.0,,,14/03/2020,18:53:39
22,219,,1.0,,,15/03/2020,13:43:34
23,253,,1.0,,,16/03/2020,13:33:06
24,273,,1.0,,,17/03/2020,13:20:44
25,275,,1.0,,,17/03/2020,15:47:47
26,286,,1.0,,,18/03/2020,13:49:49
27,319,,1.0,,,19/03/2020,15:53:36
28,341,,1.0,,,20/03/2020,14:01:10
29,383,,1.0,,,21/03/2020,13:13:01
30,414,,1.0,,,22/03/2020,13:23:33
31,414,,2.0,,,22/03/2020,16:51:13
32,414,,3.0,,,23/03/2020,09:30:08
33,442,,3.0,,,23/03/2020,13:33:23
34,442,,4.0,,,24/03/2020,13:10:31
35,480,3.0,4.0,,,24/03/2020,13:47:20
36,528,3.0,5.0,,,25/03/2020,11:10:45
37,528,10.0,5.0,,,25/03/2020,11:29:15
38,528,10.0,6.0,,,26/03/2020,15:14:31
39,577,10.0,6.0,,,26/03/2020,16:09:16
40,562,10.0,6.0,,,26/03/2020,16:45:58
41,632,10.0,6.0,,,27/03/2020,10:57:20
42,632,10.0,9.0,,,27/03/2020,12:08:48
43,684,10.0,9.0,,,28/03/2020,12:00:14
44,730,10.0,11.0,,,29/03/2020,10:28:39
45,756,10.0,11.0,,,30/03/2020,09:30:24
46,756,10.0,12.0,,,31/03/2020,09:54:18
47,802,10.0,15.0,,,31/03/2020,10:34:05
48,841,10.0,15.0,,,01/04/2020,09:39:09
49,897,10.0,16.0,,,02/04/2020,10:05:12
50,897,70.0,17.0,,,02/04/2020,11:59:39
51,934,70.0,20.0,,,03/04/2020,11:12:54
52,934,70.0,20.0,25921.0,,04/04/2020,03:58:25
53,977,70.0,22.0,27109.0,,04/04/2020,09:51:17
54,977,79.0,22.0,27109.0,,04/04/2020,13:14:05
55,997,79.0,28.0,27764.0,,05/04/2020,09:03:07
56,1021,79.0,30.0,28253.0,,06/04/2020,09:03:43
57,1021,102.0,30.0,28253.0,,06/04/2020,09:28:45
58,1059,102.0,30.0,28253.0,,07/04/2020,12:54:00
59,1059,102.0,36.0,29455.0,,07/04/2020,14:32:01
60,1059,115.0,36.0,29455.0,,08/04/2020,09:01:58
61,1091,120.0,40.0,30669.0,,08/04/2020,09:11:31
62,1124,128.0,43.0,31813.0,,09/04/2020,09:20:55
63,1160,137.0,45.0,33047.0,,10/04/2020,10:20:54
64,1188,148.0,50.0,34279.0,,11/04/2020,09:06:14
65,1205,150.0,53.0,34851.0,,12/04/2020,08:54:37
66,1212,152.0,55.0,35405.0,,13/04/2020,11:07:56
67,1220,152.0,56.0,35946.0,,14/04/2020,10:18:41
68,1248,165.0,61.0,37114.0,,15/04/2020,08:59:40
69,1268,174.0,61.0,38137.0,,16/04/2020,11:00:05
70,1304,174.0,66.0,39330.0,,17/04/2020,12:00:06
71,1317,190.0,70.0,40580.0,,18/04/2020,12:41:14
72,1330,192.0,74.0,41265.0,,19/04/2020,12:00:03
73,1335,193.0,77.0,41802.0,,20/04/2020,09:00:07
74,1344,197.0,77.0,42976.0,,21/04/2020,12:42:37
75,1353,205.0,79.0,44435.0,,22/04/2020,11:00:06
76,1366,211.0,79.0,45703.0,,23/04/2020,09:30:15
77,1373,211.0,80.0,45703.0,,24/04/2020,11:30:42
78,1388,219.0,81.0,48179.0,,25/04/2020,10:00:36
79,1396,221.0,82.0,48973.0,,26/04/2020,11:02:22
80,1402,221.0,83.0,49607.0,,27/04/2020,09:00:44
81,1408,223.0,86.0,50290.0,,28/04/2020,02:05:53
82,1418,230.0,89.0,51607.0,,29/04/2020,08:33:02
83,1418,1091.0,89.0,52830.0,,30/04/2020,05:27:42
84,1429,233.0,91.0,52948.0,,30/04/2020,11:07:36
85,1434,233.0,92.0,52948.0,,01/05/2020,11:30:30
86,1439,239.0,94.0,55020.0,,02/05/2020,11:00:04
87,1439,241.0,96.0,55520.0,,03/05/2020,09:25:39
88,1439,241.0,97.0,56136.0,,04/05/2020,10:31:59
89,1439,241.0,97.0,57504.0,,04/05/2020,13:45:37
90,1445,244.0,98.0,57504.0,,05/05/2020,11:20:06
91,1448,246.0,99.0,58923.0,,06/05/2020,10:30:36
92,1449,247.0,99.0,59978.0,,07/05/2020,10:03:25
93,1450,252.0,100.0,59978.0,,07/05/2020,20:30:27
94,1449,247.0,99.0,59978.0,,07/05/2020,21:17:20
95,1450,252.0,100.0,59978.0,,08/05/2020,14:53:29
96,1454,255.0,101.0,62203.0,,09/05/2020,11:00:08
97,1457,256.0,102.0,62828.0,,10/05/2020,13:46:35
