,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,0,,691056,03/10/2020,10:36:08
1,2,,0,92.0,691425,11/10/2020,08:30:19
2,2,,0,96.0,691471,12/10/2020,09:23:28
3,3,,0,96.0,691610,15/10/2020,09:03:53
4,3,,0,96.0,691933,23/10/2020,00:00:03
5,4,3.0,0,96.0,691979,23/10/2020,02:06:40
6,4,4.0,0,97.0,692164,27/10/2020,00:00:13
7,8,4.0,0,97.0,692164,27/10/2020,14:03:08
8,8,4.0,0,115.0,692256,29/10/2020,12:21:14
9,13,4.0,0,115.0,692441,02/11/2020,14:32:25
10,16,5.0,0,115.0,692764,09/11/2020,11:43:21
