,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,16/03/2020,13:33:06
1,2,,,,,26/03/2020,08:30:04
2,3,,,,,27/03/2020,08:31:48
3,3,1.0,,,,31/03/2020,02:35:12
4,5,1.0,,,,31/03/2020,18:01:56
5,7,1.0,,,,03/04/2020,18:30:05
6,8,1.0,,,,07/04/2020,17:16:04
7,8,1.0,1.0,,,08/04/2020,16:02:58
8,12,1.0,1.0,,,08/04/2020,16:34:55
9,21,1.0,1.0,,,10/04/2020,17:28:43
10,21,2.0,1.0,,,12/04/2020,05:00:02
11,25,2.0,1.0,,,12/04/2020,21:02:06
12,60,2.0,2.0,,,13/04/2020,11:07:56
13,80,2.0,5.0,,,15/04/2020,18:59:52
14,116,2.0,5.0,,,17/04/2020,18:49:21
15,116,2.0,6.0,,,17/04/2020,20:30:36
16,135,2.0,7.0,,,18/04/2020,17:59:20
17,164,3.0,7.0,,,19/04/2020,16:00:05
18,237,4.0,8.0,,,20/04/2020,22:00:07
19,164,3.0,7.0,,,21/04/2020,00:00:05
20,237,4.0,8.0,,,21/04/2020,00:07:03
21,286,4.0,8.0,,,21/04/2020,18:45:51
22,328,8.0,16.0,,,23/04/2020,17:00:34
23,390,8.0,18.0,,,25/04/2020,17:30:05
24,436,10.0,23.0,,,26/04/2020,14:39:02
25,480,10.0,26.0,,,27/04/2020,15:48:26
26,480,14.0,26.0,,,28/04/2020,02:05:53
27,528,19.0,28.0,,,28/04/2020,16:38:23
28,582,20.0,28.0,,,29/04/2020,16:35:36
29,601,31.0,28.0,,,30/04/2020,16:10:14
30,671,34.0,31.0,,,02/05/2020,17:01:58
31,722,44.0,32.0,,,03/05/2020,15:30:04
32,756,61.0,35.0,,,04/05/2020,16:35:27
33,835,75.0,38.0,,,05/05/2020,14:11:06
34,873,87.0,39.0,,,06/05/2020,15:37:03
35,928,106.0,44.0,,,07/05/2020,17:06:34
36,997,110.0,48.0,,,09/05/2020,17:03:04
37,1054,118.0,51.0,,,10/05/2020,15:02:57
38,1089,121.0,52.0,,,11/05/2020,15:55:07
39,1170,126.0,52.0,,,12/05/2020,16:55:59
40,1219,130.0,52.0,,,13/05/2020,15:36:55
41,1284,135.0,53.0,,,14/05/2020,22:15:16
42,1357,148.0,55.0,,15832072.0,16/05/2020,18:37:01
43,1421,152.0,56.0,,15833288.0,17/05/2020,17:24:15
44,1455,163.0,57.0,,15834504.0,18/05/2020,18:59:22
45,1502,178.0,59.0,,15836937.0,20/05/2020,00:09:48
46,1573,188.0,61.0,,15836937.0,20/05/2020,18:02:04
47,1594,204.0,61.0,,15838153.0,21/05/2020,21:02:52
48,1689,235.0,66.0,,15843017.0,25/05/2020,15:33:02
49,1711,253.0,67.0,,15844234.0,26/05/2020,15:33:20
50,1711,253.0,67.0,,15845450.0,27/05/2020,16:10:09
51,1731,265.0,67.0,,15845450.0,27/05/2020,17:26:21
52,1828,310.0,72.0,,15846666.0,28/05/2020,16:17:40
53,1916,327.0,73.0,,15849098.0,30/05/2020,16:12:58
54,1976,348.0,78.0,,15850314.0,31/05/2020,15:44:12
55,2023,361.0,79.0,,15851530.0,01/06/2020,15:19:59
56,2089,361.0,79.0,,15852747.0,02/06/2020,14:55:10
57,2146,406.0,79.0,,15853963.0,03/06/2020,16:26:44
58,2189,406.0,79.0,,15855179.0,04/06/2020,13:33:36
59,2204,418.0,79.0,,15855179.0,04/06/2020,15:11:04
60,2289,431.0,82.0,,15857611.0,06/06/2020,14:36:13
61,2334,441.0,83.0,,15858827.0,07/06/2020,17:56:28
62,2368,470.0,84.0,,15860043.0,08/06/2020,14:43:26
63,2397,489.0,85.0,,15861260.0,09/06/2020,13:01:51
64,2416,489.0,85.0,,15861260.0,09/06/2020,14:45:43
65,2452,506.0,85.0,,15862476.0,10/06/2020,13:11:03
66,2513,532.0,85.0,,15863692.0,11/06/2020,13:53:01
67,2579,559.0,87.0,,15866124.0,13/06/2020,19:32:47
68,2618,577.0,88.0,,15867340.0,14/06/2020,15:59:18
69,2642,622.0,88.0,,15868557.0,15/06/2020,17:21:41
70,2658,622.0,88.0,,15869773.0,16/06/2020,17:16:14
71,2658,649.0,88.0,,15869773.0,16/06/2020,17:55:03
72,2696,685.0,88.0,,15870989.0,17/06/2020,19:01:56
73,2719,724.0,88.0,,15872205.0,18/06/2020,14:30:05
74,2755,751.0,88.0,,15874637.0,20/06/2020,16:58:55
75,2779,782.0,90.0,,15875853.0,21/06/2020,16:24:25
76,2812,818.0,90.0,,15877070.0,22/06/2020,19:47:46
77,2835,829.0,90.0,,15879502.0,24/06/2020,08:30:38
78,2878,868.0,90.0,,15880718.0,25/06/2020,15:30:35
79,2894,887.0,90.0,,15884366.0,28/06/2020,17:33:06
80,2904,910.0,90.0,,15885583.0,29/06/2020,23:33:25
81,2924,910.0,90.0,,15886799.0,30/06/2020,19:32:25
