,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,05/03/2020,12:44:59
1,2,,,,,07/03/2020,12:41:40
2,3,,,,,08/03/2020,10:25:07
3,7,,,,,09/03/2020,14:08:36
4,13,,,,,11/03/2020,12:13:51
5,17,,,,,12/03/2020,09:00:06
6,16,,,,,13/03/2020,01:36:32
7,17,,,,,13/03/2020,01:50:29
8,16,,,,,13/03/2020,03:30:28
9,24,,,,,13/03/2020,13:16:57
10,38,,,,,14/03/2020,15:34:10
11,51,,,,,15/03/2020,09:56:00
12,61,,,,,15/03/2020,18:30:54
13,62,,,,,16/03/2020,11:53:34
14,64,,,,,16/03/2020,13:33:06
15,62,,,,,17/03/2020,09:42:54
16,85,,,,,17/03/2020,22:18:28
17,116,,,,,18/03/2020,08:05:21
18,150,,,,,19/03/2020,12:07:48
19,202,,,,,20/03/2020,10:00:40
20,240,,,,,21/03/2020,09:00:11
21,240,1.0,,,,21/03/2020,09:56:10
22,240,2.0,,,,21/03/2020,12:30:11
23,274,2.0,,,,22/03/2020,18:30:38
24,402,2.0,,,,23/03/2020,12:00:05
25,402,4.0,,,,23/03/2020,14:56:32
26,554,4.0,,,,24/03/2020,09:01:33
27,709,4.0,,,,25/03/2020,07:02:57
28,709,12.0,,,,25/03/2020,12:02:15
29,900,12.0,,,,26/03/2020,15:14:31
30,927,12.0,,,,26/03/2020,16:09:16
31,927,12.0,2.0,,,27/03/2020,07:55:13
32,1170,12.0,2.0,,,27/03/2020,16:58:09
33,1170,12.0,1.0,,,27/03/2020,19:42:09
34,1170,31.0,1.0,,,27/03/2020,21:45:51
35,1170,31.0,2.0,,,28/03/2020,18:25:32
36,1187,31.0,2.0,,,28/03/2020,18:47:28
37,1187,31.0,1.0,,,28/03/2020,21:38:28
38,1280,31.0,2.0,,,29/03/2020,19:09:28
39,1326,31.0,3.0,,,30/03/2020,17:47:11
40,1353,31.0,3.0,,,31/03/2020,15:53:36
41,1353,31.0,5.0,,,31/03/2020,20:39:01
42,1353,50.0,5.0,,,01/04/2020,08:19:46
43,1380,50.0,5.0,,,01/04/2020,16:47:40
44,1462,50.0,5.0,,,02/04/2020,17:35:51
45,1462,95.0,5.0,,,03/04/2020,05:27:29
46,1505,95.0,5.0,,,03/04/2020,15:04:24
47,1505,95.0,7.0,,,03/04/2020,15:32:06
48,1505,95.0,9.0,,,03/04/2020,18:16:12
49,1505,95.0,9.0,50361.0,,04/04/2020,03:58:25
50,1585,95.0,9.0,53937.0,,04/04/2020,19:53:16
51,1655,95.0,11.0,56873.0,,05/04/2020,20:20:02
52,1686,95.0,12.0,56873.0,,06/04/2020,19:30:50
53,1686,95.0,12.0,58098.0,,06/04/2020,19:37:55
54,1749,95.0,13.0,58098.0,,07/04/2020,14:32:01
55,1845,95.0,18.0,58098.0,,08/04/2020,18:33:50
56,1845,95.0,18.0,63776.0,,08/04/2020,20:52:56
57,1934,95.0,18.0,63776.0,,09/04/2020,18:30:40
58,1934,95.0,18.0,68874.0,,09/04/2020,20:28:07
59,2003,410.0,24.0,73028.0,,10/04/2020,13:07:56
