,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,05/04/2020,10:00:35
1,2,,,,,07/04/2020,21:43:18
2,3,,,,,09/04/2020,12:58:38
3,4,,,,,10/04/2020,15:11:59
4,5,,,,,24/04/2020,03:30:38
5,6,,,,,26/04/2020,08:03:41
6,34,,,,,28/04/2020,20:03:12
7,35,,,,,30/04/2020,09:43:06
8,45,,,1247.0,,01/05/2020,20:00:37
9,46,,,1247.0,,03/05/2020,07:00:45
10,52,,,1247.0,,05/05/2020,06:22:27
11,58,,,1247.0,,06/05/2020,13:27:50
12,74,,,1247.0,,07/05/2020,12:54:14
13,90,2.0,,1247.0,,07/05/2020,20:30:27
14,74,,,1247.0,,07/05/2020,21:17:20
15,90,2.0,,1247.0,,08/05/2020,18:30:53
16,120,2.0,,1247.0,,08/05/2020,21:30:08
17,156,2.0,,1247.0,,11/05/2020,08:32:14
18,194,2.0,,1247.0,,12/05/2020,23:44:31
19,203,2.0,,1247.0,,13/05/2020,22:00:32
20,203,3.0,,3356.0,,14/05/2020,22:15:16
21,231,3.0,1.0,3356.0,11176461.0,15/05/2020,05:31:30
22,236,4.0,4.0,3356.0,11176461.0,15/05/2020,20:52:31
23,290,4.0,4.0,3356.0,11177178.0,17/05/2020,19:02:20
24,481,4.0,4.0,3356.0,11178612.0,21/05/2020,07:23:54
25,563,6.0,6.0,3356.0,11178970.0,22/05/2020,20:02:02
26,655,6.0,8.0,3356.0,11179329.0,23/05/2020,22:01:48
27,806,6.0,8.0,3356.0,11180046.0,25/05/2020,23:02:37
28,994,6.0,10.0,3356.0,11180763.0,27/05/2020,18:00:09
29,1317,6.0,14.0,3356.0,11184706.0,07/06/2020,05:30:08
30,1604,15.0,19.0,3356.0,11185064.0,08/06/2020,09:34:21
31,1670,48.0,24.0,3356.0,11186140.0,11/06/2020,20:04:25
32,1693,49.0,27.0,3356.0,11186857.0,13/06/2020,19:32:47
33,1776,58.0,30.0,3356.0,11187932.0,16/06/2020,19:03:31
34,1813,89.0,31.0,3356.0,11188649.0,18/06/2020,00:15:40
35,1830,117.0,32.0,3356.0,11188649.0,18/06/2020,17:30:05
36,1864,122.0,34.0,9829.0,11189007.0,19/06/2020,19:00:47
37,1882,122.0,34.0,9829.0,11189366.0,20/06/2020,16:54:02
38,1892,169.0,34.0,9829.0,11189724.0,21/06/2020,18:27:36
39,1916,190.0,35.0,9829.0,11190083.0,22/06/2020,17:20:52
40,1930,217.0,36.0,10165.0,11190441.0,23/06/2020,23:20:50
41,1942,224.0,36.0,10226.0,11190800.0,24/06/2020,21:27:43
42,1989,246.0,36.0,10226.0,11192233.0,28/06/2020,17:50:16
43,2007,279.0,38.0,10660.0,11192950.0,30/06/2020,22:00:35
44,2021,333.0,38.0,10824.0,11193309.0,01/07/2020,19:00:11
45,2148,333.0,41.0,10824.0,11197610.0,13/07/2020,19:02:19
46,2153,1175.0,41.0,12044.0,11198327.0,15/07/2020,06:00:07
47,2171,1175.0,41.0,12044.0,11198686.0,16/07/2020,23:47:33
48,2191,1175.0,43.0,12044.0,11199044.0,17/07/2020,19:00:45
49,2200,1175.0,43.0,12044.0,11199761.0,19/07/2020,17:01:07
50,2211,1175.0,45.0,12044.0,11200120.0,20/07/2020,16:33:53
51,2239,1175.0,45.0,12044.0,11201195.0,23/07/2020,18:34:50
52,2258,1175.0,45.0,12044.0,11201553.0,24/07/2020,19:05:15
53,2262,1175.0,45.0,12044.0,11202629.0,27/07/2020,00:00:46
54,2305,1175.0,46.0,12044.0,11202629.0,27/07/2020,15:15:46
