,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,0.0,,,01/02/2020,00:37:30
1,1,,,,,02/02/2020,16:27:45
2,2,,,,,10/02/2020,10:07:48
3,2,1.0,,,,14/02/2020,23:27:53
4,2,2.0,,,,16/02/2020,03:02:15
5,3,2.0,,,,24/02/2020,23:06:25
6,5,2.0,,,,25/02/2020,19:09:59
7,6,2.0,,,,25/02/2020,21:32:52
8,7,2.0,,,,25/02/2020,22:19:25
9,9,2.0,,,,26/02/2020,00:31:11
10,10,2.0,,,,26/02/2020,09:11:06
11,11,2.0,,,,26/02/2020,12:09:48
12,12,2.0,,,,26/02/2020,13:26:29
13,13,2.0,,,,26/02/2020,20:34:27
14,14,2.0,,,,27/02/2020,08:22:13
15,15,2.0,,,,27/02/2020,11:55:01
16,17,2.0,,,,27/02/2020,19:25:12
17,25,2.0,,,,27/02/2020,21:21:37
18,26,2.0,,,,28/02/2020,09:15:37
19,33,2.0,,,,28/02/2020,13:49:41
20,37,2.0,,,,29/02/2020,09:30:56
21,45,2.0,,,,29/02/2020,09:45:21
22,50,2.0,,,,29/02/2020,12:51:04
23,58,2.0,,,,29/02/2020,22:19:46
24,73,2.0,,,,01/03/2020,11:31:41
25,79,2.0,,,,01/03/2020,20:04:42
26,84,2.0,,,,01/03/2020,21:11:25
27,86,2.0,,,,02/03/2020,10:09:20
28,120,2.0,,,,02/03/2020,13:07:07
29,124,2.0,,,,03/03/2020,09:51:09
30,152,2.0,,,,03/03/2020,12:38:28
31,153,2.0,,,,03/03/2020,14:30:34
32,165,2.0,1.0,,,03/03/2020,19:48:52
33,182,2.0,1.0,,,04/03/2020,11:48:27
34,193,2.0,1.0,,,04/03/2020,12:27:41
35,194,2.0,1.0,,,04/03/2020,14:16:40
36,210,2.0,1.0,,,04/03/2020,17:26:21
37,222,2.0,1.0,,,04/03/2020,18:21:42
38,222,2.0,2.0,,,04/03/2020,19:33:00
39,228,2.0,2.0,,,04/03/2020,20:34:24
40,248,2.0,3.0,,,05/03/2020,11:02:34
41,259,2.0,3.0,,,05/03/2020,14:19:53
42,259,3.0,3.0,,,05/03/2020,19:54:17
43,282,3.0,3.0,,,05/03/2020,21:15:12
44,329,3.0,3.0,,,06/03/2020,10:16:20
45,345,3.0,5.0,,,06/03/2020,11:35:51
46,382,3.0,5.0,,,06/03/2020,13:25:51
47,386,3.0,5.0,,,06/03/2020,15:42:22
48,387,3.0,5.0,,,06/03/2020,17:47:32
49,400,3.0,6.0,,,06/03/2020,19:57:53
50,400,3.0,8.0,,,06/03/2020,21:32:26
51,401,6.0,8.0,,,07/03/2020,00:16:26
52,402,6.0,8.0,,,07/03/2020,03:03:58
53,441,6.0,8.0,,,07/03/2020,11:50:28
54,477,6.0,8.0,,,07/03/2020,13:56:10
55,500,30.0,10.0,,,07/03/2020,16:20:51
56,503,30.0,10.0,,,07/03/2020,17:41:35
57,525,30.0,10.0,,,08/03/2020,03:53:53
58,589,30.0,13.0,,,08/03/2020,11:25:12
59,589,30.0,17.0,,,08/03/2020,12:44:18
60,597,30.0,17.0,,,08/03/2020,12:49:19
61,613,30.0,17.0,,,08/03/2020,13:22:32
62,673,30.0,17.0,,,08/03/2020,20:10:35
63,673,32.0,17.0,,,08/03/2020,21:26:34
64,674,32.0,17.0,,,08/03/2020,23:22:51
65,911,32.0,25.0,,,09/03/2020,11:21:23
