,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,0.0,,,29/01/2020,19:56:57
1,1,,,,,02/02/2020,16:27:45
2,1,1.0,,,,03/02/2020,07:08:53
3,2,1.0,,,,11/03/2020,05:04:21
4,3,1.0,,,,12/03/2020,18:10:04
5,5,1.0,,,,13/03/2020,14:06:52
6,6,1.0,,,,13/03/2020,18:56:18
7,8,1.0,,,,14/03/2020,11:03:36
8,9,1.0,,,,14/03/2020,13:30:56
9,10,1.0,,,,14/03/2020,15:42:18
10,11,1.0,,,,15/03/2020,10:26:44
11,18,1.0,,,,15/03/2020,16:02:47
12,19,1.0,,,,16/03/2020,08:28:24
13,21,1.0,,,,16/03/2020,10:06:33
14,22,1.0,,,,16/03/2020,11:53:34
15,28,1.0,,,,16/03/2020,15:20:08
16,29,1.0,,,,17/03/2020,06:36:55
17,29,2.0,,,,17/03/2020,09:07:12
18,35,2.0,,,,17/03/2020,11:50:22
19,35,1.0,,,,17/03/2020,11:58:42
20,43,1.0,,,,17/03/2020,14:34:29
21,44,1.0,,,,17/03/2020,14:51:26
22,45,1.0,,,,18/03/2020,06:52:16
23,45,3.0,,,,18/03/2020,09:03:01
24,50,3.0,,,,18/03/2020,12:00:36
25,51,3.0,,,,18/03/2020,12:26:14
26,53,3.0,,,,19/03/2020,07:52:18
27,56,3.0,,,,19/03/2020,11:18:34
28,59,3.0,,,,19/03/2020,12:30:03
29,60,3.0,,,,19/03/2020,13:00:05
30,66,3.0,,,,20/03/2020,08:58:28
31,65,3.0,,,,20/03/2020,09:27:44
32,66,3.0,,,,20/03/2020,10:45:01
33,70,3.0,,,,20/03/2020,12:13:55
34,71,3.0,,,,20/03/2020,14:01:10
35,73,3.0,,,,20/03/2020,15:53:00
36,76,3.0,,,,21/03/2020,11:01:21
37,77,3.0,,,,21/03/2020,13:27:55
38,80,3.0,,,,22/03/2020,12:05:43
39,82,3.0,,,,22/03/2020,12:57:16
40,86,3.0,,,,23/03/2020,05:16:51
41,87,3.0,,,,23/03/2020,08:26:37
42,92,3.0,,,,23/03/2020,12:59:05
43,94,3.0,,,,23/03/2020,16:00:04
44,94,2.0,,,,23/03/2020,16:54:05
45,95,2.0,,,,23/03/2020,17:14:39
46,97,2.0,,,,23/03/2020,18:56:06
47,100,2.0,,,,24/03/2020,09:50:03
48,101,2.0,,,,24/03/2020,12:19:58
49,102,2.0,,,,24/03/2020,14:27:07
50,102,3.0,,,,25/03/2020,07:56:26
51,102,7.0,,,,26/03/2020,11:01:02
52,104,6.0,,,,26/03/2020,14:03:43
53,104,7.0,,,,26/03/2020,14:43:41
54,106,7.0,,,,26/03/2020,17:06:09
55,106,9.0,,,,28/03/2020,07:09:20
56,109,9.0,,,,28/03/2020,10:22:24
57,110,9.0,,,,28/03/2020,11:19:47
