,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,09/03/2020,01:31:01
1,3,,,,,16/03/2020,08:10:25
2,5,,,,,27/03/2020,16:58:09
3,6,1.0,,,,30/03/2020,15:42:22
4,6,4.0,,,,12/04/2020,07:49:01
5,6,5.0,,,,18/04/2020,06:00:29
6,6,6.0,,,,21/04/2020,21:00:07
7,6,6.0,,137.0,9874.0,23/05/2020,22:01:48
8,6,6.0,,137.0,9874.0,27/05/2020,16:10:09
9,6,6.0,0.0,137.0,9874.0,29/05/2020,00:22:14
10,6,6.0,0.0,152.0,9875.0,08/06/2020,09:34:21
11,6,6.0,0.0,507.0,9877.0,06/07/2020,09:20:18
12,6,6.0,0.0,897.0,9878.0,18/07/2020,07:14:04
13,7,6.0,0.0,1246.0,9879.0,25/07/2020,22:13:46
14,8,6.0,0.0,1246.0,9880.0,01/08/2020,02:31:30
15,9,6.0,0.0,1246.0,9880.0,02/08/2020,02:53:37
16,13,6.0,0.0,1612.0,9880.0,09/08/2020,09:08:47
17,13,8.0,0.0,1612.0,9881.0,13/08/2020,13:23:47
18,13,9.0,0.0,1699.0,9881.0,15/08/2020,00:34:49
19,16,9.0,0.0,1699.0,9881.0,18/08/2020,00:31:59
20,17,9.0,0.0,2075.0,9882.0,25/08/2020,23:22:35
21,18,13.0,0.0,2075.0,9882.0,28/08/2020,22:10:41
22,21,13.0,0.0,2075.0,9883.0,10/09/2020,03:40:06
23,23,16.0,0.0,2075.0,9883.0,15/09/2020,01:32:41
24,45,25.0,0.0,2668.0,9884.0,23/09/2020,22:08:42
25,48,25.0,0.0,2668.0,9884.0,27/09/2020,16:10:33
26,54,37.0,0.0,2668.0,9885.0,01/10/2020,23:59:32
27,62,37.0,0.0,2668.0,9885.0,04/10/2020,02:16:31
28,65,37.0,0.0,2668.0,9885.0,09/10/2020,23:59:37
29,67,55.0,0.0,2668.0,9886.0,15/10/2020,00:00:57
30,72,55.0,0.0,3347.0,9886.0,17/10/2020,18:13:13
31,77,66.0,0.0,3526.0,9886.0,22/10/2020,05:44:54
32,83,66.0,0.0,3526.0,9887.0,26/10/2020,23:16:40
33,83,67.0,0.0,3526.0,9887.0,28/10/2020,00:51:48
