,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,12/03/2020,10:42:01
1,1,1.0,,,,28/03/2020,22:00:08
2,2,1.0,,,,01/04/2020,22:45:28
3,3,1.0,,,,03/04/2020,14:08:32
4,7,1.0,,,,03/04/2020,21:34:36
5,3,1.0,,,,03/04/2020,22:27:02
6,7,1.0,,,,03/04/2020,23:34:36
7,7,1.0,,56.0,,07/04/2020,13:28:23
8,8,1.0,,56.0,,07/04/2020,23:51:10
9,12,1.0,,56.0,,09/04/2020,20:28:07
10,12,1.0,,87.0,,14/04/2020,03:00:06
11,12,1.0,,94.0,,21/04/2020,07:00:08
12,12,2.0,,94.0,,21/04/2020,11:00:05
13,13,3.0,,99.0,,22/04/2020,03:51:39
14,14,5.0,,108.0,,24/04/2020,07:00:53
15,15,5.0,,108.0,,27/04/2020,14:32:07
16,15,8.0,,108.0,,28/04/2020,02:05:53
17,16,8.0,,108.0,,29/04/2020,23:51:02
18,17,9.0,,137.0,,04/05/2020,11:29:18
19,17,12.0,,155.0,,12/05/2020,23:44:31
20,17,14.0,,155.0,110895.0,15/05/2020,12:57:02
21,17,14.0,,175.0,110900.0,20/05/2020,15:00:59
22,18,14.0,,175.0,110901.0,21/05/2020,07:23:54
23,18,14.0,,209.0,110903.0,23/05/2020,20:00:04
24,18,14.0,,216.0,110906.0,26/05/2020,07:01:36
25,18,14.0,,216.0,110907.0,27/05/2020,16:10:09
26,25,14.0,,216.0,110908.0,28/05/2020,12:02:14
27,25,14.0,0.0,216.0,110909.0,29/05/2020,00:22:14
28,25,14.0,0.0,472.0,110909.0,29/05/2020,07:29:58
29,26,14.0,0.0,472.0,110909.0,29/05/2020,23:48:14
30,26,14.0,0.0,584.0,110910.0,30/05/2020,06:51:11
31,26,15.0,0.0,593.0,110910.0,30/05/2020,23:33:05
32,26,15.0,0.0,595.0,110914.0,03/06/2020,23:39:14
33,26,15.0,0.0,600.0,110916.0,06/06/2020,00:14:45
34,27,16.0,0.0,638.0,110917.0,07/06/2020,23:30:36
35,27,25.0,0.0,643.0,110920.0,10/06/2020,00:01:13
36,29,25.0,0.0,731.0,110926.0,16/06/2020,22:53:14
37,29,26.0,0.0,741.0,110928.0,18/06/2020,23:00:04
38,29,26.0,0.0,746.0,110932.0,22/06/2020,00:15:42
