,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,4,,,,,05/03/2020,08:54:17
1,7,,,,,05/03/2020,18:38:17
2,16,,,,,06/03/2020,19:57:53
3,19,,,,,07/03/2020,16:20:51
4,20,,,,,09/03/2020,11:21:23
5,25,,,,,09/03/2020,13:11:22
6,26,,,,,10/03/2020,13:38:40
7,29,,,,,10/03/2020,19:15:49
8,30,,,,,11/03/2020,12:13:51
9,31,,,,,12/03/2020,12:36:57
10,35,,,,,13/03/2020,10:13:01
11,38,,,,,14/03/2020,15:34:10
12,39,,,,,16/03/2020,10:06:33
13,40,,,,,17/03/2020,09:42:54
14,41,,,,,17/03/2020,11:50:22
15,44,,,,,18/03/2020,00:34:34
16,47,,,,,19/03/2020,09:48:21
17,48,17.0,,,,20/03/2020,10:00:40
18,52,17.0,,,,21/03/2020,07:28:47
19,53,17.0,,,,21/03/2020,21:15:04
20,59,17.0,,,,22/03/2020,12:18:47
21,60,17.0,,,,24/03/2020,09:50:03
22,60,16.0,,,,24/03/2020,12:19:58
23,62,16.0,,,,25/03/2020,09:30:29
24,64,16.0,1.0,,,25/03/2020,16:46:50
25,71,16.0,1.0,,,25/03/2020,22:12:13
26,73,17.0,1.0,,,26/03/2020,07:32:54
27,86,17.0,1.0,,,26/03/2020,07:51:29
28,84,17.0,1.0,,,26/03/2020,10:30:43
29,86,17.0,1.0,,,27/03/2020,02:04:07
30,91,17.0,1.0,,,27/03/2020,09:30:08
31,97,18.0,1.0,,,28/03/2020,10:05:16
32,98,18.0,1.0,,,28/03/2020,21:38:28
33,104,18.0,1.0,,,29/03/2020,01:57:55
34,106,18.0,1.0,,,29/03/2020,10:28:39
35,108,18.0,1.0,,,29/03/2020,15:50:27
36,109,18.0,1.0,,,29/03/2020,23:24:59
37,115,18.0,1.0,,,30/03/2020,09:00:41
38,116,18.0,1.0,,,30/03/2020,19:20:07
39,117,18.0,1.0,,,30/03/2020,23:58:38
40,119,18.0,1.0,,,31/03/2020,20:56:38
41,134,18.0,1.0,,,01/04/2020,08:50:14
42,155,18.0,1.0,,,02/04/2020,10:05:12
43,160,18.0,1.0,,,02/04/2020,14:37:50
44,161,18.0,1.0,,,02/04/2020,22:06:41
45,171,18.0,1.0,,,03/04/2020,08:57:01
46,171,21.0,1.0,,,03/04/2020,15:32:06
47,193,21.0,1.0,,,03/04/2020,16:45:29
48,194,21.0,1.0,,,03/04/2020,21:21:04
49,194,21.0,1.0,7553.0,,04/04/2020,03:58:25
50,205,21.0,1.0,7553.0,,04/04/2020,08:59:18
51,210,21.0,1.0,7553.0,,04/04/2020,14:44:54
52,216,21.0,1.0,7553.0,,04/04/2020,15:53:48
53,217,21.0,1.0,7553.0,,04/04/2020,21:20:36
54,226,21.0,1.0,7553.0,,05/04/2020,08:40:04
55,226,23.0,1.0,12738.0,,05/04/2020,09:03:07
56,228,23.0,1.0,12738.0,,05/04/2020,16:01:59
57,234,23.0,1.0,12738.0,,05/04/2020,17:30:38
58,237,25.0,1.0,12738.0,,05/04/2020,21:41:21
59,246,25.0,1.0,12738.0,,06/04/2020,09:03:43
