,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,13/03/2020,14:39:38
1,1,,1.0,,,13/03/2020,14:54:14
2,2,,1.0,,,18/03/2020,10:07:08
3,3,,1.0,,,24/03/2020,12:32:37
4,5,,1.0,,,28/03/2020,03:30:44
5,6,,1.0,,,29/03/2020,17:19:08
6,6,,2.0,,,30/03/2020,12:14:50
7,7,,2.0,,,31/03/2020,09:54:18
8,7,1.0,2.0,,,31/03/2020,14:24:22
9,7,2.0,2.0,,,01/04/2020,16:47:40
10,8,2.0,2.0,,,02/04/2020,16:02:09
11,10,2.0,2.0,,,03/04/2020,15:32:06
12,12,2.0,2.0,,,05/04/2020,15:22:46
13,14,2.0,2.0,,,07/04/2020,06:54:48
14,15,2.0,2.0,,,09/04/2020,15:26:47
15,17,2.0,2.0,,,10/04/2020,21:48:50
16,19,2.0,2.0,,,11/04/2020,14:00:10
17,29,4.0,4.0,,,13/04/2020,11:07:56
18,32,4.0,5.0,,,14/04/2020,17:00:03
19,33,4.0,6.0,,,17/04/2020,20:30:36
20,66,6.0,10.0,,,18/04/2020,06:00:29
21,92,8.0,12.0,,,19/04/2020,23:00:27
22,107,8.0,12.0,,,20/04/2020,23:18:10
23,92,8.0,12.0,,,21/04/2020,00:00:05
24,107,8.0,12.0,,,21/04/2020,00:07:03
25,140,8.0,13.0,,,22/04/2020,00:00:07
26,140,12.0,13.0,,,22/04/2020,18:32:20
27,163,14.0,13.0,,,23/04/2020,01:00:07
28,162,14.0,13.0,,,23/04/2020,02:55:23
29,174,14.0,16.0,,,23/04/2020,23:58:33
30,213,19.0,17.0,,,25/04/2020,17:30:05
31,237,20.0,21.0,,,26/04/2020,14:39:02
32,275,21.0,22.0,,,27/04/2020,14:32:07
33,318,31.0,25.0,,,28/04/2020,13:54:54
34,375,32.0,28.0,,,29/04/2020,16:35:36
35,442,39.0,31.0,,,30/04/2020,19:24:50
36,534,38.0,33.0,,,01/05/2020,22:00:36
37,442,39.0,31.0,,,01/05/2020,22:45:00
38,533,46.0,36.0,,,02/05/2020,00:54:27
39,592,52.0,41.0,,,02/05/2020,20:30:17
40,678,61.0,41.0,,,04/05/2020,03:14:55
41,778,70.0,45.0,,,05/05/2020,14:11:06
42,852,80.0,45.0,,,06/05/2020,15:00:36
43,852,80.0,49.0,,,06/05/2020,20:26:42
44,930,92.0,52.0,,,07/05/2020,13:00:59
45,1111,102.0,59.0,,,07/05/2020,20:30:27
46,930,92.0,52.0,,,07/05/2020,21:17:20
47,1111,102.0,59.0,,,08/05/2020,18:30:53
48,1164,119.0,64.0,,,09/05/2020,23:01:08
49,1365,149.0,70.0,,,10/05/2020,23:45:10
50,1526,161.0,74.0,,,12/05/2020,15:39:30
51,1661,173.0,80.0,,,12/05/2020,20:30:16
52,1818,198.0,90.0,,,13/05/2020,23:57:22
53,1964,205.0,91.0,,43707940.0,15/05/2020,12:57:02
54,2289,222.0,97.0,,43710745.0,16/05/2020,20:32:29
55,2591,247.0,105.0,,43716354.0,18/05/2020,06:02:18
56,2728,286.0,111.0,281.0,43721964.0,20/05/2020,00:09:48
57,3138,309.0,121.0,281.0,43724769.0,21/05/2020,07:23:54
58,3378,372.0,137.0,281.0,43727573.0,22/05/2020,18:32:01
59,3378,372.0,137.0,394.0,43727573.0,22/05/2020,19:03:35
60,3628,424.0,146.0,401.0,43733183.0,24/05/2020,02:30:16
61,3820,458.0,165.0,401.0,43735987.0,25/05/2020,00:30:26
62,3976,503.0,170.0,401.0,43738792.0,26/05/2020,01:32:06
63,4146,588.0,184.0,401.0,43741597.0,27/05/2020,08:01:11
64,4346,749.0,195.0,401.0,43744402.0,28/05/2020,01:33:42
65,4521,816.0,233.0,401.0,43747206.0,29/05/2020,16:07:03
66,4800,1272.0,262.0,401.0,43750011.0,30/05/2020,19:48:28
67,5026,1423.0,286.0,401.0,43752816.0,31/05/2020,19:21:44
68,5026,1423.0,286.0,9090.0,43755620.0,01/06/2020,09:41:16
69,5026,1423.0,286.0,401.0,43755620.0,01/06/2020,10:40:25
70,5173,1522.0,298.0,401.0,43755620.0,01/06/2020,21:02:50
71,5310,1625.0,307.0,401.0,43761230.0,03/06/2020,00:56:43
72,5499,1711.0,314.0,401.0,43761230.0,03/06/2020,21:29:10
73,5714,1825.0,333.0,401.0,43764035.0,04/06/2020,21:30:46
