,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,14/03/2020,01:44:34
1,4,,,,,20/03/2020,10:00:40
2,5,,,,,21/03/2020,20:37:12
3,6,,,,,24/03/2020,04:12:14
4,7,,,,,24/03/2020,20:03:44
5,8,,,,,25/03/2020,15:28:22
6,9,,,,,31/03/2020,23:05:12
7,10,,,,,01/04/2020,02:05:12
8,10,,1.0,,,03/04/2020,16:45:29
9,10,3.0,1.0,,,08/04/2020,02:31:55
10,10,4.0,1.0,,,09/04/2020,07:55:43
11,10,6.0,1.0,,,13/04/2020,11:07:56
12,10,6.0,1.0,404.0,,21/04/2020,21:00:07
13,10,7.0,1.0,404.0,,25/04/2020,00:01:13
14,10,8.0,1.0,404.0,,29/04/2020,23:07:02
15,10,9.0,1.0,404.0,,03/05/2020,18:48:22
16,11,9.0,1.0,404.0,585992.0,18/05/2020,14:45:43
17,11,9.0,1.0,488.0,586078.0,24/05/2020,09:30:23
18,12,9.0,1.0,488.0,586135.0,28/05/2020,00:02:25
19,12,9.0,1.0,782.0,586135.0,28/05/2020,20:40:25
20,14,9.0,1.0,782.0,586178.0,31/05/2020,00:54:03
21,15,9.0,1.0,782.0,586178.0,31/05/2020,19:02:25
22,23,9.0,1.0,782.0,586178.0,31/05/2020,23:46:49
23,28,9.0,1.0,782.0,586192.0,01/06/2020,18:30:39
24,44,9.0,1.0,782.0,586192.0,01/06/2020,22:53:51
25,53,9.0,1.0,782.0,586207.0,02/06/2020,20:03:34
26,54,9.0,1.0,782.0,586207.0,02/06/2020,21:33:33
27,55,9.0,1.0,782.0,586221.0,03/06/2020,20:47:31
28,74,9.0,1.0,782.0,586221.0,03/06/2020,22:59:56
29,82,9.0,1.0,782.0,586235.0,04/06/2020,19:49:35
30,90,9.0,1.0,782.0,586250.0,05/06/2020,20:26:20
31,91,9.0,1.0,782.0,586264.0,06/06/2020,03:27:25
32,91,9.0,1.0,1165.0,586264.0,06/06/2020,10:02:51
33,98,9.0,1.0,1165.0,586264.0,06/06/2020,19:02:28
34,100,9.0,1.0,1165.0,586264.0,06/06/2020,21:25:21
35,101,9.0,1.0,1165.0,586278.0,07/06/2020,16:25:47
36,122,9.0,1.0,1165.0,586278.0,07/06/2020,20:03:45
37,122,9.0,2.0,1165.0,586293.0,08/06/2020,17:37:08
38,128,9.0,2.0,1165.0,586293.0,08/06/2020,18:32:13
39,130,9.0,2.0,1165.0,586307.0,09/06/2020,03:52:01
40,133,9.0,2.0,1165.0,586307.0,09/06/2020,18:52:13
41,137,9.0,2.0,1165.0,586307.0,09/06/2020,21:14:36
42,144,9.0,2.0,1165.0,586321.0,10/06/2020,21:00:47
43,168,9.0,2.0,1165.0,586336.0,11/06/2020,23:49:16
44,187,9.0,3.0,1165.0,586350.0,12/06/2020,21:01:16
45,196,9.0,3.0,1165.0,586365.0,13/06/2020,23:02:26
46,208,9.0,3.0,1165.0,586379.0,14/06/2020,22:30:04
47,208,9.0,4.0,1165.0,586393.0,15/06/2020,19:03:30
48,229,48.0,4.0,1165.0,586393.0,15/06/2020,21:31:19
49,229,48.0,5.0,1165.0,586393.0,15/06/2020,23:02:21
50,236,48.0,6.0,1165.0,586408.0,16/06/2020,20:16:24
51,242,48.0,6.0,1165.0,586422.0,17/06/2020,21:30:53
52,261,48.0,6.0,1165.0,586436.0,18/06/2020,00:15:40
53,261,74.0,7.0,1165.0,586436.0,18/06/2020,17:30:05
54,277,74.0,7.0,1165.0,586436.0,18/06/2020,20:55:07
55,277,74.0,8.0,1165.0,586451.0,19/06/2020,19:00:47
56,293,74.0,8.0,1165.0,586451.0,19/06/2020,23:01:51
57,303,74.0,8.0,1165.0,586465.0,20/06/2020,23:40:37
58,302,74.0,8.0,1165.0,586479.0,21/06/2020,05:27:10
59,314,106.0,8.0,1165.0,586479.0,21/06/2020,22:00:36
60,319,106.0,8.0,1165.0,586494.0,22/06/2020,20:30:44
61,319,132.0,8.0,1165.0,586508.0,23/06/2020,03:31:34
62,319,132.0,9.0,1165.0,586508.0,23/06/2020,16:47:30
63,319,142.0,9.0,1165.0,586522.0,24/06/2020,19:02:22
64,357,154.0,9.0,1165.0,586537.0,25/06/2020,00:00:12
65,357,154.0,10.0,1165.0,586537.0,25/06/2020,05:01:52
66,373,176.0,10.0,1165.0,586537.0,25/06/2020,23:10:59
67,389,181.0,10.0,1165.0,586551.0,26/06/2020,22:32:44
68,391,181.0,10.0,1165.0,586565.0,27/06/2020,06:58:37
69,409,191.0,11.0,1165.0,586565.0,27/06/2020,23:30:52
70,433,191.0,11.0,1165.0,586580.0,28/06/2020,00:27:43
71,467,191.0,11.0,1165.0,586580.0,28/06/2020,01:31:00
72,467,191.0,11.0,1244.0,586580.0,28/06/2020,08:31:29
73,490,199.0,11.0,1244.0,586580.0,28/06/2020,21:44:24
74,492,199.0,12.0,1244.0,586594.0,29/06/2020,12:59:44
75,492,199.0,13.0,1244.0,586594.0,29/06/2020,16:39:12
76,501,217.0,13.0,1244.0,586594.0,29/06/2020,23:33:25
77,515,227.0,13.0,1244.0,586608.0,30/06/2020,21:01:30
78,517,227.0,13.0,1244.0,586623.0,01/07/2020,14:30:41
79,535,242.0,13.0,1244.0,586623.0,01/07/2020,23:03:04
80,547,252.0,13.0,1244.0,586637.0,02/07/2020,22:00:47
81,547,253.0,13.0,1244.0,586651.0,03/07/2020,08:00:35
82,547,254.0,13.0,1244.0,586651.0,03/07/2020,12:03:07
83,561,267.0,13.0,1244.0,586651.0,03/07/2020,21:30:05
84,565,276.0,14.0,1244.0,586666.0,04/07/2020,20:18:01
85,594,292.0,14.0,1244.0,586680.0,05/07/2020,20:22:23
86,604,315.0,14.0,1244.0,586694.0,06/07/2020,19:32:02
