,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,0.0,,,31/01/2020,21:49:27
1,1,,,,,02/02/2020,16:27:45
2,1,1.0,,,,21/02/2020,14:27:35
3,1,,,,,21/02/2020,22:28:16
4,2,,,,,26/02/2020,18:09:03
5,7,,,,,27/02/2020,19:25:12
6,11,,,,,28/02/2020,19:02:10
7,12,,,,,29/02/2020,11:30:22
8,13,,,,,01/03/2020,00:55:00
9,14,,,,,01/03/2020,21:11:25
10,15,,,,,02/03/2020,20:07:52
11,24,,,,,03/03/2020,11:39:57
12,24,1.0,,,,03/03/2020,16:14:50
13,30,1.0,,,,03/03/2020,20:41:20
14,32,1.0,,,,04/03/2020,09:11:10
15,35,1.0,,,,04/03/2020,12:27:41
16,52,1.0,,,,04/03/2020,19:39:23
17,60,1.0,,,,05/03/2020,11:02:34
18,94,1.0,,,,05/03/2020,18:38:17
19,101,1.0,,,,06/03/2020,10:35:55
20,136,1.0,,,,06/03/2020,17:22:38
21,137,1.0,,,,06/03/2020,22:30:56
22,161,1.0,,,,07/03/2020,16:20:51
23,203,1.0,,,,08/03/2020,13:58:52
24,204,1.0,,,,09/03/2020,11:21:23
25,248,1.0,,,,09/03/2020,12:42:03
26,260,1.0,,,,09/03/2020,18:07:52
27,261,1.0,,,,09/03/2020,22:09:31
28,264,1.0,,,,10/03/2020,11:21:35
29,325,1.0,,,,10/03/2020,13:38:40
30,346,1.0,,,,10/03/2020,16:24:12
31,351,1.0,,,,10/03/2020,17:21:19
32,355,1.0,,,,10/03/2020,20:42:04
33,409,1.0,,,,11/03/2020,12:13:51
34,436,1.0,,,,11/03/2020,13:21:58
35,477,1.0,,,,11/03/2020,15:03:12
36,490,1.0,1.0,,,11/03/2020,17:21:51
37,497,1.0,1.0,,,11/03/2020,18:37:47
38,500,1.0,1.0,,,11/03/2020,19:21:55
39,565,1.0,1.0,,,12/03/2020,12:36:57
40,599,1.0,1.0,,,12/03/2020,13:28:43
41,635,1.0,1.0,,,12/03/2020,14:54:18
42,667,1.0,1.0,,,12/03/2020,16:13:37
43,683,1.0,1.0,,,12/03/2020,17:16:13
44,687,1.0,1.0,,,12/03/2020,20:59:40
45,688,1.0,1.0,,,13/03/2020,08:37:16
46,727,1.0,1.0,,,13/03/2020,11:23:41
47,730,1.0,1.0,,,13/03/2020,12:23:35
48,733,1.0,1.0,,,13/03/2020,12:27:44
49,751,1.0,1.0,,,13/03/2020,13:40:06
50,794,1.0,1.0,,,13/03/2020,14:06:52
51,801,1.0,1.0,,,13/03/2020,14:31:30
52,810,1.0,1.0,,,13/03/2020,15:38:32
53,814,1.0,1.0,,,13/03/2020,16:44:32
54,821,1.0,1.0,,,14/03/2020,08:46:05
55,821,1.0,2.0,,,14/03/2020,11:03:36
56,826,1.0,2.0,,,14/03/2020,12:36:29
57,847,1.0,2.0,,,14/03/2020,12:56:07
58,936,1.0,2.0,,,14/03/2020,13:25:02
59,941,1.0,2.0,,,14/03/2020,13:30:56
60,948,1.0,2.0,,,14/03/2020,15:25:40
61,953,1.0,2.0,,,14/03/2020,16:34:03
62,961,1.0,2.0,,,14/03/2020,17:14:08
63,981,1.0,2.0,,,15/03/2020,12:20:35
64,994,1.0,2.0,,,15/03/2020,13:25:27
65,1024,1.0,2.0,,,15/03/2020,13:42:06
66,1024,1.0,3.0,,,15/03/2020,16:35:27
67,1032,1.0,3.0,,,15/03/2020,19:01:14
