,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,25/02/2020,19:09:59
1,2,,,,,27/02/2020,08:40:21
2,4,,,,,27/02/2020,09:48:59
3,5,,,,,27/02/2020,17:05:58
4,6,,,,,27/02/2020,19:25:12
5,8,,,,,27/02/2020,22:13:33
6,15,,,,,28/02/2020,11:57:33
7,19,,,,,29/02/2020,19:20:46
8,19,1.0,,,,01/03/2020,12:52:26
9,24,1.0,,,,01/03/2020,21:38:10
10,30,1.0,,,,03/03/2020,01:18:59
11,45,1.0,,,,03/03/2020,09:56:13
12,47,1.0,,,,03/03/2020,14:30:34
13,47,2.0,,,,03/03/2020,15:26:23
14,57,2.0,,,,03/03/2020,18:14:41
15,58,2.0,,,,03/03/2020,22:39:15
16,59,2.0,,,,04/03/2020,08:30:37
17,61,2.0,,,,04/03/2020,11:16:23
18,68,2.0,,,,04/03/2020,12:27:41
19,93,3.0,,,,04/03/2020,14:16:40
20,90,3.0,,,,04/03/2020,18:21:42
21,93,3.0,,,,04/03/2020,20:34:24
22,93,3.0,1.0,,,05/03/2020,09:37:21
23,95,3.0,1.0,,,05/03/2020,13:29:57
24,114,3.0,1.0,,,05/03/2020,14:56:38
25,118,3.0,1.0,,,05/03/2020,21:15:12
26,119,3.0,1.0,,,06/03/2020,00:10:34
27,120,3.0,1.0,,,06/03/2020,01:10:41
28,121,3.0,1.0,,,06/03/2020,08:41:28
29,122,3.0,1.0,,,06/03/2020,09:51:52
30,132,3.0,1.0,,,06/03/2020,10:40:49
31,138,3.0,1.0,,,06/03/2020,13:25:51
32,142,3.0,1.0,,,06/03/2020,13:37:39
33,185,3.0,1.0,,,06/03/2020,13:55:14
34,214,3.0,1.0,,,06/03/2020,14:17:32
35,216,3.0,1.0,,,07/03/2020,06:02:00
36,268,3.0,1.0,,,07/03/2020,13:56:10
37,336,3.0,1.0,,,08/03/2020,12:19:39
38,336,3.0,2.0,,,08/03/2020,13:58:52
39,337,3.0,2.0,,,08/03/2020,15:31:26
40,332,3.0,2.0,,,09/03/2020,02:51:22
41,374,3.0,2.0,,,09/03/2020,11:21:23
42,374,3.0,3.0,,,10/03/2020,10:05:00
43,497,3.0,3.0,,,10/03/2020,11:21:35
44,502,3.0,3.0,,,11/03/2020,07:47:16
45,651,3.0,3.0,,,11/03/2020,12:13:51
46,652,3.0,4.0,,,11/03/2020,13:21:58
47,652,4.0,4.0,,,11/03/2020,19:21:55
48,865,4.0,4.0,,,12/03/2020,12:20:12
49,867,4.0,6.0,,,12/03/2020,12:36:57
50,868,4.0,7.0,,,12/03/2020,18:48:21
51,1135,4.0,7.0,,,13/03/2020,12:08:22
52,1137,4.0,9.0,,,13/03/2020,16:06:14
53,1138,4.0,10.0,,,13/03/2020,18:38:21
54,1139,4.0,11.0,,,13/03/2020,19:20:32
55,1375,4.0,13.0,,,14/03/2020,11:03:36
56,1376,4.0,14.0,,,15/03/2020,11:37:39
57,2217,4.0,14.0,,,15/03/2020,13:25:27
58,2218,4.0,15.0,,,16/03/2020,11:53:34
59,2221,4.0,18.0,,,16/03/2020,12:59:16
60,2353,4.0,18.0,,,16/03/2020,17:07:28
61,2353,4.0,19.0,,,16/03/2020,18:38:43
62,2354,4.0,21.0,,,17/03/2020,09:07:12
63,2672,4.0,21.0,,,17/03/2020,13:20:44
64,2674,4.0,21.0,,,17/03/2020,15:23:24
65,2677,4.0,24.0,,,17/03/2020,15:47:47
66,2742,15.0,27.0,,,17/03/2020,16:48:10
67,3070,15.0,27.0,,,18/03/2020,14:30:40
68,3076,15.0,33.0,,,18/03/2020,16:57:37
69,3115,15.0,33.0,,,18/03/2020,20:56:43
70,3219,15.0,35.0,,,19/03/2020,10:07:58
71,3220,15.0,36.0,,,19/03/2020,11:18:34
72,3347,15.0,36.0,,,19/03/2020,12:07:48
73,3438,15.0,36.0,,,19/03/2020,13:00:05
74,3939,15.0,36.0,,,19/03/2020,15:53:36
75,3944,15.0,41.0,,,19/03/2020,18:51:51
76,4131,15.0,41.0,,,19/03/2020,20:53:25
77,4133,15.0,43.0,,,19/03/2020,21:35:45
78,4222,15.0,43.0,,,19/03/2020,22:27:23
79,4898,15.0,43.0,,,20/03/2020,11:39:27
80,4905,15.0,50.0,,,20/03/2020,14:31:22
81,4906,15.0,51.0,,,20/03/2020,15:42:39
82,5164,15.0,54.0,,,20/03/2020,17:27:52
83,5166,15.0,56.0,,,20/03/2020,17:42:56
84,5369,15.0,56.0,,,20/03/2020,17:52:27
