,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,22/03/2020,19:28:20
1,4,,,,,25/03/2020,15:44:47
2,5,,,,,25/03/2020,18:54:54
3,6,,1.0,,,29/03/2020,15:50:27
4,9,,1.0,,,29/03/2020,16:42:02
5,9,,2.0,,,30/03/2020,21:35:15
6,10,,2.0,,,30/03/2020,21:54:32
7,16,,2.0,,,02/04/2020,14:37:50
8,16,2.0,2.0,,,04/04/2020,09:01:59
9,19,2.0,2.0,,,05/04/2020,09:03:07
10,19,3.0,2.0,,,07/04/2020,17:46:30
11,19,4.0,2.0,,,08/04/2020,20:43:09
12,25,4.0,2.0,,,11/04/2020,15:41:22
13,25,5.0,5.0,,,11/04/2020,17:15:32
14,25,5.0,2.0,,,11/04/2020,19:25:48
15,29,5.0,2.0,,,14/04/2020,15:07:11
16,33,5.0,2.0,,,15/04/2020,17:36:51
17,38,5.0,2.0,,,17/04/2020,17:51:55
18,39,5.0,3.0,,,19/04/2020,16:00:05
19,39,6.0,3.0,,,21/04/2020,14:44:19
20,42,6.0,3.0,,,21/04/2020,19:32:38
21,42,11.0,3.0,,,25/04/2020,17:30:05
22,43,14.0,3.0,,,26/04/2020,14:39:02
23,43,19.0,3.0,,,28/04/2020,02:05:53
24,43,21.0,3.0,,,28/04/2020,18:28:37
25,44,27.0,3.0,,,01/05/2020,18:30:47
26,45,27.0,3.0,,,06/05/2020,12:31:06
27,47,29.0,3.0,,,07/05/2020,20:30:27
28,45,27.0,3.0,,,07/05/2020,21:17:20
29,47,27.0,3.0,,,08/05/2020,15:31:09
30,47,29.0,3.0,,,08/05/2020,19:30:04
31,48,29.0,3.0,,,13/05/2020,15:09:26
32,50,36.0,3.0,,17441746.0,15/05/2020,17:21:00
33,51,36.0,3.0,,17442911.0,16/05/2020,19:31:52
34,58,36.0,3.0,,17444076.0,17/05/2020,17:24:15
35,59,37.0,4.0,,17449901.0,22/05/2020,17:47:37
36,70,37.0,4.0,,17451066.0,23/05/2020,10:01:03
37,86,41.0,4.0,,17452231.0,24/05/2020,13:31:38
38,106,41.0,4.0,,17453396.0,25/05/2020,06:54:19
39,121,41.0,4.0,,17454561.0,26/05/2020,09:15:12
40,121,41.0,4.0,,17455726.0,27/05/2020,16:10:09
41,121,43.0,4.0,,17455726.0,27/05/2020,18:00:09
42,122,43.0,4.0,,17456890.0,28/05/2020,16:17:40
43,122,46.0,4.0,,17460385.0,31/05/2020,19:21:44
44,122,46.0,5.0,,17460385.0,31/05/2020,20:03:34
45,123,46.0,5.0,,17461550.0,01/06/2020,13:54:39
46,123,50.0,6.0,,17462715.0,02/06/2020,13:02:26
47,123,53.0,6.0,,17463880.0,03/06/2020,17:35:48
48,124,53.0,6.0,,17465045.0,04/06/2020,16:53:36
49,125,58.0,6.0,,17467375.0,06/06/2020,18:47:15
50,141,58.0,6.0,,17468540.0,07/06/2020,22:00:04
51,144,62.0,6.0,,17469705.0,08/06/2020,16:43:34
52,146,62.0,6.0,,17470870.0,09/06/2020,18:52:13
53,152,68.0,6.0,,17472035.0,10/06/2020,20:02:35
54,164,68.0,6.0,,17473199.0,11/06/2020,21:01:09
55,170,71.0,6.0,,17475529.0,13/06/2020,19:32:47
56,177,74.0,6.0,,17476694.0,14/06/2020,07:09:40
57,177,78.0,6.0,,17477859.0,15/06/2020,19:30:57
58,177,78.0,7.0,,17480189.0,17/06/2020,15:33:34
59,178,78.0,7.0,,17480189.0,17/06/2020,21:00:12
60,187,78.0,7.0,,17481354.0,18/06/2020,09:02:04
61,198,83.0,7.0,,17483684.0,20/06/2020,09:01:01
62,204,83.0,7.0,,17484849.0,21/06/2020,09:58:41
63,219,83.0,7.0,,17486014.0,22/06/2020,12:01:47
64,219,86.0,7.0,,17487179.0,23/06/2020,07:29:26
65,219,94.0,7.0,,17487179.0,23/06/2020,18:31:10
66,231,94.0,7.0,,17487179.0,23/06/2020,20:36:58
67,242,96.0,7.0,,17489508.0,25/06/2020,07:13:12
68,254,96.0,7.0,,17490673.0,26/06/2020,16:48:39
69,254,102.0,8.0,,17490673.0,26/06/2020,20:30:04
70,255,102.0,8.0,,17490673.0,26/06/2020,21:00:25
71,255,102.0,9.0,,17491838.0,27/06/2020,11:30:58
72,256,102.0,9.0,,17491838.0,27/06/2020,14:36:33
73,269,102.0,9.0,,17494168.0,29/06/2020,13:49:56
74,279,105.0,9.0,,17495333.0,30/06/2020,12:00:04
75,293,110.0,9.0,,17496498.0,01/07/2020,15:32:31
76,312,113.0,9.0,,17497663.0,02/07/2020,10:47:33
77,328,123.0,10.0,,17498828.0,03/07/2020,13:31:14
78,338,123.0,10.0,,17499993.0,04/07/2020,15:33:32
79,358,126.0,13.0,,17501158.0,05/07/2020,12:30:49
80,372,126.0,14.0,,17502323.0,06/07/2020,09:48:52
81,394,126.0,16.0,,17506982.0,10/07/2020,11:00:08
82,417,136.0,19.0,,17510477.0,13/07/2020,07:13:51
83,439,138.0,21.0,,17511642.0,14/07/2020,13:49:56
84,458,140.0,22.0,,17512807.0,15/07/2020,17:42:55
85,477,140.0,22.0,,17513972.0,16/07/2020,15:58:46
