,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,8,,0.0,,,29/01/2020,19:56:57
1,9,,0.0,,,30/01/2020,15:00:28
2,10,,0.0,,,31/01/2020,21:49:27
3,10,,,,,02/02/2020,16:27:45
4,11,,,,,04/02/2020,23:07:01
5,16,1.0,,,,06/02/2020,23:02:52
6,17,1.0,,,,08/02/2020,14:51:42
7,18,1.0,,,,10/02/2020,10:07:48
8,18,2.0,,,,16/02/2020,03:02:15
9,20,2.0,1.0,,,16/02/2020,22:14:07
10,22,2.0,1.0,,,18/02/2020,01:13:07
11,23,2.0,1.0,,,19/02/2020,10:51:12
12,24,2.0,1.0,,,20/02/2020,05:17:10
13,26,2.0,1.0,,,21/02/2020,08:50:19
14,28,2.0,1.0,,,23/02/2020,07:38:55
15,30,2.0,1.0,,,24/02/2020,09:27:20
16,30,5.0,1.0,,,24/02/2020,10:20:28
17,30,33.0,1.0,,,24/02/2020,13:25:00
18,30,2.0,1.0,,,24/02/2020,15:57:52
19,31,5.0,1.0,,,25/02/2020,06:08:50
20,32,5.0,1.0,,,26/02/2020,06:16:52
21,34,5.0,1.0,,,28/02/2020,06:57:44
22,39,5.0,1.0,,,29/02/2020,09:01:40
23,40,12.0,1.0,,,01/03/2020,11:53:07
24,41,12.0,1.0,,,02/03/2020,16:03:28
25,40,12.0,1.0,,,02/03/2020,22:36:28
26,41,12.0,1.0,,,02/03/2020,22:37:24
27,42,12.0,1.0,,,03/03/2020,12:38:28
28,44,12.0,1.0,,,05/03/2020,12:48:41
29,44,15.0,1.0,,,06/03/2020,10:56:23
30,45,15.0,1.0,,,06/03/2020,17:57:43
31,47,17.0,1.0,,,10/03/2020,14:17:21
32,48,17.0,1.0,,,11/03/2020,05:04:21
33,49,17.0,1.0,,,12/03/2020,09:00:06
34,49,20.0,1.0,,,12/03/2020,09:43:57
35,50,20.0,1.0,,,13/03/2020,08:37:16
36,53,20.0,1.0,,,14/03/2020,08:46:05
37,59,20.0,1.0,,,15/03/2020,08:45:12
38,67,20.0,1.0,,,16/03/2020,15:20:08
39,77,20.0,1.0,,,17/03/2020,09:07:12
40,100,20.0,1.0,,,18/03/2020,07:53:07
41,100,22.0,1.0,,,19/03/2020,02:37:17
42,108,26.0,1.0,,,19/03/2020,06:53:38
43,135,28.0,2.0,,,20/03/2020,08:58:28
44,153,28.0,2.0,,,21/03/2020,07:28:47
45,169,28.0,2.0,,,22/03/2020,11:50:21
46,195,28.0,2.0,,,23/03/2020,07:35:33
47,215,29.0,2.0,,,24/03/2020,06:50:10
48,216,29.0,2.0,,,24/03/2020,11:49:19
49,235,29.0,2.0,,,25/03/2020,07:32:36
50,252,29.0,2.0,,,26/03/2020,07:32:54
51,267,30.0,2.0,,,27/03/2020,06:31:51
52,283,30.0,2.0,,,28/03/2020,09:08:24
53,298,30.0,2.0,,,29/03/2020,08:21:49
54,298,39.0,2.0,,,29/03/2020,11:26:33
55,298,39.0,3.0,,,29/03/2020,23:53:59
56,306,39.0,5.0,,,30/03/2020,09:00:41
57,322,39.0,5.0,,,31/03/2020,06:51:21
58,329,45.0,5.0,,,01/04/2020,07:09:08
59,339,50.0,5.0,,,02/04/2020,07:01:49
60,348,50.0,5.0,,,03/04/2020,06:23:48
61,348,50.0,5.0,30777.0,,04/04/2020,03:58:25
62,355,50.0,5.0,35442.0,,04/04/2020,07:30:42
63,355,50.0,5.0,36304.0,,04/04/2020,23:11:03
64,363,54.0,5.0,36304.0,,05/04/2020,06:25:24
65,363,54.0,5.0,37219.0,,05/04/2020,17:30:38
