,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,15,,,,,30/04/2020,11:27:25
1,32,,,,,02/05/2020,08:10:51
2,76,,2.0,,,02/05/2020,19:31:11
3,128,,2.0,,,03/05/2020,15:30:04
4,230,,3.0,,,04/05/2020,13:01:17
5,293,,5.0,,,05/05/2020,14:11:06
6,379,,8.0,,,06/05/2020,13:30:50
7,461,,12.0,,,07/05/2020,13:50:16
8,522,,12.0,,,07/05/2020,20:30:27
9,461,,12.0,,,07/05/2020,21:17:20
10,522,,12.0,,,08/05/2020,14:30:21
11,612,,20.0,,,09/05/2020,14:00:05
12,661,,21.0,,,11/05/2020,14:38:53
13,729,,21.0,,,12/05/2020,20:30:16
14,729,,23.0,,,13/05/2020,09:28:29
15,801,,23.0,,,13/05/2020,14:38:14
16,907,,29.0,,,14/05/2020,12:39:39
17,1118,,33.0,,9508183.0,15/05/2020,12:57:02
18,1322,,36.0,,9508770.0,16/05/2020,13:40:34
19,1524,,39.0,,9509357.0,17/05/2020,17:24:15
20,1729,,41.0,,9509944.0,18/05/2020,14:45:43
21,1936,,41.0,,9510530.0,19/05/2020,13:19:38
22,1936,641.0,41.0,,9511117.0,20/05/2020,00:09:48
23,2140,641.0,41.0,,9511117.0,20/05/2020,18:02:04
24,2140,470.0,41.0,,9511704.0,21/05/2020,07:23:54
25,2350,470.0,44.0,,9511704.0,21/05/2020,15:44:34
26,2350,1008.0,44.0,,9512290.0,22/05/2020,03:30:44
27,2551,1089.0,44.0,,9512290.0,22/05/2020,16:52:39
28,2738,1223.0,44.0,,9512877.0,23/05/2020,15:11:01
29,2929,1301.0,46.0,,9513464.0,24/05/2020,12:02:36
30,3100,1395.0,46.0,,9514051.0,25/05/2020,16:31:44
31,3266,1417.0,47.0,,9514637.0,26/05/2020,13:30:12
32,3424,1575.0,47.0,,9515224.0,27/05/2020,15:01:22
33,3424,1575.0,47.0,,9515224.0,27/05/2020,16:10:09
34,3563,1674.0,47.0,,9515811.0,28/05/2020,13:00:04
35,3686,1769.0,47.0,,9516398.0,29/05/2020,13:50:30
36,3807,1865.0,47.0,,9516984.0,30/05/2020,13:41:53
37,3930,2004.0,47.0,,9517571.0,31/05/2020,14:16:15
38,4013,2089.0,47.0,,9518158.0,01/06/2020,13:54:39
39,4100,2217.0,47.0,,9518744.0,02/06/2020,14:11:49
40,4191,2347.0,48.0,,9519331.0,03/06/2020,13:21:33
41,4289,2401.0,48.0,,9519918.0,04/06/2020,16:53:36
42,4370,2491.0,48.0,,9520505.0,05/06/2020,13:55:56
43,4453,2583.0,48.0,,9521091.0,06/06/2020,17:45:31
44,4529,2673.0,48.0,,9521678.0,07/06/2020,15:08:38
45,4609,2763.0,48.0,,9522265.0,08/06/2020,14:43:26
46,4690,2815.0,48.0,,9522852.0,09/06/2020,14:34:36
47,4763,2947.0,48.0,,9523438.0,10/06/2020,13:50:28
48,4834,3062.0,49.0,,9524025.0,11/06/2020,14:36:22
49,4902,3158.0,49.0,,9524612.0,12/06/2020,14:19:12
50,4971,3288.0,50.0,,9525198.0,13/06/2020,19:32:47
51,5035,3409.0,50.0,,9525785.0,14/06/2020,15:00:04
52,5097,3503.0,50.0,,9526372.0,15/06/2020,15:19:15
53,5160,3624.0,50.0,,9526959.0,16/06/2020,15:45:41
54,5221,3700.0,51.0,,9527545.0,17/06/2020,15:33:34
55,5279,3762.0,51.0,,9528132.0,18/06/2020,14:00:12
56,5338,3830.0,51.0,,9528719.0,19/06/2020,14:00:37
57,5399,3894.0,52.0,,9529306.0,20/06/2020,15:00:04
58,5457,3995.0,52.0,,9529892.0,21/06/2020,13:01:16
59,5513,4039.0,52.0,,9530479.0,22/06/2020,18:46:14
60,5567,4109.0,52.0,,9531066.0,23/06/2020,14:17:21
61,5630,4194.0,52.0,,9531652.0,24/06/2020,14:50:57
62,5691,4267.0,52.0,,9532239.0,25/06/2020,15:26:06
63,5747,4331.0,52.0,,9532826.0,26/06/2020,16:12:43
64,5799,4391.0,52.0,,9533413.0,27/06/2020,14:36:33
65,5849,4448.0,52.0,,9533999.0,28/06/2020,14:01:11
66,5900,4506.0,52.0,,9534586.0,29/06/2020,15:57:04
67,5954,4568.0,52.0,,9535760.0,01/07/2020,07:28:58
68,6005,4627.0,52.0,,9535760.0,01/07/2020,17:14:01
69,6058,4690.0,52.0,,9536346.0,02/07/2020,14:15:15
70,6159,4809.0,52.0,,9537520.0,04/07/2020,18:00:49
71,6213,4858.0,53.0,,9538106.0,05/07/2020,23:12:40
72,6262,4914.0,53.0,,9538693.0,06/07/2020,19:00:34
73,6315,4965.0,53.0,,9539280.0,07/07/2020,17:06:47
74,6363,5011.0,54.0,,9539867.0,08/07/2020,13:30:46
75,6364,5011.0,54.0,,9539867.0,08/07/2020,14:31:05
76,6410,5067.0,54.0,,9540453.0,09/07/2020,15:29:57
77,6457,5115.0,55.0,,9541040.0,10/07/2020,16:31:55
78,6506,5176.0,55.0,,9541627.0,11/07/2020,15:00:06
79,6552,5228.0,55.0,,9542213.0,12/07/2020,17:02:43
80,6596,5278.0,55.0,,9542800.0,13/07/2020,15:23:42
81,6643,5332.0,56.0,,9543387.0,14/07/2020,16:17:37
82,6695,5383.0,56.0,,9543974.0,15/07/2020,14:03:31
83,6741,5431.0,56.0,,9544560.0,16/07/2020,23:01:10
84,6786,5483.0,56.0,,9545147.0,17/07/2020,15:30:32
85,6834,5529.0,57.0,,9545734.0,18/07/2020,13:59:32
86,6878,5578.0,57.0,,9546321.0,19/07/2020,15:00:05
87,6921,5629.0,57.0,,9546907.0,20/07/2020,16:33:53
88,6967,5683.0,57.0,,9547494.0,21/07/2020,13:34:34
89,7015,5741.0,58.0,,9548081.0,22/07/2020,13:52:50
90,7060,5793.0,58.0,,9548667.0,23/07/2020,14:00:07
91,7104,5851.0,58.0,,9549254.0,24/07/2020,13:51:14
92,7150,5906.0,59.0,,9549841.0,25/07/2020,13:59:28
93,7192,5970.0,59.0,,9550428.0,26/07/2020,15:15:30
94,7235,7235.0,60.0,,9551014.0,27/07/2020,14:08:57
95,7235,6028.0,60.0,,9551014.0,27/07/2020,17:47:49
96,7276,6065.0,60.0,,9551601.0,28/07/2020,13:57:26
97,7320,6103.0,60.0,,9552188.0,29/07/2020,13:55:50
98,7366,6151.0,60.0,,9552775.0,30/07/2020,15:01:54
99,7409,6193.0,60.0,,9553361.0,31/07/2020,15:17:25
100,7451,6233.0,60.0,,9553948.0,01/08/2020,14:25:58
101,7495,6276.0,61.0,,9554535.0,02/08/2020,14:58:31
102,7538,6317.0,61.0,,9555121.0,03/08/2020,14:33:07
103,7583,6356.0,61.0,,9555708.0,04/08/2020,16:51:51
104,7625,6399.0,61.0,,9556295.0,05/08/2020,17:33:44
105,7665,6443.0,62.0,,9556882.0,06/08/2020,14:05:49
106,7706,6484.0,62.0,,9557468.0,07/08/2020,14:50:37
107,7745,6484.0,62.0,,9558642.0,09/08/2020,23:59:30
108,7827,6614.0,62.0,,9559229.0,10/08/2020,13:53:27
109,7871,6653.0,63.0,,9559815.0,11/08/2020,14:52:07
110,7912,6696.0,63.0,,9560402.0,12/08/2020,15:00:56
111,7950,6741.0,63.0,,9560989.0,13/08/2020,14:30:18
112,7989,6777.0,63.0,,9561575.0,14/08/2020,17:47:50
113,8029,6815.0,64.0,,9562162.0,15/08/2020,18:35:10
114,8065,6855.0,64.0,,9562749.0,16/08/2020,15:31:35
115,8099,6897.0,64.0,,9563336.0,17/08/2020,19:07:37
116,8131,6935.0,65.0,,9563922.0,18/08/2020,13:33:34
117,8166,6971.0,65.0,,9564509.0,19/08/2020,13:30:34
118,8203,7006.0,66.0,,9565096.0,20/08/2020,16:06:02
119,8241,7040.0,66.0,,9565683.0,21/08/2020,19:22:38
120,8277,7072.0,66.0,,9566269.0,22/08/2020,16:49:34
121,8311,7108.0,66.0,,9566856.0,23/08/2020,17:00:58
122,8346,7142.0,67.0,,9567443.0,24/08/2020,17:54:44
123,8379,7179.0,67.0,,9568029.0,25/08/2020,14:55:25
124,8413,7214.0,67.0,,9568616.0,26/08/2020,13:53:54
125,8449,7246.0,68.0,,9569203.0,27/08/2020,15:29:32
126,8481,7276.0,68.0,,9569790.0,28/08/2020,13:42:15
127,8516,7309.0,68.0,,9570376.0,29/08/2020,12:30:07
128,8550,7341.0,68.0,,9571550.0,31/08/2020,09:02:50
129,8583,7376.0,68.0,,9571550.0,31/08/2020,14:39:45
130,8619,7413.0,68.0,,9572136.0,01/09/2020,14:38:32
131,8654,7447.0,69.0,,9572723.0,02/09/2020,17:30:31
132,8690,7482.0,69.0,,9573310.0,03/09/2020,13:20:58
133,8724,7515.0,69.0,,9573897.0,04/09/2020,14:03:04
134,8757,7549.0,70.0,,9574483.0,05/09/2020,20:22:03
135,8792,7581.0,70.0,,9575070.0,06/09/2020,16:17:25
136,8824,7616.0,70.0,,9575657.0,07/09/2020,13:50:14
137,8860,7650.0,70.0,,9576244.0,08/09/2020,15:29:42
138,8899,7683.0,71.0,,9576830.0,09/09/2020,21:10:37
139,8939,7714.0,72.0,,9577417.0,10/09/2020,14:26:21
140,8977,7747.0,72.0,,9578004.0,11/09/2020,17:24:48
141,9014,7782.0,72.0,,9578590.0,12/09/2020,15:39:27
142,9049,7816.0,72.0,,9579177.0,13/09/2020,14:49:29
143,9088,7853.0,72.0,,9579764.0,14/09/2020,13:47:51
144,9129,7896.0,73.0,,9580351.0,15/09/2020,14:02:49
145,9171,7941.0,73.0,,9580937.0,16/09/2020,13:23:56
146,9214,7988.0,73.0,,9581524.0,17/09/2020,13:00:37
147,9259,8026.0,73.0,,9582111.0,18/09/2020,13:19:07
148,9303,8066.0,73.0,,9582698.0,19/09/2020,14:45:42
149,9346,8108.0,73.0,,9583284.0,20/09/2020,15:57:46
150,9388,8152.0,73.0,,9583871.0,21/09/2020,13:30:26
151,9432,8199.0,73.0,,9584458.0,22/09/2020,15:01:57
152,9475,8244.0,74.0,,9585044.0,23/09/2020,12:55:57
153,9520,8296.0,74.0,,9585631.0,24/09/2020,14:54:25
154,9562,8341.0,74.0,,9586218.0,25/09/2020,15:09:32
155,9605,8385.0,75.0,,9586805.0,26/09/2020,15:13:50
156,9646,8430.0,75.0,,9587391.0,27/09/2020,16:10:33
157,9685,8483.0,75.0,,9587978.0,28/09/2020,13:13:33
158,9726,8531.0,75.0,,9588565.0,29/09/2020,14:07:49
159,9769,8572.0,76.0,,9589152.0,30/09/2020,14:17:48
160,9811,8617.0,77.0,,9589738.0,01/10/2020,13:26:19
161,9852,8661.0,77.0,,9590325.0,02/10/2020,13:51:27
162,9895,8707.0,77.0,,9590912.0,03/10/2020,13:03:29
163,9935,8749.0,78.0,,9591498.0,04/10/2020,12:53:52
164,9974,8794.0,78.0,,9592085.0,05/10/2020,14:08:21
165,10014,8837.0,78.0,,9592672.0,06/10/2020,14:18:50
166,10055,8876.0,78.0,,9593259.0,07/10/2020,15:13:15
167,10097,8914.0,78.0,,9593845.0,08/10/2020,14:46:28
168,10137,8959.0,79.0,,9594432.0,09/10/2020,16:16:52
169,10180,9006.0,79.0,,9595019.0,10/10/2020,17:14:18
170,10222,9058.0,79.0,,9595606.0,11/10/2020,15:18:07
171,10260,9103.0,79.0,,9596192.0,12/10/2020,14:14:17
172,10297,9177.0,79.0,,9596779.0,13/10/2020,14:22:41
173,10336,9245.0,79.0,,9597366.0,14/10/2020,13:52:10
174,10374,9317.0,80.0,,9597952.0,15/10/2020,14:54:54
175,10533,9563.0,80.0,,9600299.0,17/10/2020,18:13:13
176,10574,9617.0,80.0,,9600886.0,20/10/2020,14:16:03
177,10613,9668.0,80.0,,9601473.0,21/10/2020,14:27:14
178,10653,9724.0,81.0,,9602059.0,23/10/2020,00:00:03
179,10695,9782.0,81.0,,9602646.0,23/10/2020,16:56:23
180,10695,9782.0,81.0,,9602646.0,23/10/2020,19:40:35
181,10695,9782.0,81.0,,9603233.0,24/10/2020,00:00:15
182,10736,9836.0,81.0,,9603233.0,24/10/2020,12:54:55
